layer_record_id	layer_membership	traversal_status	decision_id	integration_id	promotion_id	module	module_route	queue_key	regulator_symbol	raw_tf_symbol	target_symbol	species_scope	target_graph_modules	promotion_class	promotion_confidence	evidence_confidence_tier	evidence_weight_tier	evidence_weight_rank	evidence_tier_basis	independent_literature_support_status	independent_literature_source_count	exact_pair_status	effect_polarity	binding_or_association_status	downstream_expression_or_perturbation_status	downstream_activation_status	upstream_relay_status	primary_citation	corroborating_citation	additional_corroborating_citation	primary_and_corroborating_citations	source_registry	source_record_id	source_registries	source_record_ids	tflink_source_database	tflink_detection_method	tflink_pubmed_id	tflink_source_url	tflink_raw_snapshot_path	tflink_raw_snapshot_sha256	source_review_file	review_notes	near_match_exclusions	source_exportable	module_stage_status	module_materialization_allowed	screening_decision	module_owner_review_status	materialization_status	regulator_role_class	canonical_role_status	sci_context_status	materialization_lane	mechanism_evidence_type	mechanism_evidence_definition	context_level_regulator	context_level_target	context_level_exact_pair	context_evidence_scope	context_evidence_basis	context_promotion_lane	candidate_for_later_materialization	canonical_materialization_allowed	decision_basis
PTF-SCREEN-PTF-MODULE-20B-000001	evidence_candidate	not_traversable	PTF-SCREEN-PTF-MODULE-20B-000001	PTF-MODULE-20B-000001	public_tf_comprehensive_062	20B	20B_target_interaction	abcc9/sur2|abca1|mouse	ABCC9/SUR2	Abcc9	Abca1	mouse	20B	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/#interaction-gmt	TFLink	tflink:mouse:000941:00eb4586fdbc	TFLink	tflink:mouse:000941:00eb4586fdbc	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	staged_review_only	false	module_fit_candidate	pending_module_owner_approval	pending_module_owner_approval	unresolved_regulator_role	unresolved	indirect_sci_context	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L3_spinal_cord_tissue_context	L4_SCI_context	L0_no_context_evidence	pathway_or_component_only	Mouse Abcc9/SUR2 has independent spinal-cord expression evidence in mouse vascular and nerve-injury studies, establishing L3 regulator-component context. Mouse Abca1 has independent mouse SCI evidence in microglia/macrophages and lipid-clearance studies, establishing L4 target-component context. The reviewed ABCC9-to-Abca1 source-table relationship was not established as an SCI mechanism, so the exact pair remains L0.	sci_relevant_component_context	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.
PTF-SCREEN-PTF-MODULE-20B-000002	evidence_candidate	not_traversable	PTF-SCREEN-PTF-MODULE-20B-000002	PTF-MODULE-20B-000002	public_tf_comprehensive_063	20B	20B_target_interaction	abcc9/sur2|ackr4|mouse	ABCC9/SUR2	Abcc9	Ackr4	mouse	20B	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/#interaction-gmt	TFLink	tflink:mouse:000941:00eb4586fdbc	TFLink	tflink:mouse:000941:00eb4586fdbc	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	staged_review_only	false	module_fit_candidate	pending_module_owner_approval	pending_module_owner_approval	unresolved_regulator_role	unresolved	non_sci_transferable_context	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L3_spinal_cord_tissue_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	pathway_or_component_only	Mouse Abcc9/SUR2 has independent spinal-cord expression evidence, establishing L3 regulator-component context. Mouse Ackr4 has authoritative MGI/GXD RNA in situ evidence in future spinal cord, establishing L3 target-component context. No SCI-specific or direct contextual ABCC9-to-Ackr4 mechanism was verified, so the exact pair remains L0.	sci_relevant_component_context	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.
PTF-SCREEN-PTF-MODULE-20B-000003	evidence_candidate	not_traversable	PTF-SCREEN-PTF-MODULE-20B-000003	PTF-MODULE-20B-000003	public_tf_comprehensive_064	20B	20B_target_interaction	abcc9/sur2|acvr1|mouse	ABCC9/SUR2	Abcc9	Acvr1	mouse	20B	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/#interaction-gmt	TFLink	tflink:mouse:000941:00eb4586fdbc	TFLink	tflink:mouse:000941:00eb4586fdbc	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	staged_review_only	false	module_fit_candidate	pending_module_owner_approval	pending_module_owner_approval	unresolved_regulator_role	unresolved	non_sci_transferable_context	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L3_spinal_cord_tissue_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	pathway_or_component_only	Mouse Abcc9/SUR2 has independent spinal-cord expression evidence, establishing L3 regulator-component context. Mouse Acvr1 has an Allen Institute mouse spinal-cord expression record, establishing L3 target-component context. No SCI-specific or direct contextual ABCC9-to-Acvr1 mechanism was verified, so the exact pair remains L0.	sci_relevant_component_context	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.
PTF-SCREEN-PTF-MODULE-20B-000004	evidence_candidate	not_traversable	PTF-SCREEN-PTF-MODULE-20B-000004	PTF-MODULE-20B-000004	public_tf_comprehensive_065	20B	20B_target_interaction	abcc9/sur2|adam17|mouse	ABCC9/SUR2	Abcc9	Adam17	mouse	20B	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/#interaction-gmt	TFLink	tflink:mouse:000941:00eb4586fdbc	TFLink	tflink:mouse:000941:00eb4586fdbc	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	staged_review_only	false	module_fit_candidate	pending_module_owner_approval	pending_module_owner_approval	unresolved_regulator_role	unresolved	indirect_sci_context	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L3_spinal_cord_tissue_context	L4_SCI_context	L0_no_context_evidence	pathway_or_component_only	Mouse Abcc9/SUR2 has independent spinal-cord expression evidence, establishing L3 regulator-component context. Mouse Adam17 has independent expression and functional evidence in spinal-cord injury models, establishing L4 target-component context. The reviewed ABCC9-to-Adam17 source-table relationship was not established as an SCI mechanism, so the exact pair remains L0.	sci_relevant_component_context	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.
PTF-SCREEN-PTF-MODULE-20B-000005	evidence_candidate	not_traversable	PTF-SCREEN-PTF-MODULE-20B-000005	PTF-MODULE-20B-000005	public_tf_comprehensive_047	20B	20B_secreted_factor_association;23B_secreted_factor_association;24B_secreted_factor_association	ada2/cecr1|anxa2|human	ADA2/CECR1	ADA2	ANXA2	human	20B;23B;24B	role_specific_noncanonical_secreted_factor_expression_association	broad_human_secreted_factor_expression_association_primary_only	B_independent_literature_single_source	B_independent_literature_single_source	2	promoted overlay evidence tier	independent_literature_single_source	1	expression_association_not_promotable		ADA2_and_ANXA2_co-occurrence_without_binding_or_protein_interaction_assay	co-expression_or_WGCNA_association_only;_no_ADA2_perturbation_direction	not_established_for_SCI_target_cell	not_tested_for_exact_pair	https://pubmed.ncbi.nlm.nih.gov/32845709/			https://pubmed.ncbi.nlm.nih.gov/32845709/	TFLink	tflink:human:001336:43f9f0d36efa	TFLink	tflink:human:001336:43f9f0d36efa							data/processed/public_tf_union_expansion_v1/current_set_crosswalk_v1/candidate_triage_v1/evidence_batches/batch_030/public_tf_evidence_review_batch030_pairs.tsv	Weak association was preserved without promotion; ADA2 was not confused with TADA2A. ADA2 in this queue is CECR1/adenosine deaminase 2, a secreted enzyme; it is not TADA2A and not a TF.	A biomarker/co-expression association does not establish ADA2 regulation of ANXA2 RNA, protein or locus.	true	staged_review_only	false	retain_for_context_only	not_selected_noncanonical_role	separate_noncanonical_layer_pending_approval	noncanonical_gene_expression_regulator	noncanonical_regulator	non_sci_context_limited	noncanonical_module_context_candidate	extracellular_signal_or_receptor_relay	An extracellular ligand, receptor, or pathway relay is supported, without claiming direct regulation of the target gene locus.	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_sepsis_time_series_biomarker_analysis_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	non_cns_context_candidate	false	false	Explicit module route is retained, but the reviewed mechanism class is noncanonical and is not a canonical TF/module candidate.
PTF-SCREEN-PTF-MODULE-20B-000006	evidence_candidate	not_traversable	PTF-SCREEN-PTF-MODULE-20B-000006	PTF-MODULE-20B-000006	public_tf_comprehensive_066	20B	20B_target_interaction	ada2/cecr1|cckbr|human	ADA2/CECR1	ADA2	CCKBR	human	20B	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/	TFLink	tflink:human:001336:43f9f0d36efa	TFLink	tflink:human:001336:43f9f0d36efa	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NZK5_targets.tsv	af88a9f9851ba8bbc97f898cac0c0d58b2219149d6cc07250dbf3183e6021f16	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	staged_review_only	false	module_fit_candidate	pending_module_owner_approval	pending_module_owner_approval	unresolved_regulator_role	unresolved	non_sci_transferable_context	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L1_non_CNS_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	pathway_or_component_only	Human ADA2/CECR1 has independent non-CNS monocyte/macrophage expression evidence, establishing L1 regulator-component context. Human CCKBR has direct HPA spinal-cord tissue RNA representation, establishing L3 target-component context. Exact-pair checks found no direct contextual ADA2-to-CCKBR mechanism, so the exact pair remains L0.	sci_relevant_component_context	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.
PTF-SCREEN-PTF-MODULE-20B-000007	evidence_candidate	not_traversable	PTF-SCREEN-PTF-MODULE-20B-000007	PTF-MODULE-20B-000007	public_tf_comprehensive_067	20B	20B_target_interaction	ada2/cecr1|fgf7|human	ADA2/CECR1	ADA2	FGF7	human	20B	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/	TFLink	tflink:human:001336:43f9f0d36efa	TFLink	tflink:human:001336:43f9f0d36efa	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NZK5_targets.tsv	af88a9f9851ba8bbc97f898cac0c0d58b2219149d6cc07250dbf3183e6021f16	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	staged_review_only	false	module_fit_candidate	pending_module_owner_approval	pending_module_owner_approval	unresolved_regulator_role	unresolved	non_sci_transferable_context	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L1_non_CNS_context	L1_non_CNS_context	L0_no_context_evidence	pathway_or_component_only	Human ADA2/CECR1 has independent non-CNS monocyte/macrophage expression evidence, establishing L1 regulator-component context. Human FGF7 has independent non-CNS mesenchymal/epithelial and skin expression evidence, establishing L1 target-component context. Exact-pair searches found no direct contextual ADA2-to-FGF7 mechanism, so the exact pair remains L0.	sci_relevant_component_context	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.
PTF-SCREEN-PTF-MODULE-20B-000008	evidence_candidate	not_traversable	PTF-SCREEN-PTF-MODULE-20B-000008	PTF-MODULE-20B-000008	public_tf_comprehensive_069	20B	20B_target_interaction	adcyap1|dip2a|human	ADCYAP1	ADCYAP1	DIP2A	human	20B	tflink_source_table_high_throughput_association	tflink_exact_high_throughput_binding_record_primary_source_metadata	C_tflink_source_table_only	C_tflink_source_table_only	1	promoted overlay evidence tier	not_identified_outside_tflink_source_table	0	tflink_source_table_exact_pair		Exact TFLink target-table row; detection_method=chromatin immunoprecipitation assay; source_database=GTRD; large-scale association record.	not_assessed_in_tflink_source_table	not_assessed	not_assessed	https://pubmed.ncbi.nlm.nih.gov/27924024/			https://tflink.net/download/#interaction-gmt	TFLink	tflink:human:001561:a510b1da4da0	TFLink	tflink:human:001561:a510b1da4da0	GTRD	chromatin immunoprecipitation assay	27924024	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P18509.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P18509_targets.tsv	c9a05136bf2a398b8a2d549157c8402ebd702c8d8d7ae500532aeed9a130f3c5	data/processed/public_tf_union_expansion_v1/comprehensive_interaction_promotion_v1/tflink_database_profile_hold_source_audit.tsv	Recovered from the TFLink per-protein target table rather than GMT membership alone. The attached PubMed ID identifies the source database paper; the underlying experiment accession/original paper was not supplied in this TFLink row.	Exact TFLink organism match; no cross-species or reverse-direction inference. ChIP-seq association does not establish causal expression or activation direction.	true	staged_review_only	false	module_fit_candidate	pending_module_owner_approval	pending_module_owner_approval	unresolved_regulator_role	unresolved	indirect_sci_context	external_regulatory_evidence_candidate	expression_or_perturbation_association	Expression or perturbation changes associate the regulator and target, but the causal molecular bridge remains unresolved.	L4_SCI_context	L3_spinal_cord_tissue_context	L0_no_context_evidence	pathway_or_component_only	Human/mouse PACAP (ADCYAP1) has independent spinal-cord injury evidence, establishing L4 regulator-component context. Human DIP2A has direct HPA spinal-cord RNA expression, establishing L3 target-component context. Exact-pair checks found no direct contextual ADCYAP1-to-DIP2A mechanism, so the exact pair remains L0.	sci_relevant_component_context	true	false	A/B/C evidence has an explicit target_graph_modules assignment; candidate remains pending module-owner approval.
PTF-SCREEN-PTF-MODULE-20B-000009	evidence_candidate	not_traversable	PTF-SCREEN-PTF-MODULE-20B-000009	PTF-MODULE-20B-000009		20B	adjudicated_database_archive	adnp|ada|human	ADNP		ADA	human	20B			D_database_only_no_pair_evidence	D_database_only_no_pair_evidence	0	completed search found only database/profile/membership evidence			binding_profile_only_not_promotable									https://www.gsea-msigdb.org/gsea/msigdb/cards/ADNP_TARGET_GENES;https://pubmed.ncbi.nlm.nih.gov/30445619/			TFLink	tflink:human:001059:68b0d35ff216								Retain the adjudicated database/profile-only provenance; do not promote or repeat the search unless a new traceable source is found.		false	staged_low_tier_screening_only	false	screen_out_low_tier	screened_out_low_tier	screened_out_low_tier	low_tier_role_unassigned	not_assigned_low_tier	not_assessed	screened_out_low_tier	unresolved_mechanism	The record supports a regulator-target relationship, but the available evidence does not resolve the molecular mechanism.	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	not_assessed	No graded CNS/spinal-cord context adjudication has been completed for this row; do not infer context from regulator or target identity alone.	screened_out_low_tier	false	false	Reviewed D/E evidence is retained for provenance/context but excluded from module support and materialization.
PTF-SCREEN-PTF-MODULE-20B-000010	evidence_candidate	not_traversable	PTF-SCREEN-PTF-MODULE-20B-000010	PTF-MODULE-20B-000010		20B	adjudicated_database_archive	adnp|ang|human	ADNP		ANG	human	20B			D_database_only_no_pair_evidence	D_database_only_no_pair_evidence	0	completed search found only database/profile/membership evidence			binding_profile_only_not_promotable									https://www.gsea-msigdb.org/gsea/msigdb/cards/ADNP_TARGET_GENES;https://pubmed.ncbi.nlm.nih.gov/30445619/			TFLink	tflink:human:001059:68b0d35ff216								Retain the adjudicated database/profile-only provenance; do not promote or repeat the search unless a new traceable source is found.		false	staged_low_tier_screening_only	false	screen_out_low_tier	screened_out_low_tier	screened_out_low_tier	low_tier_role_unassigned	not_assigned_low_tier	not_assessed	screened_out_low_tier	unresolved_mechanism	The record supports a regulator-target relationship, but the available evidence does not resolve the molecular mechanism.	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	not_assessed	No graded CNS/spinal-cord context adjudication has been completed for this row; do not infer context from regulator or target identity alone.	screened_out_low_tier	false	false	Reviewed D/E evidence is retained for provenance/context but excluded from module support and materialization.
