evidence_item_id	review_id	pair_key	pair_label	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations
M20A-STAGEDHIGH001-EVID-0001	M20A-EXT-0017	slit2 robo2	Slit2 Robo2	primary_literature_staging_reconciliation	PMID:19782674; PMID:25894826	staged_exact_pair_primary_support	mouse release scope from prior staged adjudication	module20b_staging_round_2026_08_26_exact_pair_review	high	Slit2/Robo2 binding and receptor-specific axon-guidance dependence are shown in mouse primary studies; an independent vascular study also requires Robo1/2 for Slit2 responses.	Slit2/Robo2 binding and receptor-specific axon-guidance dependence are shown in mouse primary studies; an independent vascular study also requires Robo1/2 for Slit2 responses.	Heparan-sulfate presentation is a required cofactor and the studies include Robo1 as a parallel receptor; the Slit2-Robo2 pair itself is directly tested. High is limited to the staged pair-level LR claim; no relay, TF/program, cellular-output, or SCI-context inference is made.
M20A-STAGEDHIGH001-EVID-0002	M20A-EXT-0018	slitrk1 ptprs	Slitrk1 Ptprs	primary_literature_staging_reconciliation	PMID:25394468; PMID:23345436	staged_exact_pair_primary_support	mouse release scope from prior staged adjudication	module20b_staging_round_2026_08_26_exact_pair_review	high	Primary Slitrk1/PTPσ adhesion and synaptogenic assays support the pair, with independent LAR-RPTP experiments showing PTPσ-specific dependence for Slitrk1 synaptogenic activity.	Primary Slitrk1/PTPσ adhesion and synaptogenic assays support the pair, with independent LAR-RPTP experiments showing PTPσ-specific dependence for Slitrk1 synaptogenic activity.	PTPσ splice context and synapse type matter; the related PTPδ structure is not being used as the sole evidence. High is limited to the staged pair-level LR claim; no relay, TF/program, cellular-output, or SCI-context inference is made.
M20A-STAGEDHIGH001-EVID-0003	M20A-EXT-0023	amh amhr2_bmpr1b	Amh AMHR2_BMPR1B	primary_literature_staging_reconciliation	PMID:31291191; PMID:11606457	staged_exact_pair_primary_support	mouse release scope from prior staged adjudication	module20b_staging_round_2026_08_26_exact_pair_review	high	Mouse AMH responses require Amhr2 and Bmpr1b; knockdown of either receptor component reduces the response, corroborating earlier AMH/BMPR1B-Smad signaling.	Mouse AMH responses require Amhr2 and Bmpr1b; knockdown of either receptor component reduces the response, corroborating earlier AMH/BMPR1B-Smad signaling.	Developmental/gonadal and GnRH-migration contexts; receptor complex is explicitly preserved as AMHR2 plus BMPR1B. High is limited to the staged pair-level LR claim; no relay, TF/program, cellular-output, or SCI-context inference is made.
M20A-STAGEDHIGH001-EVID-0004	M20A-EXT-0024	areg egfr_erbb2	Areg EGFR_ERBB2	primary_literature_staging_reconciliation	PMID:25086039; PMID:38157863	staged_exact_pair_primary_support	mouse release scope from prior staged adjudication	module20b_staging_round_2026_08_26_exact_pair_review	high	AREG is directly evaluated in EGFR/ERBB2 heterodimers with ligand binding and signaling kinetics, and an independent primary study confirms AREG-driven EGFR/ERBB2 signaling in organoid and mouse fibroblast contexts.	AREG is directly evaluated in EGFR/ERBB2 heterodimers with ligand binding and signaling kinetics, and an independent primary study confirms AREG-driven EGFR/ERBB2 signaling in organoid and mouse fibroblast contexts.	ERBB2 is an obligate heterodimer partner rather than the principal AREG-binding subunit; complex notation is retained. High is limited to the staged pair-level LR claim; no relay, TF/program, cellular-output, or SCI-context inference is made.
M20A-STAGEDHIGH001-EVID-0005	M20A-EXT-0028	bmp10 acvrl1_acvr2a	Bmp10 ACVRL1_ACVR2A	primary_literature_staging_reconciliation	PMID:22718755; PMID:41892283	staged_exact_pair_primary_support	mouse release scope from prior staged adjudication	module20b_staging_round_2026_08_26_exact_pair_review	high	BMP10 engages ALK1 with ActRIIA-containing type-II receptor complexes in primary binding/kinetic studies; independent receptor-dosage experiments resolve ACVR2A participation in BMP9/10 signaling.	BMP10 engages ALK1 with ActRIIA-containing type-II receptor complexes in primary binding/kinetic studies; independent receptor-dosage experiments resolve ACVR2A participation in BMP9/10 signaling.	BMP10 receptor assembly is multicomponent and endothelial/vascular-context enriched; the preserved complex is ALK1/ACVR2A. High is limited to the staged pair-level LR claim; no relay, TF/program, cellular-output, or SCI-context inference is made.
M20A-STAGEDHIGH001-EVID-0006	M20A-EXT-0029	bmp10 acvrl1_bmpr2	Bmp10 ACVRL1_BMPR2	primary_literature_staging_reconciliation	PMID:35504921; PMID:22718755	staged_exact_pair_primary_support	mouse release scope from prior staged adjudication	module20b_staging_round_2026_08_26_exact_pair_review	high	Primary structural work directly resolves BMP10 with BMPR2, while independent ALK1/type-II receptor studies support the BMP10-ALK1-BMPR2 signaling complex.	Primary structural work directly resolves BMP10 with BMPR2, while independent ALK1/type-II receptor studies support the BMP10-ALK1-BMPR2 signaling complex.	Type-II receptor exchange and receptor abundance affect affinity; BMPR2 is explicitly retained in the complex. High is limited to the staged pair-level LR claim; no relay, TF/program, cellular-output, or SCI-context inference is made.
M20A-STAGEDHIGH001-EVID-0007	M20A-EXT-0031	bmp2 bmpr1a_acvr2a	Bmp2 BMPR1A_ACVR2A	primary_literature_staging_reconciliation	PMID:18436533; PMID:34241280	staged_exact_pair_primary_support	mouse release scope from prior staged adjudication	module20b_staging_round_2026_08_26_exact_pair_review	high	Human mesenchymal-stromal-cell receptor-utilization experiments support BMP2 signaling through BMPR1A with ACVR2A, corroborated by direct BMP/type-I/type-II interaction measurements.	Human mesenchymal-stromal-cell receptor-utilization experiments support BMP2 signaling through BMPR1A with ACVR2A, corroborated by direct BMP/type-I/type-II interaction measurements.	Receptor-complex signaling is cell-context dependent and requires a type-II partner; the candidate preserves BMPR1A/ACVR2A. High is limited to the staged pair-level LR claim; no relay, TF/program, cellular-output, or SCI-context inference is made.
M20A-STAGEDHIGH001-EVID-0008	M20A-EXT-0032	bmp2 bmpr1a_acvr2b	Bmp2 BMPR1A_ACVR2B	primary_literature_staging_reconciliation	PMID:17295905; PMID:34241280	staged_exact_pair_primary_support	mouse release scope from prior staged adjudication	module20b_staging_round_2026_08_26_exact_pair_review	high	A primary BMP2-BMPR1A-ActRIIB ternary structure and mutational analysis directly support the preserved complex; independent biophysical measurements corroborate BMP2/type-II engagement.	A primary BMP2-BMPR1A-ActRIIB ternary structure and mutational analysis directly support the preserved complex; independent biophysical measurements corroborate BMP2/type-II engagement.	The type-II contribution is lower-affinity and cooperative assembly is not universal; complex is retained explicitly. High is limited to the staged pair-level LR claim; no relay, TF/program, cellular-output, or SCI-context inference is made.
M20A-STAGEDHIGH001-EVID-0009	M20A-EXT-0033	bmp2 bmpr1a_bmpr2	Bmp2 BMPR1A_BMPR2	primary_literature_staging_reconciliation	PMID:7791754; PMID:34241280	staged_exact_pair_primary_support	mouse release scope from prior staged adjudication	module20b_staging_round_2026_08_26_exact_pair_review	high	Primary receptor-binding and transcriptional-response work supports BMP2 with BMPR1A and BMPR-II, with independent BLI measurements confirming the pairwise interaction framework.	Primary receptor-binding and transcriptional-response work supports BMP2 with BMPR1A and BMPR-II, with independent BLI measurements confirming the pairwise interaction framework.	BMP2 signaling requires type-I/type-II assembly and receptor abundance can alter apparent usage; preserved complex is BMPR1A/BMPR2. High is limited to the staged pair-level LR claim; no relay, TF/program, cellular-output, or SCI-context inference is made.
M20A-STAGEDHIGH001-EVID-0010	M20A-EXT-0037	bmp4 bmpr1a_acvr2a	Bmp4 BMPR1A_ACVR2A	primary_literature_staging_reconciliation	PMID:18436533; PMID:34241280	staged_exact_pair_primary_support	mouse release scope from prior staged adjudication	module20b_staging_round_2026_08_26_exact_pair_review	high	Human stromal-cell receptor utilization supports BMP4 through BMPR1A and ACVR2A; independent direct interaction measurements cover BMP4 binding to the relevant receptor classes.	Human stromal-cell receptor utilization supports BMP4 through BMPR1A and ACVR2A; independent direct interaction measurements cover BMP4 binding to the relevant receptor classes.	Cellular usage is context dependent and the receptor complex requires both receptor classes; preserved complex is BMPR1A/ACVR2A. High is limited to the staged pair-level LR claim; no relay, TF/program, cellular-output, or SCI-context inference is made.
