batch_id	queue_start	queue_end	candidate_count	priority_counts	review_status	write_scope
M23A-B001	M23A-Q0001	M23A-Q0050	50	P1=50	partial_anchor_review	23A queue/audit files only
M23A-B002	M23A-Q0051	M23A-Q0100	50	P1=50	reviewed_first_pass	23A queue/audit files only
M23A-B003	M23A-Q0101	M23A-Q0150	50	P1=50	reviewed_first_pass	23A queue/audit files only
M23A-B004	M23A-Q0151	M23A-Q0200	50	P1=50	reviewed_first_pass	23A queue/audit files only
M23A-B005	M23A-Q0201	M23A-Q0250	50	P1=50	reviewed_first_pass	23A queue/audit files only
M23A-B006	M23A-Q0251	M23A-Q0300	50	P1=50	reviewed_first_pass	23A queue/audit files only
M23A-B007	M23A-Q0301	M23A-Q0350	50	P1=50	reviewed_first_pass	23A queue/audit files only
M23A-B008	M23A-Q0351	M23A-Q0400	50	P1=50	reviewed_first_pass	23A queue/audit files only
M23A-B009	M23A-Q0401	M23A-Q0450	50	P1=50	reviewed_first_pass	23A queue/audit files only
M23A-B010	M23A-Q0451	M23A-Q0500	50	P1=50	reviewed_first_pass	23A queue/audit files only
M23A-B011	M23A-Q0501	M23A-Q0550	50	P1=50	reviewed_first_pass	23A queue/audit files only
M23A-B012	M23A-Q0551	M23A-Q0600	50	P1=35;P2=15	reviewed_first_pass	23A queue/audit files only
M23A-B013	M23A-Q0601	M23A-Q0650	50	P2=50	reviewed_first_pass	23A queue/audit files only
M23A-B014	M23A-Q0651	M23A-Q0700	50	P2=50	reviewed_first_pass	23A queue/audit files only
M23A-B015	M23A-Q0701	M23A-Q0750	50	P2=50	reviewed_first_pass	23A queue/audit files only
M23A-B016	M23A-Q0751	M23A-Q0800	50	P2=50	reviewed_first_pass	23A queue/audit files only
M23A-B017	M23A-Q0801	M23A-Q0850	50	P2=50	reviewed_first_pass	23A queue/audit files only
M23A-B018	M23A-Q0851	M23A-Q0900	50	P2=50	reviewed_first_pass	23A queue/audit files only
M23A-B019	M23A-Q0901	M23A-Q0950	50	P2=50	reviewed_first_pass	23A queue/audit files only
M23A-B020	M23A-Q0951	M23A-Q1000	50	P2=50	reviewed_first_pass	23A queue/audit files only
M23A-B021	M23A-Q1001	M23A-Q1050	50	P2=9;P3=41	reviewed_first_pass	23A queue/audit files only
M23A-B022	M23A-Q1051	M23A-Q1092	42	P3=42	reviewed_first_pass	23A queue/audit files only
M23A-B023	M23A-Q1093	M23A-Q1095	3	P1=3	second_pass_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B024	M23A-Q1096	M23A-Q1098	3	P1=3	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B025	M23A-Q1099	M23A-Q1100	2	P1=2	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B026	M23A-Q1101	M23A-Q1101	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B027	M23A-Q1102	M23A-Q1102	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B028	M23A-Q1103	M23A-Q1103	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B029	M23A-Q1104	M23A-Q1104	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B030	M23A-Q1105	M23A-Q1105	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B031	M23A-Q1106	M23A-Q1106	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B032	M23A-Q1107	M23A-Q1107	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B033	M23A-Q1108	M23A-Q1108	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B034	M23A-Q1109	M23A-Q1109	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B035	M23A-Q1110	M23A-Q1110	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B036	M23A-Q1111	M23A-Q1111	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B037	M23A-Q1112	M23A-Q1112	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B038	M23A-Q1113	M23A-Q1113	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B039	M23A-Q1114	M23A-Q1114	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B040	M23A-Q1115	M23A-Q1115	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B041	M23A-Q1116	M23A-Q1116	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
