evidence_id	regulator_key	regulator_symbol	species_scope	evidence_layer	support_kind	cell_or_model	assay_or_perturbation	observation	effect_direction	primary_citation	corroborating_citation	route_or_module_relevance	target_pair_scope	exportable	canonical_write_performed	limitations
public_tf_evidence_batch009_regulator_znf395	znf395	ZNF395	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human interferon-response and ENCODE K-562 ChIP-seq studies	overexpression/knockdown, promoter-reporter, ChIP, and ENCODE ChIP-seq	ZNF395 has human overexpression, knockdown, promoter-reporter, and ChIP evidence for interferon-related genes; the queued pairs have occupancy evidence but no target-specific causal validation.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pubmed.ncbi.nlm.nih.gov/24086395/	https://www.encodeproject.org/experiments/ENCSR462QZZ/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_hes4	hes4	HES4	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human redox/tumor and HCC ChIP-seq studies	RNAi/functional studies and ChIP-seq	HES4 has human perturbation and ChIP-seq evidence at nonqueued genes and pathways; no queued target has matched functional validation.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pubmed.ncbi.nlm.nih.gov/38769389/	https://pmc.ncbi.nlm.nih.gov/articles/PMC11813838/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_dlx6	dlx6	DLX6	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human glioma and trophoblast ChIP/knockdown studies	ChIP, knockdown, RNA expression, and GEO/ ReMap occupancy	DLX6 has human ChIP/knockdown evidence for ATG7 and independent occupancy datasets; none validates the queued targets.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pmc.ncbi.nlm.nih.gov/articles/PMC9846190/	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6522566	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_nfxl1	nfxl1	NFXL1	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human characterization and MCF-7 ChIP-seq studies	protein characterization and ENCODE ChIP-seq	NFXL1 has human expression/localization characterization and an MCF-7 ChIP-seq experiment, but limited validated target-regulatory literature.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pubmed.ncbi.nlm.nih.gov/27053962/	https://www.encodeproject.org/experiments/ENCSR417DKD/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_znf101	znf101	ZNF101	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human Huh-7 and mouse lipid-metabolism studies	ZNF101 knockdown, APOB promoter reporter, and ortholog experiments	ZNF101 has functional evidence at APOB-related lipid biology and human/mouse occupancy, but none of the queued human targets was validated.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pmc.ncbi.nlm.nih.gov/articles/PMC11721306/	https://pubmed.ncbi.nlm.nih.gov/39782688/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_lcorl	lcorl	LCORL	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human LCORL occupancy and mouse Lcorl knockout studies	ChIP-Atlas occupancy and knockout phenotype analysis	LCORL has occupancy resources and mouse knockout growth/metabolic phenotypes; no exact queued human target was functionally validated.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://academic.oup.com/endo/article/165/12/bqae146/7848128	https://chip-atlas.dbcls.jp/data/hg38/target/LCORL.1.html	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_zfp3	zfp3	ZFP3	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human HEK293 ZFP3 ChIP-seq and HIV-LTR reporter studies	DNA binding, ChIP-seq, and reporter repression	ZFP3 has human binding/repression evidence at the HIV-1 LTR and occupancy resources, but not at the queued targets with perturbation.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1010555	https://www.encodeproject.org/experiments/ENCSR134QIE/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_znf223	znf223	ZNF223	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human eGFP-ZNF223 ENCODE material	ENCODE binding material and GTRD-derived promoter occupancy	ZNF223 has authoritative human binding-resource material and queued promoter occupancy leads, without target-specific perturbation evidence.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://www.encodeproject.org/biosamples/ENCBS727PQJ/	https://pubmed.ncbi.nlm.nih.gov/30445619/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_tshz1	tshz1	TSHZ1	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human TSHZ1 ENCODE ChIP-seq studies	ENCODE ChIP-seq and GTRD-derived promoter occupancy	TSHZ1 has human ChIP-seq occupancy resources and queued promoter-binding leads, without exact target perturbation evidence.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://www.encodeproject.org/experiments/ENCSR217WRC/	https://www.encodeproject.org/experiments/ENCSR958JPH/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_znf133	znf133	ZNF133	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human KRAB-domain reporter and ENCODE ChIP-seq studies	KRAB reporter repression and ChIP-seq	ZNF133 has regulator-level KRAB-domain repression and human occupancy evidence, but none of the queued targets has causal validation.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pubmed.ncbi.nlm.nih.gov/7649249/	https://www.encodeproject.org/experiments/ENCSR283MWQ/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
