expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	output_node_id	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-0131	M21B-DOWNSTREAM:00415	ligand>receptor>intracellular>TF>target_gene_expression	explicit_ligand_receptor_intracellular_tf_target	ligand|receptor|intracellular_continuation|transcription_factor|target_gene_expression		source_supported	NODE01176	BDNF	M21B-E000318	NODE08406	NTRK2/TrkB receptor		NODE09065	PLCG1		NODE02440	CREB	M22B-E000036	NODE01186	Bdnf promoter IV		BDNF-TrkB-PLCG1/CaMK-CREB-dependent Bdnf promoter IV transcription	BDNF-TrkB-PLCG1-CREB-Bdnf-promoter-IV	primary_literature_route_expansion	primary_receptor_proximal_tf_target_gene_output	M21B-EVID-000261;M21B-EVID-000981;M21B-E000318;M21B-E001038;M21B-DOWNSTREAM-EVID:000699;M21B-DOWNSTREAM-EVID:000700;M22B-E000036;M22B-EVID-000137;PMID:12367511;PMID:31915257	M21B-DOWNSTREAM-EVID:000699	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	mouse; rat; human promoter comparator	Targeted mouse TrkB PLCgamma-docking-site mutants and BDNF-stimulated primary neurons; primary rat cortical neurons and conserved human BDNF promoter IV reporter comparator	extracellular BDNF; plasma-membrane TrkB; PLCgamma/CaMK-associated CREB phosphorylation; Bdnf promoter IV regulatory region	no SCI transfer inferred; neuronal and heterologous promoter contexts only	The BDNF-TrkB input, PLCgamma continuation and CREB-to-Bdnf promoter IV output are supported, but the complete PLCgamma-to-CaMK ordering and SCI receiver-cell transfer remain unresolved	TrkB PLCgamma-docking-site mutation; BDNF stimulation; PLCgamma/CaMKIV/CREB phosphorylation; BDNF promoter IV reporter, promoter binding and transcript assays	activating	composite_primary_evidence	PMID:12367511; PMID:31915257	Primary TrkB PLCgamma-docking and BDNF-TrkB-CREB promoter-IV studies	The curated sources support BDNF engagement of TrkB, a PLCgamma-associated continuation and CREB-dependent Bdnf promoter IV transcription. The overlay records a bounded ligand-receptor-to-PLCgamma-to-CREB-to-target-gene route without asserting every intermediate kinase order.	Preserve the TrkB pY816 and BDNF promoter IV context; do not infer a universal PLCgamma/CaMK relay, all Bdnf promoters, or SCI-specific transcription.	curated_primary_route	LITEXP:000131
M21B-LITEXP-0132	M21B-DOWNSTREAM:00054	ligand>receptor>intracellular>TF>target_gene_expression	explicit_ligand_receptor_intracellular_tf_target	ligand|receptor|intracellular_continuation|transcription_factor|target_gene_expression		source_supported	NODE05392	IL2	M21B-E000236	NODE05433	IL2RA:IL2RB:IL2RG receptor complex		NODE06007	JAK1/JAK3		NODE10719	STAT5	M21B-E008251	NODE02192	CISH gene		IL-2 receptor JAK1/JAK3-STAT5-associated CISH transcription	IL2-IL2R-JAK1-JAK3-STAT5-CISH	primary_literature_route_expansion	primary_receptor_proximal_tf_target_gene_output	M21B-EVID-000179;M21B-EVID-000180;M21B-EVID-000181;M21B-E000236;M21B-E000237;M21B-E000238;M21B-E008251;M21B-EVID-008197;M21B-DOWNSTREAM-EVID:000102;M21B-DOWNSTREAM-EVID:000103;PMID:8580378;PMID:9129017	M21B-DOWNSTREAM-EVID:000102	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	human; mouse comparator	Human T lymphocytes and cytokine-receptor reconstitution systems; IL-2 stimulation, JAK1/JAK3 activation, STAT5 activation and CISH promoter assays in cytokine receptor systems	extracellular IL-2; plasma-membrane IL-2 receptor complex; receptor-associated JAK1/JAK3; nuclear STAT5 and CISH promoter	no SCI transfer inferred; lymphocyte and receptor-reconstitution contexts only	The IL-2 receptor, JAK1/JAK3 and STAT5 layers are source-supported and the STAT5-CISH target edge is independently curated; receptor-specific CISH induction in SCI receiver cells remains unresolved	IL-2 stimulation; IL-2 receptor subunit and JAK perturbation/reconstitution; STAT5 phosphorylation/DNA binding; CISH promoter reporter and transcription assays	activating	composite_primary_evidence	PMID:8580378; PMID:9129017	Primary IL-2 JAK1/JAK3-STAT5 and cytokine-inducible CISH promoter studies	The sources support IL-2 receptor signaling through JAK1/JAK3 to STAT5 and a STAT5-dependent CISH transcriptional output. The overlay joins these evidence layers while preserving the lymphocyte/reconstitution context.	Do not treat JAK1 and JAK3 as an obligatory equimolar relay or transfer CISH induction to every IL-2-responsive cell; no SCI-specific output is asserted.	curated_primary_route	LITEXP:000132
M21B-LITEXP-0133	M21B-DOWNSTREAM:00795	ligand>receptor>intracellular>TF>target_gene_expression	explicit_ligand_receptor_intracellular_tf_target	ligand|receptor|intracellular_continuation|transcription_factor|target_gene_expression		source_supported	NODE03313	EPO	M21B-E000497	NODE03320	EPOR		NODE06009	JAK2		NODE10719	STAT5	M21B-E008251	NODE02192	CISH gene		EPO-EPOR-JAK2-STAT5-associated CISH transcription	EPO-EPOR-JAK2-STAT5-CISH	primary_literature_route_expansion	primary_receptor_proximal_tf_target_gene_output	M21B-EVID-000440;M21B-EVID-001649;M21B-EVID-000955;M21B-E000497;M21B-E001706;M21B-E001012;M21B-E008251;M21B-EVID-008197;M21B-DOWNSTREAM-EVID:001300;PMID:8343951;PMID:9129017	M21B-DOWNSTREAM-EVID:001300	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	mouse; human comparator	EPO-responsive murine hematopoietic cells with wild-type or mutant EPOR; EPO receptor/JAK2 and STAT5 pathway comparator systems	extracellular EPO; plasma-membrane EPOR; receptor-associated JAK2; nuclear STAT5 and CISH promoter	no SCI transfer inferred; hematopoietic and receptor-reconstitution contexts only	EPOR-associated JAK2 activation, EPOR-site STAT5 evidence and STAT5-CISH transcription are retained as distinct evidence layers; ligand-specific CISH induction in SCI cells remains unresolved	EPO stimulation; EPOR mutation and association assays; JAK2 phosphorylation/activation; STAT5 phosphorylation and CISH promoter/transcription assays	activating	composite_primary_evidence	PMID:8343951; PMID:9129017	Primary EPOR-associated JAK2 and cytokine-inducible STAT5-CISH studies	The curated sources support EPO engagement of EPOR, EPOR-associated JAK2 activation and STAT5 output, together with an independently curated STAT5-to-CISH transcriptional edge that includes EPO comparator context.	Preserve the hematopoietic model and do not infer that CISH induction is universal across EPOR-positive cells or that JAK2 is the only biologically relevant EPOR continuation.	curated_primary_route	LITEXP:000133
M21B-LITEXP-0134	M21B-DOWNSTREAM:00797	ligand>receptor>intracellular>TF>target_gene_expression	explicit_ligand_receptor_intracellular_tf_target	ligand|receptor|intracellular_continuation|transcription_factor|target_gene_expression		source_supported	NODE04510	Growth hormone	M21B-E001427	NODE04086	GHR/growth hormone receptor	M21B-E001710	NODE06009	JAK2	M21B-E001711	NODE10719	STAT5	M21B-E008258	NODE10475	SOCS2 gene		Growth-hormone-GHR-JAK2-STAT5-associated SOCS2 transcription	GH-GHR-JAK2-STAT5-SOCS2	primary_literature_route_expansion	primary_receptor_proximal_tf_target_gene_output	M21B-EVID-001370;M21B-EVID-001653;M21B-EVID-001654;M21B-EVID-008204;M21B-E001427;M21B-E001710;M21B-E001711;M21B-E008258;M21B-DOWNSTREAM-EVID:001306;PMID:9231797;PMID:28009300	M21B-DOWNSTREAM-EVID:001306	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	rat; mouse	Rat GHR-expressing COS cells, 3T3-F442A fibroblasts and CHO-rGHR cells; mouse mammary tissue/liver STAT5-SOCS2 comparator evidence	extracellular growth hormone; plasma-membrane GHR; receptor-associated JAK2; nuclear STAT5 and SOCS2 promoter	no SCI transfer inferred; endocrine and mammary/liver comparator contexts only	GH-dependent GHR/JAK2/STAT5 activation and a STAT5-SOCS2 target-gene edge are retained as bounded evidence layers; the exact ligand-specific SOCS2 induction context remains model dependent	GH stimulation; GHR expression and truncation/mutation systems; JAK2 dependence; STAT5A/B tyrosine phosphorylation and DNA binding; SOCS2 promoter occupancy and transcript assays	activating	composite_primary_evidence	PMID:9231797; PMID:28009300	Primary GHR-JAK2-STAT5 and STAT5-SOCS2 studies	The primary GHR study supports GH-dependent JAK2-requiring STAT5A/B activation, while the curated STAT5-SOCS2 edge supports a target-gene output in GH comparator tissue. The overlay preserves both contexts rather than collapsing them into a universal endocrine route.	Preserve STAT5A/B and tissue context; do not infer a terminal gene program for every GHR-positive SCI cell or claim that all GH outputs pass through SOCS2.	curated_primary_route	LITEXP:000134
M21B-LITEXP-0135	M21B-DOWNSTREAM:00799	ligand>receptor>intracellular>TF>target_gene_expression	explicit_ligand_receptor_intracellular_tf_target	ligand|receptor|intracellular_continuation|transcription_factor|target_gene_expression		source_supported	NODE09326	Prolactin	M21B-E001428	NODE09275	PRLR/prolactin receptor	M21B-E001712	NODE06009	JAK2	M21B-E001713	NODE10719	STAT5	M21B-E008258	NODE10475	SOCS2 gene		Prolactin-PRLR-JAK2-STAT5-associated SOCS2 transcription	PRL-PRLR-JAK2-STAT5-SOCS2	primary_literature_route_expansion	primary_receptor_proximal_tf_target_gene_output	M21B-EVID-001371;M21B-EVID-001655;M21B-EVID-001656;M21B-EVID-008204;M21B-E001428;M21B-E001712;M21B-E001713;M21B-E008258;M21B-DOWNSTREAM-EVID:001311;M21B-DOWNSTREAM-EVID:001312;PMID:7515493;PMID:7925280;PMID:28009300	M21B-DOWNSTREAM-EVID:001311	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	mouse; rat; mammalian comparator	Rat Nb2 cells, mouse mammary-gland explants and PRLR-transfected COS cells; mammary/liver STAT5-SOCS2 comparator evidence	extracellular prolactin; plasma-membrane PRLR; receptor-associated JAK2; nuclear STAT5 and SOCS2 promoter	no SCI transfer inferred; mammary and hematopoietic comparator contexts only	PRLR-associated JAK2 and STAT5 activation, long-form PRLR dependence and STAT5-SOCS2 transcription are retained as bounded evidence layers; isoform and cell-context dependence remain explicit	prolactin stimulation; PRLR isoform expression; JAK2 kinase and inhibition assays; STAT5 phosphorylation/DNA binding; SOCS2 promoter occupancy and transcription assays	activating	composite_primary_evidence	PMID:7515493; PMID:7925280; PMID:28009300	Primary PRLR-JAK2-STAT5 and STAT5-SOCS2 studies	The curated primary studies support prolactin-dependent PRLR-associated JAK2 activation and long-form PRLR-dependent STAT5 activation; the independent STAT5-SOCS2 edge supplies the target-gene layer in mammary/liver comparator tissue.	Preserve long-form PRLR and mammary context; do not infer that SOCS2 is the only PRLR target or transfer mammary transcriptional output directly to SCI cells.	curated_primary_route	LITEXP:000135
M21B-LITEXP-0136	M21B-DOWNSTREAM:00056	ligand>receptor>intracellular>TF>output	ligand_receptor_intracellular_tf_output_missing_target_gene	ligand|receptor|intracellular_continuation|transcription_factor|phosphorylation_or_activation_readout	target_gene_expression	source_supported	NODE05517	IL9	M21B-E000325	NODE05521	IL9RA:IL2RG receptor complex		NODE06007	JAK1/JAK3		NODE10686	STAT1/STAT3/STAT5					IL-9 receptor JAK1/JAK3-dependent STAT1/STAT3/STAT5 activation and anti-apoptotic output	IL9-IL9R-JAK1-JAK3-STAT1-3-5-activation-output	primary_literature_route_expansion	primary_receptor_proximal_tf_and_cellular_output	M21B-EVID-000268;M21B-EVID-000187;M21B-E001511;M21B-E001512;M21B-E001513;M21B-E001514;M21B-E001515;M21B-DOWNSTREAM-EVID:000107;M21B-DOWNSTREAM-EVID:000108;PMID:9535918;PMID:9261146	M21B-DOWNSTREAM-EVID:000107	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse; rat	Human and murine IL-9 receptor cell lines with IL9Ralpha/gammac reconstitution; IL-9 stimulation, JAK/STAT activation, proliferation and apoptosis assays	extracellular IL-9; plasma-membrane IL-9 receptor complex; receptor-associated JAK1/JAK3; nuclear STAT complexes and anti-apoptotic cellular output	no SCI transfer inferred; receptor-reconstitution and lymphoid-cell contexts only	IL-9 receptor-to-JAK1/JAK3-to-STAT1/3/5 signaling and anti-apoptotic/proliferative output are retained; the primary study does not identify one universal STAT dimer or terminal target gene	IL-9 stimulation; IL9Ralpha/gammac reconstitution and receptor-tail mutants; JAK1/JAK3 and STAT phosphorylation/DNA-binding assays; proliferation and dexamethasone-induced apoptosis assays	activating	composite_primary_evidence	PMID:9535918; PMID:9261146	Primary IL-9 receptor heteromerization and JAK1/JAK3-STAT activation study	The primary IL-9 receptor study directly supports IL-9Ralpha/common-gamma heteromerization, JAK1/JAK3 use and activation of STAT1, STAT3 and STAT5, with anti-apoptotic and proliferative outputs. The route intentionally stops before a terminal gene.	Preserve the common-gamma receptor architecture and cell-line context; do not flatten STAT1/3/5 into one factor or infer a CNS/SCI target gene.	curated_primary_route	LITEXP:000136
M21B-LITEXP-0137	M21B-DOWNSTREAM:00796	ligand>receptor>intracellular>TF>output	ligand_receptor_intracellular_tf_output_missing_target_gene	ligand|receptor|intracellular_continuation|transcription_factor|phosphorylation_or_activation_readout	target_gene_expression	source_supported	NODE11331	TPO	M21B-E000498	NODE07485	MPL		NODE06009	JAK2		NODE10719	STAT5					TPO-MPL-JAK2-STAT5-like activation in hematopoietic cells	TPO-MPL-JAK2-STAT5-activation-output	primary_literature_route_expansion	primary_receptor_proximal_tf_and_phosphorylation_output	M21B-EVID-000441;M21B-EVID-001650;M21B-EVID-001652;M21B-E000498;M21B-E001707;M21B-E001709;M21B-DOWNSTREAM-EVID:001302;M21B-DOWNSTREAM-EVID:001303;PMID:7796811	M21B-DOWNSTREAM-EVID:001302	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	Murine and human c-MPL-expressing hematopoietic cell lines; TPO stimulation, JAK2 activation and STAT5-like DNA-binding/tyrosine-phosphorylation assays	extracellular TPO; plasma-membrane MPL; receptor-associated JAK2; nuclear STAT5-like activation output	no SCI transfer inferred; hematopoietic cell-line and receptor-transfection contexts only	TPO-dependent MPL-associated JAK2 and STAT5-like activation are retained, while the exact STAT5 paralog composition and terminal target-gene layer remain unresolved	TPO stimulation; c-MPL transfection or endogenous receptor cells; JAK2 activation; STAT5-like DNA binding and tyrosine-phosphorylation assays	activating	primary_evidence	PMID:7796811	Primary thrombopoietin MPL-JAK2-STAT5-like activation study	The primary study reports rapid TPO-dependent activation of JAK2 and a STAT5-like transcription factor in c-MPL-expressing hematopoietic cells. The overlay retains this as an intracellular-to-TF output route without adding a terminal gene.	Preserve the STAT5-like assay semantics, hematopoietic context and transient activation kinetics; do not infer a terminal target gene or SCI receiver-cell response.	curated_primary_route	LITEXP:000137
M21B-LITEXP-0138	M21B-DOWNSTREAM:00825	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|gene_expression_or_transcription	transcription_factor|target_gene_expression	source_supported	NODE05317	IL17A	M21B-E000450	NODE05329	IL17RA:IL17RC receptor complex	M21B-E001771	NODE00152	ACT1/CIKS								IL-17A-IL17RA:IL17RC-ACT1/CIKS inflammatory-gene output	IL17A-IL17RA-IL17RC-ACT1-inflammatory-output	primary_literature_route_expansion	primary_receptor_proximal_and_inflammatory_gene_output	M21B-EVID-000393;M21B-EVID-001714;M21B-E000450;M21B-E001771;M21B-DOWNSTREAM-EVID:001360;M21B-DOWNSTREAM-EVID:001361;PMID:17035243;PMID:17277779	M21B-DOWNSTREAM-EVID:001360	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	mouse; human	IL-17 receptor-expressing fibroblasts and primary mouse embryo fibroblasts/astroglial cells; IL-17 stimulation, Act1 deficiency/rescue and inflammatory-gene readouts	extracellular IL-17A; plasma-membrane IL17RA:IL17RC; membrane-proximal ACT1/CIKS; NF-kappaB and inflammatory-gene output	no SCI transfer inferred; fibroblast and astroglial comparator contexts only	The IL17A input, IL17RA:IL17RC receptor complex, direct ACT1 association and inflammatory-gene output are supported; the downstream TF identity and target-gene occupancy remain unresolved	IL-17 stimulation; receptor/ACT1 association; SEFIR deletion or mutant assays; Act1 deficiency/rescue; NF-kappaB and cytokine/chemokine expression assays	activating	composite_primary_evidence	PMID:17035243; PMID:17277779	Primary IL-17 receptor-ACT1/CIKS and inflammatory-output studies	The primary literature identifies ACT1/CIKS as an immediate IL-17 receptor adaptor and shows loss of IL-17-induced inflammatory gene and NF-kappaB responses when ACT1 is absent. The route stops before assigning a terminal TF.	Preserve IL17RA as the SEFIR-bearing signaling subunit, ACT1 dependence and cell context; do not infer a specific NF-kappaB family member or SCI-specific target gene.	curated_primary_route	LITEXP:000138
M21B-LITEXP-0139	M21B-DOWNSTREAM:00826	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE01892	CD40LG/CD154	M21B-E000679	NODE01887	CD40/TNFRSF5	M21B-E001789	NODE11351	TRAF6								CD40L-CD40-TRAF6-dependent NF-kappaB/JNK/p38/Akt output	CD40LG-CD40-TRAF6-NFKB-JNK-p38-AKT-output	primary_literature_route_expansion	primary_receptor_proximal_and_kinase_output	M21B-EVID-000622;M21B-EVID-001732;M21B-E000679;M21B-E001789;M21B-DOWNSTREAM-EVID:001362;M21B-DOWNSTREAM-EVID:001363;PMID:9718306;PMID:16260598	M21B-DOWNSTREAM-EVID:001362	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse comparator	Human CD40 cytoplasmic-domain binding systems, TRAF6-knockout fibroblasts and CD40-expressing epithelial/carcinoma cells; CD40L stimulation and NF-kappaB/JNK/p38/Akt assays	extracellular CD40L; plasma-membrane CD40; membrane-proximal TRAF6; NF-kappaB, JNK, p38 and Akt activation output	no SCI transfer inferred; fibroblast and epithelial comparator contexts only	The CD40L-CD40 input, direct TRAF6 association and context-dependent kinase/inflammatory outputs are supported; the terminal TF and target-gene layers remain unresolved	CD40 cytoplasmic-domain binding; soluble CD40L stimulation; CD40-tail mutations; TRAF6 knockout or RNAi; NF-kappaB, JNK, p38, Akt and I-kappaB assays	activating	composite_primary_evidence	PMID:9718306; PMID:16260598	Primary CD40-TRAF6 binding and CD40L-dependent kinase-output studies	The curated primary studies support TRAF6 as a CD40-interacting signaling adaptor and show that TRAF6 integrity is required for CD40-induced NF-kappaB, JNK, p38 and Akt outputs in nonhematopoietic cells.	Preserve the context-dependent contribution of TRAF6 alongside TRAF2/3 and do not infer one terminal NF-kappaB factor or SCI-specific gene expression.	curated_primary_route	LITEXP:000139
M21B-LITEXP-0140	M21B-DOWNSTREAM:00448	ligand>receptor>intracellular>TF>output	ligand_receptor_intracellular_tf_output_missing_target_gene	ligand|receptor|intracellular_continuation|transcription_factor|second_messenger_readout	target_gene_expression	source_supported	NODE02497	CSF1	M21B-E000120	NODE02503	CSF1R extracellular receptor complex		NODE10227	SFK		NODE10719	STAT5					CSF1-CSF1R Tyr559-SFK-associated Akt/ERK/STAT5 and receptor-downregulation output	CSF1-CSF1R-pY559-SFK-STAT5-output	primary_literature_route_expansion	primary_receptor_proximal_tf_and_kinase_output	M21B-EVID-000063;M21B-EVID-001042;M21B-E000120;M21B-E001099;M21B-DOWNSTREAM-EVID:000775;M21B-DOWNSTREAM-EVID:000776;M21B-DOWNSTREAM-EVID:000777;PMID:15297464	M21B-DOWNSTREAM-EVID:000775	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	as stated in primary model/assay	32D myeloid cells expressing wild-type or Y559F/Y559D CSF1R; CSF1 stimulation, Src-family association and Akt/ERK/STAT5 readouts	extracellular CSF1; plasma-membrane CSF1R; Tyr559-associated SFK continuation; Akt/ERK/STAT5 and receptor-internalization output	no SCI transfer inferred; myeloid receptor-mutant context only	The CSF1-CSF1R input, Tyr559-dependent SFK association and Akt/ERK/STAT5 output are retained; the Y559 mutant is pleiotropic and does not resolve one SFK or terminal target gene	CSF1 stimulation; CSF1R Y559F/Y559D mutation; Src-family association; Akt/ERK/STAT5 activation; c-Cbl association and receptor internalization assays	activating	primary_evidence	PMID:15297464	Primary CSF1R Tyr559-SFK association and STAT5/Akt/ERK output study	The primary study supports ligand-induced CSF1R Tyr559-dependent association with Src-family kinases and links the mutant receptor branch to altered Akt, ERK and STAT5 outputs and receptor down-regulation.	Preserve the Tyr559F/Y559D pleiotropy and absence of a single-SFK assignment; do not promote this to a terminal STAT5 target-gene route or SCI-specific mechanism.	curated_primary_route	LITEXP:000140
