promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
M21B-PROMO-20260914-INPP5D-01	M21B-DISC-15109	M21B-E011236	M21B-EVID-010759	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:42239208; PMCID:PMC13228211; DOI:10.64898/2026.05.22.726347	APOE4 and INPP5D converge on membrane mechanics to regulate endocytosis in human astrocytes	APOE4 astrocytes show reduced clathrin curvature generation and stalled clathrin-coated-pit maturation.	Keep APOE3/APOE4 isogenic model and preprint status; no receptor or TF inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-INPP5D-02	M21B-DISC-15110	M21B-E011237	M21B-EVID-010759	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:42239208; PMCID:PMC13228211; DOI:10.64898/2026.05.22.726347	APOE4 and INPP5D converge on membrane mechanics to regulate endocytosis in human astrocytes	APOE4 astrocytes have reduced clathrin-mediated endocytic capacity.	Keep serum-free isogenic astrocyte comparison and preprint status; no receptor or TF inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-INPP5D-03	M21B-DISC-15111	M21B-E011238	M21B-EVID-010759	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:42239208; PMCID:PMC13228211; DOI:10.64898/2026.05.22.726347	APOE4 and INPP5D converge on membrane mechanics to regulate endocytosis in human astrocytes	APOE4 astrocytes display increased plasma-membrane tension.	Keep APOE3/APOE4 genotype and Flipper-TR/FLIM measurement; preprint status; no direct membrane-binding claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-INPP5D-04	M21B-DISC-15112	M21B-E011239	M21B-EVID-010759	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:42239208; PMCID:PMC13228211; DOI:10.64898/2026.05.22.726347	APOE4 and INPP5D converge on membrane mechanics to regulate endocytosis in human astrocytes	APOE4 astrocytes have reduced EEA1-positive early-endosome levels.	Keep EEA1 as a marker/output and preprint status; no transcript-to-protein or receptor inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-INPP5D-05	M21B-DISC-15113	M21B-E011240	M21B-EVID-010759	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:42239208; PMCID:PMC13228211; DOI:10.64898/2026.05.22.726347	APOE4 and INPP5D converge on membrane mechanics to regulate endocytosis in human astrocytes	APOE4 astrocytes show reduced fluorescent transferrin uptake.	Keep fluorescent transferrin assay and isogenic comparison; preprint status; no transferrin-receptor inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-INPP5D-06	M21B-DISC-15114	M21B-E011241	M21B-EVID-010759	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:42239208; PMCID:PMC13228211; DOI:10.64898/2026.05.22.726347	APOE4 and INPP5D converge on membrane mechanics to regulate endocytosis in human astrocytes	INPP5D overexpression restores EEA1-positive early-endosome levels in APOE4 astrocytes.	Keep APOE4 astrocyte overexpression context, EEA1 output and preprint status; no direct binding partner inferred.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-INPP5D-07	M21B-DISC-15115	M21B-E011242	M21B-EVID-010759	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:42239208; PMCID:PMC13228211; DOI:10.64898/2026.05.22.726347	APOE4 and INPP5D converge on membrane mechanics to regulate endocytosis in human astrocytes	INPP5D overexpression restores fluorescent transferrin uptake in APOE4 astrocytes.	Keep APOE4 isogenic astrocyte and overexpression context; preprint status; no receptor-proximal inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-INPP5D-08	M21B-DISC-15116	M21B-E011243	M21B-EVID-010759	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:42239208; PMCID:PMC13228211; DOI:10.64898/2026.05.22.726347	APOE4 and INPP5D converge on membrane mechanics to regulate endocytosis in human astrocytes	INPP5D overexpression promotes clathrin curvature progression and clathrin-coated-pit maturation in APOE4 astrocytes.	Keep measured structural transition and distinct membrane-tension mechanism; preprint status; no scaffold interaction inferred.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-INPP5D-09	M21B-DISC-15117	M21B-E011244	M21B-EVID-010759	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:42239208; PMCID:PMC13228211; DOI:10.64898/2026.05.22.726347	APOE4 and INPP5D converge on membrane mechanics to regulate endocytosis in human astrocytes	INPP5D overexpression reduces LAMP1-positive lysosome staining in APOE4 astrocytes.	Keep LAMP1 staining as compartmental output and preprint status; do not interpret as lysosomal function without further evidence.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-INPP5D-10	M21B-DISC-15118	M21B-E011245	M21B-EVID-010759	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:42239208; PMCID:PMC13228211; DOI:10.64898/2026.05.22.726347	APOE4 and INPP5D converge on membrane mechanics to regulate endocytosis in human astrocytes	INPP5D overexpression reduces lipid-droplet amount and size in APOE4 astrocytes.	Keep LipidTOX measurement, APOE4 context and preprint status; no catalytic mechanism inferred.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-INPP5D-11	M21B-DISC-15119	M21B-E011246	M21B-EVID-010759	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:42239208; PMCID:PMC13228211; DOI:10.64898/2026.05.22.726347	APOE4 and INPP5D converge on membrane mechanics to regulate endocytosis in human astrocytes	INPP5D overexpression reduces cytokine-induced NF-kB nuclear localization in APOE4 astrocytes.	Keep TNF-alpha/IL-1alpha/C1q activation and localization readout; preprint status; not a direct INPP5D-to-TF edge.	MATERIALIZED_PRIMARY_ONLY
