UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9UHI6	Q9BVL4	11218	83642	DDX20	SELENOO	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q9JJY4;Rn:F1MAM8	-	Dr:T1ECT3;Mm:Q9DBC0;Rn:A0A0G2K1N9	-
Q9UHI6	Q05BQ5	11218	54799	DDX20	MBTD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJY4;Rn:F1MAM8	-	Mm:Q6P5G3	Dr:A0A0R4IVS9;Rn:M0R9N9
Q9UHI6	Q9H9E3	11218	25839	DDX20	COG4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JJY4;Rn:F1MAM8	-	-	-
Q9UHI6	Q8TB68	11218	80758	DDX20	PRR7	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JJY4;Rn:F1MAM8	-	Dr:E7EXZ8;Mm:Q3V0I2;Rn:P0C6T3	-
Q9UHI6	Q04837	11218	6742	DDX20	SSBP1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JJY4;Rn:F1MAM8	-	Dm:P54622;Dr:B8A5I7;Rn:G3V7K6	Mm:Q8R2K3
Q9UHI6	Q9UI30	11218	51504	DDX20	TRMT112	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJY4;Rn:F1MAM8	-	Dm:Q9VP65;Dr:Q503F3;Mm:Q9DCG9;Rn:B2RYS9;Sc:P53738	Ce:O45241
Q9UHI6	P82914	11218	64960	DDX20	MRPS15	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JJY4;Rn:F1MAM8	-	Mm:Q9DC71;Rn:Q5XI37	Dr:Q6DGL8
Q9UHI6	A6NHL2	11218	79861	DDX20	TUBAL3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JJY4;Rn:F1MAM8	-	Mm:Q3UX10	Rn:F1LUM5
Q9UHI6	O14521	11218	6392	DDX20	SDHD	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JJY4;Rn:F1MAM8	-	Ce:O62215	Dr:Q68FN7;Dr:Q6DGM2
Q9UHI6	Q9P289	11218	51765	DDX20	STK26	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JJY4;Rn:F1MAM8	-	-	-
Q9UHI6	Q9C029	11218	81786	DDX20	TRIM7	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JJY4;Rn:F1MAM8	-	Mm:Q923T7;Rn:D3ZNJ9	-
Q9UHI6	P62753	11218	6194	DDX20	RPS6	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q9JJY4;Rn:F1MAM8	-	Ce:Q9NEN6;Dm:P29327;Dr:Q6DHL6;Mm:P62754;Sc:P0CX37	Rn:M0RD75
