promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
M21B-PROMO-20260914-RA-01	M21B-DISC-14956	M21B-E011083	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	ATRA increases astrocyte ApoE secretion	Preserve ATRA dose, measured secreted ApoE and astrocyte model; no transcript-to-protein or SCI inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-02	M21B-DISC-14957	M21B-E011084	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	9-cis-RA increases astrocyte ApoE secretion	Preserve 9-cis-RA formulation, measured secreted ApoE and astrocyte model; no transcript-to-protein or SCI inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-03	M21B-DISC-14958	M21B-E011085	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	13-cis-RA increases astrocyte ApoE secretion	Preserve 13-cis-RA formulation, measured secreted ApoE and astrocyte model; no transcript-to-protein or SCI inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-04	M21B-DISC-14959	M21B-E011086	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	ATRA increases astrocyte ABCA1 expression	Preserve measured ABCA1 mRNA/protein output and no direct promoter claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-05	M21B-DISC-14960	M21B-E011087	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	9-cis-RA increases astrocyte ABCA1 expression	Preserve measured ABCA1 mRNA/protein output and no direct promoter claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-06	M21B-DISC-14961	M21B-E011088	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	13-cis-RA increases astrocyte ABCA1 expression	Preserve measured ABCA1 mRNA/protein output and no direct promoter claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-07	M21B-DISC-14962	M21B-E011089	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	ATRA increases astrocyte ABCG1 expression	Preserve measured ABCG1 mRNA/protein output and no direct promoter claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-08	M21B-DISC-14963	M21B-E011090	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	9-cis-RA increases astrocyte ABCG1 expression	Preserve measured ABCG1 mRNA/protein output and no direct promoter claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-09	M21B-DISC-14964	M21B-E011091	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	13-cis-RA increases astrocyte ABCG1 expression	Preserve measured ABCG1 mRNA/protein output and no direct promoter claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-10	M21B-DISC-14965	M21B-E011092	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	9-cis-RA promotes ApoE lipidation	Preserve ApoE lipidation assay and no transcript-to-particle shortcut.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-11	M21B-DISC-14966	M21B-E011093	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	Bexarotene promotes ApoE lipidation	Preserve bexarotene formulation, ApoE lipidation assay and no transcript-to-particle shortcut.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-12	M21B-DISC-14967	M21B-E011094	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	Bexarotene increases brain ApoE levels	Preserve oral treatment and brain-tissue measurement; no secretion-route inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-13	M21B-DISC-14968	M21B-E011095	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	9-cis-RA increases brain ApoE levels	Preserve oral treatment and brain-tissue measurement; no secretion-route inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-14	M21B-DISC-14969	M21B-E011096	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	9-cis-RA increases brain ABCA1 levels	Preserve oral treatment and brain-tissue measurement; no direct promoter claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-15	M21B-DISC-14970	M21B-E011097	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	9-cis-RA increases brain ABCG1 levels	Preserve oral treatment and brain-tissue measurement; no direct promoter claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-16	M21B-DISC-14971	M21B-E011098	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	Bexarotene increases brain ABCA1 levels	Preserve oral treatment and brain-tissue measurement; no direct promoter claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-17	M21B-DISC-14972	M21B-E011099	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	Bexarotene increases brain ABCG1 levels	Preserve oral treatment and brain-tissue measurement; no direct promoter claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-RA-18	M21B-DISC-14973	M21B-E011100	M21B-EVID-010747	candidate	promoted	downstream_or_functional			PMID:24599963; PMCID:PMC4036266; DOI:10.1074/jbc.M113.526095	Retinoic acid isomers facilitate apolipoprotein E production and lipidation in astrocytes through the retinoid X receptor/retinoic acid receptor pathway	Retinoic acid isomers reduce astrocyte cellular Aβ uptake in an ApoE-dependent manner	Preserve ApoE dependence and uptake assay; no receptor or SCI inference.	MATERIALIZED_PRIMARY_ONLY
