review_id	pair_key	pair_label_canonical	review_status	confidence_decision	mouse_confidence	mouse_confidence_rank	human_confidence	human_confidence_rank	human_evidence_present	receptor_state	receptor_role	directness	species_posture	decision_basis	evidence_register_ids	next_action
M20A-EXT-2423	ltf ager	Ltf Ager	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_processing_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance. Source packet: M20B-EVID-004198-P2-DIRECT.	M20A-LOWDIRECTHIGH013-EVID-0001	retain_high_direct_or_complex_support; preserve_processing_and_topology_boundaries; keep_relay_and_SCI_fields_separate
M20A-EXT-2442	mbl2 lrp1	Mbl2 Lrp1	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_processing_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance. Source packet: M20B-EVID-004217-P2-DIRECT.	M20A-LOWDIRECTHIGH013-EVID-0002	retain_high_direct_or_complex_support; preserve_processing_and_topology_boundaries; keep_relay_and_SCI_fields_separate
M20A-EXT-2445	mdk itga4_itgb1	Mdk ITGA4_ITGB1	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_processing_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance. Source packet: M20B-EVID-004220-P2-DIRECT.	M20A-LOWDIRECTHIGH013-EVID-0003	retain_high_direct_or_complex_support; preserve_processing_and_topology_boundaries; keep_relay_and_SCI_fields_separate
M20A-EXT-2446	mdk itga6_itgb1	Mdk ITGA6_ITGB1	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_processing_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance. Source packet: M20B-EVID-004221-P2-DIRECT.	M20A-LOWDIRECTHIGH013-EVID-0004	retain_high_direct_or_complex_support; preserve_processing_and_topology_boundaries; keep_relay_and_SCI_fields_separate
M20A-EXT-2454	mdk sdc3	Mdk Sdc3	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_processing_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance. Source packet: M20B-EVID-004229-P2-DIRECT.	M20A-LOWDIRECTHIGH013-EVID-0005	retain_high_direct_or_complex_support; preserve_processing_and_topology_boundaries; keep_relay_and_SCI_fields_separate
M20A-EXT-2457	mdk tspan1	Mdk Tspan1	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_processing_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance. Source packet: M20B-EVID-004232-P2-DIRECT.	M20A-LOWDIRECTHIGH013-EVID-0006	retain_high_direct_or_complex_support; preserve_processing_and_topology_boundaries; keep_relay_and_SCI_fields_separate
M20A-EXT-2475	mmp12 plaur	Mmp12 Plaur	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_processing_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance. Source packet: M20B-EVID-004250-P2-DIRECT.	M20A-LOWDIRECTHIGH013-EVID-0007	retain_high_direct_or_complex_support; preserve_processing_and_topology_boundaries; keep_relay_and_SCI_fields_separate
M20A-EXT-2480	mmp2 fgfr1	Mmp2 Fgfr1	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_processing_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance. Source packet: M20B-EVID-004255-P2-DIRECT.	M20A-LOWDIRECTHIGH013-EVID-0008	retain_high_direct_or_complex_support; preserve_processing_and_topology_boundaries; keep_relay_and_SCI_fields_separate
M20A-EXT-2482	mmp7 cd151	Mmp7 Cd151	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_processing_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance. Source packet: M20B-EVID-004257-P2-DIRECT.	M20A-LOWDIRECTHIGH013-EVID-0009	retain_high_direct_or_complex_support; preserve_processing_and_topology_boundaries; keep_relay_and_SCI_fields_separate
M20A-EXT-2483	mmp7 cd44	Mmp7 Cd44	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_processing_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct, processing, or preserved receptor-complex evidence was adjudicated high for the tested molecular interaction. High is limited to the cited topology, ligand form, domain, species, and assay; it does not imply conventional agonism, downstream signaling, TF, or SCI relevance. Source packet: M20B-EVID-004258-P2-DIRECT.	M20A-LOWDIRECTHIGH013-EVID-0010	retain_high_direct_or_complex_support; preserve_processing_and_topology_boundaries; keep_relay_and_SCI_fields_separate
