batch_id	b_edge_id	b_evidence_id	old_edge_confidence	new_edge_confidence	old_evidence_confidence	new_evidence_confidence	old_target	new_target	old_edge_status	new_edge_status	decision_basis	source_locator	module22b_register_changed	canonical_sql_materialization
module22b-low-confidence-upgrade-batch001-2026-09-02	M22B-E000169	M22B-EVID-000106	low	medium		medium	CYP19A1	CYP19A1	reviewed_regulatory_support	reviewed_regulatory_support	Primary chicken ovarian-theca study supports the asserted ESR2-associated CYP19A1 expression relationship, but does not establish ESR2-specific promoter occupancy; retain as bounded regulatory support.	PMID:34710471; DOI:10.1016/j.ygcen.2021.113939	true	false
module22b-low-confidence-upgrade-batch001-2026-09-02	M22B-E000376	M22B-EVID-000048	low	high		high	null	Nodal-responsive Smad2 direct-target program including foxa, klf3, notum1a, and smarcd3b	unresolved	reviewed_direct_target	Primary zebrafish study identifies Nodal-responsive Smad2-bound target genes with ChIP-seq, expression integration, and independent ChIP-qPCR; exact Gdf1 receptor usage and SCI transfer remain bounded.	PMCID:PMC4206766; PMID:25277163; DOI:10.1186/s12915-014-0081-5; PMID:24798330	true	false
module22b-low-confidence-upgrade-batch001-2026-09-02	M22B-E000396	M22B-EVID-000041	low	high		high	null	Msx1 basal promoter	unresolved	reviewed_direct_target	Primary mouse study supports a BMP-responsive SMAD8-containing promoter complex at Msx1 using consensus mutation, EMSA/supershift, reporter assays, and proteomic identification; this is not a SMAD8-only claim.	PMCID:PMC1383672; PMID:16101586; DOI:10.1042/BJ20050327	true	false
module22b-low-confidence-upgrade-batch001-2026-09-02	M22B-E000412	M22B-EVID-000035	low	high		high	null	IRF1 promoter	unresolved	reviewed_direct_target	Primary IFN-gamma-stimulated HeLa/ENCODE study maps STAT1 ChIP-seq occupancy to the IRF1 promoter GAS element with paired expression support; receptor-complex and SCI-transfer boundaries remain explicit.	PMCID:PMC3623615; PMID:23645984; DOI:10.4137/GRSB.S11433; PMID:7777519	true	false
module22b-low-confidence-upgrade-batch001-2026-09-02	M22B-E000642	M22B-EVID-004818	low	medium		high	S100A8/A9 -> Mac-1 (ITGAM/ITGB2) activation -> Ca2+-linked adhesion and chemotaxis	S100A8/A9 -> Mac-1 (ITGAM/ITGB2) activation -> Ca2+-linked adhesion and chemotaxis	reviewed_phenotype_only	reviewed_phenotype_only	Primary functional study supports S100A8-containing preparation activation of the Mac-1 ITGAM/ITGB2 complex and adhesion; monomer and beta-chain-only assignments remain unresolved.	PMID:12626582; DOI:10.4049/jimmunol.170.6.3233	true	false
module22b-low-confidence-upgrade-batch001-2026-09-02	M22B-E000643	M22B-EVID-004821	low	medium		high	S100A8/A9 -> Mac-1 (ITGAM/ITGB2) activation -> Ca2+-linked adhesion and chemotaxis	S100A8/A9 -> Mac-1 (ITGAM/ITGB2) activation -> Ca2+-linked adhesion and chemotaxis	reviewed_phenotype_only	reviewed_phenotype_only	Primary functional study supports S100A9-containing preparation activation of the Mac-1 ITGAM/ITGB2 complex and adhesion; monomer and beta-chain-only assignments remain unresolved.	PMID:12626582; DOI:10.4049/jimmunol.170.6.3233	true	false
module22b-low-confidence-upgrade-batch001-2026-09-02	M22B-E000692	M22B-EVID-004963	low	medium		high	Slit2-Robo1-CdGAP-Rac1/Cdc42 migration branch; Robo4 knockdown changes the response but is not the demonstrated transducing receptor	Slit2-Robo1-CdGAP-Rac1/Cdc42 migration branch; Robo4 knockdown changes the response but is not the demonstrated transducing receptor	reviewed_phenotype_only	reviewed_phenotype_only	Primary source supports the bounded Slit2-Robo1-CdGAP-Rac1/Cdc42 migration branch; Robo4 knockdown is not treated as proof that Robo4 is the transducing receptor.	PMID:26713366; DOI:10.1016/j.bbrc.2015.12.075	true	false
module22b-low-confidence-upgrade-batch001-2026-09-02	M22B-E000693	M22B-EVID-004970	low	medium		high	Slitrk3-PTPRD inhibitory synapse differentiation branch; PTPRS/Slitrk3 binding is not given a downstream functional branch here	Slitrk3-PTPRD inhibitory synapse differentiation branch; PTPRS/Slitrk3 binding is not given a downstream functional branch here	reviewed_program_association	reviewed_program_association	Primary source supports a bounded Slitrk3-PTPRD inhibitory-synapse differentiation program; no terminal TF-target claim is added.	PMID:23345436; DOI:10.1038/ncomms3420	true	false
module22b-low-confidence-upgrade-batch001-2026-09-02	M22B-E000716	M22B-EVID-005132	low	medium		medium	TL1A/TNFSF15 -> DR3/TNFRSF25 -> NF-kB/costimulation; TWEAK -> Fn14/TNFRSF12A is a separate supported branch	TL1A/TNFSF15 -> DR3/TNFRSF25 -> NF-kB/costimulation; TWEAK -> Fn14/TNFRSF12A is a separate supported branch	reviewed_program_association	reviewed_program_association	The reviewed aggregate supports the TL1A/TNFSF15-DR3/TNFRSF25 receptor program at moderate confidence; heterogeneous source composition prevents a high tier or direct TF claim.	DOI:10.1016/S0960-9822(98)70204-0; PMID:11094155	true	false
module22b-low-confidence-upgrade-batch001-2026-09-02	M22B-E000773	M22B-EVID-005627	low	medium		high	WNT11 -> FZD4 -> PKC -> cardiomyocyte differentiation	WNT11 -> FZD4 -> PKC -> cardiomyocyte differentiation	reviewed_program_association	reviewed_program_association	Primary mouse P19-cell study supports the exact WNT11-FZD4 cell-associated interaction, PKC relay, and cardiomyocyte differentiation output; no terminal TF claim is added.	PMID:21041481; PMCID:PMC3019854	true	false
module22b-low-confidence-upgrade-batch001-2026-09-02	M22B-E000774	M22B-EVID-005630	low	medium		high	WNT11 -> FZD7/DAAM1 -> Rho-ROCK1/2-Myosin II -> invasion and metastasis	WNT11 -> FZD7/DAAM1 -> Rho-ROCK1/2-Myosin II -> invasion and metastasis	reviewed_phenotype_only	reviewed_phenotype_only	Primary melanoma study supports the exact WNT11-FZD7-DAAM1-Rho-ROCK pathway and invasion/metastasis output; tumor-context and no-terminal-TF limits remain.	PMID:33082334; PMCID:PMC7575593; DOI:10.1038/s41467-020-18951-2	true	false
module22b-low-confidence-upgrade-batch001-2026-09-02	M22B-E000781	M22B-EVID-005758	low	medium		high	WNT5A -> FZD5 -> noncanonical/cell-state and endometrial stem-like-cell outputs	WNT5A -> FZD5 -> noncanonical/cell-state and endometrial stem-like-cell outputs	reviewed_phenotype_only	reviewed_phenotype_only	Primary studies support WNT5A-FZD5 direct binding and receptor-dependent functional outputs; high-concentration SPR, cancer/stem-like-cell context, and no-terminal-TF limits remain.	PMID:29930766; PMCID:PMC6007469; PMID:35295855; PMCID:PMC8919396	true	false
module22b-low-confidence-upgrade-batch001-2026-09-02	M22B-E000783	M22B-EVID-005764	low	medium		high	WNT5A -> RYK -> apoptosis/proliferation response	WNT5A -> RYK -> apoptosis/proliferation response	reviewed_phenotype_only	reviewed_phenotype_only	Primary study supports WNT5A-RYK direct binding and receptor-dependent apoptosis/proliferation output; concentration and separate FZD5-scope limits remain.	PMID:29930766; PMCID:PMC6007469; DOI:10.18632/oncotarget.25551	true	false
