promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
M21B-PROMO-20260914-NEUROTROPHIN-01	M21B-DISC-14666	M21B-E010794	M21B-EVID-010714	candidate	promoted	downstream_or_functional	PMCID:PMC11113719	PMID:9775979	PMID:9775979; DOI:10.1002/(sici)1098-1136(199811)24:3<272::aid-glia2>3.0.co;2-4	Neurotrophins regulate the function of cultured microglia	NGF increased plasminogen secretion in newborn rat microglia in the cited primary study.	Preserve measured secretion, newborn-rat microglial context and no Plg transcription or single Trk/p75 assignment.	MATERIALIZED_REVIEWED_PRIMARY
M21B-PROMO-20260914-NEUROTROPHIN-02	M21B-DISC-14667	M21B-E010795	M21B-EVID-010714	candidate	promoted	downstream_or_functional	PMCID:PMC11113719	PMID:9775979	PMID:9775979; DOI:10.1002/(sici)1098-1136(199811)24:3<272::aid-glia2>3.0.co;2-4	Neurotrophins regulate the function of cultured microglia	BDNF increased plasminogen secretion in newborn rat microglia in the cited primary study.	Preserve measured secretion, newborn-rat microglial context and no Plg transcription or single Trk/p75 assignment.	MATERIALIZED_REVIEWED_PRIMARY
M21B-PROMO-20260914-NEUROTROPHIN-03	M21B-DISC-14668	M21B-E010796	M21B-EVID-010714	candidate	promoted	downstream_or_functional	PMCID:PMC11113719	PMID:9775979	PMID:9775979; DOI:10.1002/(sici)1098-1136(199811)24:3<272::aid-glia2>3.0.co;2-4	Neurotrophins regulate the function of cultured microglia	NT-3 increased plasminogen secretion in newborn rat microglia in the cited primary study.	Preserve measured secretion, newborn-rat microglial context and no Plg transcription or single Trk/p75 assignment.	MATERIALIZED_REVIEWED_PRIMARY
M21B-PROMO-20260914-NEUROTROPHIN-04	M21B-DISC-14669	M21B-E010797	M21B-EVID-010714	candidate	promoted	downstream_or_functional	PMCID:PMC11113719	PMID:9775979	PMID:9775979; DOI:10.1002/(sici)1098-1136(199811)24:3<272::aid-glia2>3.0.co;2-4	Neurotrophins regulate the function of cultured microglia	NT-4 increased plasminogen secretion in newborn rat microglia in the cited primary study.	Preserve measured secretion, newborn-rat microglial context and no Plg transcription or single Trk/p75 assignment.	MATERIALIZED_REVIEWED_PRIMARY
M21B-PROMO-20260914-NEUROTROPHIN-05	M21B-DISC-14670	M21B-E010798	M21B-EVID-010714	candidate	promoted	downstream_or_functional	PMCID:PMC11113719	PMID:9775979	PMID:9775979; DOI:10.1002/(sici)1098-1136(199811)24:3<272::aid-glia2>3.0.co;2-4	Neurotrophins regulate the function of cultured microglia	NGF increased urokinase-type plasminogen activator secretion in newborn rat microglia.	Preserve measured uPA secretion and no Plaur transcription or single Trk/p75 assignment.	MATERIALIZED_REVIEWED_PRIMARY
M21B-PROMO-20260914-NEUROTROPHIN-06	M21B-DISC-14671	M21B-E010799	M21B-EVID-010714	candidate	promoted	downstream_or_functional	PMCID:PMC11113719	PMID:9775979	PMID:9775979; DOI:10.1002/(sici)1098-1136(199811)24:3<272::aid-glia2>3.0.co;2-4	Neurotrophins regulate the function of cultured microglia	BDNF increased urokinase-type plasminogen activator secretion in newborn rat microglia.	Preserve measured uPA secretion and no Plaur transcription or single Trk/p75 assignment.	MATERIALIZED_REVIEWED_PRIMARY
M21B-PROMO-20260914-NEUROTROPHIN-07	M21B-DISC-14672	M21B-E010800	M21B-EVID-010714	candidate	promoted	downstream_or_functional	PMCID:PMC11113719	PMID:9775979	PMID:9775979; DOI:10.1002/(sici)1098-1136(199811)24:3<272::aid-glia2>3.0.co;2-4	Neurotrophins regulate the function of cultured microglia	NT-3 increased urokinase-type plasminogen activator secretion in newborn rat microglia.	Preserve measured uPA secretion and no Plaur transcription or single Trk/p75 assignment.	MATERIALIZED_REVIEWED_PRIMARY
M21B-PROMO-20260914-NEUROTROPHIN-08	M21B-DISC-14673	M21B-E010801	M21B-EVID-010714	candidate	promoted	downstream_or_functional	PMCID:PMC11113719	PMID:9775979	PMID:9775979; DOI:10.1002/(sici)1098-1136(199811)24:3<272::aid-glia2>3.0.co;2-4	Neurotrophins regulate the function of cultured microglia	NT-4 increased urokinase-type plasminogen activator secretion in newborn rat microglia.	Preserve measured uPA secretion and no Plaur transcription or single Trk/p75 assignment.	MATERIALIZED_REVIEWED_PRIMARY
M21B-PROMO-20260914-NEUROTROPHIN-09	M21B-DISC-14674	M21B-E010802	M21B-EVID-010714	candidate	promoted	downstream_or_functional	PMCID:PMC11113719	PMID:9775979	PMID:9775979; DOI:10.1002/(sici)1098-1136(199811)24:3<272::aid-glia2>3.0.co;2-4	Neurotrophins regulate the function of cultured microglia	NGF suppressed constitutive and LPS-stimulated nitric-oxide release in newborn rat microglia.	Preserve constitutive/LPS challenge and no Nos2 transcription or universal anti-inflammatory claim.	MATERIALIZED_REVIEWED_PRIMARY
M21B-PROMO-20260914-NEUROTROPHIN-10	M21B-DISC-14675	M21B-E010803	M21B-EVID-010714	candidate	promoted	downstream_or_functional	PMCID:PMC11113719	PMID:9775979	PMID:9775979; DOI:10.1002/(sici)1098-1136(199811)24:3<272::aid-glia2>3.0.co;2-4	Neurotrophins regulate the function of cultured microglia	BDNF suppressed constitutive and LPS-stimulated nitric-oxide release in newborn rat microglia.	Preserve constitutive/LPS challenge and no Nos2 transcription or universal anti-inflammatory claim.	MATERIALIZED_REVIEWED_PRIMARY
M21B-PROMO-20260914-NEUROTROPHIN-11	M21B-DISC-14676	M21B-E010804	M21B-EVID-010714	candidate	promoted	downstream_or_functional	PMCID:PMC11113719	PMID:9775979	PMID:9775979; DOI:10.1002/(sici)1098-1136(199811)24:3<272::aid-glia2>3.0.co;2-4	Neurotrophins regulate the function of cultured microglia	NT-3 suppressed constitutive and LPS-stimulated nitric-oxide release in newborn rat microglia.	Preserve constitutive/LPS challenge and no Nos2 transcription or universal anti-inflammatory claim.	MATERIALIZED_REVIEWED_PRIMARY
