node_id	role	role_source	role_evidence
NODE00001	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00002	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00003	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00004	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00005	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00006	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00007	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00008	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00009	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00010	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00011	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00012	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00013	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00014	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00015	ligand	register_ligand_receptor_layer	edge=M23B-E000848; evidence=M23B-EVID-001147
NODE00015	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00016	ligand	register_ligand_receptor_layer	edge=M20B-E002399; evidence=M20B-EVID-002399
NODE00016	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00017	receptor	register_ligand_receptor_layer	edge=M20B-E002586; evidence=M20B-EVID-002586 || edge=M20B-E002619; evidence=M20B-EVID-002619 || edge=M20B-E004538; evidence=M20B-EVID-004538;M20B-EVID-004538-P2-DIRECT;M20B-EVID-004538-P2-FUNC;M20B-EVID-004538-P2-RELAY
NODE00017	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00018	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00019	receptor	register_ligand_receptor_layer	edge=M20B-E001840; evidence=M20B-EVID-001840 || edge=M20B-E001841; evidence=M20B-EVID-001841 || edge=M20B-E001843; evidence=M20B-EVID-001843;M20B-EVID-005254-P2-DIRECT;M20B-EVID-005255-P2-FUNC
NODE00019	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00020	receptor	register_ligand_receptor_layer	edge=M20B-E001778; evidence=M20B-EVID-001778 || edge=M20B-E001779; evidence=M20B-EVID-001779 || edge=M20B-E001780; evidence=M20B-EVID-001780;M20B-EVID-005344-P2-DIRECT;M20B-EVID-005345-P2-FUNC || edge=M20B-E001783; evidence=M20B-EVID-001783 || edge=M20B-E001788; evidence=M20B-EVID-001788 || edge=M20B-E001849; evidence=M20B-EVID-001849 || edge=M20B-E001852; evidence=M20B-EVID-001852 || edge=M20B-E002824; evidence=M20B-EVID-002824
NODE00020	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00021	receptor	register_ligand_receptor_layer	edge=M20B-E002478; evidence=M20B-EVID-002478
NODE00021	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00022	receptor	register_ligand_receptor_layer	edge=M20B-E001782; evidence=M20B-EVID-001782 || edge=M20B-E001785; evidence=M20B-EVID-001785 || edge=M20B-E001842; evidence=M20B-EVID-001842;M20B-EVID-005248-P2-DIRECT;M20B-EVID-005249-P2-RELAY;M20B-EVID-005250-P2-FUNC || edge=M20B-E001844; evidence=M20B-EVID-001844;M20B-EVID-005251-P2-DIRECT;M20B-EVID-005252-P2-RELAY;M20B-EVID-005253-P2-FUNC || edge=M20B-E001845; evidence=M20B-EVID-001845 || edge=M20B-E001846; evidence=M20B-EVID-001846 || edge=M20B-E001847; evidence=M20B-EVID-001847 || edge=M20B-E001848; evidence=M20B-EVID-001848 || edge=M20B-E002837; evidence=M20B-EVID-002837;M20B-EVID-005293-P2-DIRECT;M20B-EVID-005294-P2-RELAY
NODE00022	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
