module	pathway_name	edge_count	node_count	evidence_count
20B	Axon-guidance/adhesion receptor family	82	92	145
20B	Cytokine receptor family	27	42	56
20B	ECM/integrin adhesion receptor family	252	151	341
20B	GPCR receptor family	82	90	185
20B	Hedgehog receptor family	8	7	21
20B	Innate-immune receptor family	10	13	25
20B	Notch receptor family	10	11	17
20B	Pathway not established	359	475	842
20B	Purinergic/neuroreceptor family	2	3	8
20B	RTK growth-factor receptor family	109	74	198
20B	Scavenger/uptake-associated receptor family	38	41	78
20B	Synaptic/cell-adhesion receptor family	40	39	89
20B	TGF-beta/BMP receptor family	79	58	114
20B	WNT/Frizzled receptor family	47	35	118
21B	2AG-CB1-GPCR	1	2	1
21B	2AG-CB2-GPCR	1	2	1
21B	2APB-TRPV3-ion-channel	1	2	1
21B	4-1BB-QEED-EEEE-TRAF1-costimulation	1	2	1
21B	4-1BB-QEED-EEEE-TRAF2-costimulation	1	2	1
21B	4-1BB-TRAF-adaptor-recruitment	2	3	2
21B	4-1BBL-4-1BB-costimulation	1	2	1
21B	5-oxo-ETE-OXER1-GPCR	1	2	1
21B	5HT-HTR1E-GPCR	1	2	1
21B	5HT-HTR1F-GPCR	1	2	1
21B	5HT-HTR3AB-heteromer	1	2	1
21B	5HT-HTR5A-GPCR	1	2	1
21B	7alpha25OHC-GPR183-GPCR	1	2	1
21B	ABHD6-GluA1-AMPAR-endocytic-trafficking	1	2	1
21B	ACP1-LAT-negative-FcgammaRIIA-relay	1	2	1
21B	ACP1-STAT5-negative-megakaryocyte-relay	1	2	1
21B	ACP1-ZAP70-Y292-positive-TCR-relay	1	2	1
21B	ACT1-TRAF6-IL17-relay	1	2	1
21B	ACTH-MC2R-MRAP1-GPCR	1	2	1
21B	ACTN-ASIC1a-cytoskeletal-complex	2	3	2
21B	ADGRG1-GNA12-coupling	1	2	1
21B	ADGRG1-GNA13-coupling	1	2	1
21B	ADIPOQ-LAIR1-T-cell-inhibition	1	2	1
21B	ADIPOR1-APPL1-adiponectin-signaling	1	2	1
21B	ADIPOR2-APPL1-adiponectin-signaling	1	2	1
21B	ADM-CALCRL-RAMP2-Gs	1	2	1
21B	ADORA1-Gi-coupling	1	2	1
21B	ADORA2A-Gs-coupling	1	2	1
21B	ADORA2B-Gs-coupling	1	2	1
21B	ADORA3-Gi-coupling	1	2	1
21B	ADP-P2RY1-GPCR-binding	1	2	1
21B	ADP-P2RY13-GPCR	1	2	1
21B	ADP-P2Y12-GPCR	1	2	1
21B	ADRA1A-Gq-coupling	1	2	1
21B	ADRA1B-Gq/11-coupling	1	2	1
21B	ADRA1D-Gq/11-coupling	1	2	1
21B	ADRA2A-Gi-coupling	1	2	1
21B	ADRA2B-Gi-coupling	1	2	1
21B	ADRA2C-Gi-coupling	1	2	1
21B	ADRB1-Gi/o-coupling	1	2	1
21B	ADRB1-Gs-coupling	1	2	1
21B	ADRB2-Gi/o-coupling	1	2	1
21B	ADRB2-Gs-coupling	1	2	1
21B	ADRB3-Gi-coupling	1	2	1
21B	ADRB3-Gs-coupling	1	2	1
21B	AGG-32mer-TLR2-DAMP-signaling	1	2	1
21B	AIM2-ASC-inflammasome-assembly	1	2	1
21B	AJAP1-GABBR1a-presynaptic-trafficking	1	2	1
21B	AKAP5-GABRB1-PKA-targeting	1	2	1
21B	AKAP5-GABRB3-PKA-targeting	1	2	1
21B	AKAP5-TRPV1-inflammatory-sensitization-complex	1	2	1
21B	ALCAM-CD6-adhesion-costimulation	1	2	1
21B	ALK-pY1507-SHC1	1	2	1
21B	AMN-ARH-cubam-endocytosis	1	2	1
21B	AMN-DAB2-cubam-endocytosis	1	2	1
21B	ANG-PLXNB2-receptor-growth-survival	1	2	1
21B	ANGPT1-TIE2-RTK	1	2	1
21B	ANGPT1-alpha5beta1-adhesion	1	2	1
21B	ANGPT1-alphaVbeta3-binding	1	2	1
21B	ANGPT1-alphaVbeta5-guided-angiogenesis	1	2	1
21B	ANGPT2-TIE2-contextual-antagonism	1	2	1
21B	ANGPT2-Tie2-context-dependent-agonism	1	2	1
21B	ANGPT2-alpha5beta1-integrin-signaling	1	2	1
21B	ANGPTL2-alpha5beta1-inflammatory-signaling	1	2	1
21B	ANGPTL3-alphaVbeta3-angiogenesis	1	2	1
21B	ANGPTL4-alphaVbeta3-endothelial-junction-protection	1	2	1
21B	ANGPTL4-alphaVbeta5-glomerular-endothelial-protection	1	2	1
21B	ANK3-KCNQ2-axon-initial-segment-targeting	1	2	1
21B	ANK3-KCNQ3-axon-initial-segment-targeting	1	2	1
21B	ANP-NPR1-guanylyl-cyclase	1	2	1
21B	ANP-NPR3-clearance-binding	1	2	1
21B	ANXA1-FPR2-proresolution-GPCR	1	2	1
21B	AP2M1-GABRG2-YECL-endocytosis	1	2	1
21B	APLNR-Gi-coupling	1	2	1
21B	APOE-LDLR-binding	1	2	1
21B	APOE-LRP1-binding	1	2	1
21B	APOE-TREM2-myeloid-binding	1	2	1
21B	APOE-VLDLR-binding	1	2	1
21B	APP-GABBR1a-presynaptic-trafficking	1	2	1
21B	APRIL-BCMA	1	2	1
21B	APRIL-BCMA-activation	1	2	1
21B	APRIL-TACI	1	2	1
21B	APRIL-TACI-MyD88-activation	1	2	1
21B	AREG-EGFR-ERBB-RTK	1	2	1
21B	ARTN-GFRA3-RET	1	2	1
21B	AT1R-Gi-coupling	1	2	1
21B	AT1R-Gq-coupling	1	2	1
21B	ATF4-GABBR1-neuronal-transcription-coupling	1	2	1
21B	ATF4-GABBR2-neuronal-transcription-coupling	1	2	1
21B	ATP-ADP-P2Y-microglial-chemotaxis	1	2	1
21B	ATP-Kir6.2-KATP-inhibition	1	2	1
21B	ATP-P2RX1-P2RX2-heteromer	1	2	1
21B	ATP-P2RX1-P2RX4-heteromer	1	2	1
21B	ATP-P2RX1-P2RX5-heteromer	1	2	1
