promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
module21b-discovery-materialization-batch019-2026-09-02	M21B-DISC-0191	M21B-E000302	M21B-EVID-000245	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	ligand_receptor_binding_or_activation	PMID:11051204, Selectin glycoprotein ligands review; PMCID:PMC7355470, Selectins review	PMID:8841453	PMID:8841453	Purification and quantification of L-selectin-reactive GlyCAM-1 from mouse serum	The reviews identify GlyCAM-1 as a selectin glycoprotein ligand and the cited primary purification study reports that purified mouse GlyCAM-1 is L-selectin-reactive and also interacts with E-selectin.	Binding-only edge from purified mouse GlyCAM1; preserve secreted ligand and selectin-interaction context, with no E-selectin rolling/function or GlyCAM1 intracellular relay inferred.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch019-2026-09-02	M21B-DISC-0192	M21B-E000303	M21B-EVID-000246	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	ligand_receptor_binding_or_activation	PMID:11051204, Selectin glycoprotein ligands review; PMCID:PMC7355470, Selectins review	PMID:8841453	PMID:8841453	Purification and quantification of L-selectin-reactive GlyCAM-1 from mouse serum	The reviews identify GlyCAM-1 as a selectin glycoprotein ligand and the cited primary purification study reports that purified mouse GlyCAM-1 is L-selectin-reactive and also interacts with P-selectin.	Binding-only edge from purified mouse GlyCAM1; preserve secreted ligand and selectin-interaction context, with no P-selectin rolling/function or GlyCAM1 intracellular relay inferred.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch019-2026-09-02	M21B-DISC-0193	M21B-E000304	M21B-EVID-000247	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	ligand_receptor_binding_or_activation	PMID:11051204, Selectin glycoprotein ligands review; PMCID:PMC7355470, Selectins review	PMID:10377245	PMID:10377245	Identification of human complement Factor H as a ligand for L-selectin	The reviews place glycoprotein counter-receptors among selectin ligands and the cited primary study identifies human complement Factor H by L-selectin affinity chromatography and demonstrates Ca2+- and sialylation-sensitive binding to L-selectin.	Binding-only candidate for a post-translationally modified human Factor H fraction; preserve plasma purification and sialylation dependence, and do not infer physiological rolling or a Factor H intracellular relay.	local_21B_registers_only; no_database_write
M21B-PROMO-20260903-019	M21B-DISC-1214	M21B-E001325	M21B-EVID-001268	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC4544487, hemidesmosome review	PMID:10525545	PMID:10525545	PMID:10525545 record (beta4-plectin interaction)	The integrin beta4 cytoplasmic tail binds plectin and supports hemidesmosome/cytoskeletal anchoring	Preserve beta4 tail/FnIII-domain and epithelial hemidesmosome context; no generalized integrin signaling or SCI inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260903-019	M21B-DISC-1215	M21B-E001326	M21B-EVID-001269	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMC4970603, CIB1 review	PMID:12023286	PMID:12023286	PMID:12023286 record (CIB1-alphaIIb tail binding)	CIB1 binds the alphaIIb cytoplasmic tail through a mapped hydrophobic interface	Preserve platelet alphaIIb-beta3 and cation-dependent affinity context; binding alone does not establish integrin activation.	local_21B_registers_only; no_database_write
M21B-PROMO-20260903-019	M21B-DISC-1216	M21B-E001327	M21B-EVID-001270	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC6527602, L-selectin review	PMID:11706008	PMID:11706008	The cytoplasmic tail of L-selectin interacts with members of the Ezrin-Radixin-Moesin (ERM) family of proteins: cell activation-dependent binding of Moesin but not Ezrin	The L-selectin cytoplasmic tail associates with moesin in an activation-dependent ERM interaction	Moesin binding is activation-dependent; retain bounded shedding/rolling and cortical-cytoskeleton context without a universal signaling relay.	local_21B_registers_only; no_database_write
M21B-PROMO-20260903-019	M21B-DISC-1217	M21B-E001328	M21B-EVID-001271	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC6527602, L-selectin review	PMID:11706008	PMID:11706008	The cytoplasmic tail of L-selectin interacts with members of the Ezrin-Radixin-Moesin (ERM) family of proteins: cell activation-dependent binding of Moesin but not Ezrin	The L-selectin cytoplasmic tail associates with ezrin in an ERM interaction	Association is stronger than a unique ezrin-only functional branch; preserve microvillar/cortical context and no universal signaling claim.	local_21B_registers_only; no_database_write
M21B-PROMO-20260903-019	M21B-DISC-1218	M21B-E001329	M21B-EVID-001272	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC6527602, L-selectin review	PMID:9529256	PMID:9529256	Calmodulin regulates L-selectin adhesion molecule expression and function through a protease-dependent mechanism	Calmodulin directly associates with the L-selectin cytoplasmic domain and limits proteolytic shedding	Preserve protease-dependent ectodomain shedding and do not infer intracellular kinase signaling.	local_21B_registers_only; no_database_write
M21B-PROMO-20260903-019	M21B-DISC-1219	M21B-E001330	M21B-EVID-001273	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC6527602, L-selectin review	PMID:28235798	PMID:28235798	The cytoplasmic tail of L-selectin interacts with the adaptor-protein complex AP-1 subunit mu1A via a novel basic binding motif	The L-selectin tail binds AP-1 subunit mu1A through basic and acidic tail motifs and supports retrograde trafficking	Endocytic/retrograde trafficking association only; do not claim a complete AP-1 complex or productive signaling.	local_21B_registers_only; no_database_write
M21B-PROMO-20260903-019	M21B-DISC-1220	M21B-E001331	M21B-EVID-001274	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC3081173, nectin-afadin review	PMCID:PMC2185068	PMCID:PMC2185068	PMCID:PMC2185068 record (nectin-1-afadin interaction)	The nectin-1 C-terminal EAYV motif binds the afadin PDZ domain and supports epithelial junctional adhesion	Preserve the terminal EAYV motif and nectin/afadin junction context; no independent cadherin or SCI relay.	local_21B_registers_only; no_database_write
