"extraction_id"	"module"	"b_evidence_id"	"canonical_paper_key"	"source_locator"	"identity_resolution_status"	"unresolved_reason"	"authoritative_source"
"M20B-P2-000370"	"20B"	"M20B-EVID-000370"	"UNRESOLVED_MANIFEST_SOURCE"	"work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	""
"M20B-P2-000472"	"20B"	"M20B-EVID-000472"	"UNRESOLVED_MANIFEST_SOURCE"	"work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	""
"M20B-P2-000475"	"20B"	"M20B-EVID-000475"	"UNRESOLVED_MANIFEST_SOURCE"	"work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	""
"M20B-P2-000478"	"20B"	"M20B-EVID-000478"	"UNRESOLVED_MANIFEST_SOURCE"	"work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	""
"M20B-P2-R-002044"	"20B"	"M20B-EVID-001670"	"PMID:26124272; PMCID:not_cached; PMID:11927621; PMCID:PMC150926; DOI:10.1172/JCI14151"	"PMID:26124272; PMID:11927621; PMCID:PMC150926; DOI:10.1172/JCI14151; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap001/psgl1_e_selectin_PMID26124272.xml; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap001/psgl1_e_selectin_mouse_PMID10601352.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002054"	"20B"	"M20B-EVID-001806"	"PMID:11263668; PMID:35177083"	"PMID:11263668; PMID:35177083; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap002/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002061"	"20B"	"M20B-EVID-001855"	"PMID:10214951; PMID:25086039; PMCID:PMC4176247; DOI:10.1016/S0014-5793(99)00283-5; DOI:10.1074/jbc.M114.586826"	"PMID:10214951; PMID:25086039; PMCID:PMC4176247; DOI:10.1016/S0014-5793(99)00283-5; DOI:10.1074/jbc.M114.586826; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap004/ereg_primary_records.xml; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC4176247_full.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002070"	"20B"	"M20B-EVID-001893"	"PMID:8663044; PMID:16597617; DOI:10.1074/jbc.271.25.15292; DOI:10.1074/jbc.M601252200"	"PMID:8663044; PMID:16597617; DOI:10.1074/jbc.271.25.15292; DOI:10.1074/jbc.M601252200; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap004/fgf5_primary.xml; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap004/primary_records_additional.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-001927"	"20B"	"M20B-EVID-001927"	"PMID:10986291; PMID:15145957; URL:https://pubmed.ncbi.nlm.nih.gov/?term=collagen+I+CD44+direct+binding"	"PMID:10986291; PMID:15145957; URL:https://pubmed.ncbi.nlm.nih.gov/?term=collagen+I+CD44+direct+binding; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_col1_cd44_search_epmc.json"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-001932"	"20B"	"M20B-EVID-001932"	"PMID:10986291; PMID:15145957"	"PMID:10986291; PMID:15145957; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_collagen_receptor_pubmed.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
