source_lane	source_register	source_record_id	locator_component	locator_class	reason
module22a_new_primary_extractions	work/module22a_22b_promotion_audit/module22a_new_primary_extractions.tsv	module22a_new_primary_extractions:M22A-P2-NEW-BMP2-ID1-20260902	https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2443.2002.00573.x	paper_url_without_explicit_id	article-like URL retained as a lead because no exact PMID, PMCID, or DOI was present
module22a_new_primary_extractions	work/module22a_22b_promotion_audit/module22a_new_primary_extractions.tsv	module22a_new_primary_extractions:M22A-P2-NEW-EPO-CISH-20260902	Official PubMed record and linked primary report were reviewed	unresolved_source_label	source label has no explicit bibliographic identifier
module22a_new_primary_extractions	work/module22a_22b_promotion_audit/module22a_new_primary_extractions.tsv	module22a_new_primary_extractions:M22A-P2-NEW-EPO-CISH-20260902	only EPO/EPOR/STAT5/CISH observations were retained. IL2 and IL3 induction was not used to broaden the EPO receptor handoff.	unresolved_source_label	source label has no explicit bibliographic identifier
module22a_new_primary_extractions	work/module22a_22b_promotion_audit/module22a_new_primary_extractions.tsv	module22a_new_primary_extractions:M22A-P2-NEW-FGF10-ETV5-20260902	Official PubMed/PMC full text was reviewed	unresolved_source_label	source label has no explicit bibliographic identifier
module22a_new_primary_extractions	work/module22a_22b_promotion_audit/module22a_new_primary_extractions.tsv	module22a_new_primary_extractions:M22A-P2-NEW-FGF10-ETV5-20260902	only the FGF10-associated ETV5/Shh-enhancer observation was retained. Generic FGF or ETV4 transfer was not imported.	unresolved_source_label	source label has no explicit bibliographic identifier
module22a_new_primary_extractions	work/module22a_22b_promotion_audit/module22a_new_primary_extractions.tsv	module22a_new_primary_extractions:M22A-P2-NEW-FGF23-NFAT-20260902	Official PubMed and cited full-text records were reviewed	unresolved_source_label	source label has no explicit bibliographic identifier
module22a_new_primary_extractions	work/module22a_22b_promotion_audit/module22a_new_primary_extractions.tsv	module22a_new_primary_extractions:M22A-P2-NEW-FGF23-NFAT-20260902	only the FGF23-FGFR4/NFAT program was retained. No unique downstream NFAT target gene or SCI transfer was imported.	unresolved_source_label	source label has no explicit bibliographic identifier
module22a_new_primary_extractions	work/module22a_22b_promotion_audit/module22a_new_primary_extractions.tsv	module22a_new_primary_extractions:M22A-P2-NEW-IL13-STAT6-ARG1-20260902	Official PubMed/PMC record was reviewed	unresolved_source_label	source label has no explicit bibliographic identifier
module22a_new_primary_extractions	work/module22a_22b_promotion_audit/module22a_new_primary_extractions.tsv	module22a_new_primary_extractions:M22A-P2-NEW-IL13-STAT6-ARG1-20260902	only IL-13Ralpha1-dependent Arg1/STAT6-responsive gene induction was retained. IL-4-specific promoter occupancy was not reassigned to IL-13, and IL13RA2 decoy biology was not substituted for the type-II signaling receptor.	unresolved_source_label	source label has no explicit bibliographic identifier
module22a_new_primary_extractions	work/module22a_22b_promotion_audit/module22a_new_primary_extractions.tsv	module22a_new_primary_extractions:M22A-P2-NEW-SHH-CORECEPTOR-NKX2-2-20260902	Official PubMed/PMC records were reviewed	unresolved_source_label	source label has no explicit bibliographic identifier
module22a_new_primary_extractions	work/module22a_22b_promotion_audit/module22a_new_primary_extractions.tsv	module22a_new_primary_extractions:M22A-P2-NEW-SHH-CORECEPTOR-NKX2-2-20260902	only SHH-coreceptor-dependent ventral progenitor specification and the linked NKX2-2/OLIG2 direct-target module were retained. BOC-versus-GAS1 exclusivity, a unique downstream target gene, and SCI transfer were not imported.	unresolved_source_label	source label has no explicit bibliographic identifier
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-000445	https://pubmed.ncbi.nlm.nih.gov/?term=E2-HSD17B1+ESR2	search_query	URL contains a query/search locator, not an exact paper identifier
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-001911	https://pubmed.ncbi.nlm.nih.gov/?term=COL4A1+CD44	search_query	URL contains a query/search locator, not an exact paper identifier
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-002326	https://reactome.org/content/detail/R-HSA-4086132	database_or_local_record	database, accession, or local source record without an exact paper identifier
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-002565	URL:https://reactome.org/content/detail/R-HSA-9762246	database_or_local_record	database, accession, or local source record without an exact paper identifier
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-003269	https://pubmed.ncbi.nlm.nih.gov/?term=ECM1+ITGB4	search_query	URL contains a query/search locator, not an exact paper identifier
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-004133	https://pubmed.ncbi.nlm.nih.gov/?term=LGALS8+ITGA3	search_query	URL contains a query/search locator, not an exact paper identifier
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-004225	Reactome:R-HSA-2974737	database_or_local_record	database, accession, or local source record without an exact paper identifier
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-004337	https://reactome.org/content/detail/R-HSA-1181150	database_or_local_record	database, accession, or local source record without an exact paper identifier
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-004338	https://reactome.org/content/detail/R-HSA-1181150	database_or_local_record	database, accession, or local source record without an exact paper identifier
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-004612	https://pubmed.ncbi.nlm.nih.gov/?term=PSEN1+NOTCH2	search_query	URL contains a query/search locator, not an exact paper identifier
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-004613	https://pubmed.ncbi.nlm.nih.gov/?term=PSEN1+NOTCH3	search_query	URL contains a query/search locator, not an exact paper identifier
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-004614	https://pubmed.ncbi.nlm.nih.gov/?term=PSEN1+NOTCH4	search_query	URL contains a query/search locator, not an exact paper identifier
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-004666	https://www.jci.org/articles/view/76838	paper_url_without_explicit_id	article-like URL retained as a lead because no exact PMID, PMCID, or DOI was present
module22a_pending_candidate_dispositions	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv	module22a_pending_candidate_dispositions:M22A-HANDOFF-005130	https://pubmed.ncbi.nlm.nih.gov/?term=TPSB2+AND+F2RL1	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000015	https://pubmed.ncbi.nlm.nih.gov/?term=interleukin-9+STAT1+STAT3+STAT5+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000308	https://pubmed.ncbi.nlm.nih.gov/?term=12-oxo-LTB4+BLT1+BLT2+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000310	https://pubmed.ncbi.nlm.nih.gov/?term=2-arachidonoylglycerol+CB1+CB2+AP-1+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000311	https://pubmed.ncbi.nlm.nih.gov/?term=2-arachidonoylglycerol+GPR55+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000313	https://pubmed.ncbi.nlm.nih.gov/?term=dopamine+DRD1+CREB+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000315	https://pubmed.ncbi.nlm.nih.gov/?term=DRD2+DRD3+DRD4+CREB+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000316	https://pubmed.ncbi.nlm.nih.gov/?term=DRD5+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000320	https://pubmed.ncbi.nlm.nih.gov/?term=5-HT2A+5-HT2B+5-HT2C+EGR1+FOS+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000321	https://pubmed.ncbi.nlm.nih.gov/?term=5-HT1B+5-HT1D+5-HT1F+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000322	https://pubmed.ncbi.nlm.nih.gov/?term=5-HT3A+5-HT3B+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000325	https://pubmed.ncbi.nlm.nih.gov/?term=5-HT5A+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000326	https://pubmed.ncbi.nlm.nih.gov/?term=5-HT6+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000337	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT1D+AP-1+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000337	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT1D+CREB+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
