search_id	promotion_id	regulator_symbol	target_symbol	species_scope	search_outcome	source_citation	evidence_interpretation	disposition
followup_search_001	public_tf_comprehensive_001	OVOL2	Cdh2	mouse	related_human_expression_context	https://pmc.ncbi.nlm.nih.gov/articles/PMC5928881/	Human OVOL2 expression was inversely associated with CDH2/N-cadherin in nasopharyngeal carcinoma; cross-species expression context only, not mouse direct-binding corroboration.	retain_promoted_mouse_pair_without_confidence_upgrade
followup_search_002	public_tf_comprehensive_002	MSGN1	Dll3	mouse	independent_primary_corroboration	https://pubmed.ncbi.nlm.nih.gov/25371364/	Independent mouse presomitic-mesoderm study reports the MSGN1/DLL3 regulatory program; added to the overlay as corroborating citation.	upgrade_followup_gap_to_orthogonal_assay_and_context
followup_search_003	public_tf_comprehensive_003	BHLHA15/MIST1	RAB26	human	cross_species_direct_context	https://pubmed.ncbi.nlm.nih.gov/27644326/	Independent mouse pancreatic study includes MIST1 binding and mutant-enhancer analysis at Rab26; useful mechanism context but not same-species human corroboration.	retain_human_pair_and_species_boundary
followup_search_004	public_tf_comprehensive_004	NOBOX	Pou5f1	mouse	already_corroborated	https://pubmed.ncbi.nlm.nih.gov/17494914/	Existing second primary source supports the same mouse NOBOX/Pou5f1 relationship; no additional upgrade needed.	retain_promoted_pair
followup_search_005	public_tf_comprehensive_006	GPS2	Abca1	mouse	no_new_independent_exact_source	https://faseb.onlinelibrary.wiley.com/doi/abs/10.1096/fj.201801123R	The located record is the existing GPS2/ABCA1 macrophage study, which provides ChIP, loss-of-function, expression, protein, and cholesterol-efflux evidence; no duplicate corroboration counted.	retain_primary_only_followup
followup_search_006	public_tf_comprehensive_009	YAP1	ACTR2	human	same_primary_or_combined_YAP_TAZ_context	https://pubmed.ncbi.nlm.nih.gov/35768505/	The strongest exact source is the existing YAP/TAZ study; combined YAP/TAZ evidence is retained as cofactor context and not recounted as independent YAP1-only corroboration.	retain_primary_only_followup
followup_search_007	public_tf_comprehensive_011	ASH2L	Adam17	mouse	same_primary_record	https://pubmed.ncbi.nlm.nih.gov/37879562/	Search result resolves to the existing ASH2L/ADAM17 study; no independent exact source was identified.	retain_primary_only_followup
followup_search_008	public_tf_comprehensive_016	METTL3	ADAM10	human	primary_mechanism_confirmed	https://pmc.ncbi.nlm.nih.gov/articles/PMC13386607/	Full text confirms METTL3-dependent ADAM10 mRNA stabilization and perturbation, but the located record is the existing primary study, not independent corroboration.	retain_primary_only_followup
followup_search_009	public_tf_comprehensive_018	F10/factor Xa	CCN1	human	mechanism_specific_near_match	https://pubmed.ncbi.nlm.nih.gov/16266990/	Independent study reports inefficient Factor Xa cleavage of human CCN1 protein; this supports a separate proteolysis mechanism, not the promoted Factor Xa/PAR1 downstream-CCN1 RNA relay.	retain_both_mechanisms_separately
followup_search_010	public_tf_comprehensive_009	YAP1	ACTR2	human	independent_combined_YAP_TAZ_context	https://pmc.ncbi.nlm.nih.gov/articles/PMC11905641/	Independent COPD skeletal-muscle study links combined YAP/TAZ activity to ACTR2 expression and tests YAP-dependent ACTR2 promoter regulation; it is useful orthogonal context but does not establish a YAP1-only or same-species human edge.	retain_primary_only_followup_with_context
followup_search_011	public_tf_comprehensive_006	GPS2	Abca1	mouse	independent_mechanism_context	https://pmc.ncbi.nlm.nih.gov/articles/PMC2816737/	Older macrophage corepressor work provides a distinct GPS2-NCoR/ABCA1 repression context, rather than the promoted LPS-induced GPS2/p65 activation mechanism; retain as a separate mechanism and do not count as exact corroboration.	retain_primary_only_followup_with_mechanism_context
followup_search_012	public_tf_comprehensive_008	STAG2	ABCA1	human	same_study_preprint_and_conference_context	https://www.aacr.org/wp-content/uploads/2025/05/AACR2025_Proceedings_050725.pdf	AACR 2025 abstract reports STAG2 ChIP-seq/ChIP-qPCR, knockout, promoter acetylation, and ABCA1 expression in MIBC; the matching bioRxiv record appears to be the same study, so it is not independent corroboration.	retain_exact_pair_with_same_study_provenance
