promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
module21b-materialization-vip-pacap-mechanism-2026-09-15-01	M21B-DISC-15264	M21B-E011391	M21B-EVID-010796	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	downstream_or_functional	PMCID:PMC9104531, neuropeptide microglial mechanisms	PMID:12054537	PMID:12054537	Vasoactive intestinal peptide and pituitary adenylate cyclase-activating polypeptide inhibit the MEKK1/MEK4/JNK signaling pathway in endotoxin-activated microglia	VIP/Vasoactive intestinal peptide inhibits MEKK1 activity in activated microglia is supported by the primary microglial MEKK1/MEK4/JNK/AP-1 study.	Preserve VPAC1/cAMP/PKA, measured pathway/readout semantics, and activated-microglia context; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-mechanism-2026-09-15-02	M21B-DISC-15265	M21B-E011392	M21B-EVID-010796	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	downstream_or_functional	PMCID:PMC9104531, neuropeptide microglial mechanisms	PMID:12054537	PMID:12054537	Vasoactive intestinal peptide and pituitary adenylate cyclase-activating polypeptide inhibit the MEKK1/MEK4/JNK signaling pathway in endotoxin-activated microglia	ADCYAP1/PACAP inhibits MEKK1 activity in activated microglia is supported by the primary microglial MEKK1/MEK4/JNK/AP-1 study.	Preserve VPAC1/cAMP/PKA, measured pathway/readout semantics, and activated-microglia context; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-mechanism-2026-09-15-03	M21B-DISC-15266	M21B-E011393	M21B-EVID-010796	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	downstream_or_functional	PMCID:PMC9104531, neuropeptide microglial mechanisms	PMID:12054537	PMID:12054537	Vasoactive intestinal peptide and pituitary adenylate cyclase-activating polypeptide inhibit the MEKK1/MEK4/JNK signaling pathway in endotoxin-activated microglia	VIP/Vasoactive intestinal peptide inhibits MEK4/MAP2K4 phosphorylation in activated microglia is supported by the primary microglial MEKK1/MEK4/JNK/AP-1 study.	Preserve VPAC1/cAMP/PKA, measured pathway/readout semantics, and activated-microglia context; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-mechanism-2026-09-15-04	M21B-DISC-15267	M21B-E011394	M21B-EVID-010796	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	downstream_or_functional	PMCID:PMC9104531, neuropeptide microglial mechanisms	PMID:12054537	PMID:12054537	Vasoactive intestinal peptide and pituitary adenylate cyclase-activating polypeptide inhibit the MEKK1/MEK4/JNK signaling pathway in endotoxin-activated microglia	ADCYAP1/PACAP inhibits MEK4/MAP2K4 phosphorylation in activated microglia is supported by the primary microglial MEKK1/MEK4/JNK/AP-1 study.	Preserve VPAC1/cAMP/PKA, measured pathway/readout semantics, and activated-microglia context; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-mechanism-2026-09-15-05	M21B-DISC-15268	M21B-E011395	M21B-EVID-010796	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	downstream_or_functional	PMCID:PMC9104531, neuropeptide microglial mechanisms	PMID:12054537	PMID:12054537	Vasoactive intestinal peptide and pituitary adenylate cyclase-activating polypeptide inhibit the MEKK1/MEK4/JNK signaling pathway in endotoxin-activated microglia	VIP/Vasoactive intestinal peptide inhibits JNK/MAPK8/MAPK9 phosphorylation in activated microglia is supported by the primary microglial MEKK1/MEK4/JNK/AP-1 study.	Preserve VPAC1/cAMP/PKA, measured pathway/readout semantics, and activated-microglia context; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-mechanism-2026-09-15-06	M21B-DISC-15269	M21B-E011396	M21B-EVID-010796	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	downstream_or_functional	PMCID:PMC9104531, neuropeptide microglial mechanisms	PMID:12054537	PMID:12054537	Vasoactive intestinal peptide and pituitary adenylate cyclase-activating polypeptide inhibit the MEKK1/MEK4/JNK signaling pathway in endotoxin-activated microglia	ADCYAP1/PACAP inhibits JNK/MAPK8/MAPK9 phosphorylation in activated microglia is supported by the primary microglial MEKK1/MEK4/JNK/AP-1 study.	Preserve VPAC1/cAMP/PKA, measured pathway/readout semantics, and activated-microglia context; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-mechanism-2026-09-15-07	M21B-DISC-15270	M21B-E011397	M21B-EVID-010796	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	downstream_or_functional	PMCID:PMC9104531, neuropeptide microglial mechanisms	PMID:12054537	PMID:12054537	Vasoactive intestinal peptide and pituitary adenylate cyclase-activating polypeptide inhibit the MEKK1/MEK4/JNK signaling pathway in endotoxin-activated microglia	VIP/Vasoactive intestinal peptide inhibits c-Jun phosphorylation in activated microglia is supported by the primary microglial MEKK1/MEK4/JNK/AP-1 study.	Preserve VPAC1/cAMP/PKA, measured pathway/readout semantics, and activated-microglia context; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-mechanism-2026-09-15-08	M21B-DISC-15271	M21B-E011398	M21B-EVID-010796	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	downstream_or_functional	PMCID:PMC9104531, neuropeptide microglial mechanisms	PMID:12054537	PMID:12054537	Vasoactive intestinal peptide and pituitary adenylate cyclase-activating polypeptide inhibit the MEKK1/MEK4/JNK signaling pathway in endotoxin-activated microglia	ADCYAP1/PACAP inhibits c-Jun phosphorylation in activated microglia is supported by the primary microglial MEKK1/MEK4/JNK/AP-1 study.	Preserve VPAC1/cAMP/PKA, measured pathway/readout semantics, and activated-microglia context; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-mechanism-2026-09-15-09	M21B-DISC-15272	M21B-E011399	M21B-EVID-010796	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	downstream_or_functional	PMCID:PMC9104531, neuropeptide microglial mechanisms	PMID:12054537	PMID:12054537	Vasoactive intestinal peptide and pituitary adenylate cyclase-activating polypeptide inhibit the MEKK1/MEK4/JNK signaling pathway in endotoxin-activated microglia	VIP/Vasoactive intestinal peptide inhibits AP-1 DNA-binding in activated microglia is supported by the primary microglial MEKK1/MEK4/JNK/AP-1 study.	Preserve VPAC1/cAMP/PKA, measured pathway/readout semantics, and activated-microglia context; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-mechanism-2026-09-15-10	M21B-DISC-15273	M21B-E011400	M21B-EVID-010796	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	downstream_or_functional	PMCID:PMC9104531, neuropeptide microglial mechanisms	PMID:12054537	PMID:12054537	Vasoactive intestinal peptide and pituitary adenylate cyclase-activating polypeptide inhibit the MEKK1/MEK4/JNK signaling pathway in endotoxin-activated microglia	ADCYAP1/PACAP inhibits AP-1 DNA-binding in activated microglia is supported by the primary microglial MEKK1/MEK4/JNK/AP-1 study.	Preserve VPAC1/cAMP/PKA, measured pathway/readout semantics, and activated-microglia context; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
