batch_rank	tf_key	tf_symbol	species	target_symbol	pmid	search_rank	query_variant	title	abstract	journal	year	publication_types	exact_tf	exact_target	primary_article	direct_terms	experiment_terms	score	source_snapshot
1	tet2	Tet2	mouse	Klf8	39281527	1	species_unrestricted_fallback	Bioinformatics analysis of the role of RNA modification regulators in polycystic ovary syndrome.	Polycystic ovary syndrome (PCOS) is the most common metabolic and endocrine disorder affecting women of reproductive age. The pathogenesis of PCOS is influenced by factors such as race, genetics, environment, hyperandrogenemia, hyperinsulinemia, and obesity. However, the molecular mechanisms linking RNA modification and PCOS remain underexplored. This study aims to investigate the potential genetic and molecular pathways connecting RNA modification with PCOS through bioinformatics analyses. The GSE34526, GSE5850, and GSE98421 datasets were obtained from the National Center for Biotechnology Information Gene Expression Omnibus database. We identified intersecting differentially expressed genes (DEGs) and RNA modification-related genes within the GSE34526 dataset and visualized the overlaps using a Venn diagram. Subsequent analyses included Gene Ontology (GO), pathway enrichment (Kyoto Encyclopedia of Genes and Genomes), gene set enrichment analysis (GSEA), gene set variation analysis (GSVA), and immune infiltration analysis. Additionally, we constructed a protein-protein interaction network as well as mRNA-miRNA, mRNA-RNA binding protein, and mRNA-transcription factor (TF) regulatory networks. The expression and receiver operating characteristic curves of hub genes were also identified. The expression of several RNA modification-related DEGs (RMRDEGs) (ALYREF, NUDT1, AGO2, TET2, YTHDF2, and TRMT61B) showed significant differences in PCOS patients. GSEA and GSVA indicated that RMRDEGs were enriched in the hedgehog, MAPK, JAK STAT, and Notch pathways. Key transcription factors, including SP7, KLF8, HCFC1, IRF1, and MLLT1, were identified in the TF regulatory networks. These findings suggest that there are gene and miRNA profile alterations exist in PCOS patients and highlight immune-related differences. This knowledge could pave the way for new research directions in the diagnosis and treatment of PCOS.	Heliyon	2024	Journal Article	true	true	true	true	false	14	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt
31	neurod2	Neurod2	mouse	Ckb	34415061	1	species_restricted	Comparative description of the mRNA expression profile of Na+ /K+ -ATPase isoforms in adult mouse nervous system.	Mutations in genes encoding Na+ /K+ -ATPase α1, α2, and α3 subunits cause a wide range of disabling neurological disorders, and dysfunction of Na+ /K+ -ATPase may contribute to neuronal injury in stroke and dementia. To better understand the pathogenesis of these diseases, it is important to determine the expression patterns of the different Na+ /K+ -ATPase subunits within the brain and among specific cell types. Using two available scRNA-Seq databases from the adult mouse nervous system, we examined the mRNA expression patterns of the different isoforms of the Na+ /K+ -ATPase α, β and Fxyd subunits at the single-cell level among brain regions and various neuronal populations. We subsequently identified specific types of neurons enriched with transcripts for α1 and α3 isoforms and elaborated how α3-expressing neuronal populations govern cerebellar neuronal circuits. We further analyzed the co-expression network for α1 and α3 isoforms, highlighting the genes that positively correlated with α1 and α3 expression. The top 10 genes for α1 were Chn2, Hpcal1, Nrgn, Neurod1, Selm, Kcnc1, Snrk, Snap25, Ckb and Ccndbp1 and for α3 were Sorcs3, Eml5, Neurod2, Ckb, Tbc1d4, Ptprz1, Pvrl1, Kirrel3, Pvalb, and Asic2.	The Journal of comparative neurology	2022	Journal Article;Research Support, N.I.H., Intramural	true	true	true	true	true	16	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt
41	foxk1	FOXK1	human	PC	41248825	1	species_restricted	Molecular mechanisms and targeted intervention strategies of renal tubular epithelial cell glycolytic reprogramming in renal fibrosis.	Renal fibrosis is the core process in the progression of chronic kidney disease (CKD), and its irreversibility leads to end-stage renal disease. Recent studies have shown that metabolic reprogramming, particularly glycolytic reprogramming in renal tubular epithelial cells, is a key mechanism fuels fibrosis, presenting a significant metabolic paradox: short-term adaptive compensation (e.g., enhanced glycolysis) transforms into long-term pathological damage. This review systematically elaborates on the molecular mechanisms of glycolytic reprogramming: 1. FOXK1 forms transcriptional condensates through liquid-liquid phase separation (LLPS) to activate the expression of glycolytic genes, with genetic disruption attenuating fibrosis progression by 48 % (p < 0.01); 2. Pyruvate carboxylase (PC) deficiency triggers a vicious cycle of mitochondrial damage and glycolytic shift, evidenced by a 50 % reduction in PC expression in human fibrotic kidneys (p < 0.001) and a 70 % decrease in basal oxygen consumption rate in PC-knockout models; 3. Epigenetic regulation by metabolic enzymes (e.g., lactylation modification and PKM2 nuclear translocation) forms positive feedback pathways. Based on the above mechanisms, targeted intervention strategies are proposed: inhibiting glycolytic rate-limiting enzymes (HK2, LDHA), repairing mitochondrial function (antioxidation/kinetic regulation), and developing gene/nanotechnology (CRISPR editing, mitochondria-targeted carriers). Finally, current challenges are pointed out, including the spatiotemporal dynamic analysis of LLPS, bottlenecks in kidney-targeted delivery, and the potential of combined immunometabolic therapy, providing a theoretical basis for the development of new anti-fibrotic drugs.	Life sciences	2026	Journal Article;Review	true	true	false	true	true	13	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt
41	foxk1	FOXK1	human	PC	31830901	2	species_restricted	Long non-coding RNA MCM3AP-AS1 promotes growth and migration through modulating FOXK1 by sponging miR-138-5p in pancreatic cancer.	Pancreatic cancer (PC) is a type of malignant gastrointestinal tumor. Long non-coding RNA MCM3AP antisense RNA 1 (MCM3AP-AS1) has been reported to stimulate proliferation, migration and invasion in several types of tumors. However, the role of MCM3AP-AS1 in PC remains unclear. MCM3AP-AS1, microRNA miR-138-5p (miR-138-5p) and FOXK1 levels were detected using quantitative real time PCR. Cell proliferation, migration and invasion were analyzed. Dual luciferase reporter assay was used to confirm the relationship between MCM3AP-AS1 and miR-138-5p, between miR-138-5p and FOXK1. Protein levels were identified using western blot analysis. MCM3AP-AS1 overexpression promoted proliferation, migration and invasion in PC cells. MCM3AP-AS1 silencing showed a suppressive effect on cell growth in PC cells. Moreover, MCM3AP-AS1 knockdown suppressed tumor growth in mice. Dual luciferase reporter assay demonstrated MCM3AP-AS1 could sponge microRNA-138-5p (miR-138-5p), and FOXK1 could bind with miR-138-5p. Positive correlation between MCM3AP-AS1 and FOXK1 was testified, as well as negative correlation between miR-138-5p and FOXK1. MCM3AP-AS1 promoted FOXK1 expression by targeting miR-138-5p, and MCM3AP-AS1 facilitated growth and invasion in PC cells by FOXK1. MCM3AP-AS1 promoted growth and migration through modulating miR-138-5p/FOXK1 axis in PC, providing insights into MCM3AP-AS1/miR-138-5p/FOXK1 axis as novel candidates for PC therapy from bench to clinic.	Molecular medicine (Cambridge, Mass.)	2019	Journal Article	true	true	true	true	true	16	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt
41	foxk1	FOXK1	human	PC	28267429	3	species_restricted	Knockdown of FOXK1 Suppresses Proliferation, Migration, and Invasion in Prostate Cancer Cells.	Forkhead box K1 (FOXK1) is a member of the FOX transcription factor family and plays an important role in the development of several tumors. However, the role of FOXK1 in the progression of prostate cancer remains unknown. Thus, the objectives of this study were to detect the expression of FOXK1 in prostate cancer and to examine its role in prostate cancer cells. We found that the expression of FOXK1 at both the mRNA and protein levels was significantly upregulated in human prostate cancer cell lines. In addition, the downregulation of FOXK1 obviously inhibited the cell proliferation of prostate cancer cells in vitro and attenuated tumor growth in a xenograft model in vivo. Furthermore, knockdown of FOXK1 suppressed the migration and invasion of prostate cancer cells, and prevented the EMT phenotype through upregulating the expression of E-cadherin, as well as downregulating the expression of N-cadherin in prostate cancer cells. Mechanistically, knockdown of FOXK1 efficiently downregulated the expression levels of β-catenin, c-myc, and cyclin D1 in PC-3 cells. Overall, our results demonstrated that knockdown of FOXK1 inhibited the proliferation and metastasis of prostate cancer, at least in part, through suppressing the Wnt/β-catenin signaling pathway. Therefore, these results suggest that FOXK1 may be a potential therapeutic target for human prostate cancer.	Oncology research	2017	Journal Article	true	true	true	true	true	16	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt
52	ovol2	Ovol2	mouse	Irf1	37244401	1	species_unrestricted_fallback	Global gene expression analysis reveals novel transcription factors associated with long-term low-level exposure of EA.hy926 human endothelial cells to bisphenol A.	Bisphenol A (BPA) is an endocrine disruptor that binds to estrogen receptors (ER); however, studies have shown that the ER pathway was not always the primary molecular mechanism of BPA's action in cells and that gene transcription could be altered by different exposure times and doses. Here, we sought to understand the correlation between the BPA-responsive genes that have associated biological functions and the transcription factors (TFs) involved in their regulation by repeatedly exposing human endothelial cells EA.hy926 to three nanomolar concentrations of BPA (10-9 M, 10-8 M, and 10-7 M) for 14 weeks, after which changes in global gene expression were determined by RNA sequencing. Cytoscape plug-in iRegulon was used to infer TFs involved in the control of BPA-deregulated genes. The results show a minimal overlap in deregulated genes between three concentrations of BPA, with 10-9 M BPA having the highest number of deregulated genes. TF analysis suggests that all three concentrations of BPA were active in the absence of an ER-mediated pathway. A unique set of TFs (NES≥4) has been identified for each BPA concentration, including the NFκB family and CEBPB for 10-9 M BPA, MEF family, AHR/ARNT, and ZBTB33 for 10-8 M BPA, and IRF1-7 and OVOL1/OVOL2 for 10-7 M BPA, whereas STAT1/STAT2 were common TFs for 10-9 M and 10-7 M BPA. Overall, our data suggest that long-term low-level exposure of EA.hy926 cells to BPA leads to concentration-specific changes in gene expression that are not controlled by the ER-mediated signaling but rather by other mechanisms.	Chemico-biological interactions	2023	Journal Article	true	true	true	true	false	14	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt
83	znf264	ZNF264	human	CASC3	21827969	1	species_restricted	Proof of concept study to assess fetal gene expression in amniotic fluid by nanoarray PCR.	Microarray analysis of cell-free RNA in amniotic fluid (AF) supernatant has revealed differential fetal gene expression as a function of gestational age and karyotype. Once informative genes are identified, research moves to a more focused platform such as quantitative reverse transcriptase-PCR. Standardized NanoArray PCR (SNAP) is a recently developed gene profiling technology that enables the measurement of transcripts from samples containing reduced quantities or degraded nucleic acids. We used a previously developed SNAP gene panel as proof of concept to determine whether fetal functional gene expression could be ascertained from AF supernatant. RNA was extracted and converted to cDNA from 19 AF supernatant samples of euploid fetuses between 15 to 20 weeks of gestation, and transcript abundance of 21 genes was measured. Statistically significant differences in expression, as a function of advancing gestational age, were observed for 5 of 21 genes. ANXA5, GUSB, and PPIA showed decreasing gene expression over time, whereas CASC3 and ZNF264 showed increasing gene expression over time. Statistically significantly increased expression of MTOR and STAT2 was seen in female compared with male fetuses. This study demonstrates the feasibility of focused fetal gene expression analysis using SNAP technology. In the future, this technique could be optimized to examine specific genes instrumental in fetal organ system function, which could be a useful addition to prenatal care.	The Journal of molecular diagnostics : JMD	2011	Journal Article;Research Support, N.I.H., Extramural	true	true	true	true	false	14	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt
88	bhlha15	BHLHA15	human	RAB26	24413166	1	species_restricted	RAB26 coordinates lysosome traffic and mitochondrial localization.	As they mature, professional secretory cells like pancreatic acinar and gastric chief cells induce the transcription factor MIST1 (also known as BHLHA15) to substantially scale up production of large secretory granules in a process that involves expansion of apical cytoplasm and redistribution of lysosomes and mitochondria. How a scaling factor like MIST1 rearranges cellular architecture simply by regulating expression levels of its transcriptional targets is unknown. RAB26 is a MIST1 target whose role in MIST1-mediated secretory cell maturation is also unknown. Here, we confirm that RAB26 expression, unlike most Rabs which are ubiquitously expressed, is tissue specific and largely confined to MIST1-expressing secretory tissues. Surprisingly, functional studies showed that RAB26 predominantly associated with LAMP1/cathepsin D lysosomes and not directly with secretory granules. Moreover, increasing RAB26 expression - by inducing differentiation of zymogen-secreting cells or by direct transfection - caused lysosomes to coalesce in a central, perinuclear region. Lysosome clustering in turn caused redistribution of mitochondria into distinct subcellular neighborhoods. The data elucidate a novel function for RAB26 and suggest a mechanism for how cells could increase transcription of key effectors to reorganize subcellular compartments during differentiation.	Journal of cell science	2014	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	true	true	true	true	true	16	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt
92	son	SON	human	PC	21503582	1	species_restricted	Gallic acid suppresses the migration and invasion of PC-3 human prostate cancer cells via inhibition of matrix metalloproteinase-2 and -9 signaling pathways.	Epidemiological studies have demonstrated that a natural diet or consumption of fruits or vegetables can decrease the risk of cancer development. Cancer cells can migrate to and invade other organs or tissues that cause more difficulty to treat them and this also results in the need for treatments targeting multiple cellular pathways. Gallic acid (GA) has been demonstrated to possess multiple biological activities including anticancer function. However, no report exist on GA inhibited invasion and migration of human prostate cancer cells. We investigated the effects of migration and invasion in GA-treated PC-3 human prostate cancer cells with a series of in vitro experiments. Boyden chamber transwell assay was used to examine the migration and invasion of PC-3 cells. Western blotting, real-time PCR and gelatin zymography were used for determining the protein levels, gene expression and enzyme activities of matrix metalloproteinase-2 (MMP-2) and -9 in vitro. Results indicated that GA inhibited the invasion and migration of PC-3 cells and these effects are dose-dependent. GA inhibited the protein levels of MMP-2 and -9, son of sevenless homolog 1 (SOS1), growth factor receptor-bound protein 2 (GRB2), protein kinase C (PKC) and nuclear factor-κ B (NF-κB) p65, c-Jun N-terminal kinase (JNK), extracellular signal-regulated kinase 1/2 (ERK1/2), p38, p-AKT (Thr308) and p-AKT (Ser473), but it promoted the levels of phosphatidylinositol 3-kinase (PI3K) and AKT in PC-3 cells. GA also reduced the enzyme activities of MMP-2 and -9 in the examined cells. Moreover, the down-regulation of focal adhesion kinase (FAK) and Ras homolog gene family, member A (Rho A) mRNA expression levels, and up-regulation of the tissue inhibitor of metalloproteinase-1 (TIMP1) gene levels occurred in GA-treated PC-3 cells after 24 h treatment. Based on these observations, we suggest that GA might modulate through blocking the p38, JNK, PKC and PI3K/AKT signaling pathways and reducing the NF-κB protein level, resulting in the inhibition of MMP-2 and -9 of PC-3 human prostate cancer cells.	Oncology reports	2011	Journal Article;Research Support, Non-U.S. Gov't	true	true	true	true	false	14	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt
92	son	SON	human	PC	10789082	2	species_restricted	[Congenital pachyonychia type II (Jackson-Lawler syndrome)].	Pachyonychia congenita (PC) is a rare ectodermal dysplasia with variable expression. The condition is usually inherited as an autosomal dominant trait. Several classifications of PC have been proposed. Feinstein and colleagues suggested four clinical types of PC. Type II, the Jackson-Lawler-Syndrome, is characterized by multiple epidermal cysts, palmoplantar bullae and hyperhidrosis as well as natal teeth in addition to the main findings of pachyonychia, palmoplantar hyperkeratosis and follicular keratosis. We report two patients (father and son) with Jackson-Lawler-Syndrome and describe in detail pathogenesis, diagnostic criteria and treatment approaches as well as the different classifications of pachyonychia congenita.	Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete	2000	Case Reports;Comparative Study;English Abstract;Journal Article	true	true	true	false	false	11	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt
