species	tf_symbol	target_symbol	external_record_keys	decision	module_assignment	evidence_status	support_kind	effect_polarity	primary_pmids	corroborating_pmids	shared_paper_status	cross_module_status	cell_type_context	stimulus_context	limitations	notes
human	NR1H4	ABCB11	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005059	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	11387316		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=11387316; direct_evidence_pmids=11387316; source_lead_pmids=11387316.
mouse	Nfe2l2	Nqo1	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:003239	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	16785233	18474683	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=16785233;18474683;19474220;21097520;25107906; direct_evidence_pmids=16785233;18474683;19474220;21097520;25107906; source_lead_pmids=16785233;18474683;19474220;21097520;25107906.
human	SREBF1	FAS	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007734	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	12531699		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=12531699; direct_evidence_pmids=12531699; source_lead_pmids=12531699;20173757;9300785.
human	PPARG	PTEN	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005760	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	11378386	20198337	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=11378386;20198337; direct_evidence_pmids=11378386;20198337; source_lead_pmids=11378386;16425225;16775433;20198337.
mouse	Foxo1	G6pc	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:001486	database_only_unverified	22B	database_curated_unverified	database_assertion	unknown			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=12556524;18847435;20421289;20655898.
human	PPARA	CD36	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005662	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	20110263		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=20110263; direct_evidence_pmids=20110263; source_lead_pmids=16713233;20110263.
human	ATF4	ATF3	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000317	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	16246168	21801305	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=16246168;21801305; direct_evidence_pmids=16246168;21801305; source_lead_pmids=16246168;21801305.
human	EPAS1	VEGFA	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001662	database_only_unverified	22B	database_curated_unverified	database_assertion	positive			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=11301389;11751212;16900513;19080330.
human	FOXO3	FASLG	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002290	database_only_unverified	22B	database_curated_unverified	database_assertion	positive			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=11756562.
human	SRF	FOS	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007781	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	unknown	2200737	2493627	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=2200737;2493627;11846562; direct_evidence_pmids=2200737;2493627;11846562; source_lead_pmids=11846562;2200737;2493627.
human	HSF1	HSPA1A	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003161	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	unknown	20692357	23874968	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=20692357;23874968; direct_evidence_pmids=20692357;23874968; source_lead_pmids=17897941;20692357;23212905;23874968.
human	NR5A1	STAR	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005233	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	23530236		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=23530236; direct_evidence_pmids=23530236; source_lead_pmids=10919277;11111087;15129808;16439455;23530236.
human	SREBF2	LDLR	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007764	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	16697011	17448444	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=16697011;17448444;21123766;22153697; direct_evidence_pmids=16697011;17448444;21123766;22153697; source_lead_pmids=16697011;17448444;21123766;22153697.
human	WT1	IGF2	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009052	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	negative	7535092		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=7535092; direct_evidence_pmids=7535092; source_lead_pmids=1323141;7535092;8634146.
human	IRF3	CXCL10	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003321	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	18691624	24257594	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=18691624;24257594; direct_evidence_pmids=18691624;24257594; source_lead_pmids=18691624;24257594.
