review_priority_rank	review_priority_score	ligand_label	receptor_label	route_record_count	unique_evidence_id_count	output_annotated_route_count	tf_annotated_route_count	intracellular_annotated_route_count	missing_intracellular_count	missing_tf_count	route_tiers	selection_note
1	1990	CNTF	CNTFR-alpha-gp130-LIFR receptor complex	106	106	103	102	0	106	4	ligand_receptor_entry_only:2;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1;ligand_receptor_tf_annotation_missing_intracellular_and_output:1;ligand_receptor_tf_output_missing_target_gene:9;ligand_receptor_tf_target_missing_intracellular:92	Workflow prioritization only; mSCS determines route plausibility and confidence.
2	1927	IL2Rbeta:IL2RG receptor complex	STAT5	116	41	115	1	111	5	115	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:111;ligand_receptor_output_missing_intracellular_and_tf:3;ligand_receptor_tf_output_missing_target_gene:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
3	1434	IL21	IL21R:IL2RG receptor complex	88	41	83	28	28	60	60	ligand_receptor_entry_only:2;ligand_receptor_intracellular_output_missing_tf:28;ligand_receptor_output_missing_intracellular_and_tf:30;ligand_receptor_tf_annotation_missing_intracellular_and_output:3;ligand_receptor_tf_output_annotation_missing_intracellular:3;ligand_receptor_tf_target_missing_intracellular:22	Workflow prioritization only; mSCS determines route plausibility and confidence.
4	1309	IL4	IL4RA:IL2RG receptor complex	82	28	79	7	48	34	75	ligand_receptor_entry_only:2;ligand_receptor_intracellular_output_missing_tf:48;ligand_receptor_output_missing_intracellular_and_tf:25;ligand_receptor_tf_annotation_missing_intracellular_and_output:1;ligand_receptor_tf_output_annotation_missing_intracellular:2;ligand_receptor_tf_target_missing_intracellular:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
5	1138	Norepinephrine/noradrenaline	ADRB2/beta2 adrenergic receptor	71	14	70	0	60	11	71	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:60;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
6	1094	VIP/Vasoactive intestinal peptide	VIPR1/VPAC1	72	18	71	0	27	45	72	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:27;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:43	Workflow prioritization only; mSCS determines route plausibility and confidence.
7	968	TGFA/TGF-alpha	EGFR receptor	66	22	54	0	24	42	66	ligand_receptor_entry_only:2;ligand_receptor_intracellular_claim_unresolved:10;ligand_receptor_intracellular_output_missing_tf:14;ligand_receptor_output_annotation_missing_intracellular_and_tf:7;ligand_receptor_output_missing_intracellular_and_tf:33	Workflow prioritization only; mSCS determines route plausibility and confidence.
8	866	VIP/Vasoactive intestinal peptide	VIPR2/VPAC2	58	16	57	0	13	45	58	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:13;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:43	Workflow prioritization only; mSCS determines route plausibility and confidence.
9	836	TNF	TNFR2 receptor complex	53	19	51	0	32	21	53	ligand_receptor_entry_only:2;ligand_receptor_intracellular_output_missing_tf:32;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:17	Workflow prioritization only; mSCS determines route plausibility and confidence.
10	760	PGE2/prostaglandin E2	PTGER4/EP4 prostaglandin E receptor	47	21	46	0	32	15	47	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:32;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:13	Workflow prioritization only; mSCS determines route plausibility and confidence.
