"extraction_id"	"module"	"b_evidence_id"	"canonical_paper_key"	"source_locator"	"resolved_pmid"	"resolved_pmcid"	"resolved_doi"	"resolution_status"	"resolution_basis"	"authoritative_source"	"source_metadata_title"	"source_metadata_authors"	"source_metadata_year"	"source_metadata_journal"	"source_metadata_abstract"	"source_metadata_url"
"M20B-P2-NORM-M20B-EVID-005309-P2-RELAY"	"20B"	"M20B-EVID-005309-P2-RELAY"	"PMID:7781605; PMID:8943308"	"PMID:7781605; PMID:8943308; https://pubmed.ncbi.nlm.nih.gov/7781605/"	"7781605"	"PMC398366"	"10.1002/j.1460-2075.1995.tb07250.x"	"resolved_authoritative_source_locator_ncbi"	"one exact stable PMID identifier in source_locator mapped uniquely to a titled PubMed record through NCBI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi"	"Interleukin 2 and erythropoietin activate STAT5/MGF via distinct pathways."	"Wakao H; Harada N; Kitamura T; Mui AL; Miyajima A"	"1995"	"The EMBO journal"	""	"https://pubmed.ncbi.nlm.nih.gov/7781605/"
"M20B-P2-NORM-M20B-EVID-005316-P2-FUNC"	"20B"	"M20B-EVID-005316-P2-FUNC"	"PMCID:PMC1564187; PMCID:PMC1564187"	"PMCID:PMC1564187; https://pmc.ncbi.nlm.nih.gov/articles/PMC1564187/"	"16616457"	"PMC1564187"	"10.1016/j.cellsig.2006.02.011"	"resolved_authoritative_source_locator_ncbi"	"one exact stable PMCID identifier in source_locator mapped uniquely to a titled PubMed record through NCBI"	"https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/;https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi"	"FSH signaling pathways in immature granulosa cells that regulate target gene expression: branching out from protein kinase A."	"Hunzicker-Dunn M; Maizels ET"	"2006"	"Cellular signalling"	""	"https://pubmed.ncbi.nlm.nih.gov/16616457/"
"M20B-P2-NORM-M20B-EVID-005332-P2-RELAY"	"20B"	"M20B-EVID-005332-P2-RELAY"	"PMID:17328821; PMID:31419281"	"PMID:17328821; PMID:31419281; https://pubmed.ncbi.nlm.nih.gov/17328821/"	"17328821"	"PMC1820596"	"10.1186/1471-2121-8-9"	"resolved_authoritative_source_locator_ncbi"	"one exact stable PMID identifier in source_locator mapped uniquely to a titled PubMed record through NCBI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi"	"Degradation of the LDL receptors by PCSK9 is not mediated by a secreted protein acted upon by PCSK9 extracellularly."	"Holla ØL; Cameron J; Berge KE; Ranheim T; Leren TP"	"2007"	"BMC cell biology"	""	"https://pubmed.ncbi.nlm.nih.gov/17328821/"
"M20B-P2-NORM-M20B-EVID-005336-P2-RELAY"	"20B"	"M20B-EVID-005336-P2-RELAY"	"PMID:14577849; PMID:27561318"	"PMID:14577849; PMID:27561318; PMCID:PMC5054700; https://pubmed.ncbi.nlm.nih.gov/14577849/"	"14577849"	""	"10.1179/096805103225002584"	"resolved_authoritative_source_locator_ncbi"	"one exact stable PMID identifier in source_locator mapped uniquely to a titled PubMed record through NCBI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi"	"Activated protein C signals through the thrombin receptor PAR1 in endothelial cells."	"Riewald M; Petrovan RJ; Donner A; Ruf W"	"2003"	"Journal of endotoxin research"	""	"https://pubmed.ncbi.nlm.nih.gov/14577849/"
"M20B-P2-NORM-M20B-EVID-005337-P2-FUNC"	"20B"	"M20B-EVID-005337-P2-FUNC"	"PMID:12683950; PMID:35700057"	"PMID:12683950; PMID:35700057; https://pubmed.ncbi.nlm.nih.gov/12683950/"	"12683950"	"PMC1223481"	"10.1042/bj20030341"	"resolved_authoritative_source_locator_ncbi"	"one exact stable PMID identifier in source_locator mapped uniquely to a titled PubMed record through NCBI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi"	"Inhibition of staurosporine-induced apoptosis of endothelial cells by activated protein C requires protease-activated receptor-1 and endothelial cell protein C receptor."	"Mosnier LO; Griffin JH"	"2003"	"The Biochemical journal"	""	"https://pubmed.ncbi.nlm.nih.gov/12683950/"
"M20B-P2-NORM-M20B-EVID-005347-P2-FUNC"	"20B"	"M20B-EVID-005347-P2-FUNC"	"PMID:31242633; PMID:32824848"	"PMID:31242633; PMID:32824848; https://pubmed.ncbi.nlm.nih.gov/32824848/"	"31242633"	"PMC6628122"	"10.3390/cells8060635"	"resolved_authoritative_source_locator_ncbi"	"one exact stable PMID identifier in source_locator mapped uniquely to a titled PubMed record through NCBI; NCBI identifies source PMID:32824848 as an erratum for PMID:31242633; the original article is used for the evidence record"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi"	"Activation of Slit2/Robo1 Signaling Promotes Tumor Metastasis in Colorectal Carcinoma through Activation of the TGF-β/Smads Pathway."	"Yao Y; Zhou Z; Li L; Li J; Huang L; Li J; Qi C; Zheng L; Wang L; Zhang QQ"	"2019"	"Cells"	""	"https://pubmed.ncbi.nlm.nih.gov/31242633/"
"M20B-P2-NORM-M20B-EVID-005355-P2-FUNC"	"20B"	"M20B-EVID-005355-P2-FUNC"	"PMID:12368913; PMID:24312319"	"PMID:12368913; PMID:24312319; https://pubmed.ncbi.nlm.nih.gov/12368913/"	"12368913"	""	"10.1038/ng1003"	"resolved_authoritative_source_locator_ncbi"	"one exact stable PMID identifier in source_locator mapped uniquely to a titled PubMed record through NCBI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi"	"Requirement of Bmpr1a for Müllerian duct regression during male sexual development."	"Jamin SP; Arango NA; Mishina Y; Hanks MC; Behringer RR"	"2002"	"Nature genetics"	""	"https://pubmed.ncbi.nlm.nih.gov/12368913/"
"M20B-P2-R-004866-FT-FUNC"	"20B"	"M20B-EVID-004866-P2-FUNC-FT"	"PMID:15297673; DOI:10.1126/science.1097545; PMID:19805522; PMCID:PMC2786695; DOI:10.1128/MCB.00103-09"	"PMID:15297673; DOI:10.1126/science.1097545; PMID:19805522; PMCID:PMC2786695; DOI:10.1128/MCB.00103-09; https://pmc.ncbi.nlm.nih.gov/articles/PMC2786695/"	"19805522"	"PMC2786695"	"10.1128/mcb.00103-09"	"resolved_authoritative_source_locator_ncbi"	"one exact stable PMCID identifier in source_locator mapped uniquely to a titled PubMed record through NCBI"	"https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/;https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi"	"Semaphorin 4D signaling requires the recruitment of phospholipase C gamma into the plexin-B1 receptor complex."	"Swiercz JM; Worzfeld T; Offermanns S"	"2009"	"Molecular and cellular biology"	""	"https://pubmed.ncbi.nlm.nih.gov/19805522/"
"M23B-P2-R-000174"	"23B"	"M23B-EVID-000202"	"PMCID:PMC3323978; PMID:22411794; PMID:11075810"	"PMCID:PMC3323978; PMID:22411794; DOI:10.1073/pnas.1112129109; PMID:11075810; DOI:10.1210/me.14.11.0553; local PubMed XML=data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B032_pmids.xml; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B032_pmc3323978_full.xml; stable source=https://pmc.ncbi.nlm.nih.gov/articles/PMC3323978/"	"22411794"	"PMC3323978"	"10.1073/pnas.1112129109"	"resolved_authoritative_source_locator_ncbi"	"one exact stable PMCID identifier in source_locator mapped uniquely to a titled PubMed record through NCBI"	"https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/;https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi"	"Hypoxia promotes ligand-independent EGF receptor signaling via hypoxia-inducible factor-mediated upregulation of caveolin-1."	"Wang Y; Roche O; Xu C; Moriyama EH; Heir P; Chung J; Roos FC; Chen Y; Finak G; Milosevic M; Wilson BC; Teh BT; Park M; Irwin MS; Ohh M"	"2012"	"Proceedings of the National Academy of Sciences of the United States of America"	""	"https://pubmed.ncbi.nlm.nih.gov/22411794/"
"M23B-P2-R-C23B273-000004"	"23B"	"M23B-EVID-000484"	"PMCID:PMC8794882; DOI:10.1016/j.cell.2021.11.006"	"PMCID:PMC8794882; DOI:10.1016/j.cell.2021.11.006; https://pmc.ncbi.nlm.nih.gov/articles/PMC8794882/; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B093_PMC8794882_ncbi.xml"	"35074920"	"PMC8794882"	"10.1073/pnas.2100679119"	"resolved_authoritative_source_locator_ncbi"	"one exact stable PMCID identifier in source_locator mapped uniquely to a titled PubMed record through NCBI"	"https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/;https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi"	"Mechanical disruption of E-cadherin complexes with epidermal growth factor receptor actuates growth factor-dependent signaling."	"Sullivan B; Light T; Vu V; Kapustka A; Hristova K; Leckband D"	"2022"	"Proceedings of the National Academy of Sciences of the United States of America"	""	"https://pubmed.ncbi.nlm.nih.gov/35074920/"
