expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	output_node_id	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	primary_locator	citation_note	evidence_summary	route_linkage_status	causal_status	traversal_status	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	curation_status	limitations	route_evidence_id
M21B-LITEXP-0695	M21B-DOWNSTREAM:00583	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout	transcription_factor|target_gene_expression	source_supported	NODE00057	[D-Ala2,D-Leu5]-enkephalin (DADLE)	M21B-E001371	NODE08560	OPRD1/DOR delta-opioid receptor	M21B-E001883	NODE04268	GNAI								DADLE-OPRD1-GNAI cAMP-inhibition output	DADLE-OPRD1-Gi-second-messenger	primary_literature_route_expansion	composite_primary_receptor_gprotein_route_output	M21B-E001371;M21B-EVID-001314;M21B-DOWNSTREAM-EVID:001014;M21B-E001883;M21B-EVID-001826;PMID:7808419	M21B-DOWNSTREAM-EVID:001014	PMID:7808419	Primary DADLE/delta-opioid receptor cAMP-inhibition study; existing OPRD1-GNAI continuation evidence	Primary evidence supports DADLE binding and activation of cloned human OPRD1/DOR with inhibition of forskolin-stimulated cAMP; the existing validated OPRD1-GNAI edge supplies a bounded intracellular continuation without asserting a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	second_messenger_readout	human	COS cells expressing cloned human OPRD1/DOR; delta-opioid agonist binding and forskolin-stimulated cAMP inhibition	Extracellular DADLE engagement of OPRD1/DOR with bounded GNAI continuation and cAMP output	No SCI transfer inferred; recombinant receptor context only	Primary evidence supports defined DADLE-OPRD1 pharmacology; the existing receptor-GNAI edge supplies a bounded continuation without asserting a TF.	DADLE binding/pharmacology and forskolin-stimulated cAMP assays	activating	composite_primary_evidence	curated_primary_route	Preserve the defined DADLE ligand form and cloned human DOR context; native opioid-subtype selectivity and SCI outcomes are not inferred.	LITEXP:000695
M21B-LITEXP-0696	M21B-DOWNSTREAM:00584	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout	transcription_factor|target_gene_expression	source_supported	NODE03000	Dynorphin A	M21B-E001372	NODE08561	OPRK1/KOR kappa-opioid receptor	M21B-E001884	NODE04268	GNAI								Dynorphin A-OPRK1-GNAI adenylyl-cyclase and calcium-channel output	DynorphinA-OPRK1-Gi-second-messenger	primary_literature_route_expansion	composite_primary_receptor_gprotein_route_output	M21B-E001372;M21B-EVID-001315;M21B-DOWNSTREAM-EVID:001015;M21B-E001884;M21B-EVID-001827;PMID:8170987	M21B-DOWNSTREAM-EVID:001015	PMID:8170987	Primary dynorphin-kappa-opioid receptor adenylyl-cyclase and calcium-channel study; existing OPRK1-GNAI continuation evidence	Primary evidence supports Dynorphin A binding and activation of cloned guinea-pig OPRK1/KOR with adenylyl-cyclase inhibition and calcium-channel modulation; the existing validated OPRK1-GNAI edge supplies a bounded intracellular continuation without asserting a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	second_messenger_readout	guinea pig	COS-7 cells expressing cloned guinea-pig OPRK1/KOR; dynorphin binding, G-protein coupling, adenylyl-cyclase inhibition and calcium-channel modulation	Extracellular Dynorphin A engagement of OPRK1/KOR with bounded GNAI continuation and second-messenger output	No SCI transfer inferred; recombinant receptor context only	Primary evidence supports Dynorphin A-OPRK1 pharmacology; the existing receptor-GNAI edge supplies a bounded continuation without asserting a TF.	Dynorphin binding, G-protein coupling, adenylyl-cyclase and calcium-channel assays	activating	composite_primary_evidence	curated_primary_route	Preserve Dynorphin A peptide and guinea-pig KOR recombinant context; receptor-subtype and native neural/SCI coupling are not generalized.	LITEXP:000696
M21B-LITEXP-0697	M21B-DOWNSTREAM:00648	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout	transcription_factor|target_gene_expression	source_supported	NODE10769	Sulfated CCK-8/CCK-58	M21B-E001475	NODE01623	CCKBR/CCK2 receptor	M21B-E002056	NODE04282	GNAQ/GNA11								Sulfated CCK-8-CCKBR-GNAQ/GNA11 phosphoinositide and calcium output	CCK8-CCKBR-Gq-PLC-calcium	primary_literature_route_expansion	composite_primary_receptor_gprotein_route_output	M21B-E001475;M21B-EVID-001418;M21B-DOWNSTREAM-EVID:001099;M21B-E002056;M21B-EVID-001999;PMID:7681836	M21B-DOWNSTREAM-EVID:001099	PMID:7681836	Primary cloned human CCK2 receptor phosphoinositide and calcium study; existing CCKBR-GNAQ/GNA11 continuation evidence	Primary evidence supports sulfated CCK-8 binding and activation of cloned human CCKBR/CCK2 with phosphoinositide hydrolysis and intracellular calcium mobilization; the existing validated CCKBR-GNAQ/GNA11 edge supplies a bounded intracellular continuation without asserting a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	second_messenger_readout	human	COS-7 cells expressing cloned human CCK-B/CCK2 receptor; CCK-8 binding, phosphatidylinositol hydrolysis and intracellular calcium assays	Extracellular sulfated CCK-8 engagement of CCKBR/CCK2 with bounded GNAQ/GNA11 continuation and PLC-calcium output	No SCI transfer inferred; cloned receptor pharmacology context only	Primary evidence supports CCK-8-CCKBR activation and PLC-calcium output; the existing receptor-GNAQ/GNA11 edge supplies a bounded continuation without asserting a TF.	CCK-8 binding/pharmacology, phosphoinositide hydrolysis and intracellular calcium assays	activating	composite_primary_evidence	curated_primary_route	Preserve CCK2 versus CCK1 selectivity and sulfated/nonsulfated peptide boundaries; gastrin equivalence, SCI effects and terminal-TF effects are not inferred.	LITEXP:000697
M21B-LITEXP-0698	M21B-DOWNSTREAM:00668	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout	transcription_factor|target_gene_expression	source_supported	NODE04512	GRP	M21B-E001509	NODE04513	GRPR	M21B-E003372	NODE04282	GNAQ/GNA11								GRP-GRPR-GNAQ/GNA11 calcium and phosphoinositide output	GRP-GRPR-Gq-PLC-calcium	primary_literature_route_expansion	composite_primary_receptor_gprotein_route_output	M21B-E001509;M21B-EVID-001452;M21B-DOWNSTREAM-EVID:001126;M21B-E003372;M21B-EVID-003315;PMID:7723750	M21B-DOWNSTREAM-EVID:001126	PMID:7723750	Primary GRP-GRPR calcium and phosphoinositide study; existing GRPR-GNAQ/GNA11 continuation evidence	Primary evidence supports mature GRP activation of GRPR with calcium mobilization, phosphoinositide signaling and DNA-synthesis responses; the existing validated GRPR-GNAQ/GNA11 edge supplies a bounded intracellular continuation without asserting a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	second_messenger_readout	as stated in primary model/assay	GRPR-expressing cells stimulated with mature GRP; calcium mobilization, phosphoinositide and DNA-synthesis assays	Extracellular GRP engagement of GRPR with bounded GNAQ/GNA11 continuation and calcium/phosphoinositide output	No SCI transfer inferred; receptor-expression and neuroendocrine comparator context only	Primary evidence supports GRP-GRPR activation and calcium/phosphoinositide output; the existing receptor-GNAQ/GNA11 edge supplies a bounded continuation without asserting a TF.	GRP stimulation, calcium mobilization, phosphoinositide and DNA-synthesis assays	activating	composite_primary_evidence	curated_primary_route	Preserve mature GRP and GRPR context; distinguish GRP from bombesin analogues and do not infer terminal transcriptional or SCI effects.	LITEXP:000698
M21B-LITEXP-0699	M21B-DOWNSTREAM:00919	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout	transcription_factor|target_gene_expression	source_supported	NODE03422	Extracellular ubiquitin/eUb	M21B-E002370	NODE02704	CXCR4	M21B-E003369	NODE04271	GNAI/O/Z								Extracellular ubiquitin-CXCR4-GNAI/O/Z calcium, cAMP and chemotaxis output	ExtracellularUbiquitin-CXCR4-Gi-chemotaxis	primary_literature_route_expansion	composite_primary_receptor_gprotein_route_output	M21B-E002370;M21B-EVID-002313;M21B-DOWNSTREAM-EVID:001510;M21B-E003369;M21B-EVID-003312;PMID:20228059;PMCID:PMC2865327;PMID:28455789	M21B-DOWNSTREAM-EVID:001510	PMID:20228059; PMCID:PMC2865327; PMID:28455789	Primary extracellular-ubiquitin CXCR4 calcium/cAMP and chemotaxis studies; existing CXCR4-GNAI/O/Z continuation evidence	Primary evidence supports extracellular/free ubiquitin as a noncognate CXCR4 ligand with saturable binding, receptor-dependent calcium flux, cAMP reduction and AMD3100-sensitive chemotaxis; the existing validated CXCR4-GNAI/O/Z edge supplies a bounded intracellular continuation without asserting a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	second_messenger_readout	human	Human THP-1/monocytic cells and HEK293 CXCR4-expression systems; binding, gene-silencing/overexpression, calcium/cAMP, AMD3100 blockade and chemotaxis assays	Extracellular/free ubiquitin engagement of CXCR4 with bounded GNAI/O/Z continuation and calcium/cAMP output	No SCI receiver or terminal-TF effect inferred; primary immune-cell context only	Primary evidence supports noncognate extracellular-ubiquitin CXCR4 signaling; the existing receptor-GNAI/O/Z edge supplies a bounded continuation without conflating eUb with intracellular ubiquitin or CXCL12.	Saturation/competition binding, CXCR4 silencing and overexpression, calcium/cAMP, AMD3100 blockade and chemotaxis assays	activating	composite_primary_evidence	curated_primary_route	Preserve extracellular/free ubiquitin as a noncognate CXCR4 ligand distinct from intracellular ubiquitin and CXCL12; binding and chemotaxis are context dependent, with no SCI or terminal-TF inference.	LITEXP:000699
M21B-LITEXP-0700	M21B-DOWNSTREAM:01355	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout	transcription_factor|target_gene_expression	source_supported	NODE06169	Kynurenic acid/KYNA	M21B-E003917	NODE04394	GPR35	M21B-E003304	NODE04271	GNAI/O/Z								KYNA-GPR35-GNAI/O/Z cAMP and receptor-internalization output	KYNA-GPR35-Gi-second-messenger	primary_literature_route_expansion	composite_primary_receptor_gprotein_route_output	M21B-E003917;M21B-EVID-003860;M21B-DOWNSTREAM-EVID:002182;M21B-E003304;M21B-EVID-003247;PMID:16754668;DOI:10.1074/jbc.M603503200	M21B-DOWNSTREAM-EVID:002182	PMID:16754668; DOI:10.1074/jbc.M603503200	Primary KYNA-GPR35 calcium/inositol-phosphate, cAMP and internalization study; existing GPR35-GNAI/O/Z continuation evidence	Primary evidence supports kynurenic acid activation of human, rat and mouse GPR35 in calcium, inositol-phosphate and pertussis-toxin-sensitive GTPgammaS assays, with cAMP inhibition and receptor internalization; the existing validated GPR35-GNAI/O/Z edge supplies a bounded intracellular continuation without asserting a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	second_messenger_readout	human; rat; mouse	Human, rat and mouse GPR35 expression systems with KYNA dose-response, calcium/inositol-phosphate, pertussis-toxin-sensitive GTPgammaS, cAMP and receptor-internalization assays	Extracellular KYNA engagement of GPR35 with bounded GNAI/O/Z continuation and second-messenger/internalization output	No SCI transfer inferred; species-dependent receptor pharmacology context only	Primary evidence supports KYNA-GPR35 activation; the existing receptor-GNAI/O/Z edge supplies a bounded continuation while preserving species-dependent potency and human-efficacy controversy.	KYNA concentration-response, calcium/inositol-phosphate, pertussis-toxin-sensitive GTPgammaS, cAMP and receptor-internalization assays	activating	composite_primary_evidence	curated_primary_route	Preserve KYNA metabolite identity, species-dependent potency and the controversy over human GPR35 efficacy; this is not a claim that KYNA is the sole physiological GPR35 agonist or that a terminal TF is established.	LITEXP:000700
M21B-LITEXP-0701	M21B-DOWNSTREAM:01667	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE09316	PROK1/prokineticin 1/EG-VEGF	M21B-E005599	NODE09323	PROKR1/PKR1	M21B-E003339	NODE04282	GNAQ/GNA11								PROK1-PROKR1-GNAQ/GNA11 MAPK and endothelial DNA-synthesis output	PROK1-PROKR1-Gq-MAPK	primary_literature_route_expansion	composite_primary_receptor_gprotein_route_output	M21B-E005599;M21B-EVID-005542;M21B-DOWNSTREAM-EVID:002624;M21B-E003339;M21B-EVID-003282;PMID:12054613	M21B-DOWNSTREAM-EVID:002624	PMID:12054613	Primary prokineticin-1/PKR1 calcium, MAPK and endothelial-response study; existing PROKR1-GNAQ/GNA11 continuation evidence	Primary evidence supports PROK1/EG-VEGF binding and activation of PROKR1/PKR1 in receptor-expressing CHO cells with nanomolar calcium responses, together with endothelial MAPK phosphorylation and DNA-synthesis responses; the existing validated PROKR1-GNAQ/GNA11 edge supplies a bounded intracellular continuation without asserting a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	as stated in primary model/assay	CHO cells expressing PROKR1/PKR1 and bovine adrenal capillary endothelial cells; ligand binding, calcium, p44/42 MAPK phosphorylation and DNA-synthesis assays	Extracellular PROK1 engagement of PROKR1/PKR1 with bounded GNAQ/GNA11 continuation and MAPK/endothelial output	No SCI transfer inferred; endothelial comparator context only	Primary evidence supports PROK1-PROKR1 pharmacology and endothelial MAPK output; the existing receptor-GNAQ/GNA11 edge supplies a bounded continuation without asserting a TF.	PROK1 binding, calcium, p44/42 MAPK phosphorylation and endothelial DNA-synthesis assays	activating	composite_primary_evidence	curated_primary_route	Preserve PROK1 peptide form and receptor-selectivity context; no SCI, universal receptor weighting or terminal-TF inference is made.	LITEXP:000701
M21B-LITEXP-0702	M21B-DOWNSTREAM:01668	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout	transcription_factor|target_gene_expression	source_supported	NODE09316	PROK1/prokineticin 1/EG-VEGF	M21B-E005600	NODE09325	PROKR2/PKR2	M21B-E003341	NODE04282	GNAQ/GNA11								PROK1-PROKR2-GNAQ/GNA11 calcium and endothelial-response output	PROK1-PROKR2-Gq-calcium	primary_literature_route_expansion	composite_primary_receptor_gprotein_route_output	M21B-E005600;M21B-EVID-005543;M21B-DOWNSTREAM-EVID:002626;M21B-E003341;M21B-EVID-003284;PMID:12054613	M21B-DOWNSTREAM-EVID:002626	PMID:12054613	Primary prokineticin-1/PKR2 calcium and endothelial-response study; existing PROKR2-GNAQ/GNA11 continuation evidence	Primary evidence supports PROK1/EG-VEGF binding and activation of PROKR2/PKR2 in receptor-expressing CHO cells with nanomolar calcium responses and bounded endothelial responses; the existing validated PROKR2-GNAQ/GNA11 edge supplies a bounded intracellular continuation without asserting a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	second_messenger_readout	as stated in primary model/assay	CHO cells expressing PROKR2/PKR2 and bovine adrenal capillary endothelial cells; ligand binding, calcium, MAPK and DNA-synthesis assays	Extracellular PROK1 engagement of PROKR2/PKR2 with bounded GNAQ/GNA11 continuation and calcium/endothelial output	No SCI transfer inferred; endothelial comparator context only	Primary evidence supports PROK1-PROKR2 pharmacology and calcium output; the existing receptor-GNAQ/GNA11 edge supplies a bounded continuation without asserting a TF.	PROK1 binding, calcium, MAPK and endothelial DNA-synthesis assays	activating	composite_primary_evidence	curated_primary_route	Preserve PROK1 peptide form and receptor-selectivity differences; no SCI, exclusive receptor assignment or terminal-TF inference is made.	LITEXP:000702
M21B-LITEXP-0703	M21B-DOWNSTREAM:01669	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout	transcription_factor|target_gene_expression	source_supported	NODE09318	PROK2/prokineticin 2	M21B-E005601	NODE09323	PROKR1/PKR1	M21B-E003339	NODE04282	GNAQ/GNA11								PROK2-PROKR1-GNAQ/GNA11 calcium and endothelial-response output	PROK2-PROKR1-Gq-calcium	primary_literature_route_expansion	composite_primary_receptor_gprotein_route_output	M21B-E005601;M21B-EVID-005544;M21B-DOWNSTREAM-EVID:002627;M21B-E003339;M21B-EVID-003282;PMID:12054613	M21B-DOWNSTREAM-EVID:002627	PMID:12054613	Primary prokineticin-2/PKR1 calcium and receptor-selectivity study; existing PROKR1-GNAQ/GNA11 continuation evidence	Primary evidence supports PROK2 binding and activation of PROKR1/PKR1 in receptor-expressing CHO cells with nanomolar calcium responses and receptor-selective pharmacology; the existing validated PROKR1-GNAQ/GNA11 edge supplies a bounded intracellular continuation without asserting a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	second_messenger_readout	as stated in primary model/assay	CHO cells expressing PROKR1/PKR1 and bovine adrenal capillary endothelial cells; ligand binding, calcium, MAPK and DNA-synthesis assays	Extracellular PROK2 engagement of PROKR1/PKR1 with bounded GNAQ/GNA11 continuation and calcium/endothelial output	No SCI transfer inferred; endothelial comparator context only	Primary evidence supports PROK2-PROKR1 pharmacology and calcium output; the existing receptor-GNAQ/GNA11 edge supplies a bounded continuation without asserting a TF.	PROK2 binding, calcium, MAPK and endothelial DNA-synthesis assays	activating	composite_primary_evidence	curated_primary_route	Preserve PROK2 peptide form and receptor-selectivity differences; no SCI, exclusive receptor assignment or terminal-TF inference is made.	LITEXP:000703
M21B-LITEXP-0704	M21B-DOWNSTREAM:01670	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout	transcription_factor|target_gene_expression	source_supported	NODE09318	PROK2/prokineticin 2	M21B-E005602	NODE09325	PROKR2/PKR2	M21B-E003341	NODE04282	GNAQ/GNA11								PROK2-PROKR2-GNAQ/GNA11 calcium and endothelial-response output	PROK2-PROKR2-Gq-calcium	primary_literature_route_expansion	composite_primary_receptor_gprotein_route_output	M21B-E005602;M21B-EVID-005545;M21B-DOWNSTREAM-EVID:002628;M21B-E003341;M21B-EVID-003284;PMID:12054613	M21B-DOWNSTREAM-EVID:002628	PMID:12054613	Primary prokineticin-2/PKR2 calcium and receptor-selectivity study; existing PROKR2-GNAQ/GNA11 continuation evidence	Primary evidence supports PROK2 binding and activation of PROKR2/PKR2 in receptor-expressing CHO cells with nanomolar calcium responses and receptor-selective pharmacology; the existing validated PROKR2-GNAQ/GNA11 edge supplies a bounded intracellular continuation without asserting a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	second_messenger_readout	as stated in primary model/assay	CHO cells expressing PROKR2/PKR2 and bovine adrenal capillary endothelial cells; ligand binding, calcium, MAPK and DNA-synthesis assays	Extracellular PROK2 engagement of PROKR2/PKR2 with bounded GNAQ/GNA11 continuation and calcium/endothelial output	No SCI transfer inferred; endothelial comparator context only	Primary evidence supports PROK2-PROKR2 pharmacology and calcium output; the existing receptor-GNAQ/GNA11 edge supplies a bounded continuation without asserting a TF.	PROK2 binding, calcium, MAPK and endothelial DNA-synthesis assays	activating	composite_primary_evidence	curated_primary_route	Preserve PROK2 peptide form and receptor-selectivity differences; no SCI, exclusive receptor assignment or terminal-TF inference is made.	LITEXP:000704
