staging_evidence_id	module	b_evidence_id	b_edge_ids	source_a_evidence_id	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations	evidence_layer	exportable	promotion_specific	staging_status
24B-EVID-STAGE-00001	24B	M24B-EVID-000008	M24B-E000004	M24A-B001-EVID-008	primary_research_paper	PMID:15258577; DOI:10.1038/nm1082	primary_experiment	rat	pathway_membership	medium	Wang et al.; primary P2X7R SCI pharmacology	Sustained extracellular ATP and P2X7R antagonism were associated with calcium overload, neuronal death, histological injury, and functional deficits.	The study uses ATP exposure and pharmacologic antagonists rather than purified ATP-P2X7 binding; PPADS is not P2X7-specific and direct receptor selectivity is bounded.	receptor_proximal_or_pathway	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00002	24B	M24B-EVID-000047	M24B-E000004	M24A-B004-EVID-038	primary_research_paper	PMID:15258577; DOI:10.1038/nm1082; PMCID:PMC2718350; PMID:19666625	primary_experiment	rat; mouse	direct_edge	medium-high	Primary SCI purinergic pharmacology	The batch-004 queue target is supported by existing ATP/P2X7R evidence and edges.	Antagonists have selectivity limitations; BBG is not receptor-exclusive.	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00003	24B	M24B-EVID-PROMO-20260826-001	M24B-E000004	PROMO-24A-L02-M24A-E004	promotion_round_primary_corroboration	PMID:15258577; https://pubmed.ncbi.nlm.nih.gov/15258577/; PMID:19666625; https://pubmed.ncbi.nlm.nih.gov/19666625/; PMID:11549725; https://pubmed.ncbi.nlm.nih.gov/11549725/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 15258577; independent corroboration PMIDs 19666625;11549725	Rat impact SCI shows sustained extracellular ATP, ATP-evoked calcium injury, and OxATP or PPADS protection; independent SCI and spinal-slice studies support ATP-gated P2X7 pharmacology.	OxATP, PPADS, and BBG have selectivity limits; pharmacology does not establish purified binding or exclude contributions from other ATP receptors.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00004	24B	M24B-EVID-000018	M24B-E000018	M24A-B003-EVID-018	primary_research_paper	PMID:30622226; DOI:10.14348/molcells.2018.0028	primary_experiment	rat	pathway_membership	medium-high	Primary SCI purinergic pharmacology	ATP-evoked P2X4-associated calcium signaling was linked to neuropathic pain after contusion SCI.	The study uses P2X4 expression, pharmacologic perturbation, and ATP-evoked calcium assays rather than purified ATP-P2X4 binding; receptor selectivity remains bounded.	receptor_proximal_or_pathway	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00005	24B	M24B-EVID-PROMO-20260826-002	M24B-E000018	PROMO-24A-L02-M24A-E018	promotion_round_primary_corroboration	PMID:30622226; https://pubmed.ncbi.nlm.nih.gov/30622226/; PMID:35972649; https://pubmed.ncbi.nlm.nih.gov/35972649/; PMID:18240312; https://pubmed.ncbi.nlm.nih.gov/18240312/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 30622226; independent corroboration PMIDs 35972649;18240312	SCI ATP-evoked calcium and P2X4-associated pain signaling are supported by an independent SCI study showing excess ATP and P2X4 inhibition reduce neuropathic pain.	Evidence is pharmacologic rather than purified binding; P2X4 selectivity and ATP receptor-family contributions remain bounded.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00006	24B	M24B-EVID-000038	M24B-E000029	M24A-B004-EVID-029	primary_research_paper	PMID:30257241; DOI:10.1159/000493825	primary_experiment	rat	direct_edge	medium-high	Primary spinal ischemia-reperfusion receptor study	CXCL10/CXCR3 pharmacologic blockade altered sequential glial activation and inflammatory pain.	Ischemia-reperfusion rather than contusion; no purified binding.	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00007	24B	M24B-EVID-PROMO-20260826-003	M24B-E000029	PROMO-24A-L02-M24A-E029	promotion_round_primary_corroboration	PMID:30257241; https://pubmed.ncbi.nlm.nih.gov/30257241/; PMID:30448292; https://pubmed.ncbi.nlm.nih.gov/30448292/; PMID:32265928; https://pubmed.ncbi.nlm.nih.gov/32265928/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 30257241; independent corroboration PMIDs 30448292;32265928	Recombinant CXCL10 and CXCR3 antagonist AMD487 altered glial activation and inflammatory pain after spinal ischemia-reperfusion; independent CCI studies reproduce CXCL10-CXCR3 pharmacology with AMG487 or anti-CXCL10.	No purified binding; most SCI corroboration is ischemia-reperfusion or CCI rather than contusion; antagonist specificity remains a limitation.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00008	24B	M24B-EVID-000040	M24B-E000031	M24A-B004-EVID-031	primary_research_paper	PMID:41407981; DOI:10.1007/s12035-025-05477-1	primary_experiment	mouse	direct_edge	medium-high	Primary SCI scar relay study	CXCL3/CXCR2-associated signaling promoted macrophage-fibroblast crosstalk and fibrous scar formation.	No purified binding; inhibitor specificity and administration route limit causality.	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00009	24B	M24B-EVID-PROMO-20260826-004	M24B-E000031	PROMO-24A-L02-M24A-E031	promotion_round_primary_corroboration	PMID:41407981; https://pubmed.ncbi.nlm.nih.gov/41407981/; PMID:12230122; https://pubmed.ncbi.nlm.nih.gov/12230122/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 41407981; independent corroboration PMIDs 12230122	Mouse traumatic SCI CXCL3 administration and CXCR2 inhibition link the pair to macrophage-fibroblast scar signaling; independent CINC-3/CXCL3 receptor pharmacology shows CXCR2-dependent chemotaxis and calcium responses.	No purified binding; CXCR2 inhibitor specificity and administration route limit causal interpretation; scar output remains downstream of the receptor edge.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00010	24B	M24B-EVID-000055	M24B-E000038	M24A-B001-EVID-043	primary_research_paper	PMID:26634895; PMCID:PMC4753273; DOI:10.1113/JP271152	primary_experiment	mouse	direct_edge	medium-high	Primary spinal kinin study	Bradykinin disrupted spinal motor-network activity and induced microglial GDNF expression through B2R-associated signaling in an SCI-related model.	Neonatal and microglial model; not adult lesion-core vascular signaling; BDKRB1 was not established in this record.	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00011	24B	M24B-EVID-PROMO-20260826-005	M24B-E000038	PROMO-24A-L02-M24A-E038	promotion_round_primary_corroboration	PMID:26634895; https://pubmed.ncbi.nlm.nih.gov/26634895/; PMID:33621043; https://pubmed.ncbi.nlm.nih.gov/33621043/; PMID:18255230; https://pubmed.ncbi.nlm.nih.gov/18255230/; PMID:7508324; https://pubmed.ncbi.nlm.nih.gov/7508324/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 26634895; independent corroboration PMIDs 33621043;18255230;7508324	Neonatal mouse spinal preparation and microglia assays support bradykinin/B2R effects; independent rat spinal ischemia and spinal-slice antagonist studies support B2R-dependent bradykinin responses.	Primary spinal study is neonatal and not adult lesion-core tissue; receptor assignment is pharmacologic and no purified bradykinin-B2R binding or endogenous lesion release was shown.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00012	24B	M24B-EVID-000081	M24B-E000060	M24A-B001-EVID-066	primary_research_paper	PMID:18204471; PMCID:PMC2437904; DOI:10.1038/sj.bjp.0707692; PMID:22673622; PMCID:PMC3468347	primary_experiment	human comparator	direct_edge	medium	Primary P2Y14 pharmacology	UDP-N-acetylglucosamine activated P2Y14 and Rho-associated signaling in comparator systems.	No SCI release or lesion-context evidence.	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00013	24B	M24B-EVID-PROMO-20260826-006	M24B-E000060	PROMO-24A-L02-M24A-E060	promotion_round_primary_corroboration	PMID:18204471; https://pubmed.ncbi.nlm.nih.gov/18204471/; PMID:22673622; https://pubmed.ncbi.nlm.nih.gov/22673622/; PMID:17407275; https://pubmed.ncbi.nlm.nih.gov/17407275/; PMID:37955640; https://pubmed.ncbi.nlm.nih.gov/37955640/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 18204471; independent corroboration PMIDs 22673622;17407275;37955640	Recombinant P2Y14 and differentiated HL60 or neutrophil studies show UDP-N-acetylglucosamine activation of Gi/Rho and chemotaxis, with independent pharmacology and newer structure-function work reproducing receptor-specific activity.	High confidence is molecular only; no endogenous SCI release or lesion-context evidence; efficacy and partial agonism vary by cell state and assay.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
