review_id	pair_key	pair_label_canonical	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes	manual_reason
M20A-LIANA-REMAINING-0428	wnt3a fzd9_lrp5	Wnt3a Fzd9_lrp5	https://pubmed.ncbi.nlm.nih.gov/28733458/;https://europepmc.org/article/MED/28733458;https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt3a%22+%22fzd9%22+%22lrp5%22;https://europepmc.org/search?query=%22wnt3a%22%20%22fzd9%22%20%22lrp5%22	human cells	direct WNT-FZD functional mapping;composite co-receptor unresolved	Primary WNT3A-FZD mapping supports broad FZD signaling but does not separately establish the submitted FZD9-LRP5 composite.	LRP5 versus LRP6, FZD9 specificity, and full-length receptor scope remain unresolved; family/pathway evidence was not promoted.	PubMed and Europe PMC exact and expanded searches covered canonical names, aliases, processed WNT forms, FZD/Frizzled, LRP5/6, complexes, structures, binding, activation, adhesion, function, and species; exact composite uncertainty was retained. Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-LIANA-REMAINING-0429	wnt3a fzd9_lrp6	Wnt3a Fzd9_lrp6	https://pubmed.ncbi.nlm.nih.gov/28733458/;https://europepmc.org/article/MED/28733458;https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt3a%22+%22fzd9%22+%22lrp6%22;https://europepmc.org/search?query=%22wnt3a%22%20%22fzd9%22%20%22lrp6%22	human cells	direct WNT-FZD functional mapping;composite co-receptor unresolved	Primary WNT3A-FZD mapping supports broad FZD signaling but does not separately establish the submitted FZD9-LRP6 composite.	LRP5 versus LRP6, FZD9 specificity, and full-length receptor scope remain unresolved; family/pathway evidence was not promoted.	PubMed and Europe PMC exact and expanded searches covered canonical names, aliases, processed WNT forms, FZD/Frizzled, LRP5/6, complexes, structures, binding, activation, adhesion, function, and species; exact composite uncertainty was retained. Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-LIANA-REMAINING-0443	wnt4 fzd6_lrp5	Wnt4 Fzd6_lrp5	https://pubmed.ncbi.nlm.nih.gov/15265686/;https://europepmc.org/article/MED/15265686;https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt4%22+%22fzd6%22+%22lrp5%22;https://europepmc.org/search?query=%22wnt4%22%20%22fzd6%22%20%22lrp5%22	canine kidney cells	direct WNT-FZD6 biochemical complex;canonical signaling context	Primary kidney-cell work found WNT4 in a biochemical complex with FZD6 and canonical signaling, but did not identify LRP5.	LRP5 versus LRP6 and full-length receptor scope remain unresolved; related WNT/FZD/LRP evidence was not promoted.	PubMed and Europe PMC exact and expanded searches covered canonical names, aliases, processed WNT forms, FZD/Frizzled, LRP5/6, complexes, structures, binding, activation, adhesion, function, and species; exact composite uncertainty was retained. Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-LIANA-REMAINING-0444	wnt4 fzd6_lrp6	Wnt4 Fzd6_lrp6	https://pubmed.ncbi.nlm.nih.gov/15265686/;https://europepmc.org/article/MED/15265686;https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt4%22+%22fzd6%22+%22lrp6%22;https://europepmc.org/search?query=%22wnt4%22%20%22fzd6%22%20%22lrp6%22	canine kidney cells	direct WNT-FZD6 biochemical complex;canonical signaling context	Primary kidney-cell work found WNT4 in a biochemical complex with FZD6 and canonical signaling, but did not identify LRP6.	LRP5 versus LRP6 and full-length receptor scope remain unresolved; related WNT/FZD/LRP evidence was not promoted.	PubMed and Europe PMC exact and expanded searches covered canonical names, aliases, processed WNT forms, FZD/Frizzled, LRP5/6, complexes, structures, binding, activation, adhesion, function, and species; exact composite uncertainty was retained. Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-LIANA-REMAINING-0470	wnt6 fzd4_lrp5	Wnt6 Fzd4_lrp5	https://pubmed.ncbi.nlm.nih.gov/31618077/;https://europepmc.org/article/MED/31618077;https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt6%22+%22fzd4%22+%22lrp5%22;https://europepmc.org/search?query=%22wnt6%22%20%22fzd4%22%20%22lrp5%22	human;mouse	receptor-dependent function;composite co-receptor unresolved	Primary work establishes a WNT6-FZD4-beta-catenin pathway but does not resolve whether LRP5 is the operative composite subunit.	LRP5 versus LRP6 and full-length receptor scope remain unresolved; family/pathway evidence was not promoted.	PubMed and Europe PMC exact and expanded searches covered canonical names, aliases, processed WNT forms, FZD/Frizzled, LRP5/6, complexes, structures, binding, activation, adhesion, function, and species; exact composite uncertainty was retained. Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-LIANA-REMAINING-0471	wnt6 fzd4_lrp6	Wnt6 Fzd4_lrp6	https://pubmed.ncbi.nlm.nih.gov/31618077/;https://europepmc.org/article/MED/31618077;https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt6%22+%22fzd4%22+%22lrp6%22;https://europepmc.org/search?query=%22wnt6%22%20%22fzd4%22%20%22lrp6%22	human;mouse	receptor-dependent function;composite co-receptor unresolved	Primary work establishes a WNT6-FZD4-beta-catenin pathway but does not resolve whether LRP6 is the operative composite subunit.	LRP5 versus LRP6 and full-length receptor scope remain unresolved; family/pathway evidence was not promoted.	PubMed and Europe PMC exact and expanded searches covered canonical names, aliases, processed WNT forms, FZD/Frizzled, LRP5/6, complexes, structures, binding, activation, adhesion, function, and species; exact composite uncertainty was retained. Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-LIANA-REMAINING-0492	wnt7a fzd5_lrp5	Wnt7a Fzd5_lrp5	https://pubmed.ncbi.nlm.nih.gov/12857724/;https://europepmc.org/article/MED/12857724;https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt7a%22+%22fzd5%22+%22lrp5%22;https://europepmc.org/search?query=%22wnt7a%22%20%22fzd5%22%20%22lrp5%22	rat	direct WNT-FZD5 binding;composite co-receptor unresolved	Primary work supports WNT7A-FZD5 signaling through an FZD5-LRP6 context, but the submitted LRP5 version is not supported.	LRP5 versus LRP6 and full-length receptor scope remain unresolved; the directly supported paralog was not silently substituted.	PubMed and Europe PMC exact and expanded searches covered canonical names, aliases, processed WNT forms, FZD/Frizzled, LRP5/6, complexes, structures, binding, activation, adhesion, function, and species; exact composite uncertainty was retained. Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-LIANA-REMAINING-0503	wnt7b fzd10_lrp6	Wnt7b Fzd10_lrp6	https://pubmed.ncbi.nlm.nih.gov/15923619/;https://europepmc.org/article/MED/15923619;https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt7b%22+%22fzd10%22+%22lrp6%22;https://europepmc.org/search?query=%22wnt7b%22%20%22fzd10%22%20%22lrp6%22	mouse;human cell systems	direct WNT-FZD binding;composite co-receptor unresolved	Primary work supports WNT7B-FZD10 binding and canonical activity in an LRP5 context, while the submitted LRP6 composite was not directly tested.	LRP5 versus LRP6 and full-length receptor scope remain unresolved; exact composite uncertainty was retained.	PubMed and Europe PMC exact and expanded searches covered canonical names, aliases, processed WNT forms, FZD/Frizzled, LRP5/6, complexes, structures, binding, activation, adhesion, function, and species. Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-LIANA-REMAINING-0505	wnt7b fzd1_lrp6	Wnt7b Fzd1_lrp6	https://pubmed.ncbi.nlm.nih.gov/15923619/;https://europepmc.org/article/MED/15923619;https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt7b%22+%22fzd1%22+%22lrp6%22;https://europepmc.org/search?query=%22wnt7b%22%20%22fzd1%22%20%22lrp6%22	mouse;human cell systems	direct WNT-FZD binding;composite co-receptor unresolved	Primary work supports WNT7B-FZD1 binding and canonical activity in an LRP5 context, while the submitted LRP6 composite was not directly tested.	LRP5 versus LRP6 and full-length receptor scope remain unresolved; exact composite uncertainty was retained.	PubMed and Europe PMC exact and expanded searches covered canonical names, aliases, processed WNT forms, FZD/Frizzled, LRP5/6, complexes, structures, binding, activation, adhesion, function, and species. Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-LIANA-REMAINING-0580	wnt9a fzd9_lrp5	Wnt9a Fzd9_lrp5	https://pubmed.ncbi.nlm.nih.gov/31110287/;https://europepmc.org/article/MED/31110287;https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt9a%22+%22fzd9%22+%22lrp5%22;https://europepmc.org/search?query=%22wnt9a%22%20%22fzd9%22%20%22lrp5%22	human;zebrafish	genetic_functional_WNT-FZD;composite co-receptor unresolved	Primary developmental work finds WNT9A-FZD9b specificity and LRP6 dependence, providing orthologous support but not direct evidence for the submitted LRP5 composite.	LRP5 versus LRP6, species/ortholog, and full-length receptor scope remain unresolved.	PubMed and Europe PMC exact and expanded searches covered canonical names, aliases, processed WNT forms, FZD/Frizzled, LRP5/6, complexes, structures, binding, activation, adhesion, function, and species; orthologous evidence was not treated as exact mouse proof. Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
