promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13395	M21B-E009525	M21B-EVID-009471	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC9062236; PMCID:PMC12864101	Zhang et al., 2021; PMID:33548000	PMID:33548000; DOI:10.1007/s10735-020-09950-0	Exosomes with high level of miR-181c from bone marrow-derived mesenchymal stem cells inhibit inflammation and apoptosis to alleviate spinal cord injury	BMSC-exosomal miR-181c linked to PTEN suppression in microglia and spinal cord after SCI	PTEN is a candidate target; no unsupported transcript-to-protein kinetics or direct binding beyond primary target-validation context	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13396	M21B-E009526	M21B-EVID-009472	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC9062236; PMCID:PMC12864101	Zhang et al., 2021; PMID:33548000	PMID:33548000; DOI:10.1007/s10735-020-09950-0	Exosomes with high level of miR-181c from bone marrow-derived mesenchymal stem cells inhibit inflammation and apoptosis to alleviate spinal cord injury	miR-181c-enriched BMSC exosomes suppress NF-kappaB phosphorylation in LPS-induced microglia	Pathway readout only; no direct miR-181c-to-NF-kappaB binding or terminal-TF claim	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13397	M21B-E009527	M21B-EVID-009473	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC9062236; PMCID:PMC12864101	Zhang et al., 2021; PMID:33548000	PMID:33548000; DOI:10.1007/s10735-020-09950-0	Exosomes with high level of miR-181c from bone marrow-derived mesenchymal stem cells inhibit inflammation and apoptosis to alleviate spinal cord injury	Reduced pro-inflammatory cytokine production after BMSC-exosomal miR-181c treatment	No single cytokine receptor, TF or secretion step is inserted	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13398	M21B-E009528	M21B-EVID-009474	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC9062236; PMCID:PMC12864101	Zhang et al., 2021; PMID:33548000	PMID:33548000; DOI:10.1007/s10735-020-09950-0	Exosomes with high level of miR-181c from bone marrow-derived mesenchymal stem cells inhibit inflammation and apoptosis to alleviate spinal cord injury	Reduced apoptosis in spinal cord tissue after SCI	Organismal tissue output; no cell-type-specific apoptotic receiver or TF mechanism	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13399	M21B-E009529	M21B-EVID-009475	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC9062236; PMCID:PMC12864101	Zhang et al., 2021; PMID:33548000	PMID:33548000; DOI:10.1007/s10735-020-09950-0	Exosomes with high level of miR-181c from bone marrow-derived mesenchymal stem cells inhibit inflammation and apoptosis to alleviate spinal cord injury	Improved BBB functional recovery after BMSC-exosomal miR-181c treatment	Organismal rat outcome; no single microglial intracellular mechanism or terminal-TF chain	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13400	M21B-E009530	M21B-EVID-009476	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11438208; PMCID:PMC10866331	Wang et al., 2024; PMID:38351058	PMID:38351058; PMCID:PMC10866331; DOI:10.1523/ENEURO.0361-23.2023	Small Extracellular Vesicles Released from miR-211-5p-Overexpressed Bone Marrow Mesenchymal Stem Cells Ameliorate Spinal Cord Injuries in Rats	miR-211-5p-enriched BMSC small EVs suppress COX2 RNA in SCI rat spinal cord	COX2 transcript output; no transcript-to-protein conversion assumed	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13401	M21B-E009531	M21B-EVID-009477	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11438208; PMCID:PMC10866331	Wang et al., 2024; PMID:38351058	PMID:38351058; PMCID:PMC10866331; DOI:10.1523/ENEURO.0361-23.2023	Small Extracellular Vesicles Released from miR-211-5p-Overexpressed Bone Marrow Mesenchymal Stem Cells Ameliorate Spinal Cord Injuries in Rats	miR-211-5p-enriched BMSC small EVs suppress COX2 protein in SCI rat spinal cord	COX2 protein measured separately from RNA; no direct miRNA-protein binding inferred	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13402	M21B-E009532	M21B-EVID-009478	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11438208; PMCID:PMC10866331	Wang et al., 2024; PMID:38351058	PMID:38351058; PMCID:PMC10866331; DOI:10.1523/ENEURO.0361-23.2023	Small Extracellular Vesicles Released from miR-211-5p-Overexpressed Bone Marrow Mesenchymal Stem Cells Ameliorate Spinal Cord Injuries in Rats	Reduced IL-6, IL-1beta and TNF-alpha after miR-211-5p-enriched BMSC EV treatment	Tissue inflammatory output; no specific secretory source or TF assigned	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13403	M21B-E009533	M21B-EVID-009479	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11438208; PMCID:PMC10866331	Wang et al., 2024; PMID:38351058	PMID:38351058; PMCID:PMC10866331; DOI:10.1523/ENEURO.0361-23.2023	Small Extracellular Vesicles Released from miR-211-5p-Overexpressed Bone Marrow Mesenchymal Stem Cells Ameliorate Spinal Cord Injuries in Rats	Ameliorated SCI-induced motor evoked potential impairments	Physiological rat outcome; no single neuronal or glial mechanism inferred	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13404	M21B-E009534	M21B-EVID-009480	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11438208; PMCID:PMC10866331	Wang et al., 2024; PMID:38351058	PMID:38351058; PMCID:PMC10866331; DOI:10.1523/ENEURO.0361-23.2023	Small Extracellular Vesicles Released from miR-211-5p-Overexpressed Bone Marrow Mesenchymal Stem Cells Ameliorate Spinal Cord Injuries in Rats	Improved locomotor recovery after miR-211-5p-overexpressing BMSC EV treatment	Organismal rat outcome; no additional cell-specific chain implied	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13405	M21B-E009535	M21B-EVID-009481	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary-led discovery; no review lead used	Primary-led; no review citation	PMID:37256514; PMCID:PMC10390616; DOI:10.1007/s12015-023-10560-y	Inflammation Modifies miR-21 Expression Within Neuronal Extracellular Vesicles to Regulate Remyelination Following Spinal Cord Injury	Inflammatory neuron-EV miR-21-5p directly recognizes SMAD7 3-prime UTR and reduces its transcript in NSCs	Direct 3-prime-UTR recognition; no missing protein-processing step inserted	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13406	M21B-E009536	M21B-EVID-009482	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary-led discovery; no review lead used	Primary-led; no review citation	PMID:37256514; PMCID:PMC10390616; DOI:10.1007/s12015-023-10560-y	Inflammation Modifies miR-21 Expression Within Neuronal Extracellular Vesicles to Regulate Remyelination Following Spinal Cord Injury	Reduced SMAD7 protein after inflammatory neuron-EV exposure, reversed by miR-21 inhibition	Protein output measured separately from the transcript target; no direct miRNA-protein binding inferred	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13407	M21B-E009537	M21B-EVID-009483	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary-led discovery; no review lead used	Primary-led; no review citation	PMID:37256514; PMCID:PMC10390616; DOI:10.1007/s12015-023-10560-y	Inflammation Modifies miR-21 Expression Within Neuronal Extracellular Vesicles to Regulate Remyelination Following Spinal Cord Injury	Increased phospho-SMAD2/TGF-beta pathway output downstream of SMAD7 repression	No new terminal-TF or unmeasured TGF-beta ligand step inferred	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-003	M21B-DISC-13408	M21B-E009538	M21B-EVID-009484	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary-led discovery; no review lead used	Primary-led; no review citation	PMID:37256514; PMCID:PMC10390616; DOI:10.1007/s12015-023-10560-y	Inflammation Modifies miR-21 Expression Within Neuronal Extracellular Vesicles to Regulate Remyelination Following Spinal Cord Injury	Inflammatory neuron EVs enriched in miR-21-5p increase NSC differentiation toward astrocytes	Cellular output; no astrocyte receptor or terminal TF assigned	local_21B_registers_only; no_database_write
