promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
module21b-materialization-vip-pacap-ifng-lpi-2026-09-15-01	M21B-DISC-15282	M21B-E011409	M21B-EVID-010798	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC5244030, VIP/PACAP JAK-STAT1 section; PMCID:PMC9104531, microglial mechanisms	PMID:12754213	PMID:12754213	Inhibition of interferon (IFN) gamma-induced Jak-STAT1 activation in microglia by vasoactive intestinal peptide: inhibitory effect on CD40, IFN-induced protein-10, and inducible nitric-oxide synthase expression	VIP/Vasoactive intestinal peptide inhibits microglial JAK1/JAK2 phosphorylation after IFN-gamma is supported by the cited IFN-gamma-stimulated microglia study.	Preserve IFN-gamma-induced JAK/STAT1 context, VPAC1/cAMP/PKA dependence and measured gene/TF-binding endpoints; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-ifng-lpi-2026-09-15-02	M21B-DISC-15283	M21B-E011410	M21B-EVID-010798	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC5244030, VIP/PACAP JAK-STAT1 section; PMCID:PMC9104531, microglial mechanisms	PMID:12754213	PMID:12754213	Inhibition of interferon (IFN) gamma-induced Jak-STAT1 activation in microglia by vasoactive intestinal peptide: inhibitory effect on CD40, IFN-induced protein-10, and inducible nitric-oxide synthase expression	ADCYAP1/PACAP inhibits microglial JAK1/JAK2 phosphorylation after IFN-gamma is supported by the cited IFN-gamma-stimulated microglia study.	Preserve IFN-gamma-induced JAK/STAT1 context, VPAC1/cAMP/PKA dependence and measured gene/TF-binding endpoints; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-ifng-lpi-2026-09-15-03	M21B-DISC-15284	M21B-E011411	M21B-EVID-010798	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC5244030, VIP/PACAP JAK-STAT1 section; PMCID:PMC9104531, microglial mechanisms	PMID:12754213	PMID:12754213	Inhibition of interferon (IFN) gamma-induced Jak-STAT1 activation in microglia by vasoactive intestinal peptide: inhibitory effect on CD40, IFN-induced protein-10, and inducible nitric-oxide synthase expression	VIP/Vasoactive intestinal peptide inhibits microglial STAT1 phosphorylation after IFN-gamma is supported by the cited IFN-gamma-stimulated microglia study.	Preserve IFN-gamma-induced JAK/STAT1 context, VPAC1/cAMP/PKA dependence and measured gene/TF-binding endpoints; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-ifng-lpi-2026-09-15-04	M21B-DISC-15285	M21B-E011412	M21B-EVID-010798	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC5244030, VIP/PACAP JAK-STAT1 section; PMCID:PMC9104531, microglial mechanisms	PMID:12754213	PMID:12754213	Inhibition of interferon (IFN) gamma-induced Jak-STAT1 activation in microglia by vasoactive intestinal peptide: inhibitory effect on CD40, IFN-induced protein-10, and inducible nitric-oxide synthase expression	ADCYAP1/PACAP inhibits microglial STAT1 phosphorylation after IFN-gamma is supported by the cited IFN-gamma-stimulated microglia study.	Preserve IFN-gamma-induced JAK/STAT1 context, VPAC1/cAMP/PKA dependence and measured gene/TF-binding endpoints; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-ifng-lpi-2026-09-15-05	M21B-DISC-15286	M21B-E011413	M21B-EVID-010798	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC5244030, VIP/PACAP JAK-STAT1 section; PMCID:PMC9104531, microglial mechanisms	PMID:12754213	PMID:12754213	Inhibition of interferon (IFN) gamma-induced Jak-STAT1 activation in microglia by vasoactive intestinal peptide: inhibitory effect on CD40, IFN-induced protein-10, and inducible nitric-oxide synthase expression	VIP/Vasoactive intestinal peptide inhibits microglial STAT1 GAS-element binding is supported by the cited IFN-gamma-stimulated microglia study.	Preserve IFN-gamma-induced JAK/STAT1 context, VPAC1/cAMP/PKA dependence and measured gene/TF-binding endpoints; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-ifng-lpi-2026-09-15-06	M21B-DISC-15287	M21B-E011414	M21B-EVID-010798	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC5244030, VIP/PACAP JAK-STAT1 section; PMCID:PMC9104531, microglial mechanisms	PMID:12754213	PMID:12754213	Inhibition of interferon (IFN) gamma-induced Jak-STAT1 activation in microglia by vasoactive intestinal peptide: inhibitory effect on CD40, IFN-induced protein-10, and inducible nitric-oxide synthase expression	ADCYAP1/PACAP inhibits microglial STAT1 GAS-element binding is supported by the cited IFN-gamma-stimulated microglia study.	Preserve IFN-gamma-induced JAK/STAT1 context, VPAC1/cAMP/PKA dependence and measured gene/TF-binding endpoints; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-ifng-lpi-2026-09-15-07	M21B-DISC-15288	M21B-E011415	M21B-EVID-010798	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC5244030, VIP/PACAP JAK-STAT1 section; PMCID:PMC9104531, microglial mechanisms	PMID:12754213	PMID:12754213	Inhibition of interferon (IFN) gamma-induced Jak-STAT1 activation in microglia by vasoactive intestinal peptide: inhibitory effect on CD40, IFN-induced protein-10, and inducible nitric-oxide synthase expression	VIP/Vasoactive intestinal peptide inhibits microglial STAT1 ISRE binding is supported by the cited IFN-gamma-stimulated microglia study.	Preserve IFN-gamma-induced JAK/STAT1 context, VPAC1/cAMP/PKA dependence and measured gene/TF-binding endpoints; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-ifng-lpi-2026-09-15-08	M21B-DISC-15289	M21B-E011416	M21B-EVID-010798	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC5244030, VIP/PACAP JAK-STAT1 section; PMCID:PMC9104531, microglial mechanisms	PMID:12754213	PMID:12754213	Inhibition of interferon (IFN) gamma-induced Jak-STAT1 activation in microglia by vasoactive intestinal peptide: inhibitory effect on CD40, IFN-induced protein-10, and inducible nitric-oxide synthase expression	ADCYAP1/PACAP inhibits microglial STAT1 ISRE binding is supported by the cited IFN-gamma-stimulated microglia study.	Preserve IFN-gamma-induced JAK/STAT1 context, VPAC1/cAMP/PKA dependence and measured gene/TF-binding endpoints; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-ifng-lpi-2026-09-15-09	M21B-DISC-15290	M21B-E011417	M21B-EVID-010798	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC5244030, VIP/PACAP JAK-STAT1 section; PMCID:PMC9104531, microglial mechanisms	PMID:12754213	PMID:12754213	Inhibition of interferon (IFN) gamma-induced Jak-STAT1 activation in microglia by vasoactive intestinal peptide: inhibitory effect on CD40, IFN-induced protein-10, and inducible nitric-oxide synthase expression	VIP/Vasoactive intestinal peptide inhibits microglial CXCL10/IP-10 gene expression after IFN-gamma is supported by the cited IFN-gamma-stimulated microglia study.	Preserve IFN-gamma-induced JAK/STAT1 context, VPAC1/cAMP/PKA dependence and measured gene/TF-binding endpoints; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
module21b-materialization-vip-pacap-ifng-lpi-2026-09-15-10	M21B-DISC-15291	M21B-E011418	M21B-EVID-010798	PROMOTE_CANDIDATE	MATERIALIZED_REVIEW_GUIDED	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC5244030, VIP/PACAP JAK-STAT1 section; PMCID:PMC9104531, microglial mechanisms	PMID:12754213	PMID:12754213	Inhibition of interferon (IFN) gamma-induced Jak-STAT1 activation in microglia by vasoactive intestinal peptide: inhibitory effect on CD40, IFN-induced protein-10, and inducible nitric-oxide synthase expression	ADCYAP1/PACAP inhibits microglial CXCL10/IP-10 gene expression after IFN-gamma is supported by the cited IFN-gamma-stimulated microglia study.	Preserve IFN-gamma-induced JAK/STAT1 context, VPAC1/cAMP/PKA dependence and measured gene/TF-binding endpoints; no terminal-TF or SCI inference.	local_21B_registers_only; no_database_write
