pair_key	pair_label_canonical	verdict	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes
glu-slc1a1_gls2 grin1_grin2a	Glu-SLC1A1_GLS2 GRIN1_GRIN2A	hold_low	PMID:22098737 https://pubmed.ncbi.nlm.nih.gov/22098737/ https://europepmc.org/article/MED/22098737; PMID:39085540 https://pubmed.ncbi.nlm.nih.gov/39085540/ https://europepmc.org/article/MED/39085540; PMID:39154344 https://pubmed.ncbi.nlm.nih.gov/39154344/ https://europepmc.org/article/MED/39154344; https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC1A1_GLS2%20GRIN1_GRIN2A; https://europepmc.org/search?query=Glu-SLC1A1_GLS2%20GRIN1_GRIN2A	rat/human subunits; recombinant Xenopus/HEK; cryo-EM/smFRET	direct recombinant GluN1/GluN2A glutamate-plus-glycine activation and structural mechanism; composite ligand-context	Primary recombinant studies directly activate GluN1/GluN2A (GRIN1_GRIN2A) receptors with glutamate plus glycine and resolve glutamate binding and gating mechanisms.	NMDA receptors require glycine as co-agonist; the submitted ligand is a glutamate-plus-transporter/glutaminase context composite and does not establish physical binding of those context proteins to GRIN1_GRIN2A.	aliases=Glu/L-glutamate/glutamic acid; ligand_context=SLC1A1(EAAT3/EAAC1),SLC1A2(EAAT2/GLT-1),SLC1A3(EAAT1/GLAST),SLC1A6(EAAT4),SLC1A7(EAAT5),GLS/GLS2(glutaminase); processed_forms=free L-glutamate and transporter/enzyme composite searched; complexes=homomer/heteromer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried; family/expression-only evidence not treated as exact-pair proof
glu-slc1a1_gls2 grin1_grin2b	Glu-SLC1A1_GLS2 GRIN1_GRIN2B	hold_low	PMID:39085540 https://pubmed.ncbi.nlm.nih.gov/39085540/ https://europepmc.org/article/MED/39085540; PMID:32610085 https://pubmed.ncbi.nlm.nih.gov/32610085/ https://europepmc.org/article/MED/32610085; PMID:39154344 https://pubmed.ncbi.nlm.nih.gov/39154344/ https://europepmc.org/article/MED/39154344; https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC1A1_GLS2%20GRIN1_GRIN2B; https://europepmc.org/search?query=Glu-SLC1A1_GLS2%20GRIN1_GRIN2B	rat/human subunits; recombinant HEK/Xenopus; cryo-EM/smFRET	direct recombinant GluN1/GluN2B glutamate-plus-glycine activation and structural mechanism; composite ligand-context	Primary structural and recombinant studies directly examine glutamate binding and activation of GluN1/GluN2B (GRIN1_GRIN2B) NMDA receptors in the presence of glycine.	NMDA receptors require glycine as co-agonist; the submitted ligand is a glutamate-plus-transporter/glutaminase context composite and does not establish physical binding of those context proteins to GRIN1_GRIN2B.	aliases=Glu/L-glutamate/glutamic acid; ligand_context=SLC1A1(EAAT3/EAAC1),SLC1A2(EAAT2/GLT-1),SLC1A3(EAAT1/GLAST),SLC1A6(EAAT4),SLC1A7(EAAT5),GLS/GLS2(glutaminase); processed_forms=free L-glutamate and transporter/enzyme composite searched; complexes=homomer/heteromer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried; family/expression-only evidence not treated as exact-pair proof
glu-slc1a1_gls2 grin1_grin2c	Glu-SLC1A1_GLS2 GRIN1_GRIN2C	hold_low	PMID:29242355 https://pubmed.ncbi.nlm.nih.gov/29242355/ https://europepmc.org/article/MED/29242355; PMID:39154344 https://pubmed.ncbi.nlm.nih.gov/39154344/ https://europepmc.org/article/MED/39154344; https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC1A1_GLS2%20GRIN1_GRIN2C; https://europepmc.org/search?query=Glu-SLC1A1_GLS2%20GRIN1_GRIN2C	rat/human subunits; recombinant Xenopus/HEK; structural/smFRET systems	direct recombinant GluN1/GluN2C glutamate-plus-glycine receptor assay/ligand mechanism; composite ligand-context	Primary recombinant NMDA-receptor studies test GluN1/GluN2C (GRIN1_GRIN2C) diheteromers with glutamate and glycine and analyze subtype-specific ligand/allosteric responses.	NMDA receptors require glycine as co-agonist; the submitted ligand is a glutamate-plus-transporter/glutaminase context composite and does not establish physical binding of those context proteins to GRIN1_GRIN2C.	aliases=Glu/L-glutamate/glutamic acid; ligand_context=SLC1A1(EAAT3/EAAC1),SLC1A2(EAAT2/GLT-1),SLC1A3(EAAT1/GLAST),SLC1A6(EAAT4),SLC1A7(EAAT5),GLS/GLS2(glutaminase); processed_forms=free L-glutamate and transporter/enzyme composite searched; complexes=homomer/heteromer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried; family/expression-only evidence not treated as exact-pair proof
glu-slc1a1_gls2 grin1_grin2d	Glu-SLC1A1_GLS2 GRIN1_GRIN2D	hold_low	PMID:21389220 https://pubmed.ncbi.nlm.nih.gov/21389220/ https://europepmc.org/article/MED/21389220; PMID:23578394 https://pubmed.ncbi.nlm.nih.gov/23578394/ https://europepmc.org/article/MED/23578394; PMID:39154344 https://pubmed.ncbi.nlm.nih.gov/39154344/ https://europepmc.org/article/MED/39154344; https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC1A1_GLS2%20GRIN1_GRIN2D; https://europepmc.org/search?query=Glu-SLC1A1_GLS2%20GRIN1_GRIN2D	rat/human subunits; recombinant HEK/Xenopus; structural/smFRET systems	direct recombinant GluN1/GluN2D glutamate-plus-glycine activation and gating; composite ligand-context	Primary recombinant studies directly activate GluN1/GluN2D (GRIN1_GRIN2D) receptors with glutamate plus glycine and measure glutamate-dependent inhibition and gating.	NMDA receptors require glycine as co-agonist; the submitted ligand is a glutamate-plus-transporter/glutaminase context composite and does not establish physical binding of those context proteins to GRIN1_GRIN2D.	aliases=Glu/L-glutamate/glutamic acid; ligand_context=SLC1A1(EAAT3/EAAC1),SLC1A2(EAAT2/GLT-1),SLC1A3(EAAT1/GLAST),SLC1A6(EAAT4),SLC1A7(EAAT5),GLS/GLS2(glutaminase); processed_forms=free L-glutamate and transporter/enzyme composite searched; complexes=homomer/heteromer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried; family/expression-only evidence not treated as exact-pair proof
glu-slc1a1_gls2 grm1	Glu-SLC1A1_GLS2 Grm1	hold_low	PMID:11181420 https://pubmed.ncbi.nlm.nih.gov/11181420/ https://europepmc.org/article/MED/11181420; PMID:11606768 https://pubmed.ncbi.nlm.nih.gov/11606768/ https://europepmc.org/article/MED/11606768; PMID:25193666 https://pubmed.ncbi.nlm.nih.gov/25193666/ https://europepmc.org/article/MED/25193666; PMID:37546908 https://pubmed.ncbi.nlm.nih.gov/37546908/ https://europepmc.org/article/MED/37546908; https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC1A1_GLS2%20Grm1; https://europepmc.org/search?query=Glu-SLC1A1_GLS2%20Grm1	human; rat; mouse; recombinant CHO/BHK/HEK and native CNS	direct recombinant full-length mGlu1 glutamate activation/G-protein signaling; composite ligand-context	Primary recombinant studies show L-glutamate activation of mGlu1/GRM1 through phosphoinositide or G-protein-linked signaling, with subtype-specific pharmacology.	The submitted ligand is a Glu-SLC1A1/2/3/6/7_GLS/GLS2 context composite, not a covalent ligand; EAAT/glutaminase components regulate glutamate handling and were not shown to bind GRM1.	aliases=Glu/L-glutamate/glutamic acid; ligand_context=SLC1A1(EAAT3/EAAC1),SLC1A2(EAAT2/GLT-1),SLC1A3(EAAT1/GLAST),SLC1A6(EAAT4),SLC1A7(EAAT5),GLS/GLS2(glutaminase); processed_forms=free L-glutamate and transporter/enzyme composite searched; complexes=homomer/heteromer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried; family/expression-only evidence not treated as exact-pair proof
glu-slc1a1_gls2 grm2	Glu-SLC1A1_GLS2 Grm2	hold_low	PMID:25193666 https://pubmed.ncbi.nlm.nih.gov/25193666/ https://europepmc.org/article/MED/25193666; PMID:37546908 https://pubmed.ncbi.nlm.nih.gov/37546908/ https://europepmc.org/article/MED/37546908; PMID:38092773 https://pubmed.ncbi.nlm.nih.gov/38092773/ https://europepmc.org/article/MED/38092773; https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC1A1_GLS2%20Grm2; https://europepmc.org/search?query=Glu-SLC1A1_GLS2%20Grm2	human; mouse; rat; recombinant HEK/CHO and structural/smFRET systems	direct recombinant full-length mGlu2 glutamate activation/G-protein signaling; composite ligand-context	Primary receptor studies directly measure L-glutamate responses of mGlu2/GRM2, including G-protein signaling and glutamate-dependent conformational activation.	The submitted ligand is a Glu-SLC1A1/2/3/6/7_GLS/GLS2 context composite, not a covalent ligand; EAAT/glutaminase components regulate glutamate handling and were not shown to bind GRM2.	aliases=Glu/L-glutamate/glutamic acid; ligand_context=SLC1A1(EAAT3/EAAC1),SLC1A2(EAAT2/GLT-1),SLC1A3(EAAT1/GLAST),SLC1A6(EAAT4),SLC1A7(EAAT5),GLS/GLS2(glutaminase); processed_forms=free L-glutamate and transporter/enzyme composite searched; complexes=homomer/heteromer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried; family/expression-only evidence not treated as exact-pair proof
glu-slc1a1_gls2 grm3	Glu-SLC1A1_GLS2 Grm3	hold_low	PMID:25193666 https://pubmed.ncbi.nlm.nih.gov/25193666/ https://europepmc.org/article/MED/25193666; PMID:37546908 https://pubmed.ncbi.nlm.nih.gov/37546908/ https://europepmc.org/article/MED/37546908; PMID:38092773 https://pubmed.ncbi.nlm.nih.gov/38092773/ https://europepmc.org/article/MED/38092773; https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC1A1_GLS2%20Grm3; https://europepmc.org/search?query=Glu-SLC1A1_GLS2%20Grm3	human; mouse; rat; recombinant HEK/CHO and structural systems	direct recombinant full-length mGlu3 glutamate activation/G-protein signaling; composite ligand-context	Primary receptor studies directly measure L-glutamate responses of mGlu3/GRM3 and distinguish its group-II signaling and ligand-dependent conformational behavior.	The submitted ligand is a Glu-SLC1A1/2/3/6/7_GLS/GLS2 context composite, not a covalent ligand; EAAT/glutaminase components regulate glutamate handling and were not shown to bind GRM3.	aliases=Glu/L-glutamate/glutamic acid; ligand_context=SLC1A1(EAAT3/EAAC1),SLC1A2(EAAT2/GLT-1),SLC1A3(EAAT1/GLAST),SLC1A6(EAAT4),SLC1A7(EAAT5),GLS/GLS2(glutaminase); processed_forms=free L-glutamate and transporter/enzyme composite searched; complexes=homomer/heteromer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried; family/expression-only evidence not treated as exact-pair proof
glu-slc1a1_gls2 grm4	Glu-SLC1A1_GLS2 Grm4	hold_low	PMID:25193666 https://pubmed.ncbi.nlm.nih.gov/25193666/ https://europepmc.org/article/MED/25193666; PMID:37546908 https://pubmed.ncbi.nlm.nih.gov/37546908/ https://europepmc.org/article/MED/37546908; PMID:38092773 https://pubmed.ncbi.nlm.nih.gov/38092773/ https://europepmc.org/article/MED/38092773; https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC1A1_GLS2%20Grm4; https://europepmc.org/search?query=Glu-SLC1A1_GLS2%20Grm4	human; mouse; rat; recombinant HEK/CHO and smFRET systems	direct recombinant full-length mGlu4 glutamate activation/G-protein signaling; composite ligand-context	Primary receptor studies directly measure L-glutamate responses of mGlu4/GRM4, including group-III signaling and glutamate-dependent conformational activation.	The submitted ligand is a Glu-SLC1A1/2/3/6/7_GLS/GLS2 context composite, not a covalent ligand; EAAT/glutaminase components regulate glutamate handling and were not shown to bind GRM4.	aliases=Glu/L-glutamate/glutamic acid; ligand_context=SLC1A1(EAAT3/EAAC1),SLC1A2(EAAT2/GLT-1),SLC1A3(EAAT1/GLAST),SLC1A6(EAAT4),SLC1A7(EAAT5),GLS/GLS2(glutaminase); processed_forms=free L-glutamate and transporter/enzyme composite searched; complexes=homomer/heteromer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried; family/expression-only evidence not treated as exact-pair proof
glu-slc1a1_gls2 grm5	Glu-SLC1A1_GLS2 Grm5	hold_low	PMID:11181420 https://pubmed.ncbi.nlm.nih.gov/11181420/ https://europepmc.org/article/MED/11181420; PMID:37546908 https://pubmed.ncbi.nlm.nih.gov/37546908/ https://europepmc.org/article/MED/37546908; PMID:42430471 https://pubmed.ncbi.nlm.nih.gov/42430471/ https://europepmc.org/article/MED/42430471; https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC1A1_GLS2%20Grm5; https://europepmc.org/search?query=Glu-SLC1A1_GLS2%20Grm5	human; rat; mouse; recombinant CHO/BHK/HEK and cryo-EM	direct recombinant full-length mGlu5 glutamate activation/G-protein signaling; composite ligand-context	Primary recombinant and structural studies directly show L-glutamate activation of mGlu5/GRM5 and receptor coupling to G proteins.	The submitted ligand is a Glu-SLC1A1/2/3/6/7_GLS/GLS2 context composite, not a covalent ligand; EAAT/glutaminase components regulate glutamate handling and were not shown to bind GRM5.	aliases=Glu/L-glutamate/glutamic acid; ligand_context=SLC1A1(EAAT3/EAAC1),SLC1A2(EAAT2/GLT-1),SLC1A3(EAAT1/GLAST),SLC1A6(EAAT4),SLC1A7(EAAT5),GLS/GLS2(glutaminase); processed_forms=free L-glutamate and transporter/enzyme composite searched; complexes=homomer/heteromer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried; family/expression-only evidence not treated as exact-pair proof
glu-slc1a1_gls2 grm6	Glu-SLC1A1_GLS2 Grm6	hold_low	PMID:25193666 https://pubmed.ncbi.nlm.nih.gov/25193666/ https://europepmc.org/article/MED/25193666; PMID:37546908 https://pubmed.ncbi.nlm.nih.gov/37546908/ https://europepmc.org/article/MED/37546908; PMID:39154344 https://pubmed.ncbi.nlm.nih.gov/39154344/ https://europepmc.org/article/MED/39154344; https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC1A1_GLS2%20Grm6; https://europepmc.org/search?query=Glu-SLC1A1_GLS2%20Grm6	human; mouse; rat; recombinant receptor and native retina systems	direct recombinant mGlu6 glutamate activation/pharmacology; composite ligand-context	Primary receptor pharmacology directly tests L-glutamate responses of mGlu6/GRM6 and distinguishes its group-III signaling and retinal specialization.	The submitted ligand is a Glu-SLC1A1/2/3/6/7_GLS/GLS2 context composite, not a covalent ligand; EAAT/glutaminase components regulate glutamate handling and were not shown to bind GRM6.	aliases=Glu/L-glutamate/glutamic acid; ligand_context=SLC1A1(EAAT3/EAAC1),SLC1A2(EAAT2/GLT-1),SLC1A3(EAAT1/GLAST),SLC1A6(EAAT4),SLC1A7(EAAT5),GLS/GLS2(glutaminase); processed_forms=free L-glutamate and transporter/enzyme composite searched; complexes=homomer/heteromer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried; family/expression-only evidence not treated as exact-pair proof
