review_id	pair_key	pair_label_canonical	review_priority	review_priority_rationale	original_confidence	review_status	search_attempt_count	last_search_iteration	agent_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	evidence_class	curator_status	next_review_trigger
M20A-CELLCHAT-REMAINING-0001	12oxoltb4-ptgr1 ltb4r1	12oxoLTB4-PTGR1 Ltb4r1	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	hold_low	https://pubmed.ncbi.nlm.nih.gov/?term=12oxoltb4-ptgr1+ltb4r1;https://europepmc.org/search?query=12oxoltb4-ptgr1+ltb4r1;https://pubmed.ncbi.nlm.nih.gov/8394361/;https://europepmc.org/article/MED/8394361;https://pubmed.ncbi.nlm.nih.gov/7803484/;https://europepmc.org/article/MED/7803484	human;porcine;recombinant BLT1 systems	weak_direct_binding_and_function	12-oxo-LTB4 is a processed LTB4 metabolite that competes at BLT1 and produces weak LTB4-receptor-dependent leukocyte responses.	Evidence is much weaker than LTB4, with receptor-subtype and stereochemical assay details incompletely resolved.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0003	22hc-cyp11a1 nr1h4	22HC-CYP11A1 Nr1h4	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	hold_low	https://pubmed.ncbi.nlm.nih.gov/?term=22hc-cyp11a1+nr1h4;https://europepmc.org/search?query=22hc-cyp11a1+nr1h4;https://pubmed.ncbi.nlm.nih.gov/16371446/;https://europepmc.org/article/MED/16371446	human;mouse;recombinant FXR systems	direct_function_with_processed_steroid	22(R)-hydroxycholesterol, a stereochemically defined processed oxysterol, directly binds and activates FXR/NR1H4 in reporter, mutagenesis and structural-model-guided assays.	The submitted 22HC label does not specify R/S stereochemistry and includes a biosynthetic-enzyme component; exact stereoisomer and complex interpretation require manual confirmation.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0004	22hc-cyp3a4 nr1h4	22HC-CYP3A4 Nr1h4	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	hold_low	https://pubmed.ncbi.nlm.nih.gov/?term=22hc-cyp3a4+nr1h4;https://europepmc.org/search?query=22hc-cyp3a4+nr1h4;https://pubmed.ncbi.nlm.nih.gov/16371446/;https://europepmc.org/article/MED/16371446	human;mouse;recombinant FXR systems	direct_function_with_processed_steroid	22(R)-hydroxycholesterol, a stereochemically defined processed oxysterol, directly binds and activates FXR/NR1H4 in reporter, mutagenesis and structural-model-guided assays.	The submitted 22HC label does not specify R/S stereochemistry and includes a biosynthetic-enzyme component; exact stereoisomer and complex interpretation require manual confirmation.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0006	2ag-dagla cnr2	2AG-DAGLA Cnr2	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/10779390/;https://pubmed.ncbi.nlm.nih.gov/21467997/	human;recombinant Sf9-hCB2 and CHO-hCB2;human neutrophils, HEK293 and HL60	direct_binding_and_receptor_function_contextual	PMID 10779390 used radioligand binding and GTPgammaS/cAMP assays and showed 2-AG is a full agonist at human CB2; PMID 21467997 showed CB2-dependent 2-AG responses in human neutrophils and cell models.	DAGLA is a biosynthetic source gene and not the mature ligand; the primary evidence is for 2-AG-CB2, not a DAGLA protein-receptor interaction.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0007	2ag-dagla gpr55	2AG-DAGLA Gpr55	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	hold_low	https://pubmed.ncbi.nlm.nih.gov/?term=2ag-dagla+gpr55;https://europepmc.org/search?query=2ag-dagla+gpr55;https://pubmed.ncbi.nlm.nih.gov/10779390/;https://europepmc.org/article/MED/10779390;https://pubmed.ncbi.nlm.nih.gov/21467997/;https://europepmc.org/article/MED/21467997	human;mouse;cell-based systems	controversial_direct_function	2-AG has been reported to contribute to GPR55-dependent responses, including pharmacological antagonism of 2-AG effects, but GPR55 assignment remains debated and is not as definitive as CB1/CB2.	Evidence is functional and pharmacologically confounded by CB2/GPR55 crosstalk; no consensus high-affinity direct 2-AG-GPR55 binding study was located.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0009	2ag-daglb cnr2	2AG-DAGLB Cnr2	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/10779390/;https://pubmed.ncbi.nlm.nih.gov/21467997/	human;recombinant Sf9-hCB2 and CHO-hCB2;human neutrophils, HEK293 and HL60	direct_binding_and_receptor_function_contextual	PMID 10779390 used radioligand binding and GTPgammaS/cAMP assays and showed 2-AG is a full agonist at human CB2; PMID 21467997 showed CB2-dependent 2-AG responses in human neutrophils and cell models.	DAGLB is a biosynthetic source gene and not the mature ligand; the primary evidence is for 2-AG-CB2, not a DAGLB protein-receptor interaction.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0010	2ag-daglb gpr55	2AG-DAGLB Gpr55	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	hold_low	https://pubmed.ncbi.nlm.nih.gov/?term=2ag-daglb+gpr55;https://europepmc.org/search?query=2ag-daglb+gpr55;https://pubmed.ncbi.nlm.nih.gov/10779390/;https://europepmc.org/article/MED/10779390;https://pubmed.ncbi.nlm.nih.gov/21467997/;https://europepmc.org/article/MED/21467997	human;mouse;cell-based systems	controversial_direct_function	2-AG has been reported to contribute to GPR55-dependent responses, including pharmacological antagonism of 2-AG effects, but GPR55 assignment remains debated and is not as definitive as CB1/CB2.	Evidence is functional and pharmacologically confounded by CB2/GPR55 crosstalk; no consensus high-affinity direct 2-AG-GPR55 binding study was located.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0016	5-ht-dopa-ddc htr1a	5-HT-DOPA-DDC Htr1a	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	rat;recombinant Ltk- and GH4C1 cells	direct_binding_and_receptor_activation_contextual	PMID 2156831 cloned rat HTR1A and showed 5-HT-displaceable binding plus agonist-dependent inhibition of cAMP in transfected cells.	DOPA and DDC are synthesis components, not the tested ligand; evidence is mature 5-HT at HTR1A and does not validate the composite source gene string.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0017	5-ht-dopa-ddc htr1b	5-HT-DOPA-DDC Htr1b	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant COS-7 cells	direct_binding_contextual	PMID 1610347 expressed human HTR1B in COS-7 membranes and measured specific [3H]5-HT binding with an HTR1B-like pharmacological profile.	DOPA and DDC are synthesis components, not the tested ligand; no receptor-dependent functional assay is reported in this cited paper.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0020	5-ht-dopa-ddc htr2a	5-HT-DOPA-DDC Htr2a	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant CHO-K1 cells	direct_receptor_activation_contextual	PMID 10498829 expressed human HTR2A in CHO-K1 cells and showed robust concentration-dependent 5-HT-induced intracellular Ca2+ responses absent in non-transfected controls.	DOPA and DDC are synthesis components, not the tested ligand; assay is recombinant activation rather than a test of the composite source genes.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0021	5-ht-dopa-ddc htr2b	5-HT-DOPA-DDC Htr2b	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant CHO-K1 cells	direct_receptor_activation_contextual	PMID 10498829 expressed human HTR2B in CHO-K1 cells and showed robust concentration-dependent 5-HT-induced intracellular Ca2+ responses absent in non-transfected controls.	DOPA and DDC are synthesis components, not the tested ligand; assay is recombinant activation rather than a test of the composite source genes.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
