promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
M21B-PROMO-20260914-SPHK2-01	M21B-DISC-15065	M21B-E011192	M21B-EVID-010755	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:38280459; PMCID:PMC10907773; DOI:10.1016/j.jlr.2024.100510	Nuclear SphK2/S1P signaling is a key regulator of ApoE production and Aβ uptake in astrocytes	SphK2 overexpression suppresses bexarotene-induced ApoE transcript in U87 astrocytoma cells.	Preserve SphK2 overexpression, bexarotene, human U87 model and transcript-level output; no direct S1P-RXR binding or SCI inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-SPHK2-02	M21B-DISC-15066	M21B-E011193	M21B-EVID-010755	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:38280459; PMCID:PMC10907773; DOI:10.1016/j.jlr.2024.100510	Nuclear SphK2/S1P signaling is a key regulator of ApoE production and Aβ uptake in astrocytes	SphK2 overexpression suppresses T0901317-induced ApoE transcript in U87 astrocytoma cells.	Preserve SphK2 overexpression, T0901317, human U87 model and transcript-level output; no direct S1P-LXR binding or SCI inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-SPHK2-03	M21B-DISC-15067	M21B-E011194	M21B-EVID-010755	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:38280459; PMCID:PMC10907773; DOI:10.1016/j.jlr.2024.100510	Nuclear SphK2/S1P signaling is a key regulator of ApoE production and Aβ uptake in astrocytes	SphK2 overexpression suppresses bexarotene-induced secreted ApoE in U87 astrocytoma cells.	Preserve conditioned-medium protein assay, SphK2 overexpression and bexarotene; no transcript-to-protein shortcut or SCI inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-SPHK2-04	M21B-DISC-15068	M21B-E011195	M21B-EVID-010755	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:38280459; PMCID:PMC10907773; DOI:10.1016/j.jlr.2024.100510	Nuclear SphK2/S1P signaling is a key regulator of ApoE production and Aβ uptake in astrocytes	SphK2 knockdown enhances bexarotene-induced ApoE transcript in U87 astrocytoma cells.	Preserve siRNA, bexarotene, human U87 model and transcript output; ABCA1 transcript was not similarly increased.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-SPHK2-05	M21B-DISC-15069	M21B-E011196	M21B-EVID-010755	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:38280459; PMCID:PMC10907773; DOI:10.1016/j.jlr.2024.100510	Nuclear SphK2/S1P signaling is a key regulator of ApoE production and Aβ uptake in astrocytes	SphK2 knockdown enhances bexarotene-induced secreted ApoE in U87 astrocytoma cells.	Preserve siRNA, bexarotene and conditioned-medium protein output; no transcript-to-protein shortcut.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-SPHK2-06	M21B-DISC-15070	M21B-E011197	M21B-EVID-010755	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:38280459; PMCID:PMC10907773; DOI:10.1016/j.jlr.2024.100510	Nuclear SphK2/S1P signaling is a key regulator of ApoE production and Aβ uptake in astrocytes	ABC294640 enhances bexarotene-induced ApoE transcript in U87 astrocytoma cells.	Preserve ABC294640, bexarotene and transcript assay; no ABCA1 transcript effect or SCI inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-SPHK2-07	M21B-DISC-15071	M21B-E011198	M21B-EVID-010755	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:38280459; PMCID:PMC10907773; DOI:10.1016/j.jlr.2024.100510	Nuclear SphK2/S1P signaling is a key regulator of ApoE production and Aβ uptake in astrocytes	ABC294640 enhances bexarotene-induced secreted ApoE in U87 astrocytoma cells.	Preserve ABC294640, bexarotene and conditioned-medium protein output; no transcript-to-protein shortcut.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-SPHK2-08	M21B-DISC-15072	M21B-E011199	M21B-EVID-010755	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:38280459; PMCID:PMC10907773; DOI:10.1016/j.jlr.2024.100510	Nuclear SphK2/S1P signaling is a key regulator of ApoE production and Aβ uptake in astrocytes	SLM6031434 enhances bexarotene-induced ApoE expression in U87 astrocytoma cells.	Preserve SLM6031434 and supplemental-assay context; do not assign unmeasured transcript/protein layer or SCI inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-SPHK2-09	M21B-DISC-15073	M21B-E011200	M21B-EVID-010755	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:38280459; PMCID:PMC10907773; DOI:10.1016/j.jlr.2024.100510	Nuclear SphK2/S1P signaling is a key regulator of ApoE production and Aβ uptake in astrocytes	SphK2 overexpression reduces RXRalpha occupancy at the APOE promoter.	Preserve ChIP occupancy, tagged RXRalpha, bexarotene and U87 context; no direct SphK2/S1P-RXR binding or terminal-TF inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-SPHK2-10	M21B-DISC-15074	M21B-E011201	M21B-EVID-010755	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:38280459; PMCID:PMC10907773; DOI:10.1016/j.jlr.2024.100510	Nuclear SphK2/S1P signaling is a key regulator of ApoE production and Aβ uptake in astrocytes	SphK2 overexpression suppresses secreted ApoE in human primary astrocytes.	Preserve AAV-SphK2, human primary astrocyte and conditioned-medium protein context; no unmeasured agonist condition or SCI inference.	MATERIALIZED_PRIMARY_ONLY
