promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
M21B-PROMO-20260914-25HC-01	M21B-DISC-14932	M21B-E011059	M21B-EVID-010745	candidate	promoted	downstream_or_functional			PMID:36849076; PMCID:PMC10060115; DOI:10.1016/j.jlr.2023.100350	Regulation of astrocyte lipid metabolism and ApoE secretion by the microglial oxysterol, 25-hydroxycholesterol	Primary evidence supports LPS-induced 25HC secretion by activated microglia.	Preserve conditioned-medium measurement, species and neuroinflammation comparator; no traumatic-SCI or receptor/terminal-TF inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-25HC-02	M21B-DISC-14933	M21B-E011060	M21B-EVID-010745	candidate	promoted	downstream_or_functional			PMID:36849076; PMCID:PMC10060115; DOI:10.1016/j.jlr.2023.100350	Regulation of astrocyte lipid metabolism and ApoE secretion by the microglial oxysterol, 25-hydroxycholesterol	Primary evidence supports 25HC-induced extracellular ApoE lipoprotein output from astrocytes without Apoe mRNA induction.	Preserve ApoE as measured extracellular protein/lipoparticle output; no transcript-to-protein shortcut or receptor inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-25HC-03	M21B-DISC-14934	M21B-E011061	M21B-EVID-010745	candidate	promoted	downstream_or_functional			PMID:36849076; PMCID:PMC10060115; DOI:10.1016/j.jlr.2023.100350	Regulation of astrocyte lipid metabolism and ApoE secretion by the microglial oxysterol, 25-hydroxycholesterol	Primary evidence supports direct uptake of externally added 25HC by astrocytes.	Preserve uptake assay and do not infer a receptor or transport-protein identity.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-25HC-04	M21B-DISC-14935	M21B-E011062	M21B-EVID-010745	candidate	promoted	downstream_or_functional			PMID:36849076; PMCID:PMC10060115; DOI:10.1016/j.jlr.2023.100350	Regulation of astrocyte lipid metabolism and ApoE secretion by the microglial oxysterol, 25-hydroxycholesterol	Primary evidence supports increased Abca1 expression in 25HC-treated astrocytes with LXR-pathway inhibitor controls.	Preserve measured expression and inhibitor context; no direct promoter occupancy or transcript-to-protein shortcut.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-25HC-05	M21B-DISC-14936	M21B-E011063	M21B-EVID-010745	candidate	promoted	downstream_or_functional			PMID:36849076; PMCID:PMC10060115; DOI:10.1016/j.jlr.2023.100350	Regulation of astrocyte lipid metabolism and ApoE secretion by the microglial oxysterol, 25-hydroxycholesterol	Primary evidence supports reduced Ldlr expression and lipoprotein reuptake in 25HC-treated astrocytes.	Preserve Ldlr expression versus reuptake as distinct outputs; no direct promoter or receptor-ligand claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-25HC-06	M21B-DISC-14937	M21B-E011064	M21B-EVID-010745	candidate	promoted	downstream_or_functional			PMID:36849076; PMCID:PMC10060115; DOI:10.1016/j.jlr.2023.100350	Regulation of astrocyte lipid metabolism and ApoE secretion by the microglial oxysterol, 25-hydroxycholesterol	Primary evidence supports suppressed Srebf2 expression in 25HC-treated astrocytes.	Preserve Srebf2 as measured gene expression, not a terminal-TF inference.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-25HC-07	M21B-DISC-14938	M21B-E011065	M21B-EVID-010745	candidate	promoted	downstream_or_functional			PMID:36849076; PMCID:PMC10060115; DOI:10.1016/j.jlr.2023.100350	Regulation of astrocyte lipid metabolism and ApoE secretion by the microglial oxysterol, 25-hydroxycholesterol	Primary evidence supports reduced cholesterol synthesis in 25HC-treated astrocytes without reduced fatty-acid levels.	Preserve measured sterol-metabolic output; no transcript-to-metabolite shortcut or exclusive SREBP2 mechanism.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-25HC-08	M21B-DISC-14939	M21B-E011066	M21B-EVID-010745	candidate	promoted	downstream_or_functional			PMID:36849076; PMCID:PMC10060115; DOI:10.1016/j.jlr.2023.100350	Regulation of astrocyte lipid metabolism and ApoE secretion by the microglial oxysterol, 25-hydroxycholesterol	Primary evidence supports increased cholesteryl ester abundance in 25HC-treated astrocytes.	Preserve measured lipid-species and SOAT/ACAT context; no inferred receptor or terminal-TF mechanism.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-25HC-09	M21B-DISC-14940	M21B-E011067	M21B-EVID-010745	candidate	promoted	downstream_or_functional			PMID:36849076; PMCID:PMC10060115; DOI:10.1016/j.jlr.2023.100350	Regulation of astrocyte lipid metabolism and ApoE secretion by the microglial oxysterol, 25-hydroxycholesterol	Primary evidence supports increased astrocyte lipid-droplet accumulation after 25HC treatment.	Preserve measured lipid-droplet phenotype and treatment context; no unsupported cell-state generalization.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-25HC-10	M21B-DISC-14941	M21B-E011068	M21B-EVID-010745	candidate	promoted	downstream_or_functional			PMID:36849076; PMCID:PMC10060115; DOI:10.1016/j.jlr.2023.100350	Regulation of astrocyte lipid metabolism and ApoE secretion by the microglial oxysterol, 25-hydroxycholesterol	Primary evidence supports increased cholesterol efflux from 25HC-treated astrocytes.	Preserve efflux as a measured lipid output distinct from Abca1 expression; no unique transporter claim.	MATERIALIZED_PRIMARY_ONLY
