promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
M21B-PROMO-171-001	M21B-DISC-14452	M21B-E010580	M21B-EVID-010526	DISCOVERY_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:37818693; DOI:10.5114/fn.2023.130455	Adipose-derived mesenchymal stem cell exosomes ameliorate spinal cord injury in rats by activating the Nrf2/HO-1 pathway and regulating microglial polarization.	Primary protein assays support increased Nrf2, HO-1 and NQO1 expression after ADMSC-Exo treatment.	Preserve Nrf2/HO-1 protein-pathway readouts and rat SCI context; no exosomal cargo or receptor mechanism inferred.	MATERIALIZED
M21B-PROMO-171-002	M21B-DISC-14453	M21B-E010581	M21B-EVID-010527	DISCOVERY_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:37818693; DOI:10.5114/fn.2023.130455	Adipose-derived mesenchymal stem cell exosomes ameliorate spinal cord injury in rats by activating the Nrf2/HO-1 pathway and regulating microglial polarization.	Primary marker assays support a shift toward an M2-associated microglial phenotype after ADMSC-Exo treatment.	Preserve marker-based M1/M2-associated semantics; no single polarization regulator or cargo is inferred.	MATERIALIZED
M21B-PROMO-171-003	M21B-DISC-14454	M21B-E010582	M21B-EVID-010528	DISCOVERY_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:37818693; DOI:10.5114/fn.2023.130455	Adipose-derived mesenchymal stem cell exosomes ameliorate spinal cord injury in rats by activating the Nrf2/HO-1 pathway and regulating microglial polarization.	Primary tissue ELISA supports reduced TNF-alpha, IL-6 and MCP-1 protein output after ADMSC-Exo treatment.	Preserve cytokines as measured tissue protein outputs; do not infer transcript, secretion route or individual cytokine mechanism.	MATERIALIZED
M21B-PROMO-171-004	M21B-DISC-14455	M21B-E010583	M21B-EVID-010529	DISCOVERY_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:37818693; DOI:10.5114/fn.2023.130455	Adipose-derived mesenchymal stem cell exosomes ameliorate spinal cord injury in rats by activating the Nrf2/HO-1 pathway and regulating microglial polarization.	Primary behavioral assessments support improved motor recovery after ADMSC-Exo treatment.	Preserve rat behavioral assay and exosome formulation; no direct molecular-to-behavior claim is inferred.	MATERIALIZED
M21B-PROMO-171-005	M21B-DISC-14456	M21B-E010584	M21B-EVID-010530	DISCOVERY_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:38491537; PMCID:PMC10943766; DOI:10.1186/s13018-024-04651-w	Exosomes derived from umbilical cord-mesenchymal stem cells inhibit the NF-kappaB/MAPK signaling pathway and reduce the inflammatory response to promote recovery from spinal cord injury.	Primary transcriptome and phosphoprotein assays support treatment-associated inhibition of NF-kappaB/MAPK signaling.	Preserve pathway-output semantics; no cargo, receptor or upstream kinase is inferred.	MATERIALIZED
M21B-PROMO-171-006	M21B-DISC-14457	M21B-E010585	M21B-EVID-010531	DISCOVERY_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:38491537; PMCID:PMC10943766; DOI:10.1186/s13018-024-04651-w	Exosomes derived from umbilical cord-mesenchymal stem cells inhibit the NF-kappaB/MAPK signaling pathway and reduce the inflammatory response to promote recovery from spinal cord injury.	Primary p65/I-kappa-B-alpha assays support reduced NF-kappaB activation after UC-MSC exosome treatment.	Preserve measured protein/pathway outputs; no terminal-RELA or transcriptional target inference.	MATERIALIZED
M21B-PROMO-171-007	M21B-DISC-14458	M21B-E010586	M21B-EVID-010532	DISCOVERY_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:38491537; PMCID:PMC10943766; DOI:10.1186/s13018-024-04651-w	Exosomes derived from umbilical cord-mesenchymal stem cells inhibit the NF-kappaB/MAPK signaling pathway and reduce the inflammatory response to promote recovery from spinal cord injury.	Primary phosphoprotein assays support reduced p38/JNK/ERK phosphorylation after UC-MSC exosome treatment.	Preserve measured MAPK outputs; no direct exosome-kinase interaction is inferred.	MATERIALIZED
M21B-PROMO-171-008	M21B-DISC-14459	M21B-E010587	M21B-EVID-010533	DISCOVERY_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:38491537; PMCID:PMC10943766; DOI:10.1186/s13018-024-04651-w	Exosomes derived from umbilical cord-mesenchymal stem cells inhibit the NF-kappaB/MAPK signaling pathway and reduce the inflammatory response to promote recovery from spinal cord injury.	Primary protein assays support reduced inflammatory-marker output after UC-MSC exosome treatment.	Preserve measured protein outputs; do not infer transcripts or secretion independently.	MATERIALIZED
M21B-PROMO-171-009	M21B-DISC-14460	M21B-E010588	M21B-EVID-010534	DISCOVERY_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:38491537; PMCID:PMC10943766; DOI:10.1186/s13018-024-04651-w	Exosomes derived from umbilical cord-mesenchymal stem cells inhibit the NF-kappaB/MAPK signaling pathway and reduce the inflammatory response to promote recovery from spinal cord injury.	Primary oxidative-stress assays support reduced ROS production after UC-MSC exosome treatment.	Preserve ROS as a measured output; no specific antioxidant mediator is inferred.	MATERIALIZED
M21B-PROMO-171-010	M21B-DISC-14461	M21B-E010589	M21B-EVID-010535	DISCOVERY_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:38491537; PMCID:PMC10943766; DOI:10.1186/s13018-024-04651-w	Exosomes derived from umbilical cord-mesenchymal stem cells inhibit the NF-kappaB/MAPK signaling pathway and reduce the inflammatory response to promote recovery from spinal cord injury.	Primary Iba1 assays support reduced microglial activation-associated output after UC-MSC exosome treatment.	Preserve Iba1 as the measured readout; do not infer a complete microglial phenotype.	MATERIALIZED
M21B-PROMO-171-011	M21B-DISC-14462	M21B-E010590	M21B-EVID-010536	DISCOVERY_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:38491537; PMCID:PMC10943766; DOI:10.1186/s13018-024-04651-w	Exosomes derived from umbilical cord-mesenchymal stem cells inhibit the NF-kappaB/MAPK signaling pathway and reduce the inflammatory response to promote recovery from spinal cord injury.	Primary apoptosis-marker and TUNEL assays support reduced apoptotic responses after UC-MSC exosome treatment.	Preserve apoptosis-associated marker/TUNEL layer; no single upstream mediator is inferred.	MATERIALIZED
M21B-PROMO-171-012	M21B-DISC-14463	M21B-E010591	M21B-EVID-010537	DISCOVERY_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:38491537; PMCID:PMC10943766; DOI:10.1186/s13018-024-04651-w	Exosomes derived from umbilical cord-mesenchymal stem cells inhibit the NF-kappaB/MAPK signaling pathway and reduce the inflammatory response to promote recovery from spinal cord injury.	Primary BBB assessments support improved motor recovery after UC-MSC exosome treatment.	Preserve rat BBB assay and exosome formulation; no direct molecular-to-behavior claim is inferred.	MATERIALIZED
