promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
M21B-PROMO-20260914-4F-01	M21B-DISC-15041	M21B-E011168	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	4F increases ApoE secretion from primary mouse astrocytes.	Preserve 4F dose/time and measured secretion; no transcript-to-protein or receptor mechanism inferred.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-4F-02	M21B-DISC-15042	M21B-E011169	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	4F increases lipidation of ApoE secreted from primary mouse astrocytes.	Preserve measured ApoE lipidation and no transcript-to-particle shortcut.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-4F-03	M21B-DISC-15043	M21B-E011170	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	4F increases ApoE secretion from primary human astrocytes.	Preserve human primary-astrocyte model and measured secretion; no transcript-to-protein or receptor mechanism inferred.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-4F-04	M21B-DISC-15044	M21B-E011171	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	4F increases lipidation of ApoE secreted from primary human astrocytes.	Preserve measured human ApoE lipidation and no transcript-to-particle shortcut.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-4F-05	M21B-DISC-15045	M21B-E011172	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	4F increases ApoE secretion from primary mouse microglia.	Preserve primary microglial and aggregated-Aβ42 context; no receptor or transcript-to-protein mechanism inferred.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-4F-06	M21B-DISC-15046	M21B-E011173	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	4F counteracts aggregated Aβ42-induced inhibition of ApoE secretion in primary mouse astrocytes.	Preserve aggregated Aβ42, co-treatment and measured secretion; no unobserved receptor mechanism inferred.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-4F-07	M21B-DISC-15047	M21B-E011174	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	4F counteracts aggregated Aβ42-induced inhibition of ApoE lipidation in primary mouse astrocytes.	Preserve aggregated Aβ42, co-treatment and measured lipidation; no transcript-to-particle shortcut.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-4F-08	M21B-DISC-15048	M21B-E011175	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	4F counteracts aggregated Aβ42-induced inhibition of ApoE secretion in primary human astrocytes.	Preserve aggregated Aβ42, co-treatment and measured secretion; no unobserved receptor mechanism inferred.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-4F-09	M21B-DISC-15049	M21B-E011176	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	4F counteracts aggregated Aβ42-induced inhibition of ApoE secretion in primary mouse microglia.	Preserve aggregated Aβ42, co-treatment and measured secretion; no unobserved receptor mechanism inferred.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-4F-10	M21B-DISC-15050	M21B-E011177	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	ABCA1 deficiency blocks 4F-induced ApoE secretion in murine astrocytes.	Preserve ABCA1 knockout, human ApoE3 and 4F induction; this is a requirement/epistasis result, not direct 4F-ABCA1 binding.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-4F-11	M21B-DISC-15051	M21B-E011178	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	Brefeldin A attenuates 4F-induced ApoE secretion in primary mouse astrocytes.	Preserve brefeldin A transport-inhibition context and partial attenuation; no direct 4F-target interaction inferred.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-4F-12	M21B-DISC-15052	M21B-E011179	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	Pronase E blocks 4F-induced ApoE secretion in primary mouse astrocytes.	Preserve pronase E pretreatment and unspecified cell-surface protein requirement; no receptor identity inferred.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-4F-13	M21B-DISC-15053	M21B-E011180	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	D-4F increases ApoE secretion from primary mouse astrocytes.	Preserve D-4F stereochemical formulation and measured secretion; do not equate it with 4F without formulation qualification.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-4F-14	M21B-DISC-15054	M21B-E011181	M21B-EVID-010753	candidate	promoted	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used.	PMID:30028014; PMCID:PMC6314045; DOI:10.1111/jnc.14554	HDL mimetic peptide 4F mitigates Aβ-induced inhibition of ApoE secretion and lipidation in primary astrocytes and microglia	D-4F increases lipidation of ApoE secreted from primary mouse astrocytes.	Preserve D-4F stereochemical formulation and measured lipidation; no transcript-to-particle shortcut.	MATERIALIZED_PRIMARY_ONLY
