candidate_unit_id	review_batch	normalized_ligand_key	normalized_receptor_key	disposition	matched_graph_edge_ids	supporting_primary_locators	reviewed_source_locators	evidence_layer	species_support	evidence_summary	limitations	review_status
LR:SLITRK3>PTPRS	batch_126	SLITRK3	PTPRS	already_present_exact_or_alias	M21B-E002134	PMID:23345436		receptor_proximal_or_pathway;downstream_or_functional	mixed	The public SLITRK3-PTPRS row is already represented by graph edge(s) M21B-E002134. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported Slitrk3-PTPRS synaptic adhesion, SPARC-endoglin modulation, SPON2/mindin-integrin adhesion, TFF2-CXCR4 activation, TGF-alpha-EGFR activation, TGF-beta1 ALK1 receptor-complex signaling and THBS2-alpha4beta1 adhesion at the stated molecular resolution.	Do not add a duplicate edge or collapse LAR-RPTP splice context, SPARC endoglin-alphaV crosstalk, mindin matrix-bound activation-state-dependent alpha4beta1 versus alpha5beta1 interactions, high-dose TFF2-CXCR4 signaling, TGF-alpha EGFR binding versus activation, TGF-beta1 ALK5/TGFBR2 co-receptor topology, or processed THBS2 N-terminal alpha4beta1 fragments into autonomous binary receptors. Preserve ligand domain, processed form, receptor heterodimer and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_126
LR:SPARC>ENG	batch_126	SPARC	ENG	already_present_exact_or_alias	M21B-E006389	DOI:10.1083/jcb.201011143; PMCID:PMC3216331; PMID:21708981		ligand_receptor_binding_or_activation;downstream_or_functional	mouse	The public SPARC-ENG row is already represented by graph edge(s) M21B-E006389. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported Slitrk3-PTPRS synaptic adhesion, SPARC-endoglin modulation, SPON2/mindin-integrin adhesion, TFF2-CXCR4 activation, TGF-alpha-EGFR activation, TGF-beta1 ALK1 receptor-complex signaling and THBS2-alpha4beta1 adhesion at the stated molecular resolution.	Do not add a duplicate edge or collapse LAR-RPTP splice context, SPARC endoglin-alphaV crosstalk, mindin matrix-bound activation-state-dependent alpha4beta1 versus alpha5beta1 interactions, high-dose TFF2-CXCR4 signaling, TGF-alpha EGFR binding versus activation, TGF-beta1 ALK5/TGFBR2 co-receptor topology, or processed THBS2 N-terminal alpha4beta1 fragments into autonomous binary receptors. Preserve ligand domain, processed form, receptor heterodimer and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_126
LR:SPON2>ITGA4	batch_126	SPON2	ITGA4	already_present_exact_or_alias	M21B-E005585	PMID:16105980		ligand_receptor_binding_or_activation;downstream_or_functional	both	The public SPON2-ITGA4 row is already represented by graph edge(s) M21B-E005585. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported Slitrk3-PTPRS synaptic adhesion, SPARC-endoglin modulation, SPON2/mindin-integrin adhesion, TFF2-CXCR4 activation, TGF-alpha-EGFR activation, TGF-beta1 ALK1 receptor-complex signaling and THBS2-alpha4beta1 adhesion at the stated molecular resolution.	Do not add a duplicate edge or collapse LAR-RPTP splice context, SPARC endoglin-alphaV crosstalk, mindin matrix-bound activation-state-dependent alpha4beta1 versus alpha5beta1 interactions, high-dose TFF2-CXCR4 signaling, TGF-alpha EGFR binding versus activation, TGF-beta1 ALK5/TGFBR2 co-receptor topology, or processed THBS2 N-terminal alpha4beta1 fragments into autonomous binary receptors. Preserve ligand domain, processed form, receptor heterodimer and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_126
LR:SPON2>ITGA5	batch_126	SPON2	ITGA5	already_present_exact_or_alias	M21B-E005586	PMID:16917498; PMID:29440144		ligand_receptor_binding_or_activation;downstream_or_functional	both	The public SPON2-ITGA5 row is already represented by graph edge(s) M21B-E005586. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported Slitrk3-PTPRS synaptic adhesion, SPARC-endoglin modulation, SPON2/mindin-integrin adhesion, TFF2-CXCR4 activation, TGF-alpha-EGFR activation, TGF-beta1 ALK1 receptor-complex signaling and THBS2-alpha4beta1 adhesion at the stated molecular resolution.	Do not add a duplicate edge or collapse LAR-RPTP splice context, SPARC endoglin-alphaV crosstalk, mindin matrix-bound activation-state-dependent alpha4beta1 versus alpha5beta1 interactions, high-dose TFF2-CXCR4 signaling, TGF-alpha EGFR binding versus activation, TGF-beta1 ALK5/TGFBR2 co-receptor topology, or processed THBS2 N-terminal alpha4beta1 fragments into autonomous binary receptors. Preserve ligand domain, processed form, receptor heterodimer and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_126
LR:SPON2>ITGB1	batch_126	SPON2	ITGB1	already_present_exact_or_alias	M21B-E005585;M21B-E005586	PMID:16105980; PMID:16917498; PMID:29440144		ligand_receptor_binding_or_activation;downstream_or_functional	both	The public SPON2-ITGB1 row is already represented by graph edge(s) M21B-E005585;M21B-E005586. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported Slitrk3-PTPRS synaptic adhesion, SPARC-endoglin modulation, SPON2/mindin-integrin adhesion, TFF2-CXCR4 activation, TGF-alpha-EGFR activation, TGF-beta1 ALK1 receptor-complex signaling and THBS2-alpha4beta1 adhesion at the stated molecular resolution.	Do not add a duplicate edge or collapse LAR-RPTP splice context, SPARC endoglin-alphaV crosstalk, mindin matrix-bound activation-state-dependent alpha4beta1 versus alpha5beta1 interactions, high-dose TFF2-CXCR4 signaling, TGF-alpha EGFR binding versus activation, TGF-beta1 ALK5/TGFBR2 co-receptor topology, or processed THBS2 N-terminal alpha4beta1 fragments into autonomous binary receptors. Preserve ligand domain, processed form, receptor heterodimer and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_126
LR:TFF2>CXCR4	batch_126	TFF2	CXCR4	already_present_exact_or_alias	M21B-E007076	PMID:19064997		ligand_receptor_binding_or_activation;downstream_or_functional	both	The public TFF2-CXCR4 row is already represented by graph edge(s) M21B-E007076. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported Slitrk3-PTPRS synaptic adhesion, SPARC-endoglin modulation, SPON2/mindin-integrin adhesion, TFF2-CXCR4 activation, TGF-alpha-EGFR activation, TGF-beta1 ALK1 receptor-complex signaling and THBS2-alpha4beta1 adhesion at the stated molecular resolution.	Do not add a duplicate edge or collapse LAR-RPTP splice context, SPARC endoglin-alphaV crosstalk, mindin matrix-bound activation-state-dependent alpha4beta1 versus alpha5beta1 interactions, high-dose TFF2-CXCR4 signaling, TGF-alpha EGFR binding versus activation, TGF-beta1 ALK5/TGFBR2 co-receptor topology, or processed THBS2 N-terminal alpha4beta1 fragments into autonomous binary receptors. Preserve ligand domain, processed form, receptor heterodimer and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_126
LR:TGFA>EGFR	batch_126	TGFA	EGFR	already_present_exact_or_alias	M21B-E000392;M21B-E001733	DOI:10.1021/bi00441a033; PMID:2755700; PMID:2790004		ligand_receptor_binding_or_activation;receptor_proximal_or_pathway;downstream_or_functional	human	The public TGFA-EGFR row is already represented by graph edge(s) M21B-E000392;M21B-E001733. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported Slitrk3-PTPRS synaptic adhesion, SPARC-endoglin modulation, SPON2/mindin-integrin adhesion, TFF2-CXCR4 activation, TGF-alpha-EGFR activation, TGF-beta1 ALK1 receptor-complex signaling and THBS2-alpha4beta1 adhesion at the stated molecular resolution.	Do not add a duplicate edge or collapse LAR-RPTP splice context, SPARC endoglin-alphaV crosstalk, mindin matrix-bound activation-state-dependent alpha4beta1 versus alpha5beta1 interactions, high-dose TFF2-CXCR4 signaling, TGF-alpha EGFR binding versus activation, TGF-beta1 ALK5/TGFBR2 co-receptor topology, or processed THBS2 N-terminal alpha4beta1 fragments into autonomous binary receptors. Preserve ligand domain, processed form, receptor heterodimer and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_126
LR:TGFB1>ACVRL1	batch_126	TGFB1	ACVRL1	already_present_exact_or_alias	M21B-E007015	DOI:10.1016/S1097-2765(03)00386-1; PMID:14580334		ligand_receptor_binding_or_activation;receptor_proximal_or_pathway;downstream_or_functional	both	The public TGFB1-ACVRL1 row is already represented by graph edge(s) M21B-E007015. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported Slitrk3-PTPRS synaptic adhesion, SPARC-endoglin modulation, SPON2/mindin-integrin adhesion, TFF2-CXCR4 activation, TGF-alpha-EGFR activation, TGF-beta1 ALK1 receptor-complex signaling and THBS2-alpha4beta1 adhesion at the stated molecular resolution.	Do not add a duplicate edge or collapse LAR-RPTP splice context, SPARC endoglin-alphaV crosstalk, mindin matrix-bound activation-state-dependent alpha4beta1 versus alpha5beta1 interactions, high-dose TFF2-CXCR4 signaling, TGF-alpha EGFR binding versus activation, TGF-beta1 ALK5/TGFBR2 co-receptor topology, or processed THBS2 N-terminal alpha4beta1 fragments into autonomous binary receptors. Preserve ligand domain, processed form, receptor heterodimer and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_126
LR:THBS2>ITGA4	batch_126	THBS2	ITGA4	already_present_exact_or_alias	M21B-E006995;M23B-E000734	DOI:10.1083/jcb.200109098; PMCID:PMC2173289; PMID:11980922		ligand_receptor_binding_or_activation;downstream_or_functional;contextual_or_unresolved	human	The public THBS2-ITGA4 row is already represented by graph edge(s) M21B-E006995;M23B-E000734. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported Slitrk3-PTPRS synaptic adhesion, SPARC-endoglin modulation, SPON2/mindin-integrin adhesion, TFF2-CXCR4 activation, TGF-alpha-EGFR activation, TGF-beta1 ALK1 receptor-complex signaling and THBS2-alpha4beta1 adhesion at the stated molecular resolution.	Do not add a duplicate edge or collapse LAR-RPTP splice context, SPARC endoglin-alphaV crosstalk, mindin matrix-bound activation-state-dependent alpha4beta1 versus alpha5beta1 interactions, high-dose TFF2-CXCR4 signaling, TGF-alpha EGFR binding versus activation, TGF-beta1 ALK5/TGFBR2 co-receptor topology, or processed THBS2 N-terminal alpha4beta1 fragments into autonomous binary receptors. Preserve ligand domain, processed form, receptor heterodimer and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_126
LR:THBS2>ITGB1	batch_126	THBS2	ITGB1	already_present_exact_or_alias	M21B-E006995;M23B-E000734	DOI:10.1083/jcb.200109098; PMCID:PMC2173289; PMID:11980922		ligand_receptor_binding_or_activation;downstream_or_functional;contextual_or_unresolved	human	The public THBS2-ITGB1 row is already represented by graph edge(s) M21B-E006995;M23B-E000734. The public locators are pathway or database records, while the existing graph edge-source records provide primary-supported Slitrk3-PTPRS synaptic adhesion, SPARC-endoglin modulation, SPON2/mindin-integrin adhesion, TFF2-CXCR4 activation, TGF-alpha-EGFR activation, TGF-beta1 ALK1 receptor-complex signaling and THBS2-alpha4beta1 adhesion at the stated molecular resolution.	Do not add a duplicate edge or collapse LAR-RPTP splice context, SPARC endoglin-alphaV crosstalk, mindin matrix-bound activation-state-dependent alpha4beta1 versus alpha5beta1 interactions, high-dose TFF2-CXCR4 signaling, TGF-alpha EGFR binding versus activation, TGF-beta1 ALK5/TGFBR2 co-receptor topology, or processed THBS2 N-terminal alpha4beta1 fragments into autonomous binary receptors. Preserve ligand domain, processed form, receptor heterodimer and co-receptor resolution, species and assay limits, and the distinction between binding, receptor-proximal signaling and functional output; the existing edges do not assert a universal intracellular cascade or terminal TF route.	reviewed_batch_126
