review_id	pair_key	pair_label_canonical	review_status	confidence_decision	mouse_confidence	mouse_confidence_rank	human_confidence	human_confidence_rank	human_evidence_present	receptor_state	receptor_role	directness	species_posture	decision_basis	evidence_register_ids	next_action
M20A-EXT-0005	ccl2 ackr2	Ccl2 Ackr2	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction; atypical receptor or receptor-complex topology, ligand form, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-005344-P2-DIRECT.	M20A-MEDHIGH007-EVID-0001	retain_high_direct_molecular_evidence; preserve_topology_and_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0067	ccl19 ackr4	Ccl19 Ackr4	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction; atypical receptor or receptor-complex topology, ligand form, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-005248-P2-DIRECT.	M20A-MEDHIGH007-EVID-0002	retain_high_direct_molecular_evidence; preserve_topology_and_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0068	ccl2 ackr1	Ccl2 Ackr1	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction; atypical receptor or receptor-complex topology, ligand form, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-005254-P2-DIRECT.	M20A-MEDHIGH007-EVID-0003	retain_high_direct_molecular_evidence; preserve_topology_and_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0069	ccl21 ackr4	Ccl21 Ackr4	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction; atypical receptor or receptor-complex topology, ligand form, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-005251-P2-DIRECT.	M20A-MEDHIGH007-EVID-0004	retain_high_direct_molecular_evidence; preserve_topology_and_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0109	fgf23 fgfr1	Fgf23 Fgfr1	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction; atypical receptor or receptor-complex topology, ligand form, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-005260-P2-DIRECT.	M20A-MEDHIGH007-EVID-0005	retain_high_direct_molecular_evidence; preserve_topology_and_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0115	fgf5 fgfr1	Fgf5 Fgfr1	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction; atypical receptor or receptor-complex topology, ligand form, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-005269-P2-DIRECT.	M20A-MEDHIGH007-EVID-0006	retain_high_direct_molecular_evidence; preserve_topology_and_context; keep_relay_and_SCI_fields_separate
M20A-EXT-0116	fgf5 fgfr2	Fgf5 Fgfr2	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction; atypical receptor or receptor-complex topology, ligand form, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-005270-P2-DIRECT.	M20A-MEDHIGH007-EVID-0007	retain_high_direct_molecular_evidence; preserve_topology_and_context; keep_relay_and_SCI_fields_separate
M20A-EXT-1062	ccl20 ackr4	Ccl20 Ackr4	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction; atypical receptor or receptor-complex topology, ligand form, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-005293-P2-DIRECT.	M20A-MEDHIGH007-EVID-0008	retain_high_direct_molecular_evidence; preserve_topology_and_context; keep_relay_and_SCI_fields_separate
M20A-EXT-2332	lama5 bcam	Lama5 Bcam	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction; atypical receptor or receptor-complex topology, ligand form, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004107-P2-DIRECT.	M20A-MEDHIGH007-EVID-0009	retain_high_direct_molecular_evidence; preserve_topology_and_context; keep_relay_and_SCI_fields_separate
M20A-EXT-2349	lep lepr	Lep Lepr	reviewed	high	high	3	uncertain	0	no	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_associated_molecular_role	exact_primary_direct_molecular_or_preserved_complex	species_scoped_to_exact_primary_packet; no_unlisted_species_inference	Exact pair-specific primary direct-molecular or explicitly preserved receptor-complex evidence was validated at high tier in Module 20B. High applies only to the tested molecular interaction; atypical receptor or receptor-complex topology, ligand form, isoform, species, assay, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred. Source packet: M20B-EVID-004124-P2-DIRECT.	M20A-MEDHIGH007-EVID-0010	retain_high_direct_molecular_evidence; preserve_topology_and_context; keep_relay_and_SCI_fields_separate
