expansion_id	source_queue_id	route_status	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-3591	M21B-DOWNSTREAM:00312	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE00598	ANXA1/Annexin A1	M21B-E000709	NODE03812	FPR2/ALX												ANXA1-FPR2 receptor activation, calcium mobilization and ERK/MAPK output			ANXA1-FPR2-activation	validated_ligand_receptor_edge	primary_functional_output	M21B-E000709; M21B-EVID-000652; PMID:22610094; PMCID:PMC3397896	M21B-DOWNSTREAM-EVID:000513	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3591	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	Human ANXA1 and Ac2-26 peptide with FPR1/FPR2 chimeras in HEK293 and neutrophil-like systems	Extracellular annexin-A1 to plasma-membrane FPR2	No SCI transfer inferred; primary model context only	Primary evidence supports ANXA1/FPR2 receptor activation with calcium and ERK/MAPK-associated readouts while leaving the intracellular relay unresolved.	FPR1/FPR2 chimeras, receptor-domain swaps, calcium mobilization and ERK/MAPK-associated signaling assays	activating	direct_edge	PMID:22610094; PMCID:PMC3397896; DOI:10.1074/jbc.M112.377101	Primary annexin-A1-FPR2 receptor activation evidence	Primary-supported claim: FPR2/ALX is the principal full-length annexin-A1 receptor, with receptor-domain mapping linking ANXA1 or Ac2-26 engagement to calcium and ERK/MAPK-associated signaling readouts.	Preserve full-length ANXA1 versus N-terminal peptide, FPR2 ligand bias and chimeric-receptor domain-mapping limits; no universal FPR1 equivalence, CNS/SCI weighting or terminal-TF inference.	curated_primary_route	LITEXP:003641
M21B-LITEXP-3592	M21B-DOWNSTREAM:00295	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE07200	MIF/macrophage migration inhibitory factor	M21B-E000687	NODE01953	CD74:CD44 receptor complex												MIF-CD74:CD44 phosphorylation, ERK1/2 activation and apoptosis-protection output			MIF-CD74-CD44-ERK	validated_ligand_receptor_edge	primary_functional_output	M21B-E000687; M21B-EVID-000630; PMID:12782713; PMCID:PMC2193907; PMID:17045821	M21B-DOWNSTREAM-EVID:000482	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3592	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	CD74/CD44-deficient and reconstituted COS-7/M6, monocyte/macrophage and B-cell comparator systems	Extracellular MIF to the CD74:CD44 receptor complex	No SCI transfer inferred; primary model context only	Primary evidence supports MIF binding through CD74 with CD44-dependent ERK1/2 activation and apoptosis-protection readouts; the intracellular relay is not fully resolved here.	MIF binding, CD74/CD44 phosphorylation and internalization, Src/ERK signaling and apoptosis-protection assays	activating	direct_edge	PMID:12782713; PMCID:PMC2193907; DOI:10.1084/jem.20030286; PMID:17045821	Primary MIF-CD74:CD44 receptor-complex signaling evidence	Primary-supported claim: CD74 is the MIF ligand-binding component and CD44 is the required signaling component; MIF engagement is associated with CD74 phosphorylation/internalization, CD44-dependent ERK1/2 activation and apoptosis protection.	CD74 is the ligand-binding component and CD44 the signaling component; MIF does not directly bind CD44. Preserve receptor-complex and cell-context semantics; no CNS/SCI inference.	curated_primary_route	LITEXP:003642
M21B-LITEXP-3593	M21B-DOWNSTREAM:00342	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE09950	S100A8/A9	M21B-E000878	NODE09581	RAGE/AGER												S100A8/A9-RAGE MAPK/NF-kB and inflammatory proliferation output			S100A8A9-RAGE-inflammation	validated_ligand_receptor_edge	primary_functional_output	M21B-E000878; M21B-EVID-000821; PMID:18339893; PMID:16297907	M21B-DOWNSTREAM-EVID:000578	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3593	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	Human prostate, breast and related tumor-cell systems with purified S100A8/A9 and RAGE perturbation	Extracellular S100A8/A9 to plasma-membrane RAGE	No SCI transfer inferred; primary model context only	Primary evidence supports extracellular S100A8/A9-RAGE engagement with concentration-dependent MAPK/NF-kB and proliferation readouts.	Purified S100A8/A9, RAGE knockdown or blocking antibody, RAGE-fragment protection, MAPK phosphorylation, NF-kB activation and proliferation assays	activating	direct_edge	PMID:18339893; PMID:16297907	Primary S100A8/A9-RAGE inflammatory signaling evidence	Primary-supported claim: Extracellular S100A8/A9 engages RAGE and activates concentration-dependent MAPK and NF-kB signaling with proliferative/inflammatory outputs.	Preserve concentration, oligomer-form and tumor-cell boundaries; retain uncertainty around S100A8/A9 heterodimer/homodimer semantics and make no SCI inference.	curated_primary_route	LITEXP:003643
M21B-LITEXP-3594	M21B-DOWNSTREAM:00344	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE09964	S100B	M21B-E000880	NODE09581	RAGE/AGER												S100B-RAGE neuronal survival and growth output			S100B-RAGE-neuronal-growth	validated_ligand_receptor_edge	primary_functional_output	M21B-E000880; M21B-EVID-000823; PMID:17660747	M21B-DOWNSTREAM-EVID:000582	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3594	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	Recombinant calcium-loaded S100B oligomers with RAGE binding, receptor-dimerization and neuronal/cell-growth assays	Extracellular multimeric S100B to plasma-membrane RAGE	No SCI transfer inferred; primary model context only	Primary evidence supports multimeric S100B-RAGE binding, receptor dimerization and concentration-dependent neuronal survival/growth responses.	S100B oligomer biochemistry, RAGE binding/dimerization and neuronal survival/growth assays	activating	direct_edge	PMID:17660747	Primary S100B-RAGE neuronal growth and survival evidence	Primary-supported claim: Multimeric calcium-loaded S100B binds RAGE, induces receptor dimerization and produces concentration-dependent neuronal survival/growth responses.	Preserve oligomeric and trophic-versus-toxic dose boundaries; no SCI inference or terminal-TF claim.	curated_primary_route	LITEXP:003644
M21B-LITEXP-3595	M21B-DOWNSTREAM:00339	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02782	DCN/Decorin	M21B-E000867	NODE03103	EGFR												Decorin-EGFR autophosphorylation and MAPK/p21 output			decorin-EGFR-MAPK	validated_ligand_receptor_edge	primary_functional_output	M21B-E000867; M21B-EVID-000810; PMID:9988678; PMID:12105206	M21B-DOWNSTREAM-EVID:000573	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3595	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	as stated in primary model/assay	Purified decorin and EGFR preparations with carcinoma-cell phosphorylation, MAPK and p21 assays	Extracellular decorin to plasma-membrane EGFR	No SCI transfer inferred; primary model context only	Primary evidence supports decorin binding to EGFR, receptor dimerization/autophosphorylation and MAPK/p21-associated readouts.	Decorin-EGFR binding and EGFR L2 mapping, receptor phosphorylation, MAPK and p21 assays	activating	direct_edge	PMID:9988678; PMID:12105206	Primary decorin-EGFR receptor response evidence	Primary-supported claim: Decorin directly binds EGFR, induces receptor dimerization/autophosphorylation and triggers MAPK/p21 responses.	Preserve soluble decorin, EGFR-domain and carcinoma-cell context; no SCI inference or terminal-TF claim.	curated_primary_route	LITEXP:003645
M21B-LITEXP-3596	M21B-DOWNSTREAM:00306	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE00296	ADIPOQ/adiponectin	M21B-E000700	NODE06190	LAIR1/CD305												Globular adiponectin-LAIR1-dependent inhibition of T-cell activation			adiponectin-LAIR1-inhibitory-signaling	validated_ligand_receptor_edge	primary_functional_output	M21B-E000700; M21B-EVID-000643; PMID:34403808; DOI:10.1016/j.bbrc.2021.08.025	M21B-DOWNSTREAM-EVID:000503	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3596	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	Globular human adiponectin with LAIR1-expressing HEK293 or T-cell systems and SHP-2 readouts	Extracellular globular adiponectin to plasma-membrane LAIR1	No SCI transfer inferred; primary model context only	Primary evidence supports globular adiponectin-LAIR1 interaction and LAIR1-dependent inhibitory T-cell output involving SHP-2.	Adiponectin-LAIR1 binding/interactions, LAIR1 blockade or knockdown, T-cell activation and SHP-2 assays	inhibitory	direct_edge	PMID:34403808; DOI:10.1016/j.bbrc.2021.08.025	Primary adiponectin-LAIR1 inhibitory signaling evidence	Primary-supported claim: Globular adiponectin interacts with LAIR1 and produces LAIR1-dependent inhibition of T-cell activation involving SHP-2.	Restrict to the globular adiponectin domain and LAIR1-dependent T-cell inhibition; preserve oligomer/domain context and make no metabolic, SCI or terminal-TF inference.	curated_primary_route	LITEXP:003646
M21B-LITEXP-3597	M21B-DOWNSTREAM:00309	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phagocytosis_or_engulfment	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE10241	SFTPD/surfactant protein D	M21B-E000703	NODE10313	SIRPA/SIRPalpha												SP-D-SIRPA-dependent suppression of macrophage phagocytosis			SP-D-SIRPA-phagocytosis-checkpoint	validated_ligand_receptor_edge	primary_functional_output	M21B-E000703; M21B-EVID-000646; PMID:22511785; PMCID:PMC3365977; PMID:14531999; PMCID:PMC2453510	M21B-DOWNSTREAM-EVID:000509	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3597	mechanism_evidence_v1	supports	not_evaluated	source_claim	phagocytosis_or_engulfment	human; mouse	SP-D/SIRPA binding systems, human neutrophils, J774A.1 cells and murine alveolar macrophages	Extracellular soluble collectin to plasma-membrane SIRPA	No SCI transfer inferred; pulmonary and macrophage comparator models	Primary evidence supports SP-D binding to SIRPA and SIRPA-dependent suppression of macrophage phagocytosis while leaving the downstream relay unresolved.	SP-D/SIRPA ectodomain mapping, glycosylation variants, macrophage phagocytosis, SIRPA blockade and SHP/Rho-pathway perturbation	inhibitory	direct_edge	PMID:22511785; PMCID:PMC3365977; DOI:10.1074/jbc.M111.324533; PMID:14531999; DOI:10.1016/S0092-8674(03)00758-X; PMCID:PMC2453510	Primary SP-D-SIRPA phagocytosis-checkpoint evidence	Primary-supported claim: SP-D binds the membrane-proximal D3 domain of SIRPA, and macrophage assays support SIRPA-dependent suppression of phagocytosis.	Preserve calcium/carbohydrate-dependent SP-D binding, soluble collectin/membrane-receptor geometry and older macrophage-checkpoint context; no CNS/SCI weighting or terminal-TF inference.	curated_primary_route	LITEXP:003647
M21B-LITEXP-3598	M21B-DOWNSTREAM:00293	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE03677	FGL1/fibrinogen-like protein 1	M21B-E000684	NODE06186	LAG3/CD223												FGL1-LAG3-dependent inhibition of antigen-specific T-cell activation			FGL1-LAG3-immune-checkpoint	validated_ligand_receptor_edge	primary_functional_output	M21B-E000684; M21B-EVID-000627; PMID:30580966; PMCID:PMC6365968; DOI:10.1016/j.cell.2018.11.010	M21B-DOWNSTREAM-EVID:000478	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3598	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	Human FGL1-producing cancer-cell and recombinant-ligand systems with mouse antigen-specific T-cell and tumor models	Extracellular soluble FGL1 to plasma-membrane LAG3	Tumor/T-cell comparator context; no SCI transfer inferred	Primary evidence supports FGL1-LAG3-dependent inhibition of antigen-specific T-cell activation with blockade-sensitive output.	FGL1/LAG3 ligand-receptor blockade, antigen-specific T-cell activation and tumor-immunity assays	inhibitory	direct_edge	PMID:30580966; PMCID:PMC6365968; DOI:10.1016/j.cell.2018.11.010	Primary FGL1-LAG3 immune-checkpoint evidence	Primary-supported claim: FGL1 is a functional MHC-II-independent LAG3 ligand whose engagement inhibits antigen-specific T-cell activation and tumor immunity, with blockade reversing the effect.	Preserve soluble liver-secreted FGL1, MHC-II-independent ligand semantics and tumor/T-cell context; no universal LAG3 intracellular mechanism or SCI inference.	curated_primary_route	LITEXP:003648
M21B-LITEXP-3599	M21B-DOWNSTREAM:00302	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|reporter_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE11285	TNR/tenascin-R	M21B-E000696	NODE11122	TLR4 receptor complex												Tenascin-R FBG-TLR4 NF-kB reporter and cytokine output			TNR-TLR4-sterile-inflammation	validated_ligand_receptor_edge	primary_functional_output	M21B-E000696; M21B-EVID-000639; PMID:29150600; PMCID:PMC5693923; DOI:10.1038/s41598-017-13704-0	M21B-DOWNSTREAM-EVID:000495	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3599	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	human	Tenascin-R FBG/TLR4 binding, THP-1 NF-kB reporter and primary human macrophage cytokine assays	Tenascin-R FBG domain to TLR4 receptor complex	No SCI transfer inferred; sterile-inflammation comparator	Primary evidence supports tenascin-R FBG binding to TLR4 and TLR4-dependent NF-kB/cytokine activity while leaving the intracellular relay unresolved.	Recombinant FBG domain, TLR4 ectodomain binding, TLR4 blockade/TAK-242, NF-kB reporter and cytokine assays with endotoxin controls	activating	direct_edge	PMID:29150600; PMCID:PMC5693923; DOI:10.1038/s41598-017-13704-0	Primary tenascin-R-TLR4 NF-kB and cytokine evidence	Primary-supported claim: Tenascin-R FBG directly binds TLR4 and produces TLR4-dependent NF-kB reporter and cytokine activity in innate immune assays.	Restrict to the tenascin-R FBG domain and TLR4-dependent inflammatory activity; distinguish from tenascin-C and tenascin-W and make no SCI or terminal-TF inference.	curated_primary_route	LITEXP:003649
M21B-LITEXP-3600	M21B-DOWNSTREAM:00305	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|reporter_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE10241	SFTPD/surfactant protein D	M21B-E000699	NODE08577	OSCAR												SP-D-OSCAR NFAT reporter and TNF-alpha release output			SP-D-OSCAR-myeloid-activation	validated_ligand_receptor_edge	primary_functional_output	M21B-E000699; M21B-EVID-000642; PMCID:PMC4369396; DOI:10.1152/ajplung.00310.2014	M21B-DOWNSTREAM-EVID:000500	literature_expansion:bounded_ligand_receptor_output_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3600	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	human; rat	SP-D/OSCAR binding systems, OSCAR-CD3-zeta NFAT reporter cells, human CCR2-positive monocytes and alveolar macrophage comparators	Extracellular soluble SP-D to plasma-membrane OSCAR	No SCI transfer inferred; pulmonary and myeloid comparator models	Primary evidence supports soluble SP-D binding to OSCAR and OSCAR-dependent NFAT reporter activation with TNF-alpha release.	SP-D/OSCAR binding, OSCAR-CD3-zeta NFAT-GFP reporter, primary monocyte activation and TNF-alpha release assays	activating	direct_edge	PMCID:PMC4369396; DOI:10.1152/ajplung.00310.2014	Primary SP-D-OSCAR myeloid activation evidence	Primary-supported claim: Soluble SP-D binds OSCAR and produces OSCAR-dependent NFAT reporter activation and TNF-alpha release in human inflammatory monocytes.	Preserve OSCAR as a myeloid immunoreceptor, multimeric soluble SP-D and CCR2-positive monocyte context; distinguish from inhibitory LAIR1 signaling and make no SCI or terminal-TF inference.	curated_primary_route	LITEXP:003650
