review_id	pair_key	pair_label_canonical	final_class	source_locators	species_support	support_kind	evidence_summary	limitations	review_notes
M20A-LIANA-REMAINING-0152	gdf9 acvr1b_bmpr2	Gdf9 Acvr1b_bmpr2	retain_manual	PMID:16603567 https://pubmed.ncbi.nlm.nih.gov/16603567/; EuropePMC:https://europepmc.org/article/MED/16603567; PMID:25253739 https://pubmed.ncbi.nlm.nih.gov/25253739/; EuropePMC:https://europepmc.org/article/MED/25253739	Mouse granulosa-cell and recombinant GDF9 systems	receptor activation; complex-model evidence	BMPR2 ectodomain blockade and ALK5/BMPRII perturbation supported GDF9 signaling, but ACVR1B_BMPR2 was not directly isolated.	Supports a BMPR2/ALK5-family model, not an exact ACVR1B_BMPR2 assay.	Independent PubMed, Europe PMC, and primary/authoritative-source re-review; no expression-only, pathway-only, family-only, or search-snippet evidence was used for promotion.
M20A-CELLCHAT-REMAINING-0768	glu-slc17a6_gls grik3_grik4	Glu-SLC17A6_GLS GRIK3_GRIK4	non_ligand_receptor	PMID:20026616 https://pubmed.ncbi.nlm.nih.gov/20026616/; EuropePMC:https://europepmc.org/article/MED/20026616; PMID:25139762 https://pubmed.ncbi.nlm.nih.gov/25139762/; EuropePMC:https://europepmc.org/article/MED/25139762; PMID:34706237 https://pubmed.ncbi.nlm.nih.gov/34706237/; EuropePMC:https://europepmc.org/article/MED/34706237	Recombinant kainate receptors and Xenopus oocytes/HEK	ligand identity failure; family/complex evidence	Glutamate activated kainate receptors in electrophysiology, but the submitted SLC/GLS source is not molecular glutamate and no exact GluK3_GluK4/GluK3_GluK5 assay qualified.	Transporter/glutaminase components do not constitute the released ligand.	Independent PubMed, Europe PMC, and primary/authoritative-source re-review; no expression-only, pathway-only, family-only, or search-snippet evidence was used for promotion.
M20A-CELLCHAT-REMAINING-0769	glu-slc17a6_gls grik3_grik5	Glu-SLC17A6_GLS GRIK3_GRIK5	non_ligand_receptor	PMID:20026616 https://pubmed.ncbi.nlm.nih.gov/20026616/; EuropePMC:https://europepmc.org/article/MED/20026616; PMID:25139762 https://pubmed.ncbi.nlm.nih.gov/25139762/; EuropePMC:https://europepmc.org/article/MED/25139762; PMID:34706237 https://pubmed.ncbi.nlm.nih.gov/34706237/; EuropePMC:https://europepmc.org/article/MED/34706237	Recombinant kainate receptors and Xenopus oocytes/HEK	ligand identity failure; family/complex evidence	Glutamate activated kainate receptors in electrophysiology, but the submitted SLC/GLS source is not molecular glutamate and no exact GluK3_GluK4/GluK3_GluK5 assay qualified.	Transporter/glutaminase components do not constitute the released ligand.	Independent PubMed, Europe PMC, and primary/authoritative-source re-review; no expression-only, pathway-only, family-only, or search-snippet evidence was used for promotion.
M20A-CELLCHAT-REMAINING-0793	glu-slc17a6_gls2 grik3_grik4	Glu-SLC17A6_GLS2 GRIK3_GRIK4	non_ligand_receptor	PMID:20026616 https://pubmed.ncbi.nlm.nih.gov/20026616/; EuropePMC:https://europepmc.org/article/MED/20026616; PMID:25139762 https://pubmed.ncbi.nlm.nih.gov/25139762/; EuropePMC:https://europepmc.org/article/MED/25139762; PMID:34706237 https://pubmed.ncbi.nlm.nih.gov/34706237/; EuropePMC:https://europepmc.org/article/MED/34706237	Recombinant kainate receptors and Xenopus oocytes/HEK	ligand identity failure; family/complex evidence	Glutamate activated kainate receptors in electrophysiology, but the submitted SLC/GLS source is not molecular glutamate and no exact GluK3_GluK4/GluK3_GluK5 assay qualified.	Transporter/glutaminase components do not constitute the released ligand.	Independent PubMed, Europe PMC, and primary/authoritative-source re-review; no expression-only, pathway-only, family-only, or search-snippet evidence was used for promotion.
M20A-CELLCHAT-REMAINING-0794	glu-slc17a6_gls2 grik3_grik5	Glu-SLC17A6_GLS2 GRIK3_GRIK5	non_ligand_receptor	PMID:20026616 https://pubmed.ncbi.nlm.nih.gov/20026616/; EuropePMC:https://europepmc.org/article/MED/20026616; PMID:25139762 https://pubmed.ncbi.nlm.nih.gov/25139762/; EuropePMC:https://europepmc.org/article/MED/25139762; PMID:34706237 https://pubmed.ncbi.nlm.nih.gov/34706237/; EuropePMC:https://europepmc.org/article/MED/34706237	Recombinant kainate receptors and Xenopus oocytes/HEK	ligand identity failure; family/complex evidence	Glutamate activated kainate receptors in electrophysiology, but the submitted SLC/GLS source is not molecular glutamate and no exact GluK3_GluK4/GluK3_GluK5 assay qualified.	Transporter/glutaminase components do not constitute the released ligand.	Independent PubMed, Europe PMC, and primary/authoritative-source re-review; no expression-only, pathway-only, family-only, or search-snippet evidence was used for promotion.
M20A-CELLCHAT-REMAINING-0818	glu-slc17a7_gls grik3_grik4	Glu-SLC17A7_GLS GRIK3_GRIK4	non_ligand_receptor	PMID:20026616 https://pubmed.ncbi.nlm.nih.gov/20026616/; EuropePMC:https://europepmc.org/article/MED/20026616; PMID:25139762 https://pubmed.ncbi.nlm.nih.gov/25139762/; EuropePMC:https://europepmc.org/article/MED/25139762; PMID:34706237 https://pubmed.ncbi.nlm.nih.gov/34706237/; EuropePMC:https://europepmc.org/article/MED/34706237	Recombinant kainate receptors and Xenopus oocytes/HEK	ligand identity failure; family/complex evidence	Glutamate activated kainate receptors in electrophysiology, but the submitted SLC/GLS source is not molecular glutamate and no exact GluK3_GluK4/GluK3_GluK5 assay qualified.	Transporter/glutaminase components do not constitute the released ligand.	Independent PubMed, Europe PMC, and primary/authoritative-source re-review; no expression-only, pathway-only, family-only, or search-snippet evidence was used for promotion.
M20A-CELLCHAT-REMAINING-0819	glu-slc17a7_gls grik3_grik5	Glu-SLC17A7_GLS GRIK3_GRIK5	non_ligand_receptor	PMID:20026616 https://pubmed.ncbi.nlm.nih.gov/20026616/; EuropePMC:https://europepmc.org/article/MED/20026616; PMID:25139762 https://pubmed.ncbi.nlm.nih.gov/25139762/; EuropePMC:https://europepmc.org/article/MED/25139762; PMID:34706237 https://pubmed.ncbi.nlm.nih.gov/34706237/; EuropePMC:https://europepmc.org/article/MED/34706237	Recombinant kainate receptors and Xenopus oocytes/HEK	ligand identity failure; family/complex evidence	Glutamate activated kainate receptors in electrophysiology, but the submitted SLC/GLS source is not molecular glutamate and no exact GluK3_GluK4/GluK3_GluK5 assay qualified.	Transporter/glutaminase components do not constitute the released ligand.	Independent PubMed, Europe PMC, and primary/authoritative-source re-review; no expression-only, pathway-only, family-only, or search-snippet evidence was used for promotion.
M20A-CELLCHAT-REMAINING-0843	glu-slc17a7_gls2 grik3_grik4	Glu-SLC17A7_GLS2 GRIK3_GRIK4	non_ligand_receptor	PMID:20026616 https://pubmed.ncbi.nlm.nih.gov/20026616/; EuropePMC:https://europepmc.org/article/MED/20026616; PMID:25139762 https://pubmed.ncbi.nlm.nih.gov/25139762/; EuropePMC:https://europepmc.org/article/MED/25139762; PMID:34706237 https://pubmed.ncbi.nlm.nih.gov/34706237/; EuropePMC:https://europepmc.org/article/MED/34706237	Recombinant kainate receptors and Xenopus oocytes/HEK	ligand identity failure; family/complex evidence	Glutamate activated kainate receptors in electrophysiology, but the submitted SLC/GLS source is not molecular glutamate and no exact GluK3_GluK4/GluK3_GluK5 assay qualified.	Transporter/glutaminase components do not constitute the released ligand.	Independent PubMed, Europe PMC, and primary/authoritative-source re-review; no expression-only, pathway-only, family-only, or search-snippet evidence was used for promotion.
M20A-CELLCHAT-REMAINING-0844	glu-slc17a7_gls2 grik3_grik5	Glu-SLC17A7_GLS2 GRIK3_GRIK5	non_ligand_receptor	PMID:20026616 https://pubmed.ncbi.nlm.nih.gov/20026616/; EuropePMC:https://europepmc.org/article/MED/20026616; PMID:25139762 https://pubmed.ncbi.nlm.nih.gov/25139762/; EuropePMC:https://europepmc.org/article/MED/25139762; PMID:34706237 https://pubmed.ncbi.nlm.nih.gov/34706237/; EuropePMC:https://europepmc.org/article/MED/34706237	Recombinant kainate receptors and Xenopus oocytes/HEK	ligand identity failure; family/complex evidence	Glutamate activated kainate receptors in electrophysiology, but the submitted SLC/GLS source is not molecular glutamate and no exact GluK3_GluK4/GluK3_GluK5 assay qualified.	Transporter/glutaminase components do not constitute the released ligand.	Independent PubMed, Europe PMC, and primary/authoritative-source re-review; no expression-only, pathway-only, family-only, or search-snippet evidence was used for promotion.
M20A-CELLCHAT-REMAINING-0868	glu-slc17a8_gls grik3_grik4	Glu-SLC17A8_GLS GRIK3_GRIK4	non_ligand_receptor	PMID:20026616 https://pubmed.ncbi.nlm.nih.gov/20026616/; EuropePMC:https://europepmc.org/article/MED/20026616; PMID:25139762 https://pubmed.ncbi.nlm.nih.gov/25139762/; EuropePMC:https://europepmc.org/article/MED/25139762; PMID:34706237 https://pubmed.ncbi.nlm.nih.gov/34706237/; EuropePMC:https://europepmc.org/article/MED/34706237	Recombinant kainate receptors and Xenopus oocytes/HEK	ligand identity failure; family/complex evidence	Glutamate activated kainate receptors in electrophysiology, but the submitted SLC/GLS source is not molecular glutamate and no exact GluK3_GluK4/GluK3_GluK5 assay qualified.	Transporter/glutaminase components do not constitute the released ligand.	Independent PubMed, Europe PMC, and primary/authoritative-source re-review; no expression-only, pathway-only, family-only, or search-snippet evidence was used for promotion.
