review_id	pair_key	pair_label_canonical	final_class	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes	manual_reason
M20A-LIANA-REMAINING-0043	ccl5 ccr1	Ccl5 Ccr1	manual_review	PMID:42548765 https://pubmed.ncbi.nlm.nih.gov/42548765/; PMID:42462714 https://pubmed.ncbi.nlm.nih.gov/42462714/; PMID:42455473 https://pubmed.ncbi.nlm.nih.gov/42455473/	recent human/mouse cancer datasets reported by the candidate	unresolved_recent_citations	The accessible cited record for the CCL5-CCR1 claim is an integrative machine-learning and molecular-docking study, not a direct receptor assay; the other cited PMIDs were not available for source-level verification in this audit.	Canonical CCL5-CCR1 biology is plausible, but the submitted recent citations do not yet provide a verifiable exact primary assay.	Manual retrieval and figure-level review of all three cited records are required before approval. Candidate audit verdict=needs_manual_review.	Candidate or expanded search produced unresolved evidence requiring explicit curator review before low-evidence integration.
M20A-LIANA-REMAINING-0045	ccl5 ccr4	Ccl5 Ccr4	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=ccl5+ccr4;https://pubmed.ncbi.nlm.nih.gov/42377632/;https://pubmed.ncbi.nlm.nih.gov/42353538/;https://pubmed.ncbi.nlm.nih.gov/41944384/;https://europepmc.org/search?query=ccl5+ccr4;https://europepmc.org/article/MED/42377632;https://europepmc.org/article/MED/42353538;https://europepmc.org/article/MED/41944384	source-dependent; exact species/construct unresolved	complex, subunit, indirect, or unresolved primary evidence	Expanded PubMed and Europe PMC searches found related pair, family, complex, adhesion, or functional literature, but no clean primary assay unambiguously resolves the exact submitted notation.	Composite receptor notation, isolated-subunit decomposition, processed ligand form, species/isoform, co-receptor dependence, or indirect/database-only evidence prevents promotion without manual source-level adjudication.	aliases=ccl5,CCL5,RANTES; receptor_aliases=ccr4,CCR4; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted. Expanded search verdict=needs_manual_review.	Candidate or expanded search produced unresolved evidence requiring explicit curator review before low-evidence integration.
M20A-LIANA-REMAINING-0046	ccl5 ccr5	Ccl5 Ccr5	manual_review	PMID:42583704 https://pubmed.ncbi.nlm.nih.gov/42583704/; PMID:42581333 https://pubmed.ncbi.nlm.nih.gov/42581333/; PMID:42545372 https://pubmed.ncbi.nlm.nih.gov/42545372/	recent human/mouse systems reported by the candidate	unresolved_recent_citations	The submitted PMIDs were not available for full source-level verification in this audit, so assay type, species, and whether CCL5 rather than a related chemokine was tested remain unresolved.	CCL5-CCR5 is a canonical relationship, but canonical knowledge cannot substitute for opening and checking the cited primary records.	Manual retrieval of the three cited papers is required before approval. Candidate audit verdict=needs_manual_review.	Candidate or expanded search produced unresolved evidence requiring explicit curator review before low-evidence integration.
M20A-LIANA-REMAINING-0047	cd40lg cd40	Cd40lg Cd40	manual_review	PMID:42528416 https://pubmed.ncbi.nlm.nih.gov/42528416/; PMID:42518271 https://pubmed.ncbi.nlm.nih.gov/42518271/; PMID:42517579 https://pubmed.ncbi.nlm.nih.gov/42517579/	recent human/mouse systems reported by the candidate	unresolved_recent_citations	The cited recent records were not available for reliable source-level verification in this audit; the canonical CD40LG-CD40 relationship therefore cannot be tied to a checked assay here.	Species, assay, and receptor-complex scope remain unknown for the submitted citations.	Manual retrieval and figure-level review are required before approval. Candidate audit verdict=needs_manual_review.	Candidate or expanded search produced unresolved evidence requiring explicit curator review before low-evidence integration.
M20A-LIANA-REMAINING-0049	cd40lg itga5_itgb1	Cd40lg Itga5_itgb1	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=cd40lg+itga5_itgb1;https://pubmed.ncbi.nlm.nih.gov/37482272/;https://pubmed.ncbi.nlm.nih.gov/36005389/;https://pubmed.ncbi.nlm.nih.gov/34813505/;https://europepmc.org/search?query=cd40lg+itga5_itgb1;https://europepmc.org/article/MED/37482272;https://europepmc.org/article/MED/36005389;https://europepmc.org/article/MED/34813505	source-dependent; exact species/construct unresolved	complex, subunit, indirect, or unresolved primary evidence	Expanded PubMed and Europe PMC searches found related pair, family, complex, adhesion, or functional literature, but no clean primary assay unambiguously resolves the exact submitted notation.	Composite receptor notation, isolated-subunit decomposition, processed ligand form, species/isoform, co-receptor dependence, or indirect/database-only evidence prevents promotion without manual source-level adjudication.	aliases=cd40lg,CD40LG,CD154,CD40 ligand; receptor_aliases=itga5 itgb1,ITGA5 ITGB1,alpha beta,heterodimer,alpha5 beta1; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted. Expanded search verdict=needs_manual_review.	Candidate or expanded search produced unresolved evidence requiring explicit curator review before low-evidence integration.
M20A-LIANA-REMAINING-0050	cd40lg itgam_itgb2	Cd40lg Itgam_itgb2	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=cd40lg+itgam_itgb2;https://pubmed.ncbi.nlm.nih.gov/37482272/;https://pubmed.ncbi.nlm.nih.gov/36005389/;https://pubmed.ncbi.nlm.nih.gov/34813505/;https://europepmc.org/search?query=cd40lg+itgam_itgb2;https://europepmc.org/article/MED/37482272;https://europepmc.org/article/MED/36005389;https://europepmc.org/article/MED/34813505	source-dependent; exact species/construct unresolved	complex, subunit, indirect, or unresolved primary evidence	Expanded PubMed and Europe PMC searches found related pair, family, complex, adhesion, or functional literature, but no clean primary assay unambiguously resolves the exact submitted notation.	Composite receptor notation, isolated-subunit decomposition, processed ligand form, species/isoform, co-receptor dependence, or indirect/database-only evidence prevents promotion without manual source-level adjudication.	aliases=cd40lg,CD40LG,CD154,CD40 ligand; receptor_aliases=itgam itgb2,ITGAM ITGB2,alpha beta,heterodimer,alpham beta2; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted. Expanded search verdict=needs_manual_review.	Candidate or expanded search produced unresolved evidence requiring explicit curator review before low-evidence integration.
M20A-EXT-0183	col4a1 gp6	Col4a1 Gp6	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=col4a1+gp6;https://europepmc.org/search?query=col4a1+gp6	source-dependent; exact species/construct unresolved	complex, subunit, indirect, or unresolved primary evidence	Expanded PubMed and Europe PMC searches found related pair, family, complex, adhesion, or functional literature, but no clean primary assay unambiguously resolves the exact submitted notation.	Composite receptor notation, isolated-subunit decomposition, processed ligand form, species/isoform, co-receptor dependence, or indirect/database-only evidence prevents promotion without manual source-level adjudication.	aliases=col4a1,COL4A1,alpha1 IV  collagen,collagen IV alpha 1; receptor_aliases=gp6,GP6; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted. Expanded search verdict=needs_manual_review.	Candidate or expanded search produced unresolved evidence requiring explicit curator review before low-evidence integration.
M20A-EXT-0189	col4a1 itga9_itgb1	Col4a1 ITGA9_ITGB1	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=col4a1+itga9_itgb1;https://europepmc.org/search?query=col4a1+itga9_itgb1	source-dependent; exact species/construct unresolved	complex, subunit, indirect, or unresolved primary evidence	Expanded PubMed and Europe PMC searches found related pair, family, complex, adhesion, or functional literature, but no clean primary assay unambiguously resolves the exact submitted notation.	Composite receptor notation, isolated-subunit decomposition, processed ligand form, species/isoform, co-receptor dependence, or indirect/database-only evidence prevents promotion without manual source-level adjudication.	aliases=col4a1,COL4A1,alpha1 IV  collagen,collagen IV alpha 1; receptor_aliases=itga9 itgb1,ITGA9 ITGB1,alpha beta,heterodimer,alpha9 beta1; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted. Expanded search verdict=needs_manual_review.	Candidate or expanded search produced unresolved evidence requiring explicit curator review before low-evidence integration.
M20A-EXT-0192	col4a2 cd44	Col4a2 Cd44	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=col4a2+cd44;https://pubmed.ncbi.nlm.nih.gov/42056631/;https://pubmed.ncbi.nlm.nih.gov/40762540/;https://pubmed.ncbi.nlm.nih.gov/39984108/;https://europepmc.org/search?query=col4a2+cd44;https://europepmc.org/article/MED/42056631;https://europepmc.org/article/MED/40762540;https://europepmc.org/article/MED/39984108	source-dependent; exact species/construct unresolved	complex, subunit, indirect, or unresolved primary evidence	Expanded PubMed and Europe PMC searches found related pair, family, complex, adhesion, or functional literature, but no clean primary assay unambiguously resolves the exact submitted notation.	Composite receptor notation, isolated-subunit decomposition, processed ligand form, species/isoform, co-receptor dependence, or indirect/database-only evidence prevents promotion without manual source-level adjudication.	aliases=col4a2,COL4A2,alpha2 IV  collagen,collagen IV alpha 2; receptor_aliases=cd44,CD44; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted. Expanded search verdict=needs_manual_review.	Candidate or expanded search produced unresolved evidence requiring explicit curator review before low-evidence integration.
M20A-EXT-0193	col4a2 gp6	Col4a2 Gp6	manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=col4a2+gp6;https://pubmed.ncbi.nlm.nih.gov/33217625/;https://europepmc.org/search?query=col4a2+gp6;https://europepmc.org/article/MED/33217625	source-dependent; exact species/construct unresolved	complex, subunit, indirect, or unresolved primary evidence	Expanded PubMed and Europe PMC searches found related pair, family, complex, adhesion, or functional literature, but no clean primary assay unambiguously resolves the exact submitted notation.	Composite receptor notation, isolated-subunit decomposition, processed ligand form, species/isoform, co-receptor dependence, or indirect/database-only evidence prevents promotion without manual source-level adjudication.	aliases=col4a2,COL4A2,alpha2 IV  collagen,collagen IV alpha 2; receptor_aliases=gp6,GP6; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted. Expanded search verdict=needs_manual_review.	Candidate or expanded search produced unresolved evidence requiring explicit curator review before low-evidence integration.
