review_id	pair_key	pair_label_canonical	final_class	source_locators	species_support	support_kind	evidence_summary	limitations	review_notes
M20A-CELLCHAT-REMAINING-0011	5-ht-dopa-ddc drd1	5-HT-DOPA-DDC Drd1	retain_manual	https://pubmed.ncbi.nlm.nih.gov/25360773/;https://europepmc.org/article/PMC/PMC4330993;https://www.guidetopharmacology.org/GRAC/FamilyIntroductionForward?familyId=1;https://pubmed.ncbi.nlm.nih.gov/33750903/;https://europepmc.org/article/MED/33750903;https://www.guidetopharmacology.org/GRAC/FamilyDisplayForward?familyId=20	human;mouse;rat;recombinant	mixed_monoamine_source_with_unresolved_active_ligand	The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.	Dopamine receptor evidence cannot be transferred to the mixed composite; the source may represent more than one transmitter and no exact processed source entity was established.	PubMed and Europe PMC exact-symbol/alias searches were opened and checked; authoritative receptor or complex nomenclature was checked; family/pathway/expression-only evidence was not counted. Held manual because the active source species is unresolved.
M20A-CELLCHAT-REMAINING-0012	5-ht-dopa-ddc drd2	5-HT-DOPA-DDC Drd2	retain_manual	https://pubmed.ncbi.nlm.nih.gov/25360773/;https://europepmc.org/article/PMC/PMC4330993;https://www.guidetopharmacology.org/GRAC/FamilyIntroductionForward?familyId=1;https://pubmed.ncbi.nlm.nih.gov/33750903/;https://europepmc.org/article/MED/33750903;https://www.guidetopharmacology.org/GRAC/FamilyDisplayForward?familyId=20	human;mouse;rat;recombinant	mixed_monoamine_source_with_unresolved_active_ligand	The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.	Dopamine receptor evidence cannot be transferred to the mixed composite; the source may represent more than one transmitter and no exact processed source entity was established.	PubMed and Europe PMC exact-symbol/alias searches were opened and checked; authoritative receptor or complex nomenclature was checked; family/pathway/expression-only evidence was not counted. Held manual because the active source species is unresolved.
M20A-CELLCHAT-REMAINING-0013	5-ht-dopa-ddc drd3	5-HT-DOPA-DDC Drd3	retain_manual	https://pubmed.ncbi.nlm.nih.gov/25360773/;https://europepmc.org/article/PMC/PMC4330993;https://www.guidetopharmacology.org/GRAC/FamilyIntroductionForward?familyId=1;https://pubmed.ncbi.nlm.nih.gov/33750903/;https://europepmc.org/article/MED/33750903;https://www.guidetopharmacology.org/GRAC/FamilyDisplayForward?familyId=20	human;mouse;rat;recombinant	mixed_monoamine_source_with_unresolved_active_ligand	The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.	Dopamine receptor evidence cannot be transferred to the mixed composite; the source may represent more than one transmitter and no exact processed source entity was established.	PubMed and Europe PMC exact-symbol/alias searches were opened and checked; authoritative receptor or complex nomenclature was checked; family/pathway/expression-only evidence was not counted. Held manual because the active source species is unresolved.
M20A-CELLCHAT-REMAINING-0014	5-ht-dopa-ddc drd4	5-HT-DOPA-DDC Drd4	retain_manual	https://pubmed.ncbi.nlm.nih.gov/25360773/;https://europepmc.org/article/PMC/PMC4330993;https://www.guidetopharmacology.org/GRAC/FamilyIntroductionForward?familyId=1;https://pubmed.ncbi.nlm.nih.gov/33750903/;https://europepmc.org/article/MED/33750903;https://www.guidetopharmacology.org/GRAC/FamilyDisplayForward?familyId=20	human;mouse;rat;recombinant	mixed_monoamine_source_with_unresolved_active_ligand	The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.	Dopamine receptor evidence cannot be transferred to the mixed composite; the source may represent more than one transmitter and no exact processed source entity was established.	PubMed and Europe PMC exact-symbol/alias searches were opened and checked; authoritative receptor or complex nomenclature was checked; family/pathway/expression-only evidence was not counted. Held manual because the active source species is unresolved.
M20A-CELLCHAT-REMAINING-0015	5-ht-dopa-ddc drd5	5-HT-DOPA-DDC Drd5	retain_manual	https://pubmed.ncbi.nlm.nih.gov/25360773/;https://europepmc.org/article/PMC/PMC4330993;https://www.guidetopharmacology.org/GRAC/FamilyIntroductionForward?familyId=1;https://pubmed.ncbi.nlm.nih.gov/33750903/;https://europepmc.org/article/MED/33750903;https://www.guidetopharmacology.org/GRAC/FamilyDisplayForward?familyId=20	human;mouse;rat;recombinant	mixed_monoamine_source_with_unresolved_active_ligand	The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.	Dopamine receptor evidence cannot be transferred to the mixed composite; the source may represent more than one transmitter and no exact processed source entity was established.	PubMed and Europe PMC exact-symbol/alias searches were opened and checked; authoritative receptor or complex nomenclature was checked; family/pathway/expression-only evidence was not counted. Held manual because the active source species is unresolved.
M20A-CELLCHAT-REMAINING-0067	5-ht-tph1_slc6a4 htr7	5-HT-TPH1_SLC6A4 Htr7	restore_low	https://pubmed.ncbi.nlm.nih.gov/25360773/;https://europepmc.org/article/PMC/PMC4330993;https://www.guidetopharmacology.org/GRAC/FamilyIntroductionForward?familyId=1	human;mouse;rat;recombinant	mature_5HT_binding_or_receptor_function_not_composite	Mature 5-hydroxytryptamine/serotonin is the endogenous agonist for HTR7; primary receptor pharmacology and authoritative nomenclature establish receptor recognition and signaling. The submitted source is a 5-HT biosynthesis, reuptake, or vesicular-storage context, so the restored edge is mature 5-HT to the named receptor only.	Evidence is for mature serotonin, not the TPH1/TPH2 plus SLC6A4/SLC18A1/SLC18A2 source composite; the source genes synthesize, reuptake, or store 5-HT.	PubMed and Europe PMC exact-symbol/alias searches were opened and checked; authoritative receptor or complex nomenclature was checked; family/pathway/expression-only evidence was not counted.
M20A-CELLCHAT-REMAINING-0068	5-ht-tph2_slc18a1 htr1a	5-HT-TPH2_SLC18A1 Htr1a	restore_low	https://pubmed.ncbi.nlm.nih.gov/25360773/;https://europepmc.org/article/PMC/PMC4330993;https://www.guidetopharmacology.org/GRAC/FamilyIntroductionForward?familyId=1	human;mouse;rat;recombinant	mature_5HT_binding_or_receptor_function_not_composite	Mature 5-hydroxytryptamine/serotonin is the endogenous agonist for HTR1A; primary receptor pharmacology and authoritative nomenclature establish receptor recognition and signaling. The submitted source is a 5-HT biosynthesis, reuptake, or vesicular-storage context, so the restored edge is mature 5-HT to the named receptor only.	Evidence is for mature serotonin, not the TPH1/TPH2 plus SLC6A4/SLC18A1/SLC18A2 source composite; the source genes synthesize, reuptake, or store 5-HT.	PubMed and Europe PMC exact-symbol/alias searches were opened and checked; authoritative receptor or complex nomenclature was checked; family/pathway/expression-only evidence was not counted.
M20A-CELLCHAT-REMAINING-0069	5-ht-tph2_slc18a1 htr1b	5-HT-TPH2_SLC18A1 Htr1b	restore_low	https://pubmed.ncbi.nlm.nih.gov/25360773/;https://europepmc.org/article/PMC/PMC4330993;https://www.guidetopharmacology.org/GRAC/FamilyIntroductionForward?familyId=1	human;mouse;rat;recombinant	mature_5HT_binding_or_receptor_function_not_composite	Mature 5-hydroxytryptamine/serotonin is the endogenous agonist for HTR1B; primary receptor pharmacology and authoritative nomenclature establish receptor recognition and signaling. The submitted source is a 5-HT biosynthesis, reuptake, or vesicular-storage context, so the restored edge is mature 5-HT to the named receptor only.	Evidence is for mature serotonin, not the TPH1/TPH2 plus SLC6A4/SLC18A1/SLC18A2 source composite; the source genes synthesize, reuptake, or store 5-HT.	PubMed and Europe PMC exact-symbol/alias searches were opened and checked; authoritative receptor or complex nomenclature was checked; family/pathway/expression-only evidence was not counted.
M20A-CELLCHAT-REMAINING-0070	5-ht-tph2_slc18a1 htr1d	5-HT-TPH2_SLC18A1 Htr1d	restore_low	https://pubmed.ncbi.nlm.nih.gov/25360773/;https://europepmc.org/article/PMC/PMC4330993;https://www.guidetopharmacology.org/GRAC/FamilyIntroductionForward?familyId=1	human;mouse;rat;recombinant	mature_5HT_binding_or_receptor_function_not_composite	Mature 5-hydroxytryptamine/serotonin is the endogenous agonist for HTR1D; primary receptor pharmacology and authoritative nomenclature establish receptor recognition and signaling. The submitted source is a 5-HT biosynthesis, reuptake, or vesicular-storage context, so the restored edge is mature 5-HT to the named receptor only.	Evidence is for mature serotonin, not the TPH1/TPH2 plus SLC6A4/SLC18A1/SLC18A2 source composite; the source genes synthesize, reuptake, or store 5-HT.	PubMed and Europe PMC exact-symbol/alias searches were opened and checked; authoritative receptor or complex nomenclature was checked; family/pathway/expression-only evidence was not counted.
M20A-CELLCHAT-REMAINING-0071	5-ht-tph2_slc18a1 htr1e	5-HT-TPH2_SLC18A1 Htr1e	restore_low	https://pubmed.ncbi.nlm.nih.gov/25360773/;https://europepmc.org/article/PMC/PMC4330993;https://www.guidetopharmacology.org/GRAC/FamilyIntroductionForward?familyId=1	human;recombinant	mature_5HT_binding_or_receptor_function_not_composite	Mature 5-hydroxytryptamine/serotonin is the endogenous agonist for HTR1E; primary receptor pharmacology and authoritative nomenclature establish receptor recognition and signaling. The submitted source is a 5-HT biosynthesis, reuptake, or vesicular-storage context, so the restored edge is mature 5-HT to the named receptor only.	Direct evidence supports mature 5-HT at HTR1E in human/recombinant systems, but Htr1e is not a robust mouse receptor assignment; the composite source was not assayed.	PubMed and Europe PMC exact-symbol/alias searches were opened and checked; authoritative receptor or complex nomenclature was checked; family/pathway/expression-only evidence was not counted.
