route_evidence_id	route_status	route_tier	path_expression	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	causal_status	traversal_status	source_chain_id
ROUTE:00001	retained_evidence_route	ligand_receptor_entry_only	ligand>receptor	ligand|receptor	intracellular_continuation|transcription_factor|target_gene_expression	not_assessed	NODE01915	Cntn2	M20B-E000370	NODE01918	CNTN2_CNTNAP2															Synaptic/cell-adhesion receptor family	ligand_receptor_edge		M20B-EVID-000370	not_asserted	evidence_route_not_causal	
ROUTE:00002	retained_evidence_route	ligand_receptor_entry_only	ligand>receptor	ligand|receptor	intracellular_continuation|transcription_factor|target_gene_expression	not_assessed	NODE02258	Cxcl3	M20B-E000398	NODE02291	Cxcr2															GPCR receptor family	ligand_receptor_edge		M20B-EVID-000398	not_asserted	evidence_route_not_causal	
ROUTE:00003	retained_evidence_route	ligand_receptor_entry_only	ligand>receptor	ligand|receptor	intracellular_continuation|transcription_factor|target_gene_expression	not_assessed	NODE02662	Egf	M20B-E000450	NODE02665	Egfr															RTK growth-factor receptor family	ligand_receptor_edge		M20B-EVID-000450	not_asserted	evidence_route_not_causal	
ROUTE:00004	retained_evidence_route	ligand_receptor_entry_only	ligand>receptor	ligand|receptor	intracellular_continuation|transcription_factor|target_gene_expression	not_assessed	NODE02880	Ereg	M20B-E000452	NODE02665	Egfr															RTK growth-factor receptor family	ligand_receptor_edge		M20B-EVID-000452	not_asserted	evidence_route_not_causal	
ROUTE:00005	retained_evidence_route	ligand_receptor_entry_only	ligand>receptor	ligand|receptor	intracellular_continuation|transcription_factor|target_gene_expression	not_assessed	NODE03211	Flrt2	M20B-E000472	NODE10017	Unc5d															Axon-guidance/adhesion receptor family	ligand_receptor_edge		M20B-EVID-000472	not_asserted	evidence_route_not_causal	
ROUTE:00006	retained_evidence_route	ligand_receptor_entry_only	ligand>receptor	ligand|receptor	intracellular_continuation|transcription_factor|target_gene_expression	not_assessed	NODE03213	Flrt3	M20B-E000475	NODE00230	Adgrl3															Axon-guidance/adhesion receptor family	ligand_receptor_edge		M20B-EVID-000475	not_asserted	evidence_route_not_causal	
ROUTE:00007	retained_evidence_route	ligand_receptor_entry_only	ligand>receptor	ligand|receptor	intracellular_continuation|transcription_factor|target_gene_expression	not_assessed	NODE03213	Flrt3	M20B-E000478	NODE10011	Unc5b															Axon-guidance/adhesion receptor family	ligand_receptor_edge		M20B-EVID-000478	not_asserted	evidence_route_not_causal	
ROUTE:00008	retained_evidence_route	ligand_receptor_entry_only	ligand>receptor	ligand|receptor	intracellular_continuation|transcription_factor|target_gene_expression	not_assessed	NODE03501	Gdf11	M20B-E000726	NODE09494	Tgfbr1_acvr2b															TGF-beta/BMP receptor family	ligand_receptor_edge		M20B-EVID-000726	not_asserted	evidence_route_not_causal	
ROUTE:00009	retained_evidence_route	ligand_receptor_entry_only	ligand>receptor	ligand|receptor	intracellular_continuation|transcription_factor|target_gene_expression	not_assessed	NODE03508	Gdf5	M20B-E000731	NODE01031	Bmpr1b_acvr2a															TGF-beta/BMP receptor family	ligand_receptor_edge		M20B-EVID-000731	not_asserted	evidence_route_not_causal	
ROUTE:00010	retained_evidence_route	ligand_receptor_entry_only	ligand>receptor	ligand|receptor	intracellular_continuation|transcription_factor|target_gene_expression	not_assessed	NODE04047	Hbegf	M20B-E001250	NODE02665	Egfr															RTK growth-factor receptor family	ligand_receptor_edge		M20B-EVID-001250	not_asserted	evidence_route_not_causal	
