expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	intracellular_tf_edge_id	tf_target_edge_id	target_output_form_id	output_node_id	output_form_id	bridge_id	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-0765	M21B-DOWNSTREAM:00001	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE02497	CSF1	M21B-E000722	NODE02511	CSF1R/c-Fms											M21B-E000112	NODE08961	PI3K p85/p110	CSF1-CSF1R-PI3K/Akt-associated PIP3 and macrophage spreading/invasion output	CSF1-CSF1R-PI3K-AKT/ERK	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E000722;M21B-EVID-000665;M21B-DOWNSTREAM-EVID:000003;M21B-E000112;M21B-EVID-000055;M21B-DOWNSTREAM-EVID:000001;PMID:10958675;PMCID:PMC86204;PMID:23648053;PMCID:PMC3773002	M21B-DOWNSTREAM-EVID:000003	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0765	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	cellular_functional_readout	as stated in primary model/assay	32D myeloid progenitors expressing CSF1R; primary macrophages; CSF1 stimulation; receptor-tyrosine mutants; PI3K inhibition; p85 association; PIP3 and macrophage spreading/invasion assays	Extracellular CSF1 engagement of CSF1R with receptor-proximal PI3K p85/p110 recruitment and downstream functional output	No SCI transfer inferred; primary model context only	Primary CSF1R evidence supports the ligand-receptor input and PI3K continuation; the route retains bounded PIP3 and cellular-functional output without assigning a terminal TF or target gene.	CSF1 stimulation, receptor-tyrosine mutants, PI3K inhibition, p85 association, PIP3 and macrophage spreading/invasion assays	activating	composite_primary_evidence	PMID:10958675; PMCID:PMC86204; PMID:23648053; PMCID:PMC3773002	Primary CSF1R phosphotyrosine-docking and PI3K/Akt studies; existing CSF1R-PI3K continuation evidence	Primary-supported CSF1R studies support CSF1 engagement, PI3K p85/p110 recruitment, PIP3-associated signaling and macrophage functional readouts; the explicit CSF1R-PI3K edge is retained without asserting a terminal TF.	Preserve the CSF1R phosphosite, p85/p110, SFK/Gab2 alternative-branch and model context; do not transfer the macrophage output to SCI microglia or infer a terminal TF/target gene.	curated_primary_route	LITEXP:000765
M21B-LITEXP-0766	M21B-DOWNSTREAM:00920	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE04881	Human beta-defensin-3/HBD3	M21B-E002371	NODE02704	CXCR4											M21B-E003369	NODE04271	GNAI/O/Z	HBD3-CXCR4-Gi-associated CXCL12 antagonism, calcium/ERK and chemotaxis inhibition output	HBD3-CXCR4-GNAI/O/Z-antagonist-output	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E002371;M21B-EVID-002314;M21B-DOWNSTREAM-EVID:001511;M21B-E003369;M21B-EVID-003312;PMID:16818731;PMID:23659571	M21B-DOWNSTREAM-EVID:001511	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0766	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	generic_functional_readout	human	Human T-cell and CXCR4-expressing cell systems; competition binding, CXCR4 internalization/confocal assays, CXCL12-induced calcium/ERK/chemotaxis inhibition and HBD3 cysteine/charge mutagenesis	Extracellular HBD3 engagement of CXCR4 with bounded Gi-protein continuation and antagonistic functional output	No SCI transfer inferred; primary model context only	Primary evidence supports HBD3-CXCR4 antagonism and receptor internalization; the CXCR4-Gi edge is retained as a receptor-proximal continuation without treating HBD3 as a productive agonist.	Competition binding, CXCR4 internalization/confocal assays, CXCL12-induced calcium/ERK/chemotaxis inhibition and HBD3 cysteine/charge mutagenesis	inhibitory	composite_primary_evidence	PMID:16818731; PMID:23659571	Primary HBD3-CXCR4 antagonism, internalization and structure-function studies	Primary studies support HBD3 competition with CXCL12 at CXCR4, receptor internalization without productive activation, and inhibition of CXCL12-induced calcium, ERK and chemotaxis; the graph Gi continuation is retained as bounded route evidence.	Represent HBD3 as an antagonist/internalizing ligand rather than a productive CXCR4 agonist; preserve disulfide/terminal-charge requirements and do not infer SCI or terminal-TF output.	curated_primary_route	LITEXP:000766
M21B-LITEXP-0767	M21B-DOWNSTREAM:01213	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE01101	B7-H6/NCR3LG1	M21B-E002951	NODE07691	NCR3/NKp30											M21B-E003833	NODE01833	CD247/CD3ζ	B7-H6-NKp30-CD3ζ-associated NK activation and cytotoxicity output	B7H6-NKp30-CD3zeta-NK-activation	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E002951;M21B-EVID-002894;M21B-DOWNSTREAM-EVID:001962;M21B-E003833;M21B-EVID-003776;PMID:19528259;PMCID:PMC2715080;DOI:10.1084/jem.20090681	M21B-DOWNSTREAM-EVID:001962	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0767	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human	Human tumor-cell lines, soluble NKp30-Fc binding and blocking, B7-H6 expression-cloning/sequence identification, primary human NK-cell activation and cytotoxicity assays	Cell-surface B7-H6 engagement of NKp30 with CD3ζ-associated receptor-proximal activation output	No SCI transfer inferred; primary model context only	Primary evidence supports selective B7-H6-NKp30 binding and human NK-cell activation; CD3ζ is retained as receptor-proximal continuation without assigning a terminal TF or CNS function.	Soluble NKp30-Fc binding/blocking, B7-H6 expression cloning, primary human NK-cell activation and cytotoxicity assays	activating	composite_primary_evidence	PMID:19528259; PMCID:PMC2715080; DOI:10.1084/jem.20090681	Primary B7-H6/NKp30 ligand identification and NK activation study	Primary evidence supports selective B7-H6 binding to NKp30 and NKp30-mediated human NK activation; the validated NKp30-CD3ζ edge supplies a bounded intracellular continuation without asserting a terminal TF.	Preserve human NCR3/NKp30 and tumor-cell context; do not assign a natural glycan ligand or infer CNS/SCI function or terminal-TF activity.	curated_primary_route	LITEXP:000767
M21B-LITEXP-0768	M21B-DOWNSTREAM:01218	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE06969	MICB	M21B-E002957	NODE06158	KLRK1/NKG2D											M21B-E003828	NODE02766	DAP10/HCST	MICB-NKG2D-DAP10-associated NK cytokine/chemokine and cytotoxicity output	MICB-NKG2D-DAP10-NK-activation	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E002957;M21B-EVID-002900;M21B-DOWNSTREAM-EVID:001971;M21B-E003828;M21B-EVID-003771;PMID:11239445;DOI:10.1016/S1074-7613(01)00095-4	M21B-DOWNSTREAM-EVID:001971	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0768	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	gene_expression_or_transcription	human	Human MICB-expressing and ULBP-comparator target cells, primary human NK cells, soluble ligand and receptor systems, cytokine/chemokine and cytotoxicity assays	Cell-surface MICB engagement of NKG2D with DAP10-associated NK effector output	No SCI transfer inferred; primary model context only	Primary evidence supports membrane-associated MICB-NKG2D activation and NK cytokine/cytotoxic responses; DAP10 is retained as the receptor-proximal adaptor without assigning a terminal TF or target gene.	MICB-expressing target-cell and primary NK-cell systems, soluble ligand/receptor binding, cytokine/chemokine and cytotoxicity assays	activating	composite_primary_evidence	PMID:11239445; DOI:10.1016/S1074-7613(01)00095-4	Primary MICB-NKG2D ligand and NK effector-response study	Primary evidence supports MICB as an activating NKG2D ligand and links ligand expression to NK cytokine/chemokine and cytotoxic responses; the validated NKG2D-DAP10 edge supplies the intracellular continuation.	Preserve membrane-associated MICB and human NKG2D-DAP10 context; do not infer a unique downstream branch, SCI function or terminal TF.	curated_primary_route	LITEXP:000768
M21B-LITEXP-0769	M21B-DOWNSTREAM:01219	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE11539	ULBP1/RAET1I	M21B-E002958	NODE06158	KLRK1/NKG2D											M21B-E003828	NODE02766	DAP10/HCST	ULBP1-NKG2D-DAP10-associated phosphorylation, PI3K-Akt/ERK and IFN-γ output	ULBP1-NKG2D-DAP10-NK-activation	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E002958;M21B-EVID-002901;M21B-DOWNSTREAM-EVID:001972;M21B-E003828;M21B-EVID-003771;PMID:11239445;PMID:11777960;DOI:10.4049/jimmunol.168.2.671	M21B-DOWNSTREAM-EVID:001972	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0769	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human	Human ULBP1-expressing target and primary NK-cell systems; soluble ULBP/NKG2D interaction, tyrosine-phosphorylation, PI3K-Akt, ERK/MAPK, IFN-gamma and cytotoxicity readouts	Cell-surface ULBP1 engagement of NKG2D with DAP10-associated NK signaling output	No SCI transfer inferred; primary model context only	Primary evidence supports ULBP1-NKG2D activation and phosphorylation/PI3K-Akt/ERK and IFN-gamma outputs; DAP10 is retained as the receptor-proximal adaptor without assigning a terminal TF or target gene.	ULBP1-expressing target and primary NK-cell systems, soluble ULBP/NKG2D interaction, tyrosine-phosphorylation, PI3K-Akt, ERK/MAPK, IFN-gamma and cytotoxicity readouts	activating	composite_primary_evidence	PMID:11239445; PMID:11777960; DOI:10.4049/jimmunol.168.2.671	Primary ULBP1/NKG2D ligand, DAP10-associated pathway and NK effector-response studies	Primary evidence supports ULBP1 as a human NKG2D ligand and shows ligand-dependent tyrosine phosphorylation, PI3K-Akt/ERK pathway activation, IFN-gamma production and cytotoxicity; the validated NKG2D-DAP10 edge supplies the continuation.	Preserve GPI-linked ULBP1/RAET1I and human NKG2D-DAP10 context; ligand-specific strength differs, and no SCI or terminal-TF inference is made.	curated_primary_route	LITEXP:000769
M21B-LITEXP-0770	M21B-DOWNSTREAM:01627	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE10292	SIGLEC4/MAG	M21B-E005532	NODE00025	4-1BB/TNFRSF9											M21B-E001794	NODE11338	TRAF1	SIGLEC4-4-1BB-TRAF1-associated T-cell functional inhibition output	SIGLEC4-4-1BB-TRAF1-immune-modulation	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E005532;M21B-EVID-005475;M21B-DOWNSTREAM-EVID:002559;M21B-E001794;M21B-EVID-001737;PMID:38354234;PMCID:PMC10866537;DOI:10.1126/sciadv.adj2445	M21B-DOWNSTREAM-EVID:002559	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0770	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	cellular_functional_readout	human; mouse	Human and mouse 4-1BB and SIGLEC4 ectodomain systems; CRISPRa enrichment, flow cytometry, ELISA, SPR, co-immunoprecipitation and activated primary human T-cell coculture assays	Cell-surface SIGLEC4/MAG engagement of 4-1BB with TRAF1-associated immune-modulatory output	No SCI transfer inferred; primary model context only	Primary evidence supports low-affinity SIGLEC4-4-1BB binding and inhibition of 4-1BBL-induced T-cell outputs; TRAF1 is retained as receptor-proximal continuation without assigning a universal signaling mechanism or terminal TF.	CRISPRa enrichment, flow cytometry, ELISA, SPR, co-immunoprecipitation and activated primary human T-cell coculture assays	inhibitory	composite_primary_evidence	PMID:38354234; PMCID:PMC10866537; DOI:10.1126/sciadv.adj2445	Primary SIGLEC4-4-1BB binding and T-cell immune-modulation study	Primary evidence supports direct SIGLEC4-4-1BB binding and inhibition of 4-1BBL-induced T-cell proliferation, IFN-gamma and CAR-T cytotoxicity; the validated 4-1BB-TRAF1 edge supplies a bounded intracellular continuation.	Preserve low-affinity trans-binding, human/mouse affinity and assay caveats; do not infer a universal SIGLEC4 signaling mechanism, SCI transfer or terminal-TF activity.	curated_primary_route	LITEXP:000770
M21B-LITEXP-0771	M21B-DOWNSTREAM:01927	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE00442	All-trans-retinoic acid/ATRA	M21B-E006453	NODE07509	MRGPRX2											M21B-E003893	NODE04282	GNAQ/GNA11	ATRA-MRGPRX2-Gq-associated mast-cell calcium and degranulation output	ATRA-MRGPRX2-GNAQ/GNA11-mast-cell-activation	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E006453;M21B-EVID-006396;M21B-DOWNSTREAM-EVID:003056;M21B-E003893;M21B-EVID-003836;PMID:31006867;DOI:10.1111/cod.13292	M21B-DOWNSTREAM-EVID:003056	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0771	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human; mouse	Human LAD2 mast cells with MRGPRX2 siRNA knockdown, mouse wild-type and MrgprB2-null mast cells and topical ATRA dermatitis; calcium influx, beta-hexosaminidase/histamine release and paw inflammation readouts	Extracellular ATRA engagement of MRGPRX2 with Gq-protein-associated mast-cell activation output	No SCI transfer inferred; primary model context only	Primary evidence supports receptor-dependent ATRA activation of human MRGPRX2 and mouse MrgprB2 with calcium and degranulation outputs; Gq coupling is retained without assigning a terminal TF.	MRGPRX2 siRNA knockdown, mouse wild-type/MrgprB2-null mast cells, topical ATRA dermatitis, calcium influx, beta-hexosaminidase/histamine release and paw inflammation assays	activating	composite_primary_evidence	PMID:31006867; DOI:10.1111/cod.13292	Primary ATRA-MRGPRX2/MrgprB2 mast-cell activation study	Primary evidence supports receptor-dependent ATRA activation of human MRGPRX2 and mouse MrgprB2, with calcium influx, mast-cell degranulation and dermatitis outputs; the validated MRGPRX2-Gq edge supplies the intracellular continuation.	Preserve ATRA as an exogenous retinoid drug/ligand and the MRGPRX2/MrgprB2 species split; do not infer purified binding, universal retinoid signaling, SCI or terminal-TF output.	curated_primary_route	LITEXP:000771
M21B-LITEXP-0772	M21B-DOWNSTREAM:02221	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE06620	Lysophosphatidylcholine/LPC	M21B-E007179	NODE04361	GPR119											M21B-E003371	NODE04283	GNAS	LPC-GPR119-Gs-associated receptor and glucose-dependent insulin-secretion output	LPC-GPR119-GNAS-metabolic-output	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E007179;M21B-EVID-007122;M21B-DOWNSTREAM-EVID:003557;M21B-E003371;M21B-EVID-003314;PMID:35970999;DOI:10.1038/s41594-022-00816-5	M21B-DOWNSTREAM-EVID:003557	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0772	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human	Human GPR119-Gs-LPC cryo-EM complex; mass spectrometry, ligand-binding-pocket analysis and LPC-dependent receptor/insulin-secretion functional assays	LPC engagement of GPR119 with GNAS-associated GPCR output	No SCI transfer inferred; primary model context only	Primary structural and functional evidence supports direct LPC binding and GPR119 activation; GNAS is retained as receptor-proximal continuation with a bounded metabolic output and no terminal TF.	Human GPR119-Gs-LPC cryo-EM, mass spectrometry, ligand-pocket analysis and LPC-dependent receptor/insulin-secretion assays	activating	composite_primary_evidence	PMID:35970999; DOI:10.1038/s41594-022-00816-5	Primary structural identification of LPC as a GPR119 activating ligand	Primary structural, mass-spectrometry and functional evidence supports direct LPC binding and activation of GPR119 with glucose-dependent insulin-secretion output; the validated GPR119-GNAS edge supplies the continuation.	Preserve LPC species/form and the constitutive-preoccupancy caveat; do not infer CNS/SCI or terminal-TF output from the pancreatic functional system.	curated_primary_route	LITEXP:000772
M21B-LITEXP-0773	M21B-DOWNSTREAM:00381	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE10923	TENM2/Teneurin-2	M21B-E000940	NODE00290	ADGRL3/Latrophilin-3											M21B-E004461	NODE04283	GNAS	Teneurin-2-ADGRL3-associated transcellular adhesion and G-protein coupling output	Teneurin2-ADGRL3-GNAS-transcellular-output	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E000940;M21B-EVID-000883;M21B-DOWNSTREAM-EVID:000638;M21B-E004461;M21B-EVID-004404;PMID:24273166;PMCID:PMC3879561;DOI:10.1074/jbc.M113.504779	M21B-DOWNSTREAM-EVID:000638	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0773	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	cellular_functional_readout	human; mouse; rat	Mouse, rat and human recombinant comparator systems; HEK293T cells expressing full-length Teneurin-2 or Latrophilin-3; heterotypic cell-aggregation assays	Trans-presented Teneurin-2 engagement of ADGRL3 with bounded adhesion and receptor-coupling output	No SCI transfer inferred; primary model context only	Primary evidence supports heterophilic Teneurin-2-ADGRL3 binding and transcellular adhesion; the validated ADGRL3-GNAS edge is retained as generic coupling evidence without claiming ligand-induced autonomous relay.	Full-length Teneurin-2/Latrophilin-3 expression and heterotypic cell-aggregation assays with recombinant comparator systems	unknown	composite_primary_evidence	PMID:24273166; PMCID:PMC3879561; DOI:10.1074/jbc.M113.504779	Primary Teneurin-2/Latrophilin-3 transcellular adhesion study plus bounded ADGRL3-GNAS coupling evidence	Primary evidence supports Teneurin-2 binding to ADGRL3 and heterophilic transcellular adhesion; the validated ADGRL3-GNAS edge is retained as a bounded receptor-coupling continuation, not as a demonstrated ligand-induced relay.	Promote only exact Teneurin-2-ADGRL3 extracellular adhesion and generic coupling evidence; preserve receptor presentation, alternative-splicing and developmental-neural context, with no SCI or terminal-TF inference.	curated_primary_route	LITEXP:000773
M21B-LITEXP-0774	M21B-DOWNSTREAM:00394	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	source_supported	NODE03721	FLRT3	M21B-E000964	NODE00290	ADGRL3/Latrophilin-3											M21B-E004461	NODE04283	GNAS	FLRT3-ADGRL3-associated transcellular synaptic adhesion and G-protein coupling output	FLRT3-ADGRL3-GNAS-synaptic-output	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E000964;M21B-EVID-000907;M21B-DOWNSTREAM-EVID:000659;M21B-E004461;M21B-EVID-004404;PMID:22405201;PMCID:PMC3326387;PMCID:PMC4396693	M21B-DOWNSTREAM-EVID:000659	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0774	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	cellular_functional_readout	human; mouse	Human and mouse recombinant systems; HEK293 cells expressing FLRT3 or LPHN3; purified FLRT3-LRR/LPHN3-Olf domains; cultured hippocampal neurons and in vivo dentate-granule-cell comparator assays	Trans-presented FLRT3 engagement of ADGRL3 with bounded synaptic adhesion and receptor-coupling output	No SCI transfer inferred; primary model context only	Primary evidence supports high-affinity FLRT3-ADGRL3 binding, trans-cell adhesion and synaptic-function effects; the validated ADGRL3-GNAS edge is retained as generic coupling evidence without claiming ligand-induced autonomous relay.	Purified FLRT3-LRR/LPHN3-Olf binding, HEK293 trans-cell adhesion, cultured hippocampal-neuron and dentate-granule-cell comparator assays	unknown	composite_primary_evidence	PMID:22405201; PMCID:PMC3326387; PMCID:PMC4396693	Primary FLRT3/Latrophilin-3 binding and synaptic-development study plus bounded ADGRL3-GNAS coupling evidence	Primary evidence supports FLRT3 as a trans-presented ADGRL3 ligand with trans-cell adhesion and synaptic-function effects; the validated ADGRL3-GNAS edge is retained as bounded receptor-coupling evidence without asserting a terminal TF.	Preserve trans-cell presentation, domain/isoform and developmental-brain context; do not infer a ligand-induced autonomous GPCR relay, SCI function or terminal-TF output.	curated_primary_route	LITEXP:000774
