evidence_id	review_id	pair_key	pathway_reuse_key	previous_tier	new_tier	source_locators	decision_basis	upstream_lr_confidence_unchanged	terminal_tf_status_unchanged	sql_materialization
M21A-PAIR-EVID-3563	M20A-EXT-2732	pip aqp5	M21A-REUSE-1767	medium-high	high	PMID:34440877; PMCID:PMC8391295	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3565	M20A-EXT-2734	pkm cd44	M21A-REUSE-1768	medium	high	PMCID:PMC12002223; PMID:27186420	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3566	M20A-EXT-2736	plat itgam	M21A-REUSE-1769	medium-high	high	PMCID:PMC3402285; PMID:22677557; PMID:25131752; DOI:10.1016/j.ajpath.2014.06.013	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3567	M20A-EXT-2737	plat lrp1	M21A-REUSE-1770	medium-high	high	PMCID:PMC3837140; PMID:24129569; DOI:10.1074/jbc.M113.509133	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3569	M20A-EXT-2739	plau itga3	M21A-REUSE-1771	medium	high	PMID:11598185; DOI:10.1091/mbc.12.10.2975; PMCID:PMC60149; PMID:19411312; PMCID:PMC2711805	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3570	M20A-EXT-2740	plau itga5	M21A-REUSE-1772	medium	high	PMID:15684035; DOI:10.1083/jcb.200404112; PMID:19411312; PMCID:PMC2711805	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3571	M20A-EXT-2741	plau itgam	M21A-REUSE-1773	medium	high	PMID:8874219; DOI:10.1182/blood.V88.8.3185.bloodjournal8883185; PMID:8621779; PMCID:PMC507264; DOI:10.1172/JCI118626	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3573	M20A-EXT-2743	plau itgb5	M21A-REUSE-1775	medium	high	PMID:22470492; https://pubmed.ncbi.nlm.nih.gov/22470492/	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3574	M20A-EXT-2744	plau lrp1		medium-high	high	PMID:11359936; https://pubmed.ncbi.nlm.nih.gov/11359936/; PMID:9405275; https://pubmed.ncbi.nlm.nih.gov/9405275/	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3576	M20A-EXT-2747	plau st14		medium-high	high	PMID:27114461; https://pubmed.ncbi.nlm.nih.gov/27114461/; PMID:23675430; https://pubmed.ncbi.nlm.nih.gov/23675430/	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3577	M20A-EXT-2748	plau vldlr		medium-high	high	PMID:7657671; https://pubmed.ncbi.nlm.nih.gov/7657671/; PMID:9405275; https://pubmed.ncbi.nlm.nih.gov/9405275/	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3582	M20A-EXT-2753	plg f3		medium-high	high	DOI:10.1182/blood.V91.6.1987; https://doi.org/10.1182/blood.V91.6.1987	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3585	M20A-EXT-2757	plg itgam		medium-high	high	PMID:14769799; https://pubmed.ncbi.nlm.nih.gov/14769799/; DOI:10.1074/jbc.M310462200	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3586	M20A-EXT-2758	plg itgb1		medium-high	high	PMID:15090462; https://pubmed.ncbi.nlm.nih.gov/15090462/; DOI:10.1182/blood-2003-09-3016	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3587	M20A-EXT-2759	plg itgb2		medium-high	high	PMID:14769799; https://pubmed.ncbi.nlm.nih.gov/14769799/; DOI:10.1074/jbc.M310462200	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3606	M20A-EXT-2781	pomc mc1r	M21A-REUSE-1780	medium	high	PMID:17317724; https://pubmed.ncbi.nlm.nih.gov/17317724/	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3607	M20A-EXT-2782	pomc mc2r	M21A-REUSE-1781	medium	high	PMID:21177829; https://pubmed.ncbi.nlm.nih.gov/21177829/; PMID:18981183; https://pubmed.ncbi.nlm.nih.gov/18981183/	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3608	M20A-EXT-2783	pomc mc3r	M21A-REUSE-1782	medium	high	PMID:8415620; PMCID:PMC47459; https://pubmed.ncbi.nlm.nih.gov/8415620/; https://pmc.ncbi.nlm.nih.gov/articles/PMC47459/	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3609	M20A-EXT-2784	pomc mc4r	M21A-REUSE-1783	medium	high	PMID:38567654; https://pubmed.ncbi.nlm.nih.gov/38567654/; PMID:39120267; https://pubmed.ncbi.nlm.nih.gov/39120267/	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-3610	M20A-EXT-2785	pomc mc5r	M21A-REUSE-1784	medium	high	PMID:11785979; https://pubmed.ncbi.nlm.nih.gov/11785979/; PMID:20089716; https://pubmed.ncbi.nlm.nih.gov/20089716/	Exact receptor-complex binding, receptor-proximal relay, or bounded downstream function supports qualified-high promotion; recorded topology, processing, and Module 22A TF metadata remain unchanged.	true	true	false
