expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	intracellular_tf_edge_id	tf_target_edge_id	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-0785	M21B-DOWNSTREAM:00005	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE08820	PDGFB/PDGF-BB	M21B-E000182	NODE08838	PDGFRB receptor dimer									PDGFB-PDGFRB-associated SHP2/FAK activity, membrane ruffling and directed migration output			PDGFB-PDGFRB-SHP2-FAK-migration	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000182;M21B-EVID-000125;M21B-DOWNSTREAM-EVID:000012;M21B-EVID-000085;PMID:7691811;PMID:10318871	M21B-DOWNSTREAM-EVID:000012	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0785	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; rat	Human PDGFRβ phosphotyrosyl-peptide and immunoprecipitation systems; PDGFRβ-expressing cells with Y1009F receptor; SHP2/FAK activity, membrane ruffling and PDGF-directed migration assays	Extracellular PDGFB engagement of a PDGFRB receptor dimer with functional output; intracellular relay is not assigned in this route	No SCI/pericyte receiver attribution inferred; primary model context only	The PDGFB-PDGFRB input and SHP2/FAK-associated functional readout are retained without inferring a complete intracellular chain or terminal TF.	PDGFRβ phosphotyrosyl-peptide competition, immunoprecipitation, Y1009F receptor, SHP2/FAK activity, membrane ruffling and migration assays	activating	direct_edge	PMID:7691811; PMID:10318871	Primary PDGFRβ phosphotyrosine docking and migration-branch evidence	Primary-supported evidence links PDGFRβ phosphotyrosine docking to SHP2/FAK activity, membrane ruffling and PDGF-directed migration; the route preserves the ligand-receptor input and output while leaving intracellular continuation and TF layers unresolved.	Preserve PDGFRβ phosphosite/Y1009 and model context; do not treat SHP2 as a kinase, infer an unobserved PDGFB-to-SHP2 topology, or transfer the migration output to SCI.	curated_primary_route	LITEXP:000785
M21B-LITEXP-0786	M21B-DOWNSTREAM:00010	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE08382	NTN1/netrin-1	M21B-E000191	NODE02775	DCC									Netrin-1-DCC-associated Cdc42/Rac1/PAK1/N-WASP and growth-cone expansion output			Netrin-DCC-RhoGTPase-growth-cone	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000191;M21B-EVID-000134;M21B-DOWNSTREAM-EVID:000020;M21B-EVID-000092;PMID:15788770	M21B-DOWNSTREAM-EVID:000020	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0786	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	rat	Embryonic rat spinal commissural neurons and N1E-115 neuroblastoma cells; netrin-1 stimulation, DCC-dependent Cdc42/Rac1/PAK1 activation and growth-cone expansion assays	Extracellular netrin-1 engagement of DCC with actin-regulatory output; the DCC-associated complex is not expanded into a traversable intracellular chain here	No SCI transfer inferred; embryonic spinal-neuron model context only	Primary evidence supports netrin-1-DCC engagement and RhoGTPase-associated growth-cone output; the route intentionally retains the missing intracellular and TF layers.	DCC blocking, netrin-1 stimulation, dominant-negative Cdc42/Rac1, GTPase/PAK1 activation and growth-cone morphology assays	activating	direct_edge	PMID:15788770	Primary netrin-1/DCC actin-regulatory and growth-cone study	Primary evidence supports DCC-dependent netrin-1 growth-cone expansion with rapid Cdc42, Rac1 and Pak1 activation and recruitment of an actin-regulatory complex; no terminal TF is assigned.	Preserve DCC/NCK1 scaffold and embryonic rat commissural-neuron context; do not infer that the composite actin complex is a single molecular intermediate or claim a terminal transcriptional output.	curated_primary_route	LITEXP:000786
M21B-LITEXP-0787	M21B-DOWNSTREAM:00052	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE01694	CCL24/eotaxin-2	M21B-E000233	NODE01769	CCR3									CCL24-CCR3-associated eosinophil chemotaxis and fibroblast activation output			CCL24-CCR3-GPCR	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000233;M21B-EVID-000176;M21B-DOWNSTREAM-EVID:000098;PMID:40955564;PMID:23532518	M21B-DOWNSTREAM-EVID:000098	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0787	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse; rat	Mouse cardiac-fibroblast and CCR3-deficient models plus human eosinophil chemotaxis systems; CCL24 stimulation, receptor blockade/deficiency, migration and fibroblast-activation assays	Extracellular CCL24 engagement of CCR3 with chemotaxis/fibroblast functional output; GPCR intracellular relay is not assigned	No CNS/SCI transfer inferred; cardiac, fibroblast and eosinophil model contexts only	Primary evidence supports CCL24-CCR3-associated functional output, while intracellular continuation and TF layers remain explicitly unresolved.	CCL24 stimulation, CCR3 blockade/deficiency, human eosinophil chemotaxis, fibroblast activation and cardiac pressure-overload models	activating	direct_edge	PMID:40955564; PMID:23532518	Primary CCL24-CCR3 chemotaxis and fibroblast-activation evidence	Primary evidence supports CCL24 as a CCR3-associated activator of eosinophil chemotaxis and cardiac-fibroblast proliferation/activation; the route retains the output without assigning a GPCR relay or terminal TF.	Preserve CCL24/eotaxin-2 processing and eosinophil/fibroblast model context; do not infer exclusive ligand affinity, a specific G-protein branch or SCI transfer.	curated_primary_route	LITEXP:000787
M21B-LITEXP-0788	M21B-DOWNSTREAM:00073	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE11743	Vitronectin/VTN	M21B-E000277	NODE05879	ITGAV:ITGB3 integrin									Vitronectin-alphaVbeta3-associated adhesion and ligand-binding activation-state output			Vitronectin-alphaVbeta3-adhesion	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000277;M21B-EVID-000220;M21B-DOWNSTREAM-EVID:000142;PMID:9480902;PMCID:PMC1219217;DOI:10.1042/bj3300861	M21B-DOWNSTREAM-EVID:000142	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0788	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	Human recombinant alphaVbeta3, native placental receptor and M21 melanoma cells; purified-receptor ligand-binding, vitronectin adhesion, RGD inhibition and Mn2+-activation comparisons	Extracellular vitronectin engagement of the alphaVbeta3 heterodimer with adhesion output; integrin intracellular relay is not assigned	No SCI transfer inferred; melanoma and recombinant-receptor model context only	Primary evidence supports vitronectin-alphaVbeta3 binding and adhesion/activation-state output without inferring an autonomous intracellular relay or TF.	Purified alphaVbeta3 binding, RGD inhibition, native-cell adhesion and Mn2+ activation-state comparisons	activating	direct_edge	PMID:9480902; PMCID:PMC1219217; DOI:10.1042/bj3300861	Primary alphaVbeta3 ligand-binding and vitronectin adhesion-state study	Primary evidence supports high-affinity vitronectin binding by alphaVbeta3 and alphaVbeta3-dependent melanoma-cell adhesion, while distinguishing purified constitutive affinity from cell-surface activation-state control.	Preserve vitronectin RGD form, alphaVbeta3 heterodimer and purified versus cell-surface activation-state distinction; do not infer an autonomous ITGAV relay or terminal TF.	curated_primary_route	LITEXP:000788
M21B-LITEXP-0789	M21B-DOWNSTREAM:00074	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE03701	Fibronectin/FN	M21B-E000278	NODE05879	ITGAV:ITGB3 integrin									Fibronectin-alphaVbeta3-associated melanoma-cell adhesion and spreading output			Fibronectin-alphaVbeta3-adhesion	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000278;M21B-EVID-000221;M21B-DOWNSTREAM-EVID:000144;PMID:1703545;PMCID:PMC2116382;DOI:10.1083/jcb.111.6.2795	M21B-DOWNSTREAM-EVID:000144	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0789	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	Purified human alphaVbeta3 and M21 melanoma cells with alphaVbeta3-deficient variant; fibronectin binding, RGD/antibody inhibition, attachment and spreading assays	Extracellular fibronectin engagement of alphaVbeta3 with adhesion/spreading output; integrin intracellular relay is not assigned	No SCI transfer inferred; melanoma and purified-receptor model context only	Primary evidence supports fibronectin-alphaVbeta3 binding and cell attachment/spreading, while preserving the cooperative alpha5beta1 context and missing intracellular/TF layers.	Purified alphaVbeta3 solid-phase binding, affinity chromatography, alphaVbeta3-deficient cells, RGD/antibody inhibition and spreading assays	unknown	direct_edge	PMID:1703545; PMCID:PMC2116382; DOI:10.1083/jcb.111.6.2795	Primary fibronectin-alphaVbeta3 binding and cooperative melanoma adhesion study	Primary evidence supports high-affinity fibronectin binding by alphaVbeta3 and biologically relevant melanoma-cell attachment/spreading in concert with alpha5beta1; no intracellular relay or terminal TF is assigned.	Preserve fibronectin RGD form and alphaVbeta3/alpha5beta1 cooperative adhesion context; do not infer a receptor-autonomous intracellular chain or SCI output.	curated_primary_route	LITEXP:000789
M21B-LITEXP-0790	M21B-DOWNSTREAM:00077	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE06242	Laminin-511	M21B-E000281	NODE05752	ITGA3:ITGB1 integrin									Laminin-511-alpha3beta1-associated mast-cell adhesion and migration output			Laminin511-alpha3beta1-adhesion	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000281;M21B-EVID-000224;M21B-DOWNSTREAM-EVID:000147;PMID:19752234;DOI:10.4049/jimmunol.0901738	M21B-DOWNSTREAM-EVID:000147	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0790	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	Human mast cells expressing alpha3beta1; laminin-511/LM-511 substrate, integrin expression profiling, alpha3-blocking antibody, adhesion and migration assays	Extracellular laminin-511 engagement of alpha3beta1 with mast-cell adhesion/migration output; integrin intracellular relay is not assigned	No SCI transfer inferred; human mast-cell basement-membrane model context only	Primary evidence supports laminin-511/alpha3beta1-associated mast-cell adhesion and migration while leaving intracellular continuation and TF layers unresolved.	Laminin-isoform substrates, integrin profiling, alpha3-blocking antibody, adhesion, migration and IL-8 co-stimulation assays	unknown	direct_edge	PMID:19752234; DOI:10.4049/jimmunol.0901738	Primary laminin-511/alpha3beta1 mast-cell adhesion and migration study	Primary evidence supports laminin-511-associated human mast-cell adhesion and migration through alpha3beta1, with alpha3-blocking inhibition; no intracellular relay or terminal TF is assigned.	Preserve laminin-511 isoform, alpha3beta1 heterodimer, blocking-antibody and mast-cell context; do not infer purified affinity, an autonomous integrin relay or SCI transfer.	curated_primary_route	LITEXP:000790
M21B-LITEXP-0791	M21B-DOWNSTREAM:00124	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE06874	MDK/midkine	M21B-E000371	NODE09511	PTPRZ1/RPTPbeta-zeta									Midkine-PTPRZ1-associated neuronal migration output			MDK-PTPRZ1-phosphatase-inhibition	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000371;M21B-EVID-000314;M21B-DOWNSTREAM-EVID:000230;PMID:10212223	M21B-DOWNSTREAM-EVID:000230	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0791	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	rat	Mammalian recombinant midkine and soluble PTPRZ1/RPTPzeta systems; solid-phase binding, Scatchard analysis, glycosaminoglycan/chondroitinase perturbation, MDK mutagenesis and neuronal-migration assays	Extracellular midkine engagement of PTPRZ1 with neuronal migration output; the phosphatase-associated intracellular relay is not assigned	No SCI transfer inferred; neuronal migration model context only	Primary evidence supports chondroitin-sulfate-dependent MDK-PTPRZ1 recognition and neuronal migration output without inferring a complete intracellular pathway.	Solid-phase binding, Scatchard analysis, glycosaminoglycan/chondroitinase perturbation, MDK mutagenesis and neuronal migration assays	inhibitory	direct_edge	PMID:10212223	Primary midkine/PTPRZ1 receptor-recognition and neuronal-migration study	Primary evidence supports high- and low-affinity midkine binding to PTPRZ1 with glycosaminoglycan dependence and a linked neuronal-migration readout; intracellular continuation and TF layers remain unresolved.	Preserve chondroitin-sulfate-dependent receptor recognition and phosphatase-receptor context; binding/migration evidence does not establish a universal intracellular relay or SCI branch.	curated_primary_route	LITEXP:000791
M21B-LITEXP-0792	M21B-DOWNSTREAM:00204	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE03610	FGF19	M21B-E000548	NODE03657	FGFR1c:beta-Klotho receptor complex									FGF19-beta-Klotho-FGFR1c-associated receptor phosphorylation, ERK/Egr1 and metabolic output			FGF19-betaKlotho-FGFR1c-endocrine-signaling	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000548;M21B-EVID-000491;M21B-DOWNSTREAM-EVID:000339;PMID:17623664	M21B-DOWNSTREAM-EVID:000339	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0792	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	Human HEK293 cells expressing beta-Klotho and FGFR isoforms, hepatocyte and adipocyte metabolic-response systems; receptor phosphorylation, ERK/Egr1, glucose and CYP7A1 readouts	Extracellular FGF19 engagement of beta-Klotho-FGFR1c with receptor phosphorylation and metabolic output; downstream relay is not assigned	No SCI transfer inferred; endocrine and heterologous metabolic model context only	Primary evidence supports beta-Klotho-dependent FGF19 activity through FGFR1c and bounded phosphorylation/metabolic outputs while leaving intracellular continuation and TF layers unresolved.	FGFR/beta-Klotho reconstitution, FGF19 stimulation, receptor phosphorylation, ERK/Egr1, glucose uptake and CYP7A1 readouts	activating	direct_edge	PMID:17623664	Primary FGF19 beta-Klotho/FGFR isoform-reconstitution study	Primary evidence supports beta-Klotho-dependent FGF19 signaling through FGFR1c and receptor phosphorylation, ERK/Egr1 and metabolic readouts; no complete intracellular chain or terminal TF is assigned.	Preserve beta-Klotho and FGFR1c isoform requirement plus heterologous/high-dose context; do not generalize tissue selectivity or transfer the metabolic output to SCI.	curated_primary_route	LITEXP:000792
M21B-LITEXP-0793	M21B-DOWNSTREAM:00224	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor	not_assayed	NODE03092	EFNB1/ephrin-B1	M21B-E000587	NODE03279	EPHB1									Membrane-bound or clustered ephrin-B1-EPHB1 receptor activation output			EFNB1-EPHB1-membrane-contact-signaling	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000587;M21B-EVID-000530;M21B-DOWNSTREAM-EVID:000367;PMID:7973638	M21B-DOWNSTREAM-EVID:000367	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0793	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	as stated in primary model/assay	Membrane-attached ephrin-B1 and EPH-related receptor-tyrosine-kinase ligand/receptor systems; cell-surface ligand attachment, clustering and receptor-activation assays	Contact-dependent membrane-bound or clustered ephrin-B1 engagement of EPHB1 with receptor-activation output; downstream relay is not assigned	No SCI transfer inferred; primary receptor-characterization context only	Primary evidence supports membrane-presented ephrin-B1 as an EPHB1 ligand requiring presentation or clustering for activation; the intracellular and TF layers remain unresolved.	Membrane-attached ligand presentation, receptor binding, clustering and activation assays	activating	direct_edge	PMID:7973638	Primary ephrin-B1/EPHB1 membrane-presentation and receptor-activation study	Primary evidence supports membrane-presented or clustered ephrin-B1 engagement of EPHB1 and receptor activation; no complete intracellular cascade or terminal TF is assigned.	Preserve membrane-bound/clustered ephrin-B1 presentation and EPHB1 forward-signaling topology; reverse ephrin signaling and SCI transfer are not assigned.	curated_primary_route	LITEXP:000793
M21B-LITEXP-0794	M21B-DOWNSTREAM:00237	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE02661	CXCL4/PF4	M21B-E000605	NODE05859	ITGAM:ITGB2 Mac-1									PF4-Mac-1-associated leukocyte adhesion, migration and phagocytosis output			PF4-Mac1-functional-receptor	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000605;M21B-EVID-000548;M21B-DOWNSTREAM-EVID:000386;M21B-DOWNSTREAM-EVID:000387;PMID:29540475;PMCID:PMC5936813	M21B-DOWNSTREAM-EVID:000386	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0794	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse	Human neutrophils, monocytes, U937 and Mac-1-expressing HEK293 cells; wild-type versus Mac-1-deficient mouse macrophages; PF4 binding, adhesion, migration and phagocytosis assays	Extracellular PF4 engagement of Mac-1 with leukocyte functional output; integrin intracellular relay is not assigned	No SCI transfer inferred; platelet/leukocyte and macrophage model context only	Primary evidence supports direct PF4-Mac-1 binding and Mac-1-dependent adhesion, migration and phagocytosis while preserving the missing intracellular and TF layers.	PF4-coated adhesion/migration/phagocytosis assays, alphaM I-domain biolayer interferometry, Mac-1 antagonists and Mac-1-deficient macrophages	activating	direct_edge	PMID:29540475; PMCID:PMC5936813	Primary PF4/Mac-1 direct-binding and leukocyte functional-receptor study	Primary evidence supports direct PF4 binding to the Mac-1 alphaM I-domain and Mac-1-dependent leukocyte adhesion, migration and phagocytosis; no specific integrin intracellular relay or terminal TF is assigned.	Preserve PF4 tetramer/charge, heparan-sulfate or proteoglycan cooperation, alphaM I-domain binding and platelet-derived alarmin context; do not infer SCI or terminal-TF output.	curated_primary_route	LITEXP:000794
