review_queue_rank	priority_band	route_status	queue_key	promotion_id	regulator_key	regulator_symbol	raw_tf_symbol	target_symbol	species_scope	module_count	module_assignments	target_graph_modules	module_routes	module_row_count	evidence_weight_tier	evidence_weight_rank	evidence_tier_basis	source_registries	source_record_ids	review_ids	primary_citations	regulator_role_class	canonical_role_status	mechanism_evidence_type	mechanism_evidence_definition	context_level_regulator	context_level_target	context_level_exact_pair	context_evidence_scope	context_promotion_lane	context_review_status	context_review_basis
1	C1_canonical_multi_module:100	module_routed	ahrr|adipoq|human	public_tf_comprehensive_101	ahrr	AHRR	AHRR	ADIPOQ	human	2	20B;23B	20B;23B	20B_target_interaction;23B_target_interaction	2	C_tflink_source_table_only	1	promoted overlay evidence tier	TFLink	tflink:human:001370:776f07a2418e	tflink_source_ahrr_adipoq_human_tflink_human_001370_776f07a2418e	https://pubmed.ncbi.nlm.nih.gov/27924024/	canonical_sequence_specific_tf	canonical_tf	direct_sequence_specific_tf_binding	Sequence-specific TF binding or occupancy at the target regulatory locus is the proposed mechanism.	L0_no_context_evidence	L1_non_CNS_context	L0_no_context_evidence	target_only	sci_relevant_component_context	adjudicated_context_overlay_applied	ADIPOQ is supported in non-CNS adipose tissue context, but no CNS, spinal-cord, SCI, or AHRR-to-ADIPOQ context was established for the exact pair. The target is therefore L1 non-CNS and the pair remains L0.
2	C1_canonical_multi_module:100	module_routed	ahrr|alcam|human	public_tf_comprehensive_102	ahrr	AHRR	AHRR	ALCAM	human	2	20B;23B	20B;23B	20B_target_interaction;23B_target_interaction	2	C_tflink_source_table_only	1	promoted overlay evidence tier	TFLink	tflink:human:001370:776f07a2418e	tflink_source_ahrr_alcam_human_tflink_human_001370_776f07a2418e	https://pubmed.ncbi.nlm.nih.gov/27924024/	canonical_sequence_specific_tf	canonical_tf	direct_sequence_specific_tf_binding	Sequence-specific TF binding or occupancy at the target regulatory locus is the proposed mechanism.	L0_no_context_evidence	L2_CNS_context	L0_no_context_evidence	target_only	sci_relevant_component_context	adjudicated_context_overlay_applied	ALCAM has CNS/brain expression evidence, but no CNS, spinal-cord, SCI, or AHRR-to-ALCAM context was established for the exact pair. The target is therefore L2 CNS and the pair remains L0.
3	C1_canonical_multi_module:100	module_routed	barx1|alcam|human	public_tf_comprehensive_194	barx1	BARX1	BARX1	ALCAM	human	2	20B;23B	20B;23B	20B_target_interaction;23B_target_interaction	2	C_tflink_source_table_only	1	promoted overlay evidence tier	TFLink	tflink:human:001381:b79bd74fcea5	tflink_source_barx1_alcam_human_tflink_human_001381_b79bd74fcea5	https://pubmed.ncbi.nlm.nih.gov/27924024/	canonical_sequence_specific_tf	canonical_tf	direct_sequence_specific_tf_binding	Sequence-specific TF binding or occupancy at the target regulatory locus is the proposed mechanism.	L0_no_context_evidence	L2_CNS_context	L0_no_context_evidence	target_only	sci_relevant_component_context	adjudicated_context_overlay_applied	ALCAM has CNS/brain expression evidence, but no CNS, spinal-cord, SCI, or BARX1-to-ALCAM context was established for the exact pair. The target is therefore L2 CNS and the pair remains L0.
4	C1_canonical_multi_module:100	module_routed	bhlhe22|alcam|human	public_tf_comprehensive_215	bhlhe22	BHLHE22	BHLHE22	ALCAM	human	2	20B;23B	20B;23B	20B_target_interaction;23B_target_interaction	2	C_tflink_source_table_only	1	promoted overlay evidence tier	TFLink	tflink:human:001218:88914b5c4bd6	tflink_source_bhlhe22_alcam_human_tflink_human_001218_88914b5c4bd6	https://pubmed.ncbi.nlm.nih.gov/29126285/	canonical_sequence_specific_tf	canonical_tf	direct_sequence_specific_tf_binding	Sequence-specific TF binding or occupancy at the target regulatory locus is the proposed mechanism.	L0_no_context_evidence	L2_CNS_context	L0_no_context_evidence	target_only	sci_relevant_component_context	adjudicated_context_overlay_applied	ALCAM has CNS/brain expression evidence, but no CNS, spinal-cord, SCI, or BHLHE22-to-ALCAM context was established for the exact pair. The target is therefore L2 CNS and the pair remains L0.
5	C1_canonical_multi_module:100	module_routed	casz1|adam22|human	public_tf_comprehensive_289	casz1	CASZ1	CASZ1	ADAM22	human	2	20B;23B	20B;23B	20B_target_interaction;23B_target_interaction	2	C_tflink_source_table_only	1	promoted overlay evidence tier	TFLink	tflink:human:001204:5ee273f63ff4	tflink_source_casz1_adam22_human_tflink_human_001204_5ee273f63ff4	https://pubmed.ncbi.nlm.nih.gov/27924024/	canonical_sequence_specific_tf	canonical_tf	direct_sequence_specific_tf_binding	Sequence-specific TF binding or occupancy at the target regulatory locus is the proposed mechanism.	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	no_qualifying_context_found	context_reviewed_no_qualifying_context	adjudicated_context_overlay_applied	The C-tier record is source-table-only and the current record is (not_assessed_in_tflink_source_table); no authoritative CNS, spinal-cord-tissue, or SCI context can be verified from this evidence packet. The relationship is therefore resolved as context-unverifiable at L0 for this pass. This does not claim exhaustive literature absence and does not change the original C evidence tier.
6	C1_canonical_multi_module:100	module_routed	cc2d1a|agrn|human	public_tf_comprehensive_340	cc2d1a	CC2D1A	CC2D1A	AGRN	human	2	20B;23B	20B;23B	20B_target_interaction;23B_target_interaction	2	C_tflink_source_table_only	1	promoted overlay evidence tier	TFLink	tflink:human:001167:fb761d35af1f	tflink_source_cc2d1a_agrn_human_tflink_human_001167_fb761d35af1f	https://pubmed.ncbi.nlm.nih.gov/27924024/	canonical_sequence_specific_tf	canonical_tf	direct_sequence_specific_tf_binding	Sequence-specific TF binding or occupancy at the target regulatory locus is the proposed mechanism.	L0_no_context_evidence	L1_non_CNS_context	L0_no_context_evidence	target_only	sci_relevant_component_context	adjudicated_context_overlay_applied	AGRN is expressed in primary human glomerular endothelial cells in a diabetic-kidney study. This establishes non-CNS target-component context for AGRN, but no CC2D1A-to-AGRN context was established; the exact pair remains L0.
7	C1_canonical_multi_module:100	module_routed	cc2d1a|angpt1|human	public_tf_comprehensive_341	cc2d1a	CC2D1A	CC2D1A	ANGPT1	human	2	20B;23B	20B;23B	20B_target_interaction;23B_target_interaction	2	C_tflink_source_table_only	1	promoted overlay evidence tier	TFLink	tflink:human:001167:fb761d35af1f	tflink_source_cc2d1a_angpt1_human_tflink_human_001167_fb761d35af1f	https://pubmed.ncbi.nlm.nih.gov/27924024/	canonical_sequence_specific_tf	canonical_tf	direct_sequence_specific_tf_binding	Sequence-specific TF binding or occupancy at the target regulatory locus is the proposed mechanism.	L0_no_context_evidence	L1_non_CNS_context	L0_no_context_evidence	target_only	sci_relevant_component_context	adjudicated_context_overlay_applied	ANGPT1 was studied in primary human microvascular endothelial cells and shown to mediate endothelial barrier signaling. This establishes non-CNS target-component context for ANGPT1, but no CC2D1A-to-ANGPT1 context was established; the exact pair remains L0.
8	C1_canonical_multi_module:100	module_routed	cc2d1a|c5ar1|human	public_tf_comprehensive_343	cc2d1a	CC2D1A	CC2D1A	C5AR1	human	2	20B;24B	20B;24B	20B_target_interaction;24B_target_interaction	2	C_tflink_source_table_only	1	promoted overlay evidence tier	TFLink	tflink:human:001167:fb761d35af1f	tflink_source_cc2d1a_c5ar1_human_tflink_human_001167_fb761d35af1f	https://pubmed.ncbi.nlm.nih.gov/27924024/	canonical_sequence_specific_tf	canonical_tf	direct_sequence_specific_tf_binding	Sequence-specific TF binding or occupancy at the target regulatory locus is the proposed mechanism.	L0_no_context_evidence	L1_non_CNS_context	L0_no_context_evidence	target_only	sci_relevant_component_context	adjudicated_context_overlay_applied	C5AR1 is expressed and functionally studied in human monocytes and macrophages in a sterile-inflammation model. This establishes non-CNS target-component context for C5AR1, but no CC2D1A-to-C5AR1 context was established; the exact pair remains L0.
9	C1_canonical_multi_module:100	module_routed	dmrtb1|adgrl1|mouse	public_tf_comprehensive_526	dmrtb1	DMRTB1	Dmrtb1	Adgrl1	mouse	2	20B;23B	20B;23B	20B_target_interaction;23B_target_interaction	2	C_tflink_source_table_only	1	promoted overlay evidence tier	TFLink	tflink:mouse:001031:3c6aa0672a00	tflink_source_dmrtb1_adgrl1_mouse_tflink_mouse_001031_3c6aa0672a00	https://pubmed.ncbi.nlm.nih.gov/27924024/	canonical_sequence_specific_tf	canonical_tf	direct_sequence_specific_tf_binding	Sequence-specific TF binding or occupancy at the target regulatory locus is the proposed mechanism.	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	no_qualifying_context_found	context_reviewed_no_qualifying_context	adjudicated_context_overlay_applied	The C-tier record is source-table-only and the current record is (not_assessed_in_tflink_source_table); no authoritative CNS, spinal-cord-tissue, or SCI context can be verified from this evidence packet. The relationship is therefore resolved as context-unverifiable at L0 for this pass. This does not claim exhaustive literature absence and does not change the original C evidence tier.
10	C1_canonical_multi_module:100	module_routed	foxk1|adam22|human	public_tf_comprehensive_696	foxk1	FOXK1	FOXK1	ADAM22	human	2	20B;23B	20B;23B	20B_target_interaction;23B_target_interaction	2	C_tflink_source_table_only	1	promoted overlay evidence tier	TFLink	tflink:human:000505:9d0b32966e36	tflink_source_foxk1_adam22_human_tflink_human_000505_9d0b32966e36	https://pubmed.ncbi.nlm.nih.gov/27924024/	canonical_sequence_specific_tf	canonical_tf	direct_sequence_specific_tf_binding	Sequence-specific TF binding or occupancy at the target regulatory locus is the proposed mechanism.	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	no_qualifying_context_found	context_reviewed_no_qualifying_context	adjudicated_context_overlay_applied	The C-tier record is source-table-only and the current record is (not_assessed_in_tflink_source_table); no authoritative CNS, spinal-cord-tissue, or SCI context can be verified from this evidence packet. The relationship is therefore resolved as context-unverifiable at L0 for this pass. This does not claim exhaustive literature absence and does not change the original C evidence tier.
