module	b_edge_id	b_evidence_id	source_kind	support_kind	source_scope	source_locator	species_support	evidence_layer	exportable	confidence_tier	citation_note	evidence_grade	context_level	grading_status	grading_basis	paper_keys	paper_row_count	observation_statuses	claim_statuses	context_basis	limitations
20B	M20B-E005143	M20B-EVID-005143-P2-DIRECT-301	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try4%20F2R; https://www.ncbi.nlm.nih.gov/pmc/?term=Try4%20F2R; https://www.jstor.org/action/doBasicSearch?Query=Try4%20F2R	mouse release scope; exact Try4-F2R pair not validated	ligand_receptor_or_direct_molecular	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic trypsin/PAR1 or thrombin/PAR1 studies were not transferred to the Try4 paralog without an exact reagent and assay.
20B	M20B-E005143	M20B-EVID-005143-P2-RELAY-301	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try4%20F2R; https://www.ncbi.nlm.nih.gov/pmc/?term=Try4%20F2R; https://www.jstor.org/action/doBasicSearch?Query=Try4%20F2R	mouse release scope; exact Try4-F2R pair not validated	receptor_proximal_relay	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic PAR1 signaling and non-Try4 protease studies were excluded; no terminal TF was inferred.
20B	M20B-E005143	M20B-EVID-005143-P2-FUNC-301	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try4%20F2R; https://www.ncbi.nlm.nih.gov/pmc/?term=Try4%20F2R; https://www.jstor.org/action/doBasicSearch?Query=Try4%20F2R	mouse release scope; exact Try4-F2R pair not validated	downstream_or_functional	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic thrombin/PAR1 and trypsin/PAR2 outputs were excluded from this exact paralog pair.
20B	M20B-E005144	M20B-EVID-005144-P2-DIRECT-301	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try4%20F2RL1; https://www.ncbi.nlm.nih.gov/pmc/?term=Try4%20F2RL1; https://www.jstor.org/action/doBasicSearch?Query=Try4%20F2RL1	mouse release scope; exact Try4-F2RL1 pair not validated	ligand_receptor_or_direct_molecular	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic trypsin, tryptase, or other protease/PAR2 studies were not transferred to Try4 without an exact reagent and assay.
20B	M20B-E005144	M20B-EVID-005144-P2-RELAY-301	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try4%20F2RL1; https://www.ncbi.nlm.nih.gov/pmc/?term=Try4%20F2RL1; https://www.jstor.org/action/doBasicSearch?Query=Try4%20F2RL1	mouse release scope; exact Try4-F2RL1 pair not validated	receptor_proximal_relay	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic PAR2 receptor signaling was excluded without exact Try4 attribution; no terminal TF was inferred.
20B	M20B-E005144	M20B-EVID-005144-P2-FUNC-301	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try4%20F2RL1; https://www.ncbi.nlm.nih.gov/pmc/?term=Try4%20F2RL1; https://www.jstor.org/action/doBasicSearch?Query=Try4%20F2RL1	mouse release scope; exact Try4-F2RL1 pair not validated	downstream_or_functional	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic trypsin/PAR2 inflammation, pain, migration, or proliferation studies were not transferred to Try4.
20B	M20B-E005145	M20B-EVID-005145-P2-DIRECT-301	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try4%20F2RL2; https://www.ncbi.nlm.nih.gov/pmc/?term=Try4%20F2RL2; https://www.jstor.org/action/doBasicSearch?Query=Try4%20F2RL2	mouse release scope; exact Try4-F2RL2 pair not validated	ligand_receptor_or_direct_molecular	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic thrombin/PAR3 or protease/PAR-family studies were not transferred to Try4 without an exact reagent and assay.
20B	M20B-E005145	M20B-EVID-005145-P2-RELAY-301	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try4%20F2RL2; https://www.ncbi.nlm.nih.gov/pmc/?term=Try4%20F2RL2; https://www.jstor.org/action/doBasicSearch?Query=Try4%20F2RL2	mouse release scope; exact Try4-F2RL2 pair not validated	receptor_proximal_relay	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	PAR3 pathway studies and generic protease/PAR signaling were excluded; no terminal TF was inferred.
20B	M20B-E005145	M20B-EVID-005145-P2-FUNC-301	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try4%20F2RL2; https://www.ncbi.nlm.nih.gov/pmc/?term=Try4%20F2RL2; https://www.jstor.org/action/doBasicSearch?Query=Try4%20F2RL2	mouse release scope; exact Try4-F2RL2 pair not validated	downstream_or_functional	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic PAR3 functional evidence was not transferred to Try4.
20B	M20B-E005146	M20B-EVID-005146-P2-DIRECT-301	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try4%20F2RL3; https://www.ncbi.nlm.nih.gov/pmc/?term=Try4%20F2RL3; https://www.jstor.org/action/doBasicSearch?Query=Try4%20F2RL3	mouse release scope; exact Try4-F2RL3 pair not validated	ligand_receptor_or_direct_molecular	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic thrombin/PAR4, trypsin/PAR-family, and platelet studies were not transferred to Try4 without an exact reagent and assay.
