evidence_id	pathway_reuse_key	source_locators	species	cell_type_model	assay_or_perturbation	relation_type	evidence_layer	pathway_branch	confidence_tier	evidence_summary	limitations
M21A-PAIR-EVID-001	M21A-REUSE-0094	PMID:15930396; PMID:31223654	rat sympathetic neurons; mouse neuropathic-pain model	rat sympathetic neurons; mouse neuropathic-pain model	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	downstream_pathway_function	BDNF/proBDNF-p75NTR-SORT1 apoptotic branch	medium	BDNF/proBDNF-p75NTR-SORT1 apoptotic branch	ProBDNF versus mature BDNF and p75NTR scope require explicit separation.
M21A-PAIR-EVID-002	M21A-REUSE-0095	PMID:39903605; PMCID:PMC12017343; PMID:24890717	human and mouse ACKR2-expressing HEK293T and mouse leukocyte uptake systems	human and mouse ACKR2-expressing HEK293T and mouse leukocyte uptake systems	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	downstream_pathway_function	ACKR2 chemokine internalization/scavenging	medium	ACKR2 chemokine internalization/scavenging	Scavenging/availability control is not canonical G-protein signaling and does not establish a TF endpoint.
M21A-PAIR-EVID-003	M21A-REUSE-0096	PMID:24890717; PMID:19906300	mouse leukocytes and mouse EAE monocyte-trafficking model	mouse leukocytes and mouse EAE monocyte-trafficking model	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	CCL2-CCR2-Gi/PI3K/ERK chemotaxis branch	high	CCL2-CCR2-Gi/PI3K/ERK chemotaxis branch	No pair-specific TF-target program or SCI receiver relay was established.
M21A-PAIR-EVID-004	M21A-REUSE-0097	PMID:23341447; PMID:32289156; PMID:26976955; PMID:33875601; PMCID:PMC7188906	human receptor assays and mouse ACKR4 loss-of-function/barrier-tissue models	human receptor assays and mouse ACKR4 loss-of-function/barrier-tissue models	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	ACKR4 chemokine scavenging/internalization branch	medium	ACKR4 chemokine scavenging/internalization branch	GRK3/beta-arrestin trafficking and chemokine-gradient control do not establish canonical Gi signaling or a TF endpoint.
M21A-PAIR-EVID-005	M21A-REUSE-0098	PMID:10725697; PMID:14581607; PMID:35663027	human CCR10 transfectants and mouse melanoma/skin models	human CCR10 transfectants and mouse melanoma/skin models	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	CCL27-CCR10-Gi/Ca2+/chemotaxis branch	medium	CCL27-CCR10-Gi/Ca2+/chemotaxis branch	Mouse Ccl27b paralog was not isolated and no terminal TF program was demonstrated.
M21A-PAIR-EVID-006	M21A-REUSE-0099	PMID:10433822; PMID:10102268; PMID:17360927; PMID:18417704	mouse developmental binding, genetics, and repulsion assays	mouse developmental binding, genetics, and repulsion assays	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	Slit-Robo-CC0-srGAP-Rac/Rho actin-guidance branch	high	Slit-Robo-CC0-srGAP-Rac/Rho actin-guidance branch	Canonical guidance relay is supported, but no terminal TF endpoint or SCI receiver weighting was established.
M21A-PAIR-EVID-007	M21A-REUSE-0100	PMID:23345436; PMCID:PMC3593915; PMID:29934346; PMCID:PMC6705959	rat neurons and heterologous synapse assays	rat neurons and heterologous synapse assays	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	downstream_pathway_function	SLITRK-PTPRS synaptogenic adhesion/scaffold branch	medium	SLITRK-PTPRS synaptogenic adhesion/scaffold branch	Synapse assembly is a functional/scaffold output; no terminal TF endpoint.
M21A-PAIR-EVID-008	M21A-REUSE-0101	PMID:24335906; PMID:33462195	human cells, zebrafish embryos, and mouse/human renal models	human cells, zebrafish embryos, and mouse/human renal models	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	WNT5A-MCAM/CD146-DVL2-JNK branch	high	WNT5A-MCAM/CD146-DVL2-JNK branch	JUN/AP-1 is a candidate only; target-program evidence remains deferred to Module22A.
M21A-PAIR-EVID-009	M21A-REUSE-0102	PMID:26001835; PMID:15475360; PMID:8622651	human granulosa cells and heterologous/cell-free receptor systems	human granulosa cells and heterologous/cell-free receptor systems	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	Activin-ACVR2A/B-ALK4-SMAD2/3-SMAD4 branch	medium	Activin-ACVR2A/B-ALK4-SMAD2/3-SMAD4 branch	Exact ligand plus four-part receptor complex was not isolated in one assay.
M21A-PAIR-EVID-010	M21A-REUSE-0103	PMID:18951876; PMID:32235336; PMID:15475360	human beta-cell, myeloma/HepG2, and cell-free receptor systems	human beta-cell, myeloma/HepG2, and cell-free receptor systems	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	Activin-ACVR2A/B-ALK7-SMAD2/3-SMAD4 branch	medium	Activin-ACVR2A/B-ALK7-SMAD2/3-SMAD4 branch	ACVR2A/B partner identity is not uniquely resolved in the ALK7 assays; PDX1 is model-specific.
M21A-PAIR-EVID-011	M21A-REUSE-0104	PMID:10854429; PMCID:PMC6620045	mouse receptor co-IP, reporter, pSMAD, and neuronal migration assays	mouse receptor co-IP, reporter, pSMAD, and neuronal migration assays	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	AMH-AMHR2/BMPR1B-SMAD1/5 branch	high	AMH-AMHR2/BMPR1B-SMAD1/5 branch	No target-program claim and no SCI receiver weighting.
M21A-PAIR-EVID-012	M21A-REUSE-0105	PMID:10085134; PMID:41085543	human EGFR-engineered fibroblasts and human/mouse bile-duct organoids/injury model	human EGFR-engineered fibroblasts and human/mouse bile-duct organoids/injury model	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	AREG-EGFR-ERK/MAPK branch	medium	AREG-EGFR-ERK/MAPK branch	Relay and functional models differ; ELK1 is a candidate, not an exact organoid endpoint.
M21A-PAIR-EVID-013	M21A-REUSE-0106	PMID:10085134	human epithelial cells and EGFR-engineered fibroblasts	human epithelial cells and EGFR-engineered fibroblasts	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	AREG-EGFR-mediated ERBB2 transphosphorylation branch	medium	AREG-EGFR-mediated ERBB2 transphosphorylation branch	EGFR mediates the ligand response; direct AREG-ERBB2 binding and TF endpoint are not established.
M21A-PAIR-EVID-014	M21A-REUSE-0107	PMID:9883723; PMID:25635057; DOI:10.1038/nchembio823	mouse neuronal cultures and receptor-complex assays	mouse neuronal cultures and receptor-complex assays	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	ARTN-GFRA3-RET-ERK/PI3K-AKT branch	medium	ARTN-GFRA3-RET-ERK/PI3K-AKT branch	No exact terminal TF assay; ELK1/AP-1 are generic candidates only.
M21A-PAIR-EVID-015	M21A-REUSE-0108	PMID:9312147; PMCID:PMC3230766; PMID:16034442	mouse cortical neurons and rat amygdala with receptor inhibition and pERK/pCREB assays	mouse cortical neurons and rat amygdala with receptor inhibition and pERK/pCREB assays	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	BDNF-TrkB-Shc/RAS/ERK, PI3K/AKT, PLCgamma-CREB branch	high	BDNF-TrkB-Shc/RAS/ERK, PI3K/AKT, PLCgamma-CREB branch	Mature versus proBDNF and TrkB isoform scope remain limitations; CREB phosphorylation is a terminal TF activation signal, not a target program.
M21A-PAIR-EVID-016	M21A-REUSE-0109	PMID:22718755	human recombinant receptor ectodomain SPR/thermodynamics	human recombinant receptor ectodomain SPR/thermodynamics	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	ligand_receptor_binding_or_activation	BMP10-ACVRL1/ALK1-SMAD1/5/9 branch with ACVR2A binding	low	BMP10-ACVRL1/ALK1-SMAD1/5/9 branch with ACVR2A binding	ACVR2A binding is shown but exact ternary cellular signaling is not established.
M21A-PAIR-EVID-017	M21A-REUSE-0110	PMID:35504921; PMCID:PMC9064986	human recombinant structural system and separate zebrafish endothelial ALK1 signaling	human recombinant structural system and separate zebrafish endothelial ALK1 signaling	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	BMP10-ACVRL1/ALK1-BMPR2-SMAD1/5/9 branch	medium	BMP10-ACVRL1/ALK1-BMPR2-SMAD1/5/9 branch	Structural ternary evidence and family relay are not a matched cell-level TF assay.
M21A-PAIR-EVID-018	M21A-REUSE-0111	PMID:22294741	human granulosa-luteal/COV434 and COS receptor-complex/pSMAD assays	human granulosa-luteal/COV434 and COS receptor-complex/pSMAD assays	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	BMP15-BMPR2/BMPR1B-SMAD1/5/8-SMAD4 branch	high	BMP15-BMPR2/BMPR1B-SMAD1/5/8-SMAD4 branch	Inhibin-B downstream program belongs to Module22A and is not included here.
M21A-PAIR-EVID-019	M21A-REUSE-0112	PMCID:PMC8855587	human U2OS/COS7 receptor competition, FRAP, siRNA, and pSMAD assays	human U2OS/COS7 receptor competition, FRAP, siRNA, and pSMAD assays	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	BMP2-ACVR2A-BMPR1A/ALK3-SMAD1/5/8 branch	medium	BMP2-ACVR2A-BMPR1A/ALK3-SMAD1/5/8 branch	Not SCI-specific and no target-program endpoint.
M21A-PAIR-EVID-020	M21A-REUSE-0113	PMID:19211807; PMID:17989347	mouse LbetaT2 and human vascular cells with receptor perturbation/pSMAD assays	mouse LbetaT2 and human vascular cells with receptor perturbation/pSMAD assays	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	BMP2-BMPR2/BMPR1A/ALK3-SMAD1/5 branch	medium	BMP2-BMPR2/BMPR1A/ALK3-SMAD1/5 branch	Fshb and other target programs belong to Module22A.
M21A-PAIR-EVID-021	M21A-REUSE-0114	PMID:21471205; PMID:19211807	COS7 live-cell FRAP/pSMAD and mouse LbetaT2 functional assays	COS7 live-cell FRAP/pSMAD and mouse LbetaT2 functional assays	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	BMP2-BMPR2/BMPR1B-SMAD1/5 branch	medium	BMP2-BMPR2/BMPR1B-SMAD1/5 branch	Target-program endpoints remain deferred.
M21A-PAIR-EVID-022	M21A-REUSE-0115	PMID:17989347	human pulmonary vascular cells with receptor siRNA and pSMAD assays	human pulmonary vascular cells with receptor siRNA and pSMAD assays	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	BMP4-BMPR2/BMPR1A-SMAD1/5 branch	medium	BMP4-BMPR2/BMPR1A-SMAD1/5 branch	Model-specific; no terminal TF target program.
M21A-PAIR-EVID-023	M21A-REUSE-0116	PMID:17541940; PMID:28925352	rat primary chondrocytes and chicken spinal cord	rat primary chondrocytes and chicken spinal cord	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	downstream_pathway_function	BMP5 ligand-level SMAD1/5/8 and p38 branch	low	BMP5 ligand-level SMAD1/5/8 and p38 branch	No receptor-complex perturbation; exact queued receptor pair is unresolved.
M21A-PAIR-EVID-024	M21A-REUSE-0117	PMID:18436533; PMCID:PMC3258927	human bone-marrow MSC receptor RNAi/co-expression and differentiation assays	human bone-marrow MSC receptor RNAi/co-expression and differentiation assays	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	BMP6 receptor-utilization-SMAD1/5/8 branch	medium	BMP6 receptor-utilization-SMAD1/5/8 branch	BMPR1B and ACVR2B were weak/not significant in the matched model; no SCI context.
M21A-PAIR-EVID-025	M21A-REUSE-0118	PMID:18436533; PMCID:PMC3258927; PMID:7790373; PMCID:PMC2120513	human MSC and receptor binding/reporter systems	human MSC and receptor binding/reporter systems	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	BMP7 receptor-utilization-SMAD1/5/8 branch	medium	BMP7 receptor-utilization-SMAD1/5/8 branch	Exact pair support varies by receptor combination; binding-only rows remain unpromoted.
M21A-PAIR-EVID-026	M21A-REUSE-0119	PMID:28465413; DOI:10.1126/scisignal.aal1910	HEK293T receptor reconstitution/BRE-CAGA reporters and mouse spermatogonia	HEK293T receptor reconstitution/BRE-CAGA reporters and mouse spermatogonia	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	BMP8A receptor-reconstituted-SMAD1/5/8 branch	medium	BMP8A receptor-reconstituted-SMAD1/5/8 branch	Exact reporter support is stronger for ACVR2A/BMPR2 combinations; SMAD2/3 branch uses ALK5 and is not transferred.
M21A-PAIR-EVID-027	M21A-REUSE-0120	PMID:32694734; PMCID:PMC7617436; PMCID:PMC10780770; PMCID:PMC9234707	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	downstream_pathway_function	BMP8B ligand-level SMAD1/5/9 and SMAD2/3 branches	low	BMP8B ligand-level SMAD1/5/9 and SMAD2/3 branches	Exact ACVR/BMPR receptor complex is unresolved; do not transfer BMP8A receptor-complex evidence.
M21A-PAIR-EVID-028	M21A-REUSE-0121	PMID:8570211; DOI:10.1152/ajpcell.00436.2003	mouse receptor-defined Ba/F3 and rat vascular smooth-muscle systems	mouse receptor-defined Ba/F3 and rat vascular smooth-muscle systems	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	BTC-EGFR/ERBB4 receptor activation with ERK/PI3K candidates	medium	BTC-EGFR/ERBB4 receptor activation with ERK/PI3K candidates	Pair-specific receptor activation, but no pair-specific TF assay; AP-1/ELK1 are generic candidates only.
M21A-PAIR-EVID-029	M21A-REUSE-0122	PMID:38498590; PMCID:PMC10948148	human HER2/HER4 ectodomains, cryo-EM	human HER2/HER4 ectodomains, cryo-EM	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	ligand_receptor_binding_or_activation	BTC-HER2/HER4 structural complex	low	BTC-HER2/HER4 structural complex	Structural receptor evidence only; intracellular relay and TF endpoint not measured.
M21A-PAIR-EVID-030	M21A-REUSE-0123	DOI:10.1152/ajpcell.00436.2003	rat vascular smooth-muscle cells with receptor association/phosphorylation and kinase inhibitors	rat vascular smooth-muscle cells with receptor association/phosphorylation and kinase inhibitors	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	BTC-EGFR/ERBB2 heterodimer ERK/AKT/p38 branch	medium	BTC-EGFR/ERBB2 heterodimer ERK/AKT/p38 branch	TF-target evidence absent and branch is model-specific.
M21A-PAIR-EVID-031	M21A-REUSE-0124	https://pubmed.ncbi.nlm.nih.gov/38233929/	human	HEK293A-CXCR2	CXCL8-competition binding, NanoBRET G-protein, beta-arrestin and internalization	direct binding; receptor activation	receptor_proximal_relay	CXCR2-Gi/o/Galpha15 chemokine GPCR branch	high	CXCR2-Gi/o/Galpha15 chemokine GPCR branch	Human exact-pair evidence; mouse transfer is conditional and no terminal TF was measured.
M21A-PAIR-EVID-032	M21A-REUSE-0125	https://pubmed.ncbi.nlm.nih.gov/31315975/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3820543/	human and mouse	HEK293/R1B-L17 and mouse Cor-1 neural stem cells	ternary structure, mutagenesis, receptor assembly, CAGA12 reporter, pSMAD2/3 and proliferation	direct receptor-complex assembly; receptor-proximal activation; function	receptor_proximal_relay	GDF11-ACVR2B-ALK5-SMAD2/3 branch	high	GDF11-ACVR2B-ALK5-SMAD2/3 branch	Exact ternary complex is strong; the neural-stem-cell functional context is not an SCI-cell proxy.
M21A-PAIR-EVID-033	M21A-REUSE-0126	https://pubmed.ncbi.nlm.nih.gov/8702914/; https://pmc.ncbi.nlm.nih.gov/articles/PMC2670865/; https://pmc.ncbi.nlm.nih.gov/articles/PMC4755026/	rat and mouse	ROB-C26/COS-1 receptor reconstitution and mouse sympathetic neurons	receptor reconstitution, structural binding, receptor perturbation and neurite-growth assays	direct ligand-receptor binding; receptor-complex activation; function	receptor_proximal_relay	GDF5-BMPR1B/ACVR2A-BMP-SMAD branch	medium	GDF5-BMPR1B/ACVR2A-BMP-SMAD branch	BMPR1B binding and receptor use are supported; pSMAD1/5/8 was not isolated in the exact ACVR2A reconstitution.
M21A-PAIR-EVID-034	M21A-REUSE-0127	https://pmc.ncbi.nlm.nih.gov/articles/PMC8092586/; https://pubmed.ncbi.nlm.nih.gov/35108538/	mouse and human family-level	ACKR4-expressing cells, lymphatic/endothelial and dendritic-cell models	labeled-chemokine uptake/scavenging, ACKR4 loss-of-function and trafficking assays	scavenging/internalization; functional gradient control	downstream_pathway_function	ACKR4-CCL21-family chemokine-gradient branch	low	ACKR4-CCL21-family chemokine-gradient branch	Ccl21f was not isolated from Ccl21a/b paralogs; no canonical GPCR-to-TF relay.
