boundary_id	source_a_evidence_id	source_a_edge_ids	boundary_type	source_locator	species_support	source_scope	summary	limitations
M20B-BOUNDARY-000001	M20A-CELLCHAT-REMAINING-0001	M20B-E000001	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000002	M20A-CELLCHAT-REMAINING-0002	M20B-E000002	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000003	M20A-CELLCHAT-REMAINING-0003	M20B-E000003	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000004	M20A-CELLCHAT-REMAINING-0004	M20B-E000004	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000005	M20A-CELLCHAT-REMAINING-0005	M20B-E000005	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000006	M20A-CELLCHAT-REMAINING-0006	M20B-E000006	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000007	M20A-CELLCHAT-REMAINING-0007	M20B-E000007	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000008	M20A-CELLCHAT-REMAINING-0008	M20B-E000008	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000009	M20A-CELLCHAT-REMAINING-0009	M20B-E000009	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000010	M20A-CELLCHAT-REMAINING-0010	M20B-E000010	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000011	M20A-CELLCHAT-REMAINING-0011	M20B-E000011	frozen_lr_supported	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=reject_pair. Independent non-LR audit retained manual status: The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000012	M20A-CELLCHAT-REMAINING-0012	M20B-E000012	frozen_lr_supported	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=reject_pair. Independent non-LR audit retained manual status: The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000013	M20A-CELLCHAT-REMAINING-0013	M20B-E000013	frozen_lr_supported	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=reject_pair. Independent non-LR audit retained manual status: The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000014	M20A-CELLCHAT-REMAINING-0014	M20B-E000014	frozen_lr_supported	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=reject_pair. Independent non-LR audit retained manual status: The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000015	M20A-CELLCHAT-REMAINING-0015	M20B-E000015	frozen_lr_supported	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=reject_pair. Independent non-LR audit retained manual status: The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000016	M20A-CELLCHAT-REMAINING-0016	M20B-E000016	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000017	M20A-CELLCHAT-REMAINING-0017	M20B-E000017	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000018	M20A-CELLCHAT-REMAINING-0018	M20B-E000018	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000019	M20A-CELLCHAT-REMAINING-0019	M20B-E000019	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000020	M20A-CELLCHAT-REMAINING-0020	M20B-E000020	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000021	M20A-CELLCHAT-REMAINING-0021	M20B-E000021	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000022	M20A-CELLCHAT-REMAINING-0022	M20B-E000022	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000023	M20A-CELLCHAT-REMAINING-0023	M20B-E000023	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000024	M20A-CELLCHAT-REMAINING-0024	M20B-E000024	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000025	M20A-CELLCHAT-REMAINING-0025	M20B-E000025	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000026	M20A-CELLCHAT-REMAINING-0026	M20B-E000026	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000027	M20A-CELLCHAT-REMAINING-0027	M20B-E000027	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000028	M20A-CELLCHAT-REMAINING-0028	M20B-E000028	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000029	M20A-CELLCHAT-REMAINING-0029	M20B-E000029	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000030	M20A-CELLCHAT-REMAINING-0030	M20B-E000030	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000031	M20A-CELLCHAT-REMAINING-0031	M20B-E000031	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000032	M20A-CELLCHAT-REMAINING-0032	M20B-E000032	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000033	M20A-CELLCHAT-REMAINING-0033	M20B-E000033	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000034	M20A-CELLCHAT-REMAINING-0034	M20B-E000034	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000035	M20A-CELLCHAT-REMAINING-0035	M20B-E000035	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000036	M20A-CELLCHAT-REMAINING-0036	M20B-E000036	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000037	M20A-CELLCHAT-REMAINING-0037	M20B-E000037	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000038	M20A-CELLCHAT-REMAINING-0038	M20B-E000038	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000039	M20A-CELLCHAT-REMAINING-0039	M20B-E000039	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000040	M20A-CELLCHAT-REMAINING-0040	M20B-E000040	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000041	M20A-CELLCHAT-REMAINING-0041	M20B-E000041	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000042	M20A-CELLCHAT-REMAINING-0042	M20B-E000042	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000043	M20A-CELLCHAT-REMAINING-0043	M20B-E000043	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000044	M20A-CELLCHAT-REMAINING-0044	M20B-E000044	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000045	M20A-CELLCHAT-REMAINING-0045	M20B-E000045	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000046	M20A-CELLCHAT-REMAINING-0046	M20B-E000046	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000047	M20A-CELLCHAT-REMAINING-0047	M20B-E000047	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000048	M20A-CELLCHAT-REMAINING-0048	M20B-E000048	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000049	M20A-CELLCHAT-REMAINING-0049	M20B-E000049	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000050	M20A-CELLCHAT-REMAINING-0050	M20B-E000050	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000051	M20A-CELLCHAT-REMAINING-0051	M20B-E000051	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000052	M20A-CELLCHAT-REMAINING-0052	M20B-E000052	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000053	M20A-CELLCHAT-REMAINING-0053	M20B-E000053	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000054	M20A-CELLCHAT-REMAINING-0054	M20B-E000054	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000055	M20A-CELLCHAT-REMAINING-0055	M20B-E000055	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000056	M20A-CELLCHAT-REMAINING-0056	M20B-E000056	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000057	M20A-CELLCHAT-REMAINING-0057	M20B-E000057	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000058	M20A-CELLCHAT-REMAINING-0058	M20B-E000058	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000059	M20A-CELLCHAT-REMAINING-0059	M20B-E000059	no_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000060	M20A-CELLCHAT-REMAINING-0060	M20B-E000060	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000061	M20A-CELLCHAT-REMAINING-0061	M20B-E000061	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000062	M20A-CELLCHAT-REMAINING-0062	M20B-E000062	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
M20B-BOUNDARY-000063	M20A-CELLCHAT-REMAINING-0063	M20B-E000063	low_evidence	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	mouse	negative_evidence	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.	Retained from frozen Module 20A classification; not exportable as a supported B-layer edge.
