extraction_id	module	b_edge_id	b_evidence_id	canonical_paper_key	resolver_approved_pmid	artifact_path	source_locator	observation_value_or_blocker	observation_species	observation_cell_or_model	observation_assay	observation_perturbation	outcome	claim_text_or_blocker	register_edge_source	register_edge_target	register_edge_status	edge_alignment_disposition	evidence_grade	context_level	grading_basis	final_disposition	exclusion_blocker_reason
M20B-P2-R-001789	20B	M20B-E001789	M20B-EVID-001789	PMID:28846097	28846097	data/raw/evidence/module20_24_supervised_cli_phase2/module20b_secondary_anchor_core.json	PMID:28846097; DOI:10.1038/nm.4392; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_secondary_anchor_core.json	Verified local source-unit content supports GDF15–GFRAL–RET, not registered GDF15–TGFBR2.	mouse and nonhuman primate	GFRAL-expressing area postrema and nucleus of the solitary tract neurons; receptor-expressing cells	Ligand binding; receptor deletion; weight-loss and food-intake assays; cell signaling	GDF15 administration; Gfral deletion; GFRAL-RET co-receptor requirement	No qualifying support for the registered GDF15–TGFBR2 edge.	Explicit exclusion: Verified local source-unit content supports GDF15–GFRAL–RET, not registered GDF15–TGFBR2.	Gdf15	Tgfbr2	frozen_lr_supported	not_aligned_exact_registered_edge	E	L0	Source-bounded receptor identity conflicts with the registered edge; exact-edge gate failed.	excluded_edge_mismatch	Verified local source-unit content supports GDF15–GFRAL–RET, not registered GDF15–TGFBR2.
M20B-P2-R-001797	20B	M20B-E001797	M20B-EVID-001797	PMID:24312319	24312319	data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC3842941_full.xml	PMID:24312319; PMCID:PMC3842941; DOI:10.1371/journal.pone.0081551; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC3842941_full.xml	AMH stimulation of immature mouse granulosa cells activated an AMHR2–BMPR1A/SMAD1/5 branch; Bmpr1a loss reduced phospho-Smad1/5/8 response and blocked AMH-induced Id3 upregulation.	mouse	mouse immature granulosa cells and ovarian follicles	Receptor expression and loss-of-function; Smad phosphorylation/pathway assays; target-gene expression	AMH stimulation; AMHR2/BMPR1A pathway perturbation; receptor/co-receptor comparisons	Receptor-complex/pathway response with Id3 induction; Bmpr1a loss reduced the response.	The authors support a bounded AMH–AMHR2/BMPR1A receptor-complex/pathway branch to SMAD1/5 and Id3; this is not purified ligand–receptor binding or SCI-specific.	Amh	AMHR2_BMPR1A	frozen_lr_supported	aligned_bounded_receptor_complex_pathway_support_no_purified_binding	B	L1	Resolver-approved primary full text supports the exact registered relationship in Results/Figures/Discussion; grade B single-source primary, L1 non-CNS ovarian context.	included_bounded_primary_support	none; no blocker
M20B-P2-R-001799	20B	M20B-E001799	M20B-EVID-001799	PMCID:PMC4176247	25086039	data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC4176247_full.xml	PMCID:PMC4176247; PMID:25086039; DOI:10.1074/jbc.M114.586826; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC4176247_full.xml	Named XML is metadata/abstract-only; local Results/Discussion/figure verification was unavailable.	human	EGFR/ErbB2-expressing engineered mammalian cells	Luciferase-fragment complementation; radioligand binding; ligand-induced receptor dimerization kinetics	AREG, EGF, TGF-alpha, BTC comparison	No final promotion; verified full-text body unavailable.	Explicit exclusion: Named XML is metadata/abstract-only; local Results/Discussion/figure verification was unavailable.	Areg	EGFR_ERBB2	frozen_lr_supported	not_adjudicated_no_local_full_text	U	L0	Full-text artifact gate failed; no grade upgrade.	excluded_no_verified_local_full_text	Named XML is metadata/abstract-only; local Results/Discussion/figure verification was unavailable.
M20B-P2-R-001913	20B	M20B-E001913	M20B-EVID-001913	PMCID:PMC2911026	19665027	data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B045_mif_cd74_full.xml	PMID:19665027; PMCID:PMC2911026; DOI:10.1016/j.febslet.2009.07.058; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B045_mif_cd74_full.xml	Named artifact does not match resolver PMID 19665027/PMCID PMC2911026.	human monocytes and monocyte-derived cells	Primary monocytes with CD74 and CXCR4 receptor complex	Co-immunoprecipitation; receptor inhibition; AKT phosphorylation/function	MIF stimulation; CXCR4 antagonism or knockdown; CD74 inhibition	No final promotion; available local artifact is identity-mismatched.	Explicit exclusion: Named artifact does not match resolver PMID 19665027/PMCID PMC2911026.	Mif	CD74_CXCR4	frozen_lr_supported	not_adjudicated_artifact_identity_mismatch	U	L0	Stable resolver identity is insufficient without the cited local source artifact.	excluded_artifact_identity_mismatch	Named artifact does not match resolver PMID 19665027/PMCID PMC2911026.
M20B-P2-R-001917	20B	M20B-E001917	M20B-EVID-001917	PMID:23345436; PMCID:PMC3593915; DOI:10.1073/pnas.1209881110	23345436	data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B226_PMC3593915_SLITRK_PTPRS_fulltext.html	PMID:23345436; PMCID:PMC3593915; DOI:10.1073/pnas.1209881110; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B226_PMC3593915_SLITRK_PTPRS_fulltext.html	Verified study supports Slitrk-family/LAR-RPTP functional effects but not an exact Slitrk4–PTPRS binding result.	rat and mouse; heterologous cell systems	Slitrk-expressing L cells; PTPRS/PTPRD-expressing L cells; cultured rat hippocampal neurons	cell aggregation/adhesion; heterologous synapse formation; synapse-marker immunostaining; receptor knockdown and rescue	Slitrk isoform expression or RNAi; PTPRS/PTPRD expression or knockdown; PTPRS deletion/splice-variant rescue	Exact Slitrk4–PTPRS binding result not established.	Explicit exclusion: family-level functional evidence is not promoted to the exact registered pair.	Slitrk4	Ptprs	frozen_lr_supported	not_aligned_exact_pair_unresolved	E	L0	Full text checked; exact registered pair remains unresolved.	excluded_unresolved_exact_pair	Verified source did not establish exact Slitrk4–PTPRS binding/edge evidence.
M20B-P2-R-001923	20B	M20B-E001923	M20B-EVID-001923	PMID:25838500; PMCID:PMC4403255; DOI:10.1101/gad.257675.114	25838500	data/raw/evidence/module20_24_supervised_cli_phase2/module20b_slitrk_wnt5a_agrn_app_chad_pmc_fulltext.xml	PMID:25838500; PMCID:PMC4403255; DOI:10.1101/gad.257675.114; PMCID:PMC2677572; PMID:19225519; DOI:10.1038/nature07767; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_slitrk_wnt5a_agrn_app_chad_pmc_fulltext.xml	Named artifact is identity-mismatched to resolver-approved APP–TNFRSF21 paper.	human	recombinant APP E2/DR6 ectodomains; COS-7 cells	x-ray crystallography; AP-fusion cell-binding; biolayer interferometry; interface mutagenesis	APP E2 M335D/W338A and E342A interface substitutions; soluble and full-length receptor constructs	No final promotion; cited APP–TNFRSF21 source not locally verified.	Explicit exclusion: Named artifact is identity-mismatched to resolver-approved APP–TNFRSF21 paper.	App	Tnfrsf21	frozen_lr_supported	not_adjudicated_artifact_identity_mismatch	U	L0	Nonmatching local file fails artifact/source-locator gate.	excluded_artifact_identity_mismatch	Named artifact is identity-mismatched to resolver-approved APP–TNFRSF21 paper.
M20B-P2-R-001961	20B	M20B-E001961	M20B-EVID-001961	PMCID:PMC2288935; PMID:2010469; DOI:10.1083/jcb.113.2.417	2010469	data/raw/evidence/module20_24_supervised_cli_phase2/retry_external_PMC2288935.html	PMCID:PMC2288935; PMID:2010469; DOI:10.1083/jcb.113.2.417; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_external_PMC2288935.html	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	rat; human/rat receptor-antibody context	embryonic rat sympathetic and dorsal-root neurons; peripheral-neuron neurite/axon outgrowth cultures	neurite outgrowth; collagen-IV fragment comparison; beta1 and alpha1beta1 antibody blockade	collagen IV, NC1, 7S and triple-helix fragments; beta1/alpha1beta1 blockade; laminin comparator	No final disposition beyond exclusion from this lane overlay.	Explicit exclusion: Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	Col4a1	ITGA1_ITGB1	frozen_lr_supported	not_adjudicated_frozen_screen_not_completed	U	L0	The lane was frozen at the already-screened set; no unsupported grade or claim was assigned.	excluded_review_not_completed_before_freeze	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.
M20B-P2-R-001971	20B	M20B-E001971	M20B-EVID-001971	PMCID:PMC2288935; PMID:2010469; DOI:10.1083/jcb.113.2.417	2010469	data/raw/evidence/module20_24_supervised_cli_phase2/retry_external_PMC2288935.html	PMCID:PMC2288935; PMID:2010469; DOI:10.1083/jcb.113.2.417; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_external_PMC2288935.html	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	rat; human/rat receptor-antibody context	embryonic rat sympathetic and dorsal-root neurons; neurite/axon outgrowth cultures	neurite outgrowth; collagen-IV fragment comparison; beta1 and alpha1beta1 antibody blockade	collagen IV, NC1, 7S and triple-helix fragments; beta1/alpha1beta1 blockade; laminin comparator	No final disposition beyond exclusion from this lane overlay.	Explicit exclusion: Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	Col4a2	ITGA1_ITGB1	frozen_lr_supported	not_adjudicated_frozen_screen_not_completed	U	L0	The lane was frozen at the already-screened set; no unsupported grade or claim was assigned.	excluded_review_not_completed_before_freeze	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.
M20B-P2-R-002027	20B	M20B-E005275	M20B-EVID-005275	PMID:21772251; PMCID:PMC3173783; DOI:10.1038/emboj.2011.236	21772251	data/raw/evidence/module20_24_supervised_cli_phase2/module20b_wnt_coreceptor_additional_pubmed.xml	PMID:21772251; PMCID:PMC3173783; DOI:10.1038/emboj.2011.236; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_wnt_coreceptor_additional_pubmed.xml	Only PubMed XML was available; local full-text verification was unavailable.	Xenopus and mammalian cell comparator systems	Xenopus embryos and PTK7/Wnt-expressing cells	co-immunoprecipitation; receptor perturbation; embryonic morphogenesis and Wnt reporter assays	PTK7 truncations/depletion; Wnt5a stimulation	No final promotion; verified full text unavailable.	Explicit exclusion: Only PubMed XML was available; local full-text verification was unavailable.	Wnt5a	Ptk7	frozen_lr_supported	not_adjudicated_no_local_full_text	U	L0	Resolver identity approved but local full-text gate failed.	excluded_no_verified_local_full_text	Only PubMed XML was available; local full-text verification was unavailable.
M20B-P2-R-002061	20B	M20B-E001855	M20B-EVID-001855	PMID:10214951; PMID:25086039; PMCID:PMC4176247; DOI:10.1016/S0014-5793(99)00283-5; DOI:10.1074/jbc.M114.586826	25086039	data/raw/evidence/module20_24_supervised_cli_phase2/gap004/ereg_primary_records.xml	PMID:10214951; PMID:25086039; PMCID:PMC4176247; DOI:10.1016/S0014-5793(99)00283-5; DOI:10.1074/jbc.M114.586826; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap004/ereg_primary_records.xml; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC4176247_full.xml	Local files were abstract/metadata or mixed identity; no verified full text for the cited EGF–EGFR/ERBB2 source unit.	human	recombinant human soluble ErbB ectodomains; engineered mammalian cells	defined soluble receptor-ligand binding; radioligand binding; luciferase fragment complementation	EGF-domain ligand addition; receptor-combination reconstitution	No final promotion; Results/Discussion not locally verifiable.	Explicit exclusion: Local files were abstract/metadata or mixed identity; no verified full text for the cited EGF–EGFR/ERBB2 source unit.	Egf	EGFR_ERBB2	frozen_lr_supported	not_adjudicated_no_verified_local_full_text	U	L0	Source locator and full-text identity gates were not jointly satisfied.	excluded_no_verified_local_full_text	Local files were abstract/metadata or mixed identity; no verified full text for the cited EGF–EGFR/ERBB2 source unit.
