promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
module21b-discovery-materialization-batch-astrocyte-ev-mir628-mir34c-20260913	M21B-DISC-13297	M21B-E009427	M21B-EVID-009373	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11081164, Astrocyte-derived Extracellular Vesicles for Ischemic Stroke: Therapeutic Potential and Prospective	Wang et al., 2024; PMID:39159174; PMCID:PMC11332600	PMID:39159174; PMCID:PMC11332600; DOI:10.1111/jcmm.70004	A2 reactive astrocyte-derived exosomes alleviate cerebral ischemia-reperfusion injury by delivering miR-628	The review cites the primary showing miR-628 enrichment in exosomes from protective A2 reactive astrocytes.	Record exosomal miR-628 enrichment; do not infer MIR628 transcription or cargo sorting.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch-astrocyte-ev-mir628-mir34c-20260913	M21B-DISC-13298	M21B-E009428	M21B-EVID-009374	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11081164, Astrocyte-derived Extracellular Vesicles for Ischemic Stroke: Therapeutic Potential and Prospective	Wang et al., 2024; PMID:39159174; PMCID:PMC11332600	PMID:39159174; PMCID:PMC11332600; DOI:10.1111/jcmm.70004	A2 reactive astrocyte-derived exosomes alleviate cerebral ischemia-reperfusion injury by delivering miR-628	The primary reports reduced NLRP3 mRNA after A2-exosome/miR-628 treatment and validates NLRP3 as a miR-628 reporter target.	Preserve the separate reporter and in-vivo exosome contexts.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch-astrocyte-ev-mir628-mir34c-20260913	M21B-DISC-13299	M21B-E009429	M21B-EVID-009375	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11081164, Astrocyte-derived Extracellular Vesicles for Ischemic Stroke: Therapeutic Potential and Prospective	Wang et al., 2024; PMID:39159174; PMCID:PMC11332600	PMID:39159174; PMCID:PMC11332600; DOI:10.1111/jcmm.70004	A2 reactive astrocyte-derived exosomes alleviate cerebral ischemia-reperfusion injury by delivering miR-628	The primary reports reduced NLRP3 protein after miR-628-manipulated A2-exosome treatment.	Keep NLRP3 protein distinct from transcript and reporter evidence.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch-astrocyte-ev-mir628-mir34c-20260913	M21B-DISC-13300	M21B-E009430	M21B-EVID-009376	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11081164, Astrocyte-derived Extracellular Vesicles for Ischemic Stroke: Therapeutic Potential and Prospective	Wang et al., 2024; PMID:39159174; PMCID:PMC11332600	PMID:39159174; PMCID:PMC11332600; DOI:10.1111/jcmm.70004	A2 reactive astrocyte-derived exosomes alleviate cerebral ischemia-reperfusion injury by delivering miR-628	The primary reports reduced S1PR3 mRNA and validates S1PR3 as a miR-628 reporter target.	Preserve mRNA/reporter versus exosome-treatment boundaries.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch-astrocyte-ev-mir628-mir34c-20260913	M21B-DISC-13301	M21B-E009431	M21B-EVID-009377	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11081164, Astrocyte-derived Extracellular Vesicles for Ischemic Stroke: Therapeutic Potential and Prospective	Wang et al., 2024; PMID:39159174; PMCID:PMC11332600	PMID:39159174; PMCID:PMC11332600; DOI:10.1111/jcmm.70004	A2 reactive astrocyte-derived exosomes alleviate cerebral ischemia-reperfusion injury by delivering miR-628	The primary reports reduced S1PR3 protein after miR-628-manipulated A2-exosome treatment.	Keep S1PR3 protein distinct from mRNA/reporter evidence.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch-astrocyte-ev-mir628-mir34c-20260913	M21B-DISC-13302	M21B-E009432	M21B-EVID-009378	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11081164, Astrocyte-derived Extracellular Vesicles for Ischemic Stroke: Therapeutic Potential and Prospective	Wang et al., 2024; PMID:39159174; PMCID:PMC11332600	PMID:39159174; PMCID:PMC11332600; DOI:10.1111/jcmm.70004	A2 reactive astrocyte-derived exosomes alleviate cerebral ischemia-reperfusion injury by delivering miR-628	The primary reports reduced IRF5 mRNA after miR-628-manipulated A2-exosome treatment and validates IRF5 as a miR-628 reporter target.	Record IRF5 mRNA/reporter evidence without a transcription-factor necessity claim.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch-astrocyte-ev-mir628-mir34c-20260913	M21B-DISC-13303	M21B-E009433	M21B-EVID-009379	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11081164, Astrocyte-derived Extracellular Vesicles for Ischemic Stroke: Therapeutic Potential and Prospective	Wang et al., 2024; PMID:39159174; PMCID:PMC11332600	PMID:39159174; PMCID:PMC11332600; DOI:10.1111/jcmm.70004	A2 reactive astrocyte-derived exosomes alleviate cerebral ischemia-reperfusion injury by delivering miR-628	The primary reports reduced IRF5 protein after miR-628-manipulated A2-exosome treatment.	Keep IRF5 protein distinct from transcript/reporter evidence; no terminal-TF inference.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch-astrocyte-ev-mir628-mir34c-20260913	M21B-DISC-13304	M21B-E009434	M21B-EVID-009380	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11081164, Astrocyte-derived Extracellular Vesicles for Ischemic Stroke: Therapeutic Potential and Prospective	Wang et al., 2024; PMID:39159174; PMCID:PMC11332600	PMID:39159174; PMCID:PMC11332600; DOI:10.1111/jcmm.70004	A2 reactive astrocyte-derived exosomes alleviate cerebral ischemia-reperfusion injury by delivering miR-628	The primary reports that miR-628-manipulated A2 exosomes reduce NLRP3-associated pyroptosis after cerebral I/R.	Use pyroptosis as output downstream of the NLRP3 axis; no direct receptor step.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch-astrocyte-ev-mir628-mir34c-20260913	M21B-DISC-13305	M21B-E009435	M21B-EVID-009381	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11081164, Astrocyte-derived Extracellular Vesicles for Ischemic Stroke: Therapeutic Potential and Prospective	Wang et al., 2024; PMID:39159174; PMCID:PMC11332600	PMID:39159174; PMCID:PMC11332600; DOI:10.1111/jcmm.70004	A2 reactive astrocyte-derived exosomes alleviate cerebral ischemia-reperfusion injury by delivering miR-628	The primary reports reduced BBB damage and restored tight-junction-associated readouts after miR-628-manipulated A2-exosome treatment.	Organismal BBB output; preserve S1PR3 context and do not infer endothelial receptor binding.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch-astrocyte-ev-mir628-mir34c-20260913	M21B-DISC-13306	M21B-E009436	M21B-EVID-009382	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC11081164, Astrocyte-derived Extracellular Vesicles for Ischemic Stroke: Therapeutic Potential and Prospective	Wang et al., 2024; PMID:39159174; PMCID:PMC11332600	PMID:39159174; PMCID:PMC11332600; DOI:10.1111/jcmm.70004	A2 reactive astrocyte-derived exosomes alleviate cerebral ischemia-reperfusion injury by delivering miR-628	The primary reports increased ARG1/CD206 and reduced iNOS/CD16 after miR-628-manipulated A2-exosome treatment.	Use marker-defined polarization as reported; no universal microglial-state claim.	local_21B_registers_only; no_database_write
