b_promotion_id	discovery_id	b_edge_id	b_evidence_id	disposition	promotion_status	supported_layer	review_locator	review_cited_primary	primary_title	primary_locator	primary_validation_summary	boundary_notes	provenance_scope
M21B-PROMO-20260906-ADRA2C-GNA13	M21B-DISC-3893	M21B-E004001	M21B-EVID-003944	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC3315628, G protein-coupled receptors/adrenoceptor review	PMID:9371546	Illuminating G-Protein-Coupling Selectivity of GPCRs	PMID:31160049; PMCID:PMC6773469	Quantitative receptor/G-protein profiling supports ADRA2C activation of GNA13 in tested human heterologous systems.	Preserve alpha2C receptor, agonist and heterologous GNA13 context; assay-bounded coupling does not establish universal native physiology or SCI/terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-ADRB1-GNA13	M21B-DISC-3894	M21B-E004002	M21B-EVID-003945	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC3315628, G protein-coupled receptors/adrenoceptor review	PMID:2575531	Illuminating G-Protein-Coupling Selectivity of GPCRs	PMID:31160049; PMCID:PMC6773469	Quantitative receptor/G-protein profiling supports ADRB1 activation of GNA13 in tested human heterologous systems.	Preserve beta1 receptor, catecholamine agonist and heterologous GNA13 context; assay-bounded coupling does not establish universal native physiology or SCI/terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-APLNR-GNA13	M21B-DISC-3895	M21B-E004003	M21B-EVID-003946	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC4894813, apelin receptor review	PMID:27671350	Illuminating G-Protein-Coupling Selectivity of GPCRs	PMID:31160049; PMCID:PMC6773469	Quantitative receptor/G-protein profiling supports APLNR activation of GNA13 in tested human heterologous systems.	Preserve APJ/apelin and heterologous GNA13 context; assay-bounded coupling does not establish universal native physiology or SCI/terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-CYSLTR2-GNA13	M21B-DISC-3896	M21B-E004004	M21B-EVID-003947	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC3773244, Cysteinyl leukotriene receptors, old and new	PMID:10851239; PMID:10913337	Illuminating G-Protein-Coupling Selectivity of GPCRs	PMID:31160049; PMCID:PMC6773469	Quantitative receptor/G-protein profiling supports CYSLTR2 activation of GNA13 in tested human heterologous systems.	Preserve CysLT2 receptor, cysteinyl-leukotriene ligand and heterologous GNA13 context; assay-bounded coupling does not establish universal native physiology or SCI/terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-HCAR2-GNA13	M21B-DISC-3897	M21B-E004005	M21B-EVID-003948	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMID:21454438, HCAR metabolite-receptor review	PMID:12646212	Illuminating G-Protein-Coupling Selectivity of GPCRs	PMID:31160049; PMCID:PMC6773469	Quantitative receptor/G-protein profiling supports HCAR2 activation of GNA13 in tested human heterologous systems.	Preserve HCAR2, nicotinic-acid or endogenous metabolite context and heterologous GNA13 limits; no universal native physiology or SCI/terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-HRH2-GNA13	M21B-DISC-3898	M21B-E004006	M21B-EVID-003949	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC4485016, IUPHAR histamine receptor review	PMID:1313563	Illuminating G-Protein-Coupling Selectivity of GPCRs	PMID:31160049; PMCID:PMC6773469	Quantitative receptor/G-protein profiling supports HRH2 activation of GNA13 in tested human heterologous systems.	Preserve H2 receptor, histamine ligand and heterologous GNA13 context; assay-bounded coupling does not establish universal native physiology or SCI/terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-MC4R-GNA13	M21B-DISC-3899	M21B-E004007	M21B-EVID-003950	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC3365848, The Melanocortin-4 Receptor review	PMID:8392067	Illuminating G-Protein-Coupling Selectivity of GPCRs	PMID:31160049; PMCID:PMC6773469	Quantitative receptor/G-protein profiling supports MC4R activation of GNA13 in tested human heterologous systems.	Preserve MC4R, melanocortin agonist and heterologous GNA13 context; assay-bounded coupling does not establish universal native physiology or SCI/terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-S1PR1-GNA13	M21B-DISC-3900	M21B-E004008	M21B-EVID-003951	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC7661103, Sphingosine 1-phosphate: lipid signaling in pathology and therapy	PMID:9765227	Illuminating G-Protein-Coupling Selectivity of GPCRs	PMID:31160049; PMCID:PMC6773469	Quantitative receptor/G-protein profiling supports S1PR1 activation of GNA13 in tested human heterologous systems.	Preserve S1PR1, sphingosine-1-phosphate and heterologous GNA13 context; assay-bounded coupling does not establish universal native physiology or SCI/terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-HTR4-GNA13	M21B-DISC-3901	M21B-E004009	M21B-EVID-003952	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC7770494, IUPHAR 5-hydroxytryptamine receptor classification and function review	PMID:9276448	Illuminating G-Protein-Coupling Selectivity of GPCRs	PMID:31160049; PMCID:PMC6773469	Quantitative receptor/G-protein profiling supports HTR4 activation of GNA13 in tested human heterologous systems.	Preserve 5-HT4 receptor, serotonin agonist and heterologous GNA13 context; assay-bounded coupling does not establish universal native physiology or SCI/terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-AVPR2-GNA13	M21B-DISC-3902	M21B-E004010	M21B-EVID-003953	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC7832310, The Biology of Vasopressin	PMID:8621513	Illuminating G-Protein-Coupling Selectivity of GPCRs	PMID:31160049; PMCID:PMC6773469	Quantitative receptor/G-protein profiling supports AVPR2 activation of GNA13 in tested human heterologous systems.	Preserve V2R/AVPR2, vasopressin ligand and heterologous GNA13 context; assay-bounded coupling does not establish universal native physiology or SCI/terminal-TF inference.	local_21B_registers_only; no_database_write
