pair_key	pair_label_canonical	in_module20a	in_cellchat_priority	in_cellchat_full	in_liana_consensus	module20a_mouse_confidence	module20a_human_confidence	module20a_confidence_extractability	module20a_conservation_status	cellchat_priority_annotations	cellchat_priority_pathways	cellchat_priority_directness	cellchat_priority_source_records
12oxoltb4-ptgr1 ltb4r1	12oxoLTB4-PTGR1 Ltb4r1	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
12oxoltb4-ptgr1 ltb4r2	12oxoLTB4-PTGR1 Ltb4r2	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
22hc-cyp11a1 nr1h4	22HC-CYP11A1 Nr1h4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
22hc-cyp3a4 nr1h4	22HC-CYP3A4 Nr1h4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
2ag-dagla cnr1	2AG-DAGLA Cnr1	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
2ag-dagla cnr2	2AG-DAGLA Cnr2	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
2ag-dagla gpr55	2AG-DAGLA Gpr55	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
2ag-daglb cnr1	2AG-DAGLB Cnr1	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
2ag-daglb cnr2	2AG-DAGLB Cnr2	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
2ag-daglb gpr55	2AG-DAGLB Gpr55	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc drd1	5-HT-DOPA-DDC Drd1	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc drd2	5-HT-DOPA-DDC Drd2	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc drd3	5-HT-DOPA-DDC Drd3	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc drd4	5-HT-DOPA-DDC Drd4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc drd5	5-HT-DOPA-DDC Drd5	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc htr1a	5-HT-DOPA-DDC Htr1a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc htr1b	5-HT-DOPA-DDC Htr1b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc htr1d	5-HT-DOPA-DDC Htr1d	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc htr1f	5-HT-DOPA-DDC Htr1f	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc htr2a	5-HT-DOPA-DDC Htr2a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc htr2b	5-HT-DOPA-DDC Htr2b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc htr2c	5-HT-DOPA-DDC Htr2c	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc htr3a	5-HT-DOPA-DDC Htr3a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc htr3b	5-HT-DOPA-DDC Htr3b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc htr4	5-HT-DOPA-DDC Htr4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc htr5a	5-HT-DOPA-DDC Htr5a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc htr6	5-HT-DOPA-DDC Htr6	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-dopa-ddc htr7	5-HT-DOPA-DDC Htr7	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a1 htr1a	5-HT-TPH1_SLC18A1 Htr1a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a1 htr1b	5-HT-TPH1_SLC18A1 Htr1b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a1 htr1d	5-HT-TPH1_SLC18A1 Htr1d	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a1 htr1e	5-HT-TPH1_SLC18A1 Htr1e	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a1 htr1f	5-HT-TPH1_SLC18A1 Htr1f	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a1 htr2a	5-HT-TPH1_SLC18A1 Htr2a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a1 htr2b	5-HT-TPH1_SLC18A1 Htr2b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a1 htr2c	5-HT-TPH1_SLC18A1 Htr2c	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a1 htr3_complex	5-HT-TPH1_SLC18A1 HTR3_complex	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a1 htr4	5-HT-TPH1_SLC18A1 Htr4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a1 htr5a	5-HT-TPH1_SLC18A1 Htr5a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a1 htr6	5-HT-TPH1_SLC18A1 Htr6	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a1 htr7	5-HT-TPH1_SLC18A1 Htr7	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a2 htr1a	5-HT-TPH1_SLC18A2 Htr1a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a2 htr1b	5-HT-TPH1_SLC18A2 Htr1b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a2 htr1d	5-HT-TPH1_SLC18A2 Htr1d	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a2 htr1e	5-HT-TPH1_SLC18A2 Htr1e	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a2 htr1f	5-HT-TPH1_SLC18A2 Htr1f	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a2 htr2a	5-HT-TPH1_SLC18A2 Htr2a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a2 htr2b	5-HT-TPH1_SLC18A2 Htr2b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a2 htr2c	5-HT-TPH1_SLC18A2 Htr2c	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a2 htr3_complex	5-HT-TPH1_SLC18A2 HTR3_complex	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a2 htr4	5-HT-TPH1_SLC18A2 Htr4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a2 htr5a	5-HT-TPH1_SLC18A2 Htr5a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a2 htr6	5-HT-TPH1_SLC18A2 Htr6	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc18a2 htr7	5-HT-TPH1_SLC18A2 Htr7	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc6a4 htr1a	5-HT-TPH1_SLC6A4 Htr1a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc6a4 htr1b	5-HT-TPH1_SLC6A4 Htr1b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc6a4 htr1d	5-HT-TPH1_SLC6A4 Htr1d	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc6a4 htr1e	5-HT-TPH1_SLC6A4 Htr1e	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc6a4 htr1f	5-HT-TPH1_SLC6A4 Htr1f	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc6a4 htr2a	5-HT-TPH1_SLC6A4 Htr2a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc6a4 htr2b	5-HT-TPH1_SLC6A4 Htr2b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc6a4 htr2c	5-HT-TPH1_SLC6A4 Htr2c	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc6a4 htr3_complex	5-HT-TPH1_SLC6A4 HTR3_complex	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc6a4 htr4	5-HT-TPH1_SLC6A4 Htr4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc6a4 htr5a	5-HT-TPH1_SLC6A4 Htr5a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc6a4 htr6	5-HT-TPH1_SLC6A4 Htr6	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph1_slc6a4 htr7	5-HT-TPH1_SLC6A4 Htr7	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a1 htr1a	5-HT-TPH2_SLC18A1 Htr1a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a1 htr1b	5-HT-TPH2_SLC18A1 Htr1b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a1 htr1d	5-HT-TPH2_SLC18A1 Htr1d	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a1 htr1e	5-HT-TPH2_SLC18A1 Htr1e	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a1 htr1f	5-HT-TPH2_SLC18A1 Htr1f	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a1 htr2a	5-HT-TPH2_SLC18A1 Htr2a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a1 htr2b	5-HT-TPH2_SLC18A1 Htr2b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a1 htr2c	5-HT-TPH2_SLC18A1 Htr2c	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a1 htr3_complex	5-HT-TPH2_SLC18A1 HTR3_complex	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a1 htr4	5-HT-TPH2_SLC18A1 Htr4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a1 htr5a	5-HT-TPH2_SLC18A1 Htr5a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a1 htr6	5-HT-TPH2_SLC18A1 Htr6	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
