evidence_item_id	review_id	pair_key	pair_label	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations
M20A-MEDHIGH001-EVID-0001	M20A-EXT-2545	nmb nmbr	Nmb Nmbr	primary_literature_recovery	PMID:19628633; PMID:34646374; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NMB_selected_primary_records.xml	NMB_NMBR_direct_binding_and_selectivity	mouse; human receptor comparator	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	NMB has much greater affinity for NMBR than GRPR and directly activates the NMBR receptor system.	Affinity and receptor selectivity are species/construct dependent.	Direct NMB-NMBR binding is distinct from downstream NMBR signaling. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0002	M20A-EXT-2549	nms nmur1	Nms Nmur1	primary_literature_recovery	PMID:35440625; PMID:29288685; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NMS_selected_primary_records.xml	NMS_NMUR1_direct_ligand_recognition	chicken; human structural receptor	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	NMS activates NMUR1 in cell-based receptor assays and is captured in the human NMUR1 cryo-EM ligand complex.	Species and receptor construct differences affect pharmacology.	Direct NMS-NMUR1 recognition is distinct from downstream cellular function. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0003	M20A-EXT-2567	npb npbwr1	Npb Npbwr1	primary_literature_recovery	PMID:12719537; DOI:10.1073/pnas.0837789100; PMID:17486669; DOI:10.1002/psc.855; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NPB_NPBWR1_selected_primary_records.xml	NPB_NPBWR1_binding_and_activation	bovine ligand source; human receptor; mouse; rat	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary paper record validated.	Purified brominated NPB bound and activated human GPR7/NPBWR1 with EC50 0.23 nM; N-terminal-Trp SAR and GPR7 agonism were confirmed in HEK293 cells.	Primary directness is established in human recombinant receptor systems; native mouse SCI-cell binding was not tested and GPR8 cross-reactivity remains a related-receptor boundary. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0004	M20A-EXT-2568	npff npffr1	Npff Npffr1	primary_literature_recovery	PMID:11024015; DOI:10.1074/jbc.M004385200; PMID:11325803; DOI:10.1038/sj.bjp.0704038; PMID:12242085; DOI:10.1016/S0014-2999(02)02224-0; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NPFF_selected_primary_records.xml	NPFF_NPFFR1_binding_and_activation	human; rat	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary paper record validated.	NPFF specifically bound and activated NPFF1 in recombinant systems; human NPFFR pharmacology confirmed nanomolar peptide binding and receptor activation.	NPFF-related peptides and heterologous receptor/G-protein systems were used; native mouse SCI-cell binding was not tested. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0005	M20A-EXT-2569	npff npffr2	Npff Npffr2	primary_literature_recovery	PMID:11024015; DOI:10.1074/jbc.M004385200; PMID:11325803; DOI:10.1038/sj.bjp.0704038; PMID:12242085; DOI:10.1016/S0014-2999(02)02224-0; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NPFF_selected_primary_records.xml	NPFF_NPFFR2_binding_and_activation	human; rat	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary paper record validated.	NPFF specifically bound and activated NPFF2 in recombinant systems; human NPFF2 pharmacology confirmed nanomolar peptide binding and activation.	NPFF-related peptides and heterologous receptor/G-protein systems were used; native mouse SCI-cell binding was not tested. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0006	M20A-EXT-2570	nppa npr1	Nppa Npr1	primary_literature_recovery	PMID:1309330; DOI:10.1210/endo.130.1.1309330; PMID:1358197; DOI:10.1021/bi00158a001; PMID:8095019; DOI:10.1002/j.1460-2075.1993.tb05711.x; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NPPA_NPPC_NPR_selected_primary_records.xml	NPPA_NPR1_GC_A_binding_and_activation	human; rat; bovine	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary receptor-selectivity and recombinant receptor papers validated.	ANP bound and activated NPR1/GC-A; recombinant human NPR1 formed ligand-responsive complexes and ANP-stimulated cGMP production.	Species and receptor-preparation differences remain; receptor complex formation is distinct from downstream pathway evidence. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0007	M20A-EXT-2574	nppc npr2	Nppc Npr2	primary_literature_recovery	PMID:1309330; DOI:10.1210/endo.130.1.1309330; PMID:26980729; DOI:10.1074/jbc.M115.704015; PMID:35287796; PMCID:PMC8923661; DOI:10.7554/eLife.71931; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NPPA_NPPC_NPR_selected_primary_records.xml	NPPC_NPR2_GC_B_binding_and_activation	human; mouse; rat	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary receptor selectivity, receptor mutagenesis, and growth-plate studies validated.	CNP preferentially bound and activated NPR2/GC-B; cell-surface receptor mutants retained CNP binding but lost guanylyl cyclase activity.	Receptor activation and growth-plate evidence are separate; species and receptor glycosylation state affect activity. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0008	M20A-EXT-2581	nps npsr1	Nps Npsr1	primary_literature_recovery	PMID:16720571; DOI:10.1016/j.bbrc.2006.04.037; PMID:25714705; PMCID:PMC4340626; DOI:10.1371/journal.pone.0117319; PMID:34634709; PMCID:PMC8507198; DOI:10.1016/j.psj.2021.101445; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NPS_NPSR1_selected_primary_records.xml	NPS_NPSR1_binding_and_activation	human; mouse; chicken	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary receptor activation and cross-species functional papers validated.	NPS activated recombinant NPSR1 and induced calcium signaling; conserved chicken NPS also potently activated NPSR1 in vitro.	Recombinant and heterologous systems dominate direct assays; native mouse SCI-cell binding was not tested. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0009	M20A-EXT-2589	npvf npffr1	Npvf Npffr1	primary_literature_recovery	PMID:40839429; DOI:10.1016/j.celrep.2025.116160; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NPTX_NPVF_selected_primary_records.xml	direct_NPVF_NPFFR1_binding	structural human receptor constructs; synthetic NPVF	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Cryo-EM structures and mutagenesis supported NPVF recognition by NPFFR1 through C-terminal RF-amide and receptor-domain determinants.	Direct NPVF-NPFFR1 binding and structural recognition.	Engineered/recombinant receptor systems; native concentration and physiological specificity remain unresolved. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0010	M20A-EXT-2590	npvf npffr2	Npvf Npffr2	primary_literature_recovery	PMID:40839429; DOI:10.1016/j.celrep.2025.116160; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NPTX_NPVF_selected_primary_records.xml	direct_NPVF_NPFFR2_binding	structural human receptor constructs; synthetic NPVF	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Cryo-EM structures and mutagenesis supported NPVF recognition by NPFFR2 through C-terminal RF-amide and receptor-domain determinants.	Direct NPVF-NPFFR2 binding and structural recognition.	Engineered/recombinant receptor systems; native concentration and physiological specificity remain unresolved. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0011	M20A-EXT-2594	npw npbwr1	Npw Npbwr1	primary_literature_recovery	PMID:12130646; DOI:10.1074/jbc.M205337200; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NPW_exact_search_records.xml	direct_NPW_NPBWR1_binding_and_activation	human receptor; porcine NPW; rat model	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Synthetic NPW23 and NPW30 bound and activated human GPR7/NPBWR1.	Direct NPW-NPBWR1 binding/activation in recombinant receptor systems.	Human receptor and synthetic peptide forms; no native SCI-cell binding. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
