promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
M21B-PROMO-20260905-AUTOPHAGY-001	M21B-DISC-3511	M21B-E003619	M21B-EVID-003562	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC4558354, Beclin 1 Biology and its Role in Heart Disease	PMID:19270693	PMID:19270693	Distinct regulation of autophagic activity by Atg14L and Rubicon associated with Beclin 1-phosphatidylinositol-3-kinase complex	The primary identifies Beclin-1 in a Vps34/class-III PI3K core complex.	Core-complex association only; preserve vesicle-trafficking/autophagy context and no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260905-AUTOPHAGY-002	M21B-DISC-3512	M21B-E003620	M21B-EVID-003563	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC4558354, Beclin 1 Biology and its Role in Heart Disease	PMID:19270693	PMID:19270693	Distinct regulation of autophagic activity by Atg14L and Rubicon associated with Beclin 1-phosphatidylinositol-3-kinase complex	The primary identifies Atg14L as a Beclin-1-interacting component of a distinct class-III PI3K complex.	Preserve Atg14L branch distinction from UVRAG and no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260905-AUTOPHAGY-003	M21B-DISC-3513	M21B-E003621	M21B-EVID-003564	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC4558354, Beclin 1 Biology and its Role in Heart Disease	PMID:19270693	PMID:19270693	Distinct regulation of autophagic activity by Atg14L and Rubicon associated with Beclin 1-phosphatidylinositol-3-kinase complex	The primary identifies UVRAG as a Beclin-1-interacting class-III PI3K component.	Preserve UVRAG/Atg14L branch distinction and association-stability caveat; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260905-AUTOPHAGY-004	M21B-DISC-3514	M21B-E003622	M21B-EVID-003565	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC4558354, Beclin 1 Biology and its Role in Heart Disease	PMID:19270693	PMID:19270693	Distinct regulation of autophagic activity by Atg14L and Rubicon associated with Beclin 1-phosphatidylinositol-3-kinase complex	The primary shows Atg14L enhances Vps34 lipid-kinase activity in a Beclin-1-containing complex.	Complex-dependent activity modulation only; no direct binary ATG14L-VPS34, SCI, or terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260905-AUTOPHAGY-005	M21B-DISC-3515	M21B-E003623	M21B-EVID-003566	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC4558354, Beclin 1 Biology and its Role in Heart Disease	PMID:19270693	PMID:19270693	Distinct regulation of autophagic activity by Atg14L and Rubicon associated with Beclin 1-phosphatidylinositol-3-kinase complex	The primary shows Rubicon reduces Vps34 activity and impairs autophagosome maturation.	Preserve inhibitory complex/overexpression and maturation context; no direct binary Rubicon-VPS34, SCI, or terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260905-AUTOPHAGY-006	M21B-DISC-3516	M21B-E003624	M21B-EVID-003567	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC4672691, Parkin structure and function	PMID:22724072	PMID:22724072	PINK1 is activated by mitochondrial membrane potential depolarization and stimulates Parkin E3 ligase activity by phosphorylating Serine 65	The primary demonstrates PINK1 phosphorylation of Parkin Ubl Ser65 and E3 activation after depolarization.	Preserve Parkin Ser65 and mitochondrial-depolarization context; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260905-AUTOPHAGY-007	M21B-DISC-3517	M21B-E003625	M21B-EVID-003568	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC4672691, Parkin structure and function	PMID:24660806	PMID:24660806	Parkin is activated by PINK1-dependent phosphorylation of ubiquitin at Ser65	The primary demonstrates PINK1-dependent ubiquitin Ser65 phosphorylation and phospho-ubiquitin/Parkin activation.	Preserve ubiquitin Ser65 and depolarization context; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260905-AUTOPHAGY-008	M21B-DISC-3518	M21B-E003626	M21B-EVID-003569	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	ligand_receptor_binding_or_activation;receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC3654195, Autophagy receptors in developmental clearance of mitochondria	PMID:20010802	PMID:20010802	Nix is a selective autophagy receptor for mitochondrial clearance	The primary demonstrates NIX/BNIP3L LIR-dependent GABARAP-L1 binding and mitochondrial clearance.	Preserve reticulocyte/mitochondrial-damage context and no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260905-AUTOPHAGY-009	M21B-DISC-3519	M21B-E003627	M21B-EVID-003570	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	ligand_receptor_binding_or_activation;receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC5835338, Mechanisms, pathophysiological roles and methods for analyzing mitophagy	PMID:22505714	PMID:22505714	Microtubule-associated protein 1 light chain 3 (LC3) interacts with Bnip3 protein to selectively remove endoplasmic reticulum and mitochondria via autophagy	The primary demonstrates BNIP3 LIR-dependent LC3B binding and partial organelle-autophagy function.	Preserve BNIP3 homodimer/transmembrane and partial-clearance semantics; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260905-AUTOPHAGY-010	M21B-DISC-3520	M21B-E003628	M21B-EVID-003571	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC5835338, Mechanisms, pathophysiological roles and methods for analyzing mitophagy	PMID:24671035	PMID:24671035	ULK1 translocates to mitochondria and phosphorylates FUNDC1 to regulate mitophagy	The primary demonstrates ULK1-dependent FUNDC1 Ser17 phosphorylation and LC3 recruitment.	Preserve hypoxia/uncoupler and FUNDC1 Ser17 context; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
