pair_key	pair_label_canonical	final_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	audit_notes
dkk2 lrp6	Dkk2 Lrp6	retain_low	https://pubmed.ncbi.nlm.nih.gov/11742004/;https://pubmed.ncbi.nlm.nih.gov/41542770/;https://pubmed.ncbi.nlm.nih.gov/41269996/	mouse Dkk2/Lrp6 systems; recombinant Dkk2 domain	processed-domain receptor activation; functional evidence	Dkk2 C2 activated canonical Wnt/LEF1 through ectopic LRP6 and was blocked by an LRP5/6 antibody; the newer mouse work also reports secreted DKK2 engaging LRP6.	The strongest assay is a DKK2 cysteine-rich domain rather than intact full-length ligand, and activation is cell-based rather than a clean purified affinity measurement; 41269996 is scRNA-seq/CellChat context only.	Exact DKK2-LRP6 primary support verified; processed-form and receptor-context caveat retained.
dlk1 notch1	Dlk1 Notch1	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/15652348/;https://pubmed.ncbi.nlm.nih.gov/26791579/;https://pubmed.ncbi.nlm.nih.gov/41610642/	mouse tissues and mammalian cell systems; human placenta context	 direct_binding; receptor-dependent inhibition	DLK1 directly interacted with NOTCH1 in yeast/mammalian two-hybrid assays and inhibited NOTCH1 reporter activity; mouse tissue and cell studies support the same noncanonical interaction.	DLK1 lacks the canonical DSL domain and acts mainly as an antagonist; signaling direction is context dependent and the submitted recent papers are mostly functional rather than affinity studies.	Exact pair and EGF-domain scope verified in primary papers; canonical Delta/Jagged behavior was not substituted.
dlk2 notch1	Dlk2 Notch1	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/21419176/;https://pubmed.ncbi.nlm.nih.gov/39473022/;https://pubmed.ncbi.nlm.nih.gov/37776784/	mouse and mammalian cell systems	 direct_binding; receptor-dependent inhibition	DLK2 was shown to interact with the same NOTCH1 extracellular region as DLK1 and to inhibit NOTCH1 signaling in preadipocytes and mouse embryo fibroblasts.	This is a noncanonical inhibitory ligand interaction, not canonical DSL agonism; the newer differentiation studies are pathway/function assays and do not establish a universal affinity or stoichiometry.	DOI cited in the local evidence trail resolved to PMID 21419176; exact NOTCH1 interaction verified.
dll1 notch1	Dll1 Notch1	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/25255288/;https://pubmed.ncbi.nlm.nih.gov/30289388/	mouse mammalian cell-adhesion assays	adhesion; direct receptor-ligand binding	Forced mouse DLL1 on stromal cells promoted mast-cell adhesion through NOTCH1 binding; the primary adhesion study attributes the effect to receptor-ligand tethering rather than generic Notch pathway co-expression.	Readout is cell adhesion with membrane-presented ligand, not purified binding kinetics or a receptor-activation assay; receptor glycosylation and calcium dependence remain relevant.	Exact DLL1-NOTCH1 pair verified; adhesion evidence is sufficient under the contract.
dll1 notch2	Dll1 Notch2	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/25255288/;https://pubmed.ncbi.nlm.nih.gov/30289388/	mouse mammalian cell-adhesion assays	adhesion; direct receptor-ligand binding	The same mouse adhesion experiments explicitly attributed mast-cell tethering to NOTCH2 binding DLL1, establishing the submitted pair.	Membrane presentation and cell context are required; this is adhesion rather than a dedicated biophysical affinity or canonical activation assay.	Exact DLL1-NOTCH2 receptor scope verified in the primary adhesion paper.
dll1 notch3	Dll1 Notch3	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/11006133/;https://pubmed.ncbi.nlm.nih.gov/22353464/	mammalian soluble-receptor/cell assays; species not uniformly resolved	 direct_binding	Soluble NOTCH3 extracellular protein bound cell-surface Delta1, and immobilized NOTCH3 directly bound Delta1 in Ca2+-dependent solid-phase assays.	The primary paper measures receptor ectodomain binding and does not establish a universal full-length receptor activation response; later database/review locators are not evidence by themselves.	Exact DLL1-NOTCH3 physical binding verified; calcium dependence and ectodomain scope retained.
dll4 notch1	Dll4 Notch1	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/25255288/;https://pubmed.ncbi.nlm.nih.gov/42559487/	mouse mammalian cell-adhesion assays	adhesion; direct receptor-ligand binding	Mouse DLL4-expressing stromal cells promoted mast-cell adhesion through NOTCH1 binding, directly supporting the submitted DLL4-NOTCH1 edge.	Adhesion/tethering does not by itself quantify affinity or prove downstream canonical activation; the recent 42559487 paper is pathway-level support rather than the decisive assay.	Exact DLL4-NOTCH1 pair verified in primary cell-adhesion work.
dll4 notch2	Dll4 Notch2	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/25255288/;https://pubmed.ncbi.nlm.nih.gov/41945296/	mouse mammalian cell-adhesion assays	adhesion; direct receptor-ligand binding	The primary mouse adhesion study explicitly included DLL4 binding to NOTCH2 on mast cells.	Membrane-presented ligand and cell context are required; the cited recent pathway papers do not replace the exact adhesion result.	Exact DLL4-NOTCH2 pair and receptor scope verified.
efna2 epha2	Efna2 Epha2	retain_low	https://pubmed.ncbi.nlm.nih.gov/27446912/;https://pubmed.ncbi.nlm.nih.gov/41516312/	not established for an exact pair assay	family-level/expression context only	The submitted papers report Eph/ephrin expression or bioinformatic association, but no cited primary assay isolates EFNA2 binding to EPHA2.	Ephrin-A promiscuity and database placement do not establish this receptor-specific edge; no exact species, affinity, or receptor-activation assay was recovered.	Retained low as a plausible Eph-family candidate, not approved; cited sources are not exact-pair evidence.
efna2 epha3	Efna2 Epha3	retain_low	https://pubmed.ncbi.nlm.nih.gov/27446912/	not established for an exact pair assay	family-level/expression context only	The cited muscle-stem-cell paper lists EFNA2 and EPHA3 expression but does not test their interaction; no exact-pair primary assay was verified.	Expression, co-occurrence, and Eph-family promiscuity cannot substitute for receptor-specific binding or function.	Cited source checked and downgraded to unresolved low evidence.
