review_id	pair_key	pair_label_canonical	review_status	confidence_decision	mouse_confidence	mouse_confidence_rank	human_confidence	human_confidence_rank	human_evidence_present	receptor_state	receptor_role	directness	species_posture	decision_basis	evidence_register_ids	next_action
M20A-CELLCHAT-REMAINING-0450	egf egfr	egf egfr	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	child_adjudicated_primary_binding_or_matching_function	species_scoped_to_child_source_record; no_unlisted_species_inference	Child exact-pair review found high-confidence primary support; curator route requires exact source locators and pre-existing approve_candidate status. High applies to the ligand/receptor evidence claim only, not SCI context or downstream relay.	M20A-CHILDSTRONG01-EVID-0001	retain_high_ligand_receptor_evidence; preserve_context; no_SignalingEdge_until_SCI_relevance_and_relay_review
M20A-CELLCHAT-REMAINING-0452	ereg egfr	ereg egfr	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	child_adjudicated_primary_binding_or_matching_function	species_scoped_to_child_source_record; no_unlisted_species_inference	Child exact-pair review found high-confidence primary support; curator route requires exact source locators and pre-existing approve_candidate status. High applies to the ligand/receptor evidence claim only, not SCI context or downstream relay.	M20A-CHILDSTRONG01-EVID-0002	retain_high_ligand_receptor_evidence; preserve_context; no_SignalingEdge_until_SCI_relevance_and_relay_review
M20A-CELLCHAT-REMAINING-1250	hbegf egfr	hbegf egfr	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	child_adjudicated_primary_binding_or_matching_function	species_scoped_to_child_source_record; no_unlisted_species_inference	Child exact-pair review found high-confidence primary support; curator route requires exact source locators and pre-existing approve_candidate status. High applies to the ligand/receptor evidence claim only, not SCI context or downstream relay.	M20A-CHILDSTRONG01-EVID-0003	retain_high_ligand_receptor_evidence; preserve_context; no_SignalingEdge_until_SCI_relevance_and_relay_review
M20A-CELLCHAT-REMAINING-1251	hbegf erbb4	hbegf erbb4	reviewed	high	high	3	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	child_adjudicated_primary_binding_or_matching_function	species_scoped_to_child_source_record; no_unlisted_species_inference	Child exact-pair review found high-confidence primary support; curator route requires exact source locators and pre-existing approve_candidate status. High applies to the ligand/receptor evidence claim only, not SCI context or downstream relay.	M20A-CHILDSTRONG01-EVID-0004	retain_high_ligand_receptor_evidence; preserve_context; no_SignalingEdge_until_SCI_relevance_and_relay_review
M20A-LIANA-REMAINING-0046	ccl5 ccr5	ccl5 ccr5	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	child_adjudicated_primary_binding_or_matching_function	species_scoped_to_child_source_record; no_unlisted_species_inference	Child exact-pair review found high-confidence primary support; curator route requires exact source locators and pre-existing approve_candidate status. High applies to the ligand/receptor evidence claim only, not SCI context or downstream relay.	M20A-CHILDSTRONG01-EVID-0005	retain_high_ligand_receptor_evidence; preserve_context; no_SignalingEdge_until_SCI_relevance_and_relay_review
M20A-LIANA-REMAINING-0057	cxcl10 cxcr3	cxcl10 cxcr3	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	child_adjudicated_primary_binding_or_matching_function	species_scoped_to_child_source_record; no_unlisted_species_inference	Child exact-pair review found high-confidence primary support; curator route requires exact source locators and pre-existing approve_candidate status. High applies to the ligand/receptor evidence claim only, not SCI context or downstream relay.	M20A-CHILDSTRONG01-EVID-0006	retain_high_ligand_receptor_evidence; preserve_context; no_SignalingEdge_until_SCI_relevance_and_relay_review
M20A-LIANA-REMAINING-0058	cxcl12 ackr3	cxcl12 ackr3	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	child_adjudicated_primary_binding_or_matching_function	species_scoped_to_child_source_record; no_unlisted_species_inference	Child exact-pair review found high-confidence primary support; curator route requires exact source locators and pre-existing approve_candidate status. High applies to the ligand/receptor evidence claim only, not SCI context or downstream relay.	M20A-CHILDSTRONG01-EVID-0007	retain_high_ligand_receptor_evidence; preserve_context; no_SignalingEdge_until_SCI_relevance_and_relay_review
M20A-LIANA-REMAINING-0059	cxcl12 cxcr4	cxcl12 cxcr4	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	child_adjudicated_primary_binding_or_matching_function	species_scoped_to_child_source_record; no_unlisted_species_inference	Child exact-pair review found high-confidence primary support; curator route requires exact source locators and pre-existing approve_candidate status. High applies to the ligand/receptor evidence claim only, not SCI context or downstream relay.	M20A-CHILDSTRONG01-EVID-0008	retain_high_ligand_receptor_evidence; preserve_context; no_SignalingEdge_until_SCI_relevance_and_relay_review
M20A-LIANA-REMAINING-0080	efna2 epha4	efna2 epha4	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	child_adjudicated_primary_binding_or_matching_function	species_scoped_to_child_source_record; no_unlisted_species_inference	Child exact-pair review found high-confidence primary support; curator route requires exact source locators and pre-existing approve_candidate status. High applies to the ligand/receptor evidence claim only, not SCI context or downstream relay.	M20A-CHILDSTRONG01-EVID-0009	retain_high_ligand_receptor_evidence; preserve_context; no_SignalingEdge_until_SCI_relevance_and_relay_review
M20A-LIANA-REMAINING-0093	efna5 epha4	efna5 epha4	reviewed	high	uncertain	0	high	3	yes	membrane_bound_or_receptor_complex_context	ligand_receptor_or_receptor_complex_context	child_adjudicated_primary_binding_or_matching_function	species_scoped_to_child_source_record; no_unlisted_species_inference	Child exact-pair review found high-confidence primary support; curator route requires exact source locators and pre-existing approve_candidate status. High applies to the ligand/receptor evidence claim only, not SCI context or downstream relay.	M20A-CHILDSTRONG01-EVID-0010	retain_high_ligand_receptor_evidence; preserve_context; no_SignalingEdge_until_SCI_relevance_and_relay_review
