edge_id	source_node_id	target_node_id	pathway_label	relation_type	effect_polarity	species_context	cell_type_context	compartment_context	injury_context	evidence_status	context_scope	export_priority	notes	module	source_label	target_label	register_relation_type	pathway_name	evidence_layer	edge_status	confidence_tier	evidence_ids	evidence_count	source_locator_count	exportable	consolidation_note
M20B-E000370	NODE01285	NODE01287	Synaptic/cell-adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Cntn2	CNTN2_CNTNAP2	engages	Synaptic/cell-adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000370	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000398	NODE01520	NODE01535	GPCR receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Cxcl3	Cxcr2	engages	GPCR receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000398	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000450	NODE01830	NODE01832	RTK growth-factor receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: low_evidence; source LR manifest preserved. High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.	20B	Egf	Egfr	engages	RTK growth-factor receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	high	M20B-EVID-000450	1	0	true	Frozen Module 20A classification: low_evidence; source LR manifest preserved. High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20B-E000452	NODE01993	NODE01832	RTK growth-factor receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: low_evidence; source LR manifest preserved. High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.	20B	Ereg	Egfr	engages	RTK growth-factor receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	high	M20B-EVID-000452	1	0	true	Frozen Module 20A classification: low_evidence; source LR manifest preserved. High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20B-E000472	NODE02228	NODE06364	Axon-guidance/adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Flrt2	Unc5d	engages	Axon-guidance/adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000472	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000475	NODE02229	NODE00237	Axon-guidance/adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Flrt3	Adgrl3	engages	Axon-guidance/adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000475	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000478	NODE02229	NODE06362	Axon-guidance/adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Flrt3	Unc5b	engages	Axon-guidance/adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000478	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000726	NODE02433	NODE06035	TGF-beta/BMP receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Gdf11	Tgfbr1_acvr2b	engages	TGF-beta/BMP receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000726	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000731	NODE02442	NODE00693	TGF-beta/BMP receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Gdf5	Bmpr1b_acvr2a	engages	TGF-beta/BMP receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000731	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001250	NODE02810	NODE01832	RTK growth-factor receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: low_evidence; source LR manifest preserved. High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.	20B	Hbegf	Egfr	engages	RTK growth-factor receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	high	M20B-EVID-001250	1	0	true	Frozen Module 20A classification: low_evidence; source LR manifest preserved. High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20B-E001251	NODE02810	NODE01986	RTK growth-factor receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: low_evidence; source LR manifest preserved. High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.	20B	Hbegf	Erbb4	engages	RTK growth-factor receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	high	M20B-EVID-001251	1	0	true	Frozen Module 20A classification: low_evidence; source LR manifest preserved. High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20B-E001461	NODE04519	NODE00232	Axon-guidance/adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Nrxn1	Adgrl1	engages	Axon-guidance/adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-001461	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001470	NODE04531	NODE00232	Axon-guidance/adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Nrxn2	Adgrl1	engages	Axon-guidance/adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-001470	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001479	NODE04534	NODE00232	Axon-guidance/adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Nrxn3	Adgrl1	engages	Axon-guidance/adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-001479	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001576	NODE04781	NODE05026	Pathway not established	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved. Non-direct-high batch001: exact primary relay/function evidence promoted at the non-direct layer; directness and context boundaries retained.	20B	PGD2-PTGDS	Ptgdr	engages	Pathway not established	ligand_receptor_or_direct_molecular	frozen_lr_supported	high	M20B-EVID-001576;M20B-EVID-005350-P2-RELAY;M20B-EVID-005351-P2-FUNC	3	2	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved. Non-direct-high batch001: exact primary relay/function evidence promoted at the non-direct layer; directness and context boundaries retained.
