promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
module21b-martemyanov-lambert-primary-transducers-20260906	M21B-DISC-4312	M21B-E004420	M21B-EVID-004363	unmaterialized_discovery_candidate	validated_primary_exact_layer	receptor_proximal_or_pathway	PMCID:PMC10767870, GproteinDb in 2024: new G protein-GPCR couplings, AlphaFold2-multimer models and interface interactions; large-scale coupling dataset discussion	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	Rules and mechanisms governing G protein coupling selectivity of GPCRs	Primary subtype-resolved GPCR-G-protein coupling profiling reports the exact receptor-primary-transducer branch; the review identifies and contextualizes the cited primary dataset.	The FreeGβγ-Nluc/BRET readout measures receptor-to-G-protein coupling/activation as a proximal functional proxy, not purified receptor-G-protein binding; coupling is non-exclusive and assay-bounded. Preserve receptor, transducer subtype, ligand, and heterologous-cell context; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
module21b-martemyanov-lambert-primary-transducers-20260906	M21B-DISC-4313	M21B-E004421	M21B-EVID-004364	unmaterialized_discovery_candidate	validated_primary_exact_layer	receptor_proximal_or_pathway	PMCID:PMC10767870, GproteinDb in 2024: new G protein-GPCR couplings, AlphaFold2-multimer models and interface interactions; large-scale coupling dataset discussion	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	Rules and mechanisms governing G protein coupling selectivity of GPCRs	Primary subtype-resolved GPCR-G-protein coupling profiling reports the exact receptor-primary-transducer branch; the review identifies and contextualizes the cited primary dataset.	The FreeGβγ-Nluc/BRET readout measures receptor-to-G-protein coupling/activation as a proximal functional proxy, not purified receptor-G-protein binding; coupling is non-exclusive and assay-bounded. Preserve receptor, transducer subtype, ligand, and heterologous-cell context; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
module21b-martemyanov-lambert-primary-transducers-20260906	M21B-DISC-4314	M21B-E004422	M21B-EVID-004365	unmaterialized_discovery_candidate	validated_primary_exact_layer	receptor_proximal_or_pathway	PMCID:PMC10767870, GproteinDb in 2024: new G protein-GPCR couplings, AlphaFold2-multimer models and interface interactions; large-scale coupling dataset discussion	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	Rules and mechanisms governing G protein coupling selectivity of GPCRs	Primary subtype-resolved GPCR-G-protein coupling profiling reports the exact receptor-primary-transducer branch; the review identifies and contextualizes the cited primary dataset.	The FreeGβγ-Nluc/BRET readout measures receptor-to-G-protein coupling/activation as a proximal functional proxy, not purified receptor-G-protein binding; coupling is non-exclusive and assay-bounded. Preserve receptor, transducer subtype, ligand, and heterologous-cell context; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
module21b-martemyanov-lambert-primary-transducers-20260906	M21B-DISC-4315	M21B-E004423	M21B-EVID-004366	unmaterialized_discovery_candidate	validated_primary_exact_layer	receptor_proximal_or_pathway	PMCID:PMC10767870, GproteinDb in 2024: new G protein-GPCR couplings, AlphaFold2-multimer models and interface interactions; large-scale coupling dataset discussion	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	Rules and mechanisms governing G protein coupling selectivity of GPCRs	Primary subtype-resolved GPCR-G-protein coupling profiling reports the exact receptor-primary-transducer branch; the review identifies and contextualizes the cited primary dataset.	The FreeGβγ-Nluc/BRET readout measures receptor-to-G-protein coupling/activation as a proximal functional proxy, not purified receptor-G-protein binding; coupling is non-exclusive and assay-bounded. Preserve receptor, transducer subtype, ligand, and heterologous-cell context; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
module21b-martemyanov-lambert-primary-transducers-20260906	M21B-DISC-4316	M21B-E004424	M21B-EVID-004367	unmaterialized_discovery_candidate	validated_primary_exact_layer	receptor_proximal_or_pathway	PMCID:PMC10767870, GproteinDb in 2024: new G protein-GPCR couplings, AlphaFold2-multimer models and interface interactions; large-scale coupling dataset discussion	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	Rules and mechanisms governing G protein coupling selectivity of GPCRs	Primary subtype-resolved GPCR-G-protein coupling profiling reports the exact receptor-primary-transducer branch; the review identifies and contextualizes the cited primary dataset.	The FreeGβγ-Nluc/BRET readout measures receptor-to-G-protein coupling/activation as a proximal functional proxy, not purified receptor-G-protein binding; coupling is non-exclusive and assay-bounded. Preserve receptor, transducer subtype, ligand, and heterologous-cell context; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
module21b-martemyanov-lambert-primary-transducers-20260906	M21B-DISC-4317	M21B-E004425	M21B-EVID-004368	unmaterialized_discovery_candidate	validated_primary_exact_layer	receptor_proximal_or_pathway	PMCID:PMC10767870, GproteinDb in 2024: new G protein-GPCR couplings, AlphaFold2-multimer models and interface interactions; large-scale coupling dataset discussion	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	Rules and mechanisms governing G protein coupling selectivity of GPCRs	Primary subtype-resolved GPCR-G-protein coupling profiling reports the exact receptor-primary-transducer branch; the review identifies and contextualizes the cited primary dataset.	The FreeGβγ-Nluc/BRET readout measures receptor-to-G-protein coupling/activation as a proximal functional proxy, not purified receptor-G-protein binding; coupling is non-exclusive and assay-bounded. Preserve receptor, transducer subtype, ligand, and heterologous-cell context; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
module21b-martemyanov-lambert-primary-transducers-20260906	M21B-DISC-4318	M21B-E004426	M21B-EVID-004369	unmaterialized_discovery_candidate	validated_primary_exact_layer	receptor_proximal_or_pathway	PMCID:PMC10767870, GproteinDb in 2024: new G protein-GPCR couplings, AlphaFold2-multimer models and interface interactions; large-scale coupling dataset discussion	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	Rules and mechanisms governing G protein coupling selectivity of GPCRs	Primary subtype-resolved GPCR-G-protein coupling profiling reports the exact receptor-primary-transducer branch; the review identifies and contextualizes the cited primary dataset.	The FreeGβγ-Nluc/BRET readout measures receptor-to-G-protein coupling/activation as a proximal functional proxy, not purified receptor-G-protein binding; coupling is non-exclusive and assay-bounded. Preserve receptor, transducer subtype, ligand, and heterologous-cell context; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
module21b-martemyanov-lambert-primary-transducers-20260906	M21B-DISC-4319	M21B-E004427	M21B-EVID-004370	unmaterialized_discovery_candidate	validated_primary_exact_layer	receptor_proximal_or_pathway	PMCID:PMC10767870, GproteinDb in 2024: new G protein-GPCR couplings, AlphaFold2-multimer models and interface interactions; large-scale coupling dataset discussion	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	Rules and mechanisms governing G protein coupling selectivity of GPCRs	Primary subtype-resolved GPCR-G-protein coupling profiling reports the exact receptor-primary-transducer branch; the review identifies and contextualizes the cited primary dataset.	The FreeGβγ-Nluc/BRET readout measures receptor-to-G-protein coupling/activation as a proximal functional proxy, not purified receptor-G-protein binding; coupling is non-exclusive and assay-bounded. Preserve receptor, transducer subtype, ligand, and heterologous-cell context; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
module21b-martemyanov-lambert-primary-transducers-20260906	M21B-DISC-4320	M21B-E004428	M21B-EVID-004371	unmaterialized_discovery_candidate	validated_primary_exact_layer	receptor_proximal_or_pathway	PMCID:PMC10767870, GproteinDb in 2024: new G protein-GPCR couplings, AlphaFold2-multimer models and interface interactions; large-scale coupling dataset discussion	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	Rules and mechanisms governing G protein coupling selectivity of GPCRs	Primary subtype-resolved GPCR-G-protein coupling profiling reports the exact receptor-primary-transducer branch; the review identifies and contextualizes the cited primary dataset.	The FreeGβγ-Nluc/BRET readout measures receptor-to-G-protein coupling/activation as a proximal functional proxy, not purified receptor-G-protein binding; coupling is non-exclusive and assay-bounded. Preserve receptor, transducer subtype, ligand, and heterologous-cell context; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
module21b-martemyanov-lambert-primary-transducers-20260906	M21B-DISC-4321	M21B-E004429	M21B-EVID-004372	unmaterialized_discovery_candidate	validated_primary_exact_layer	receptor_proximal_or_pathway	PMCID:PMC10767870, GproteinDb in 2024: new G protein-GPCR couplings, AlphaFold2-multimer models and interface interactions; large-scale coupling dataset discussion	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	DOI:10.1016/j.celrep.2023.113173; PMID:37742189; PMCID:PMC10842385	Rules and mechanisms governing G protein coupling selectivity of GPCRs	Primary subtype-resolved GPCR-G-protein coupling profiling reports the exact receptor-primary-transducer branch; the review identifies and contextualizes the cited primary dataset.	The FreeGβγ-Nluc/BRET readout measures receptor-to-G-protein coupling/activation as a proximal functional proxy, not purified receptor-G-protein binding; coupling is non-exclusive and assay-bounded. Preserve receptor, transducer subtype, ligand, and heterologous-cell context; no SCI or terminal-TF inference.	local_21B_registers_only; no_database_write
