review_id	batch_id	batch_rank	regulator_key	regulator_symbol	species_scope	source_registry	source_record_id	raw_tf_symbol	target_symbol	target_graph_modules	candidate_membership_status	exact_pair_search_url	exact_pair_status	regulator_general_evidence_status	target_cell_presence_status	binding_or_association_status	downstream_expression_or_perturbation_status	downstream_activation_status	upstream_relay_status	disposition	primary_citation	corroborating_citation	near_match_exclusions	review_notes	exportable	canonical_write_performed
public_tf_evidence_batch008_pair_06_01	public_tf_evidence_batch_008	6	znf660	ZNF660	human	TFLink	tflink:human:001334:af29e76b3b4b	ZNF660	C5AR1	20B;24B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF660%22+AND+%22C5AR1%22+AND+human	binding_dataset_only_not_promotable	supported_authoritative_binding_dataset_only	not_established_for_exact_pair	authoritative_occupancy_dataset_lead	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF660_TARGET_GENES.html		Target-set membership is occupancy-only; no exact functional pair was promoted.	An authoritative binding/target-set record indicates regulator association at this exact gene, but no matched perturbation or orthogonal validation was located; do not promote. Regulator-level references are stored separately and are not evidence for this exact queued pair. The GTRD-derived ZNF660 target set contains queued C5AR1, CTNNB1, EFNA3, and FGF21; no matched perturbation or orthogonal target-expression validation was located.	false	false
public_tf_evidence_batch008_pair_06_02	public_tf_evidence_batch_008	6	znf660	ZNF660	human	TFLink	tflink:human:001334:af29e76b3b4b	ZNF660	CTNNB1	22B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF660%22+AND+%22CTNNB1%22+AND+human	binding_dataset_only_not_promotable	supported_authoritative_binding_dataset_only	not_established_for_exact_pair	authoritative_occupancy_dataset_lead	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF660_TARGET_GENES.html		Target-set membership is occupancy-only; no exact functional pair was promoted.	An authoritative binding/target-set record indicates regulator association at this exact gene, but no matched perturbation or orthogonal validation was located; do not promote. Regulator-level references are stored separately and are not evidence for this exact queued pair. The GTRD-derived ZNF660 target set contains queued C5AR1, CTNNB1, EFNA3, and FGF21; no matched perturbation or orthogonal target-expression validation was located.	false	false
public_tf_evidence_batch008_pair_06_03	public_tf_evidence_batch_008	6	znf660	ZNF660	human	TFLink	tflink:human:001334:af29e76b3b4b	ZNF660	EFNA3	20B;23B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF660%22+AND+%22EFNA3%22+AND+human	binding_dataset_only_not_promotable	supported_authoritative_binding_dataset_only	not_established_for_exact_pair	authoritative_occupancy_dataset_lead	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF660_TARGET_GENES.html		Target-set membership is occupancy-only; no exact functional pair was promoted.	An authoritative binding/target-set record indicates regulator association at this exact gene, but no matched perturbation or orthogonal validation was located; do not promote. Regulator-level references are stored separately and are not evidence for this exact queued pair. The GTRD-derived ZNF660 target set contains queued C5AR1, CTNNB1, EFNA3, and FGF21; no matched perturbation or orthogonal target-expression validation was located.	false	false
public_tf_evidence_batch008_pair_06_04	public_tf_evidence_batch_008	6	znf660	ZNF660	human	TFLink	tflink:human:001334:af29e76b3b4b	ZNF660	FGF21	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF660%22+AND+%22FGF21%22+AND+human	binding_dataset_only_not_promotable	supported_authoritative_binding_dataset_only	not_established_for_exact_pair	authoritative_occupancy_dataset_lead	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF660_TARGET_GENES.html		Target-set membership is occupancy-only; no exact functional pair was promoted.	An authoritative binding/target-set record indicates regulator association at this exact gene, but no matched perturbation or orthogonal validation was located; do not promote. Regulator-level references are stored separately and are not evidence for this exact queued pair. The GTRD-derived ZNF660 target set contains queued C5AR1, CTNNB1, EFNA3, and FGF21; no matched perturbation or orthogonal target-expression validation was located.	false	false
public_tf_evidence_batch008_pair_07_05	public_tf_evidence_batch_008	7	rfx6	RFX6	mouse	TFLink	tflink:mouse:000991:23d30011b4af	Rfx6	Adm	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22RFX6%22+AND+%22Adm%22+AND+mouse	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			Nonqueued RFX6 targets and tissue-specific pancreatic evidence were not transferred to queued genes.	No qualifying exact regulator-target assay was located in the bounded search. Regulator-level references are stored separately and are not evidence for this exact queued pair. RFX6 has strong regulator-level evidence in mouse pancreatic endocrine development and adult islet function, including direct targets such as Neurod1, Hnf1a, Nkx6-1, St18, Eif2ak1, Upf1, and Eif5; none of the queued Adm, Crhr2, Cx3cl1, or Cxcr4 edges was validated.	false	false
public_tf_evidence_batch008_pair_07_06	public_tf_evidence_batch_008	7	rfx6	RFX6	mouse	TFLink	tflink:mouse:000991:23d30011b4af	Rfx6	Crhr2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22RFX6%22+AND+%22Crhr2%22+AND+mouse	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			Nonqueued RFX6 targets and tissue-specific pancreatic evidence were not transferred to queued genes.	No qualifying exact regulator-target assay was located in the bounded search. Regulator-level references are stored separately and are not evidence for this exact queued pair. RFX6 has strong regulator-level evidence in mouse pancreatic endocrine development and adult islet function, including direct targets such as Neurod1, Hnf1a, Nkx6-1, St18, Eif2ak1, Upf1, and Eif5; none of the queued Adm, Crhr2, Cx3cl1, or Cxcr4 edges was validated.	false	false
public_tf_evidence_batch008_pair_07_07	public_tf_evidence_batch_008	7	rfx6	RFX6	mouse	TFLink	tflink:mouse:000991:23d30011b4af	Rfx6	Cx3cl1	20B;23B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22RFX6%22+AND+%22Cx3cl1%22+AND+mouse	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			Nonqueued RFX6 targets and tissue-specific pancreatic evidence were not transferred to queued genes.	No qualifying exact regulator-target assay was located in the bounded search. Regulator-level references are stored separately and are not evidence for this exact queued pair. RFX6 has strong regulator-level evidence in mouse pancreatic endocrine development and adult islet function, including direct targets such as Neurod1, Hnf1a, Nkx6-1, St18, Eif2ak1, Upf1, and Eif5; none of the queued Adm, Crhr2, Cx3cl1, or Cxcr4 edges was validated.	false	false
public_tf_evidence_batch008_pair_07_08	public_tf_evidence_batch_008	7	rfx6	RFX6	mouse	TFLink	tflink:mouse:000991:23d30011b4af	Rfx6	Cxcr4	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22RFX6%22+AND+%22Cxcr4%22+AND+mouse	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			Nonqueued RFX6 targets and tissue-specific pancreatic evidence were not transferred to queued genes.	No qualifying exact regulator-target assay was located in the bounded search. Regulator-level references are stored separately and are not evidence for this exact queued pair. RFX6 has strong regulator-level evidence in mouse pancreatic endocrine development and adult islet function, including direct targets such as Neurod1, Hnf1a, Nkx6-1, St18, Eif2ak1, Upf1, and Eif5; none of the queued Adm, Crhr2, Cx3cl1, or Cxcr4 edges was validated.	false	false
public_tf_evidence_batch008_pair_08_09	public_tf_evidence_batch_008	8	znf610	ZNF610	human	TFLink	tflink:human:001285:fe36de5b4c6f	ZNF610	BMPR1A	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF610%22+AND+%22BMPR1A%22+AND+human	binding_dataset_only_not_promotable	supported_authoritative_binding_dataset_only	not_established_for_exact_pair	authoritative_occupancy_dataset_lead	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF610_TARGET_GENES		Target-set membership is occupancy-only; no exact functional pair was promoted.	An authoritative binding/target-set record indicates regulator association at this exact gene, but no matched perturbation or orthogonal validation was located; do not promote. Regulator-level references are stored separately and are not evidence for this exact queued pair. The GTRD-derived ZNF610 target set contains queued BMPR1A, CTNNB1, DLL1, and EDN1; no matched perturbation or orthogonal target-expression validation was located.	false	false
public_tf_evidence_batch008_pair_08_10	public_tf_evidence_batch_008	8	znf610	ZNF610	human	TFLink	tflink:human:001285:fe36de5b4c6f	ZNF610	CTNNB1	22B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF610%22+AND+%22CTNNB1%22+AND+human	binding_dataset_only_not_promotable	supported_authoritative_binding_dataset_only	not_established_for_exact_pair	authoritative_occupancy_dataset_lead	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF610_TARGET_GENES		Target-set membership is occupancy-only; no exact functional pair was promoted.	An authoritative binding/target-set record indicates regulator association at this exact gene, but no matched perturbation or orthogonal validation was located; do not promote. Regulator-level references are stored separately and are not evidence for this exact queued pair. The GTRD-derived ZNF610 target set contains queued BMPR1A, CTNNB1, DLL1, and EDN1; no matched perturbation or orthogonal target-expression validation was located.	false	false
