candidate_unit_id	review_batch	normalized_ligand_key	normalized_receptor_key	disposition	matched_graph_edge_ids	supporting_primary_locators	reviewed_source_locators	evidence_layer	species_support	evidence_summary	limitations	review_status
LR:LGALS8>ITGA3	batch_171	LGALS8	ITGA3	hold_contextual_or_complex_boundary	M23B-E000653	PMID:10852818; DOI:10.1098/rsob.2020.0308		ligand_receptor_binding_or_activation;downstream_or_functional	human	Primary work links galectin-8 to integrin-mediated adhesion and apoptosis in an alpha3beta1-containing context, which represents the public LGALS8-ITGA3 row through a receptor-complex alias rather than an isolated alpha3 core-protein interface.	Preserve galectin glycan-binding multivalency and the alpha3beta1 heterodimer; do not split ITGA3 from ITGB1, infer a universal intracellular or TF route, or treat the contextual apoptosis assay as direct binary binding.	reviewed_batch_171
LR:LIF>IL6ST	batch_171	LIF	IL6ST	hold_contextual_or_complex_boundary	M20B-E004156			ligand_receptor_or_direct_molecular	mouse	The current graph retains a frozen LIF-to-IL6ST/LIFR composite-receptor representation from the LIANA mouse consensus, but no stable pair-specific primary evidence packet is available in this bundle.	Preserve IL6ST/gp130 and LIFR receptor-complex topology; do not materialize isolated IL6ST as the complete LIF receptor or infer downstream/SCI/terminal-TF evidence from the database-only closure.	reviewed_batch_171
LR:LPL>GPIHBP1	batch_171	LPL	GPIHBP1	already_present_exact_or_alias	M21B-E007130	PMCID:PMC6358717; PMID:30559189		ligand_receptor_binding_or_activation;downstream_or_functional	human	Primary structural and biochemical work directly resolves the human LPL-GPIHBP1 complex, including a 1:1 interface, preserved lipase activity and endothelial transport/stabilization context.	Preserve GPIHBP1 as an endothelial transporter/stabilizing partner rather than a kinase receptor; do not transfer LPL biology to LRP1/VLDLR or infer a kinase, SCI or terminal-TF route.	reviewed_batch_171
LR:LRFN1>PTPRS	batch_171	LRFN1	PTPRS	already_present_exact_or_alias	M21B-E005181	PMID:32822567; PMCID:PMC7440162		ligand_receptor_binding_or_activation	human	Primary human cell-surface interaction and SPR assays validate the SALM2/LRFN1 extracellular interaction with PTPRS/PTPσ.	Promote exact extracellular binding only; preserve SALM2/LRFN1 and PTPRS splice-family context and do not infer synaptic function, phosphatase relay, SCI transfer or terminal-TF activity.	reviewed_batch_171
LR:LTA>LTBR	batch_171	LTA	LTBR	hold_contextual_or_complex_boundary	M20B-E004193			ligand_receptor_or_direct_molecular	mouse	The current graph retains a frozen LTA/LTB-complex-to-LTBR representation, but the public row does not resolve whether the ligand is soluble LTalpha3, membrane LTalpha1beta2 or an isolated LTB chain.	Preserve lymphotoxin ligand-form and LTBR complex distinctions; do not split the composite edge into isolated LTA-LTBR or LTB-LTBR binaries, infer a unique intracellular relay, or claim terminal-TF output.	reviewed_batch_171
LR:LTB>LTBR	batch_171	LTB	LTBR	hold_contextual_or_complex_boundary	M20B-E004193			ligand_receptor_or_direct_molecular	mouse	The current graph retains a frozen LTA/LTB-complex-to-LTBR representation, but the public row does not resolve whether the ligand is soluble LTalpha3, membrane LTalpha1beta2 or an isolated LTB chain.	Preserve lymphotoxin ligand-form and LTBR complex distinctions; do not split the composite edge into isolated LTA-LTBR or LTB-LTBR binaries, infer a unique intracellular relay, or claim terminal-TF output.	reviewed_batch_171
LR:MADCAM1>ITGA4	batch_171	MADCAM1	ITGA4	already_present_exact_or_alias	M21B-E000581;M23B-E000208	PMID:7687523; PMID:23553626; PMID:17868448; DOI:10.1074/jbc.M113.462630		ligand_receptor_binding_or_activation;downstream_or_functional	human; mixed	Primary integrin and adhesion studies resolve MAdCAM-1 binding to the alpha4beta7 heterodimer and connect the interaction to mucosal endothelial addressin and lymphocyte-homing assays.	Preserve the alpha4beta7 heterodimer, MAdCAM-1 activation state, mucosal endothelial and Mn2+/blocking-antibody assay context; do not split ITGA4 from ITGB7 or infer a universal intracellular or TF route.	reviewed_batch_171
LR:MADCAM1>ITGB7	batch_171	MADCAM1	ITGB7	already_present_exact_or_alias	M21B-E000581;M23B-E000208	PMID:7687523; PMID:23553626; PMID:17868448; DOI:10.1074/jbc.M113.462630		ligand_receptor_binding_or_activation;downstream_or_functional	human; mixed	Primary integrin and adhesion studies resolve MAdCAM-1 binding to the alpha4beta7 heterodimer and connect the interaction to mucosal endothelial addressin and lymphocyte-homing assays.	Preserve the alpha4beta7 heterodimer, MAdCAM-1 activation state, mucosal endothelial and Mn2+/blocking-antibody assay context; do not split ITGA4 from ITGB7 or infer a universal intracellular or TF route.	reviewed_batch_171
LR:MCAM>CNTN1	batch_171	MCAM	CNTN1	already_present_exact_or_alias	M21B-E005495	PMID:35922511; PMCID:PMC9365698; DOI:10.1038/s41586-022-05028-x		ligand_receptor_binding_or_activation	human	Primary human cell-surface interactome mapping validates direct extracellular MCAM/CD146-CNTN1 binding with receptor-transfected cell-binding and SPR assays.	Promote direct extracellular binding only; preserve CD146/CNTN1 nomenclature and do not infer downstream adhesion, SCI-specific signaling or terminal-TF activity.	reviewed_batch_171
LR:MDK>ITGA6	batch_171	MDK	ITGA6	hold_contextual_or_complex_boundary	M23B-E000210	PMID:18851943; DOI:10.1016/j.bbrc.2008.09.138		ligand_receptor_binding_or_activation;downstream_or_functional	human	Primary work supports midkine in a TSPAN1-associated alpha6beta1 signaling complex with STAT1-alpha pathway output, representing complex-context evidence rather than isolated MDK-ITGA6 binding.	Preserve the TSPAN1-associated alpha6beta1 complex and distinguish STAT1-alpha output from direct ligand-TF evidence; do not split ITGA6 from ITGB1 or infer a universal midkine relay.	reviewed_batch_171
