path_expression	route_tier	missing_layers	intracellular_status	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_node_id	input_evidence_type	output_evidence_type	route_linkage_status	causal_status	traversal_status	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	source_scope	curation_status	expansion_id	source_queue_id	known_layers	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	output_label	pathway_name	evidence_ids	source_evidence_record_id	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	primary_locator	citation_note	evidence_summary	limitations	source_chain_id	route_evidence_id
ligand>receptor>????>????>????	ligand_receptor_downstream_claim_unresolved	ligand_receptor_pair_validation|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped						primary_literature_route_expansion	unresolved_downstream_claim	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	ambiguous_topology_primary_evidence	curated_primary_route	M21B-LITEXP-2330	M21B-DOWNSTREAM:02266	ligand|receptor|downstream_claim	NODE05349	IL1A	M21B-E000134	NODE10307	SIL1R2:SIL1RAP decoy complex					IL1R2-soluble-decoy	M21B-E000134;M21B-EVID-000077;PMID:12530978	M21B-DOWNSTREAM-EVID:003632	unknown	human	Recombinant human IL-1alpha, soluble type-II IL-1 receptor, and soluble accessory protein; binding-affinity measurements	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	PMID:12530978	Review lead: PMCID:PMC5414836, IL-1R2 section; review-cited primary: PMID:12530978; primary locator: PMID:12530978	Primary-supported claim: Review states that IL-1R2 binds IL-1alpha/beta and forms an IL-1/IL-1RAP decoy complex, citing soluble receptor/accessory-protein binding measurements. Primary model/assay: Recombinant human IL-1alpha, soluble type-II IL-1 receptor, and soluble accessory protein; binding-affinity measurements This route preserves the source-supported relation and downstream evidence, but ligand-receptor endpoint identity remains unresolved. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	Soluble decoy-complex layer only; no IL1R2 intracellular signaling or astrocyte/SCI specificity. This route preserves the source-supported relation and downstream evidence, but ligand-receptor endpoint identity remains unresolved. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	M21B-LITEXP-2330	LITEXP:002330
ligand>receptor>????>????>????	ligand_receptor_downstream_claim_unresolved	ligand_receptor_pair_validation|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped						primary_literature_route_expansion	unresolved_downstream_claim	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	ambiguous_topology_primary_evidence	curated_primary_route	M21B-LITEXP-2331	M21B-DOWNSTREAM:02267	ligand|receptor|downstream_claim	NODE05353	IL1B	M21B-E000135	NODE10307	SIL1R2:SIL1RAP decoy complex					IL1R2-soluble-decoy	M21B-E000135;M21B-EVID-000078;PMID:12530978	M21B-DOWNSTREAM-EVID:003633	unknown	human	Recombinant human IL-1beta, soluble type-II IL-1 receptor, and soluble accessory protein; accessory protein increased IL-1beta binding to sIL1R2	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	PMID:12530978	Review lead: PMCID:PMC5414836, IL-1R2 section; review-cited primary: PMID:12530978; primary locator: PMID:12530978	Primary-supported claim: Review cites the soluble IL-1R2/accessory-protein study showing enhanced IL-1beta binding to the decoy system. Primary model/assay: Recombinant human IL-1beta, soluble type-II IL-1 receptor, and soluble accessory protein; accessory protein increased IL-1beta binding to sIL1R2 This route preserves the source-supported relation and downstream evidence, but ligand-receptor endpoint identity remains unresolved. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	Preserve IL-1beta versus IL-1RA selectivity and soluble accessory-protein dependence; no intracellular IL1R2 relay. This route preserves the source-supported relation and downstream evidence, but ligand-receptor endpoint identity remains unresolved. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	M21B-LITEXP-2331	LITEXP:002331
ligand>receptor>????>????>????	ligand_receptor_entry_only	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped						primary_literature_route_expansion	unresolved_downstream_claim	literature_expansion:primary_entry_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	primary_ligand_receptor_entry_evidence	curated_primary_route	M21B-LITEXP-2332	M21B-DOWNSTREAM:02268	ligand|receptor	NODE04748	HMGB1	M21B-E000145	NODE09580	RAGE-heparan sulfate receptor complex					HMGB1-RAGE-HS-migration	M21B-E000145;M21B-EVID-000088;PMID:21990362	M21B-DOWNSTREAM-EVID:003634	unknown	human	Human monocytes and RAGE-expressing cell systems; heparan-sulfate perturbation/depletion and HMGB1 stimulation; chemotaxis/signaling assays	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	activating	PMID:21990362	Review lead: PMCID:PMC4533842, HMGB1/RAGE section; PMCID:PMC4254084, HMGB1 receptor review; review-cited primary: PMID:21990362; primary locator: PMID:21990362	Primary-supported claim: Reviews describe RAGE signaling as dependent on cell-surface heparan sulfate and cite the primary study defining the functional HMGB1 receptor complex. Primary model/assay: Human monocytes and RAGE-expressing cell systems; heparan-sulfate perturbation/depletion and HMGB1 stimulation; chemotaxis/signaling assays This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	Cell-surface heparan-sulfate co-receptor context is required; preserve multicomponent receptor semantics and do not infer RAGE-only binding or a CNS-specific branch. This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	M21B-LITEXP-2332	LITEXP:002332
ligand>receptor>????>????>????	ligand_receptor_entry_only	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped						primary_literature_route_expansion	unresolved_downstream_claim	literature_expansion:primary_entry_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	primary_ligand_receptor_entry_evidence	curated_primary_route	M21B-LITEXP-2333	M21B-DOWNSTREAM:02269	ligand|receptor	NODE04590	Haptoglobin-hemoglobin complex	M21B-E000146	NODE01803	CD163					Hp-Hb-CD163-scavenging	M21B-E000146;M21B-EVID-000089;PMID:23671278	M21B-DOWNSTREAM-EVID:003635	unknown	human	Human recombinant Hp-Hb and CD163 SRCR-domain systems; ligand-binding assays, receptor/ligand mutagenesis, and endocytic macrophage-receptor context	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	PMID:23671278	Review lead: PMCID:PMC3638564, CD163 hemoglobin-scavenger review; PMID:32660714, haptoglobin review; review-cited primary: PMID:23671278; PMCID:PMC3696659; primary locator: PMID:23671278	Primary-supported claim: Reviews identify the Hp-Hb complex as the CD163 ligand and cite the primary receptor-ligand mapping study. Primary model/assay: Human recombinant Hp-Hb and CD163 SRCR-domain systems; ligand-binding assays, receptor/ligand mutagenesis, and endocytic macrophage-receptor context This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	Complex-dependent scavenger/endocytic edge; preserve human Hp-Hb isoform and Ca2+ context, and do not infer a canonical kinase relay from CD163 capture. This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	M21B-LITEXP-2333	LITEXP:002333
ligand>receptor>????>????>????	ligand_receptor_entry_only	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped						primary_literature_route_expansion	unresolved_downstream_claim	literature_expansion:primary_entry_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	primary_ligand_receptor_entry_evidence	curated_primary_route	M21B-LITEXP-2334	M21B-DOWNSTREAM:02270	ligand|receptor	NODE05128	IL-1alpha	M21B-E000161	NODE10306	sIL1R2:sIL1RAP decoy					IL1A-sIL1R2-sIL1RAP-decoy	M21B-E000161;M21B-EVID-000104;PMID:12530978	M21B-DOWNSTREAM-EVID:003636	unknown	human	Recombinant human IL-1alpha, soluble human type-II IL-1 receptor, and soluble IL-1 receptor accessory protein; binding-affinity and decoy-complex assays	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	PMID:12530978	Review lead: PMCID:PMC5414836, IL-1R2 decoy section; review-cited primary: PMID:12530978; primary locator: PMID:12530978	Primary-supported claim: Review cites soluble IL-1R2/accessory-protein binding measurements for IL-1alpha decoy-complex sequestration. Primary model/assay: Recombinant human IL-1alpha, soluble human type-II IL-1 receptor, and soluble IL-1 receptor accessory protein; binding-affinity and decoy-complex assays This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	Soluble decoy sequestration only; no IL1R2 intracellular signaling or astrocyte/SCI specificity. This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	M21B-LITEXP-2334	LITEXP:002334
ligand>receptor>????>????>????	ligand_receptor_entry_only	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped						primary_literature_route_expansion	unresolved_downstream_claim	literature_expansion:primary_entry_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	primary_ligand_receptor_entry_evidence	curated_primary_route	M21B-LITEXP-2335	M21B-DOWNSTREAM:02271	ligand|receptor	NODE05131	IL-1beta	M21B-E000162	NODE10306	sIL1R2:sIL1RAP decoy					IL1B-sIL1R2-sIL1RAP-decoy	M21B-E000162;M21B-EVID-000105;PMID:12530978	M21B-DOWNSTREAM-EVID:003637	unknown	human	Recombinant human IL-1beta, soluble human type-II IL-1 receptor, and soluble IL-1 receptor accessory protein; accessory-protein-enhanced binding and decoy-complex assays	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	PMID:12530978	Review lead: PMCID:PMC5414836, IL-1R2 decoy section; review-cited primary: PMID:12530978; primary locator: PMID:12530978	Primary-supported claim: Review cites soluble IL-1R2/accessory-protein binding measurements for IL-1beta decoy-complex sequestration. Primary model/assay: Recombinant human IL-1beta, soluble human type-II IL-1 receptor, and soluble IL-1 receptor accessory protein; accessory-protein-enhanced binding and decoy-complex assays This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	Soluble accessory-protein-dependent decoy branch; preserve IL-1beta specificity and do not infer canonical IL1R2 signaling. This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	M21B-LITEXP-2335	LITEXP:002335
ligand>receptor>????>????>????	ligand_receptor_entry_only	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped						primary_literature_route_expansion	unresolved_downstream_claim	literature_expansion:primary_entry_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	primary_ligand_receptor_entry_evidence	curated_primary_route	M21B-LITEXP-2336	M21B-DOWNSTREAM:02284	ligand|receptor	NODE03183	Endoglycan/EG	M21B-E000286	NODE10130	SELE/E-selectin					E-selectin-endoglycan-leukocyte-adhesion	M21B-E000286;M21B-EVID-000229;PMID:18606703	M21B-DOWNSTREAM-EVID:003650	unknown	human	Human B-cell, monocyte, tonsil, and recombinant endoglycan systems; E-selectin-Ig binding/pulldown and parallel-plate flow assays with E-selectin-bearing cells, sialidase/fucosylation, and EDTA controls	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	PMID:18606703	Review lead: PMCID:PMC2700822, Endoglycan vascular-selectin ligand study; PMCID:PMC7355470, Selectins review; review-cited primary: PMID:18606703; primary locator: PMID:18606703	Primary-supported claim: The review and cited primary study identify endoglycan as a glycosylated vascular-selectin ligand, with immunopurified binding and recombinant endoglycan-dependent, sialic-acid/fucose-dependent slow rolling on E-selectin. Primary model/assay: Human B-cell, monocyte, tonsil, and recombinant endoglycan systems; E-selectin-Ig binding/pulldown and parallel-plate flow assays with E-selectin-bearing cells, sialidase/fucosylation, and EDTA controls This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	Preserve endoglycan/CD34-family identity, sialylation/fucosylation and divalent-cation dependence, and recombinant/hematopoietic flow context; no endothelial signaling or SCI inference. This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	M21B-LITEXP-2336	LITEXP:002336
ligand>receptor>????>????>????	ligand_receptor_entry_only	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped						primary_literature_route_expansion	unresolved_downstream_claim	literature_expansion:primary_entry_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	primary_ligand_receptor_entry_evidence	curated_primary_route	M21B-LITEXP-2337	M21B-DOWNSTREAM:02285	ligand|receptor	NODE03183	Endoglycan/EG	M21B-E000288	NODE10135	SELL/L-selectin					L-selectin-endoglycan-leukocyte-adhesion	M21B-E000288;M21B-EVID-000231;PMID:12889478;PMID:14573602	M21B-DOWNSTREAM-EVID:003651	unknown	human	Human endoglycan/lymphocyte and recombinant glycoform systems, L-selectin binding and rolling assays, atomic-force microscopy, and flow-chamber measurements of L-selectin/endoglycan bond mechanics	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	PMID:12889478; PMID:14573602	Review lead: PMCID:PMC2700822, Endoglycan vascular-selectin ligand study; PMCID:PMC1867022, Endothelial ligands for L-selectin; review-cited primary: PMID:12889478; PMID:14573602; primary locator: PMID:12889478; PMID:14573602	Primary-supported claim: The reviews identify endoglycan as a vascular L-selectin ligand and cite primary tyrosine-sulfation/glycoform and catch-bond studies showing direct L-selectin binding and rolling under flow. Primary model/assay: Human endoglycan/lymphocyte and recombinant glycoform systems, L-selectin binding and rolling assays, atomic-force microscopy, and flow-chamber measurements of L-selectin/endoglycan bond mechanics This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	Preserve endoglycan tyrosine sulfation, sialyl-Lewis X, Ca2+ and shear-threshold/catch-bond context; no endoglycan intracellular signaling or SCI inference. This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	M21B-LITEXP-2337	LITEXP:002337
ligand>receptor>????>????>????	ligand_receptor_entry_only	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped						primary_literature_route_expansion	unresolved_downstream_claim	literature_expansion:primary_entry_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	primary_ligand_receptor_entry_evidence	curated_primary_route	M21B-LITEXP-2338	M21B-DOWNSTREAM:02286	ligand|receptor	NODE09138	PODXL/PCLP	M21B-E000291	NODE10135	SELL/L-selectin					L-selectin-podocalyxin-HEV-adhesion	M21B-E000291;M21B-EVID-000234;PMID:9625756	M21B-DOWNSTREAM-EVID:003652	unknown	mouse	Mouse high-endothelial-venule-derived podocalyxin-like protein and recombinant L-selectin systems; immunoaffinity isolation, L-selectin binding, MECA-79 comparison, and lymphocyte tethering/rolling under flow	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	PMID:9625756	Review lead: PMCID:PMC2212365, Podocalyxin-like protein as an HEV ligand; PMCID:PMC1867022, Endothelial ligands for L-selectin; review-cited primary: PMID:9625756; primary locator: PMID:9625756	Primary-supported claim: The reviews identify podocalyxin-like protein as a CD34-family L-selectin ligand and the cited primary study demonstrates purified HEV-derived PCLP binding recombinant L-selectin and supporting physiological lymphocyte rolling. Primary model/assay: Mouse high-endothelial-venule-derived podocalyxin-like protein and recombinant L-selectin systems; immunoaffinity isolation, L-selectin binding, MECA-79 comparison, and lymphocyte tethering/rolling under flow This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	Preserve HEV-derived PCLP/PODXL glycoform, sulfated mucin-domain and flow context, and distinction from podocyte antiadhesive functions; no intracellular PODXL relay or SCI inference. This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	M21B-LITEXP-2338	LITEXP:002338
ligand>receptor>????>????>????	ligand_receptor_entry_only	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped						primary_literature_route_expansion	unresolved_downstream_claim	literature_expansion:primary_entry_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	primary_ligand_receptor_entry_evidence	curated_primary_route	M21B-LITEXP-2339	M21B-DOWNSTREAM:02287	ligand|receptor	NODE06709	MAdCAM1	M21B-E000292	NODE10135	SELL/L-selectin					L-selectin-MAdCAM1-lymphocyte-rolling	M21B-E000292;M21B-EVID-000235;PMID:7505053	M21B-DOWNSTREAM-EVID:003653	unknown	mouse	Mouse mesenteric-lymph-node MAdCAM-1 and L-selectin-transfected lymphoid cells; tissue-isolated versus cultured endothelial MAdCAM-1, carbohydrate/glycosidase controls, and parallel-plate shear-flow rolling assays	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	review-guided primary evidence; exact topology/layer bounded	not_reported	unknown	PMID:7505053	Review lead: PMCID:PMC1867022, Endothelial ligands for L-selectin; PMCID:PMC7355470, Selectins review; review-cited primary: PMID:7505053; primary locator: PMID:7505053	Primary-supported claim: The reviews identify MAdCAM-1 as a facultative L-selectin ligand and the cited primary study shows tissue-derived MAdCAM-1 supports Ca2+/glycan-dependent L-selectin lymphocyte rolling under shear. Primary model/assay: Mouse mesenteric-lymph-node MAdCAM-1 and L-selectin-transfected lymphoid cells; tissue-isolated versus cultured endothelial MAdCAM-1, carbohydrate/glycosidase controls, and parallel-plate shear-flow rolling assays This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	Preserve tissue-specific MAdCAM-1 glycosylation, facultative ligand status, α4β7 co-adhesion context, and lymphoid homing model; no MAdCAM1 intracellular relay or SCI inference. This annotation preserves the primary-supported ligand-receptor entry and does not infer missing downstream layers. No target-gene identity, SCI transfer, causal traversal, or confidence score is asserted.	M21B-LITEXP-2339	LITEXP:002339
