promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
M21B-PROMO-20260915-TGFA-GLIA-01	M21B-DISC-15186	M21B-E011313	M21B-EVID-010776	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC5544923, Transcriptional Regulation of Glutamate Transporters: From Extracellular Signals to Transcription Factors; PMCID:PMC3353324, Transforming growth factor-alpha mediates estrogen-induced upregulation of glutamate transporter GLT-1 in rat primary astrocytes	PMID:10727511	PMID:10727511; DOI:10.1124/mol.57.4.667	Epidermal growth factor receptor agonists increase expression of glutamate transporter GLT-1 in astrocytes through pathways dependent on phosphatidylinositol 3-kinase and transcription factor NF-kappaB	Primary rat astrocyte data support increased GLT-1 protein and mRNA after TGF-alpha exposure.	Preserve astrocyte-culture context and distinguish measured transporter expression from generic EGFR or terminal-TF claims; no SCI transfer.	local_21B_registers_only; no_database_write
M21B-PROMO-20260915-TGFA-GLIA-02	M21B-DISC-15187	M21B-E011314	M21B-EVID-010776	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC5544923, Transcriptional Regulation of Glutamate Transporters: From Extracellular Signals to Transcription Factors; PMCID:PMC3353324, Transforming growth factor-alpha mediates estrogen-induced upregulation of glutamate transporter GLT-1 in rat primary astrocytes	PMID:10727511	PMID:10727511; DOI:10.1124/mol.57.4.667	Epidermal growth factor receptor agonists increase expression of glutamate transporter GLT-1 in astrocytes through pathways dependent on phosphatidylinositol 3-kinase and transcription factor NF-kappaB	Primary rat astrocyte data support increased sodium-dependent glutamate transport activity associated with TGF-alpha-induced GLT-1 output.	Preserve transport-function output and do not infer an unmeasured EGFR-to-transporter molecular intermediate or SCI effect.	local_21B_registers_only; no_database_write
M21B-PROMO-20260915-TGFA-GLIA-03	M21B-DISC-15188	M21B-E011315	M21B-EVID-010776	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC5544923, Transcriptional Regulation of Glutamate Transporters: From Extracellular Signals to Transcription Factors	PMID:12372019	PMID:12372019; DOI:10.1046/j.1460-9568.2002.02130.x	CNS region-specific regulation of glial glutamate transporter expression	Primary rat striatal astroglial data support increased GLAST expression after TGF-alpha exposure.	Preserve CNS-region and time-window specificity, including nonresponse of spinal-cord glia in the cited window; no SCI transfer.	local_21B_registers_only; no_database_write
M21B-PROMO-20260915-TGFA-GLIA-04	M21B-DISC-15189	M21B-E011316	M21B-EVID-010777	PROMOTE_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)		PMID:40537468; PMCID:PMC12179293; DOI:10.1038/s41467-025-60363-7	TGFalpha controls checkpoints in CNS resident and infiltrating immune cells to promote resolution of inflammation	TGF-alpha reduced LPS-induced Tnf expression in primary mouse microglia.	Preserve LPS challenge and transcript-level measurement; do not infer secreted TNF protein, receptor intermediate or terminal TF; no traumatic-SCI transfer.	local_21B_registers_only; no_database_write
M21B-PROMO-20260915-TGFA-GLIA-05	M21B-DISC-15190	M21B-E011317	M21B-EVID-010777	PROMOTE_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)		PMID:40537468; PMCID:PMC12179293; DOI:10.1038/s41467-025-60363-7	TGFalpha controls checkpoints in CNS resident and infiltrating immune cells to promote resolution of inflammation	TGF-alpha reduced LPS-induced Nos2 expression in primary mouse microglia.	Preserve LPS challenge and transcript-level output; do not infer nitric-oxide protein output or a terminal TF; no traumatic-SCI transfer.	local_21B_registers_only; no_database_write
M21B-PROMO-20260915-TGFA-GLIA-06	M21B-DISC-15191	M21B-E011318	M21B-EVID-010777	PROMOTE_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)		PMID:40537468; PMCID:PMC12179293; DOI:10.1038/s41467-025-60363-7	TGFalpha controls checkpoints in CNS resident and infiltrating immune cells to promote resolution of inflammation	TGF-alpha reduced LPS-induced Il1b expression in primary mouse microglia.	Preserve transcript-level measurement and distinguish it from mature secreted IL-1beta; no receptor or terminal-TF inference; no traumatic-SCI transfer.	local_21B_registers_only; no_database_write
M21B-PROMO-20260915-TGFA-GLIA-07	M21B-DISC-15192	M21B-E011319	M21B-EVID-010777	PROMOTE_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)		PMID:40537468; PMCID:PMC12179293; DOI:10.1038/s41467-025-60363-7	TGFalpha controls checkpoints in CNS resident and infiltrating immune cells to promote resolution of inflammation	TGF-alpha attenuated Ccl2 output in TNF-alpha/IL-1beta-challenged primary mouse astrocytes.	Preserve inflammatory challenge and transcript/protein boundary; no direct EGFR-to-CCL2 intermediate or SCI transfer.	local_21B_registers_only; no_database_write
M21B-PROMO-20260915-TGFA-GLIA-08	M21B-DISC-15193	M21B-E011320	M21B-EVID-010777	PROMOTE_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)		PMID:40537468; PMCID:PMC12179293; DOI:10.1038/s41467-025-60363-7	TGFalpha controls checkpoints in CNS resident and infiltrating immune cells to promote resolution of inflammation	TGF-alpha attenuated Nos2 output in TNF-alpha/IL-1beta-challenged primary mouse astrocytes.	Preserve transcript/protein boundary and inflammatory challenge; no nitric-oxide or terminal-TF inference; no SCI transfer.	local_21B_registers_only; no_database_write
M21B-PROMO-20260915-TGFA-GLIA-09	M21B-DISC-15194	M21B-E011321	M21B-EVID-010777	PROMOTE_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)		PMID:40537468; PMCID:PMC12179293; DOI:10.1038/s41467-025-60363-7	TGFalpha controls checkpoints in CNS resident and infiltrating immune cells to promote resolution of inflammation	TGF-alpha reduced Csf2/GM-CSF intracellular protein output in challenged primary mouse astrocytes.	Preserve intracellular-protein measurement and do not infer extracellular secretion or terminal transcription; no SCI transfer.	local_21B_registers_only; no_database_write
M21B-PROMO-20260915-TGFA-GLIA-10	M21B-DISC-15195	M21B-E011322	M21B-EVID-010777	PROMOTE_CANDIDATE	MATERIALIZED_PRIMARY_ONLY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)		PMID:40537468; PMCID:PMC12179293; DOI:10.1038/s41467-025-60363-7	TGFalpha controls checkpoints in CNS resident and infiltrating immune cells to promote resolution of inflammation	TGF-alpha reduced the Ki67-positive inflammatory astrocyte state in the challenged-cell assay.	Preserve cell-state semantics and inflammatory challenge; do not generalize to all astrocyte proliferation contexts.	local_21B_registers_only; no_database_write
