evidence_id	edge_id	source_kind	source_locator	support_kind	species_support	source_species_detail	source_scope	confidence_tier	citation_note	evidence_summary	limitations
M21A-SAT-EVID-001	M21A-E009;M21A-E010;M21A-E011;M21A-E012;M21A-E013;M21A-E014;M21A-E015	pubmed_pmid	PMID:9188471; PMID:8999038	primary_experiment	human	Human OSM receptor comparison in JAR and A375 cells; receptor cloning and signaling assays	pathway_membership	high	Signaling of type II OSM receptor; dual OSM receptors	Both LIFR-gp130 and OSMR-gp130 receptor complexes activate JAK-family kinases and STAT3; STAT5b was specific to the type-II OSMR-gp130 complex.	The record is receptor-complex pathway evidence rather than ligand occupancy; no SCI receiver-cell context and receptor-specific branch weights are not quantified.
M21A-SAT-EVID-002	M21A-E016;M21A-E017;M21A-E018;M21A-E019;M21A-E020	pubmed_pmid	PMID:9461596; PMID:7526154; PMID:7532278; PMID:8232552	primary_experiment	human	Human IFN receptor biochemical systems and JAK1-deficient cell line	pathway_membership	high	Type-I interferon receptor/JAK/STAT reconstitution and STAT2 loss-of-function	IFNAR1-TYK2 and IFNAR2-JAK1 associations, type-I IFN activation of STAT1/STAT2, and STAT2-dependent ISGF3 formation are supported; JAK1 complementation restores IFN response.	The record spans receptor-proximal and downstream pathway layers; use the layer register for edge-level classification. Most evidence is biochemical or transformed-cell comparator evidence.
M21A-SAT-EVID-003	M21A-E021;M21A-E022;M21A-E023;M21A-E024	pubmed_pmid	PMID:7673114; PMID:9653170; PMID:10228162	primary_experiment	human; mouse	Human receptor-component cell systems, IFNGR2-deficient mouse cells, and fibroblast signaling assays	pathway_membership	high	IFN-gamma receptor complex and Pyk2 branch	IFNGR1/2 activates JAK1, JAK2, and STAT1; IFNGR2 loss blocks signaling; Pyk2 supports an IFN-gamma-specific ERK2/MAPK1 branch.	The record spans receptor-proximal and pathway layers; MAPK3 involvement and universal IFN relay are not established. Pyk2/ERK is branch-specific.
M21A-SAT-EVID-004	M21A-E025;M21A-E026;M21A-E027;M21A-E028;M21A-E029;M21A-E030	pubmed_pmid	PMID:8565075; PMID:16611992	primary_experiment	human; mouse	Human U937/HEK293/Jurkat and mixed-species TNFR1 signaling/death-branch systems	pathway_membership	high	TNFR1 TRADD/TRAF2/FADD bifurcation and RIPK1 death-complex study	TRADD links TNFR1 to TRAF2 and FADD; TRAF2 and FADD separate NF-kappaB and apoptotic branches, while RIPK1 remains relevant to necrotic/death outputs.	The record spans direct recruitment, non-ordered receptor-complex, and pathway branches; it does not establish a ternary TNFR1-TRADD-TRAF2 complex activating RIPK1 or all cell-state-specific TNF outputs.
M21A-SAT-EVID-005	M21A-E031;M21A-E032;M21A-E033;M21A-E034;M21A-E035;M21A-E036;M21A-E037	pubmed_pmid	PMID:11416133; PMID:11518704; PMID:12538665	primary_experiment	human; mouse	IL-1 receptor signaling and MyD88 isoform/IRAK experiments in mammalian cells	pathway_membership	high	IL-1 MyD88 IRAK TRAF6 NF-kappaB/JNK relay	MyD88 and IRAK are required for IL-1 responses; IRAK supports TRAF6/TAB2 recruitment; the MyD88 short isoform fails to recruit IRAK4.	The record spans receptor-proximal association and pathway branches; exact IRAK4-to-IRAK1 ordering and direct TRAF6 activation are not established.
M21A-SAT-EVID-006	M21A-E038;M21A-E039;M21A-E040;M21A-E041	pubmed_pmid	PMID:31289212; PMID:17559806; PMID:28781651; PMID:19380820	primary_experiment	human	Human CXCR4-expressing cells, live-cell imaging, migration assays, and pertussis-toxin/knockdown studies	pathway_membership	high	CXCL12/CXCR4 G-protein, Akt/ERK, and Src-EGFR cross-talk	CXCR4 signaling supports GNAI coupling/dependence, Akt and ERK outputs, and a context-dependent Src-EGFR transactivation branch.	The bundle is human comparator evidence; direct CXCR4-GNAI binding, SCI receiver-cell specificity, and chemokine receptor subtype/ligand bias are not established.
M21A-SAT-EVID-007	M21A-E042;M21A-E043;M21A-E044	pubmed_pmid	PMID:9311995	primary_experiment	mammal	Mammalian epithelial systems and biochemical Smad signaling analyses	pathway_membership	high	TGF-beta receptor-mediated Smad2/3/4 signaling	Primary receptor phosphorylation and R-Smad/Smad4 nuclear relay support TGF-beta pathway signaling.	The primary anchor is PMID:9311995; the previously bundled review PMID:21798854 is not retained as primary evidence. The record spans receptor-proximal and downstream pathway layers.
M21A-SAT-EVID-008	M21A-E045;M21A-E046	pubmed_pmid	PMID:16765933	primary_experiment	mouse	Early mouse embryo and generic BMP receptor/R-Smad signaling systems	pathway_membership	high	BMP dose-dependent Smad1/5/8 signaling	BMP receptor activation of Smad1/5/8 is supported, with Smad4 retained as a downstream common-mediator pathway node.	The source does not resolve BMPR1A/B-BMPR2 composition or a direct Smad1/5/9-Smad4 physical interaction; paralog-specific use and adult SCI context remain open.
M21A-SAT-EVID-009	M21A-E047;M21A-E048;M21A-E049;M21A-E050;M21A-E051	pubmed_pmid	PMID:7798267; PMID:8649846; PMID:11278445	primary_experiment	mammal	EGFR-expressing mammalian cells and PC12 signaling comparisons	pathway_membership	high	EGFR Shc-Grb2-Sos-Ras and parallel PI3K-AKT/ERK branches	EGF induces receptor/Shc/Grb2/Sos coupling, Ras-GEF activity, and ERK signaling. EGFR-associated PI3K-AKT remains a candidate parallel branch, but the current bundle lacks a matched PI3K-specific primary experiment for E051.	The record spans direct adaptor association and pathway outputs; use the layer register for edge-level classification and do not encode signal duration.
M21A-SAT-EVID-010	M21A-E052;M21A-E053;M21A-E054	pubmed_pmid	PMID:11447289; PMID:11997436	primary_experiment	mammal	FGFR-expressing fibroblasts and FRS2 biochemical studies	pathway_membership	high	FGFR-FRS2 positive and negative branch evidence	FRS2A deficiency impairs FGF-induced ERK and PI3K activation; FRS2-bound Grb2 and PI3K branches are retained, with Cbl as an attenuation boundary.	The record spans adaptor association and pathway/requirement evidence; direct FGFR-FRS2A recruitment is not established by the deficiency assay alone, and FGFR paralog/ligand differences remain unresolved.
