review_id	pair	status	stable_citations	species	cell_type_model	assay_perturbation	relation_type	primary_evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-EXT-0364	Lama1-ITGAV_ITGB8	reviewed_binding_only	PMID:7542940; DOI:10.1091/mbc.6.4.419	chick	embryonic DRG sensory neurons	anti-β8 inhibition on laminin-1; neurite outgrowth	β8-family laminin binding/function; αv subunit unresolved	ligand_receptor_binding_or_activation	ECM-receptor interaction; neurite outgrowth	low	family-level β8 evidence; exact αvβ8 molecular edge not established	—
M20A-EXT-0365	Lama2-Cd44	reviewed_unresolved	PMID:10694938; PMCID:PMC2712347	mouse/human	radial glia and general epithelial models	laminin adhesion; anti-CD44 blocking	laminin–CD44 reported generally, not LAMA2-specific	ligand_receptor_binding_or_activation	ECM adhesion	low	general laminin/CD44 claims do not resolve LAMA2	—
M20A-EXT-0368	Lama2-ITGA3_ITGB1	reviewed_relay_candidate	PMID:15030550; PMCID:PMC6496726; DOI:10.1111/j.1365-2184.2004.00292.x	human	HC0597 conjunctival epithelial cells	integrin-blocking antibodies; adhesion; pERK1/2, pAKT; BrdU	α3β1-dependent relay from laminin-2 to ERK/Akt and proliferation	receptor_proximal_relay	integrin adhesion → ERK1/2-AKT → proliferation	medium	exact pair is functionally supported, but purified-protein binding was not the main assay; no TF activation	—
M20A-EXT-0372	Lama2-ITGA9_ITGB1	reviewed_unresolved	PMID:18230652; PMID:16413178	human	α9SW480 cells; recombinant integrin panel	cell adhesion/ELISA for unrelated α9β1 ligands; laminin panel	α9β1 laminin interaction not established	ligand_receptor_binding_or_activation	ECM-receptor interaction	low	α9β1 evidence concerns NGF, VCAM1, TNC, OPN; no exact LAMA2 support	—
M20A-EXT-0373	Lama2-ITGAV_ITGB8	reviewed_unresolved	PMID:9187084; PMID:7542940	rat/chick	Schwann cells; embryonic DRG	laminin-2 migration assays; anti-β1/β3/β8 perturbation	β8 expression/family evidence does not establish LAMA2–αvβ8	ligand_receptor_binding_or_activation	ECM-receptor interaction; migration	low	laminin-2 migration was β1-dependent; αvβ8 exact edge unresolved	—
M20A-EXT-0374	Lama3-Cd44	reviewed_unresolved	PMID:10694938; PMID:9111868	human/general	CD44 literature and ECM models	review/search boundary; no exact LAMA3–CD44 assay located	exact LAMA3–CD44 molecular edge unresolved	ligand_receptor_binding_or_activation	ECM adhesion	low	general laminin/CD44 statements are not chain-specific	—
M20A-EXT-0375	Lama3-Dag1	reviewed_unresolved	PMID:15383318; PMCID:PMC165099	human/mouse	GD25 β1-null cells; laminin isoform preparations	affinity chromatography and adhesion across laminin isoforms	laminin-5/α3–dystroglycan binding not supported in the tested preparation	ligand_receptor_binding_or_activation	ECM-dystroglycan adhesion	low	laminin-1, -2/4, and -10/11 bound dystroglycan; laminin-5 did not	—
M20A-EXT-0380	Lama3-ITGA7_ITGB1	reviewed_unresolved	PMID:16413178	human	recombinant laminin/integrin panel	purified integrin binding	α7β1 did not bind laminin-332 in the comparative panel	ligand_receptor_binding_or_activation	ECM-receptor interaction	low	exact LAMA3–α7β1 edge lacks support	—
M20A-EXT-0381	Lama3-ITGA9_ITGB1	reviewed_unresolved	PMID:18230652; PMID:16413178	human	recombinant α9β1 and laminin panels	binding/adhesion assays for nonmatching ligands	α9β1 laminin-332 interaction unresolved	ligand_receptor_binding_or_activation	ECM-receptor interaction	low	no exact primary support	—
M20A-EXT-0382	Lama3-ITGAV_ITGB8	reviewed_unresolved	PMID:11970960; PMID:16413178	human/mouse	αvβ8 epithelial models; recombinant laminin panel	αvβ8–LAP/TGFβ binding; no exact laminin-332 assay	αvβ8 signaling evidence is TGFβ-LAP-centered, not LAMA3-centered	ligand_receptor_binding_or_activation	αvβ8–TGFβ activation; not LAMA3	low	do not transfer αvβ8 TGFβ evidence to laminin-332	—
