expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-0755	M21B-DOWNSTREAM:02551	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE05353	IL1B	M21B-E001766	NODE05367	IL1R1-IL1RAP receptor complex	M21B-E000023	NODE07589	MYD88									IL-1R1-IL-1RAcP-MyD88 inflammatory activation output			IL1B-IL1R1-IL1RAP-MyD88-inflammatory-output	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E001766;M21B-EVID-001709;M21B-DOWNSTREAM-EVID:003920;M21B-E000023;M21B-EVID-000005;PMID:9820540;PMID:22426547	M21B-DOWNSTREAM-EVID:003920	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0755	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human; mouse	IL-1 receptor-complex reconstitution and IL-1-responsive mammalian inflammatory-cell systems	Extracellular IL-1β engagement of the IL-1R1-IL-1RAcP complex with receptor-proximal MyD88 recruitment and inflammatory activation output	No SCI transfer inferred; primary receptor and inflammatory model context only	Primary evidence supports mature IL-1β binding and signaling-complex assembly; the validated IL-1 receptor-MyD88 edge supplies a bounded intracellular continuation without assigning one terminal TF or target gene.	IL-1 receptor-complex binding/assembly, receptor-chain deficiency or structural studies, MyD88 recruitment and inflammatory signaling assays	activating	composite_primary_evidence	PMID:9820540; PMID:22426547	Primary IL-1 receptor-complex assembly and IL-1RAcP-dependent signaling studies; existing IL-1R-MyD88 continuation evidence	Primary evidence supports mature IL-1β engagement of IL-1R1 with IL-1RAcP-dependent signaling-complex formation; the existing validated IL-1 receptor-MyD88 edge supplies a bounded intracellular continuation without asserting a terminal TF.	Preserve mature IL-1β, IL-1R1/IL-1RAcP ternary-complex and receptor-deficiency context; MyD88 is receptor-proximal continuation evidence, not a terminal TF or target-gene claim.	curated_primary_route	LITEXP:000755
M21B-LITEXP-0756	M21B-DOWNSTREAM:02547	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE05335	IL18	M21B-E001752	NODE05344	IL18R1:IL18RAP receptor complex	M21B-E001727	NODE07589	MYD88									IL-18 receptor-MyD88 NF-kappaB/JNK signaling output			IL18-IL18R1-IL18RAP-MyD88-inflammatory-output	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E001752;M21B-EVID-001695;M21B-DOWNSTREAM-EVID:003916;M21B-E001727;M21B-EVID-001670;PMID:9792649	M21B-DOWNSTREAM-EVID:003916	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0756	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human; mouse	IL-18 receptor-subunit reconstitution and IL-18-responsive mammalian inflammatory-cell systems	Extracellular IL-18 engagement of the IL-18R1-IL-18RAP complex with receptor-proximal MyD88 recruitment and NF-kappaB/JNK activation output	No SCI transfer inferred; primary receptor-reconstitution and inflammatory model context only	Primary evidence supports IL-18R1/IL-18RAP-dependent receptor signaling competence; the validated IL-18 receptor-MyD88 edge supplies a bounded continuation without assigning a terminal TF or target gene.	IL-18 receptor-subunit expression and deficiency, dominant-negative receptor studies, MyD88 recruitment and NF-kappaB/JNK activation assays	activating	composite_primary_evidence	PMID:9792649	Primary IL-18 receptor-subunit and MyD88-dependent signaling study; existing IL-18R-MyD88 continuation evidence	The primary receptor-subunit study supports IL-18R1/IL-18RAP-dependent signaling competence and the existing validated edge supplies a receptor-proximal MyD88 continuation; the route stops before a terminal TF or target gene.	Preserve IL-18R1/IL-18RAP receptor-subunit dependence and NF-kappaB/JNK readout semantics; no universal cell-type response, SCI transfer or terminal target-gene claim is inferred.	curated_primary_route	LITEXP:000756
M21B-LITEXP-0757	M21B-DOWNSTREAM:02548	ligand>receptor>intracellular>TF>output	ligand_receptor_intracellular_tf_output_missing_target_gene	ligand|receptor|intracellular_continuation|transcription_factor|phosphorylation_or_activation_readout	target_gene_expression	source_supported	NODE05218	IL-6	M21B-E001760	NODE05256	IL-6R-gp130 receptor complex	M21B-E001716	NODE05999	JAK1	M21B-E001717	NODE10693	STAT3						IL-6R-gp130 JAK1/STAT3 activation output			IL6-IL6R-gp130-JAK1-STAT3-activation-output	primary_literature_route_expansion	composite_primary_receptor_jak_stat_route_output	M21B-E001760;M21B-EVID-001703;M21B-DOWNSTREAM-EVID:003917;M21B-E001716;M21B-EVID-001659;M21B-E001717;M21B-EVID-001660;PMID:11412113;PMID:8511589;PMID:7744001	M21B-DOWNSTREAM-EVID:003917	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0757	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human; mouse	IL-6/IL-6Ralpha/gp130 receptor-reconstitution and IL-6-responsive mammalian signaling systems	Extracellular IL-6 engagement of the IL-6R-gp130 complex with receptor-associated JAK1, STAT3 activation and unresolved terminal transcriptional output	No SCI transfer inferred; primary receptor-reconstitution and cytokine-signaling model context only	Primary evidence supports IL-6/IL-6Ralpha/gp130 signaling-complex assembly; validated receptor-proximal JAK1 and STAT3 edges supply bounded intracellular and TF support without assigning a terminal target gene.	Soluble IL-6/IL-6Ralpha/gp130 complex reconstitution, receptor association, kinase activation and STAT3 phosphorylation or transcriptional-response assays	activating	composite_primary_evidence	PMID:11412113; PMID:8511589; PMID:7744001	Primary IL-6 receptor-complex assembly and JAK/STAT signaling studies; existing IL-6R-gp130 JAK1/STAT3 continuation evidence	Primary evidence supports ligand-dependent IL-6Ralpha/gp130 signaling-complex formation and the validated receptor-proximal JAK1 and STAT3 edges retain intracellular and TF support; the route intentionally stops before a terminal target gene.	Preserve soluble versus membrane IL-6R context, gp130 complex stoichiometry and STAT3 pathway breadth; no single universal STAT3 target, SCI receiver response or terminal gene is inferred.	curated_primary_route	LITEXP:000757
M21B-LITEXP-0758	M21B-DOWNSTREAM:02550	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE04964	IFN-gamma	M21B-E001763	NODE04996	IFNGR1-IFNGR2 receptor complex	M21B-E000014	NODE06009	JAK2									IFNGR ligand-induced receptor assembly and JAK2 signaling competence output			IFNG-IFNGR1-IFNGR2-JAK2-signaling-output	primary_literature_route_expansion	composite_primary_receptor_jak_route_output	M21B-E001763;M21B-EVID-001706;M21B-DOWNSTREAM-EVID:003919;M21B-E000014;M21B-EVID-000003;PMID:8649432;PMCID:PMC231315	M21B-DOWNSTREAM-EVID:003919	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0758	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human; mouse	Murine L-cell IFNGR1 reconstitution with human IFNGR2 and receptor-mutagenesis signaling systems	Extracellular IFN-gamma-induced IFNGR1/IFNGR2 assembly with receptor-associated JAK2 and receptor signaling-competence output	No SCI transfer inferred; receptor-reconstitution and cytokine-signaling model context only	Primary evidence directly supports ligand-induced receptor assembly and JAK2 association; the route stops before STAT/TG target assignment.	IFNGR1/IFNGR2 receptor reconstitution, intracellular-tail mutagenesis, coprecipitation, JAK2-complementation and IFN-gamma responsiveness assays	activating	composite_primary_evidence	PMID:8649432; PMCID:PMC231315	Primary IFN-gamma receptor assembly and JAK2-recruitment study; existing IFNGR-JAK2 continuation evidence	The primary study shows IFN-gamma-dependent IFNGR1/IFNGR2 association and identifies receptor-tail sequences required for JAK2 association and biological responsiveness; the overlay retains this as a bounded intracellular route without asserting a TF or target gene.	Preserve IFNGR1/IFNGR2 assembly, receptor-tail and JAK2-recruitment semantics; no STAT1, terminal gene, universal cytokine response or SCI transfer is inferred from this receptor-assembly study.	curated_primary_route	LITEXP:000758
M21B-LITEXP-0759	M21B-DOWNSTREAM:00025	ligand>receptor>intracellular>TF>output	ligand_receptor_intracellular_tf_output_missing_target_gene	ligand|receptor|intracellular_continuation|transcription_factor|phosphorylation_or_activation_readout	target_gene_expression	source_supported	NODE04257	GM-CSF/CSF2	M21B-E000177	NODE02519	CSF2RA:CSF2RB receptor complex	M21B-E001776	NODE06009	JAK2	M21B-E001777	NODE10719	STAT5						GM-CSF receptor JAK2/STAT5 activation output			GMCSF-CSF2RA-CSF2RB-JAK2-STAT5-activation-output	primary_literature_route_expansion	composite_primary_receptor_jak_stat_route_output	M21B-E000177;M21B-EVID-000120;M21B-DOWNSTREAM-EVID:000053;M21B-E001776;M21B-EVID-001719;M21B-E001777;M21B-EVID-001720;PMID:1460041;PMID:11721371	M21B-DOWNSTREAM-EVID:000053	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0759	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human; mouse	Mouse and human GM-CSF receptor reconstitution and hematopoietic-cell signaling systems	Extracellular GM-CSF engagement of the CSF2RA-CSF2RB complex with receptor-associated JAK2, STAT5 activation and unresolved terminal transcriptional output	No SCI transfer inferred; primary receptor-reconstitution and hematopoietic model context only	Primary evidence supports the alpha-beta GM-CSF receptor complex and ligand-dependent signaling; validated JAK2 and STAT5 edges provide bounded intracellular and TF support without assigning a terminal target gene.	GM-CSF receptor-chain reconstitution, ligand-dependent kinase activation, JAK2 phosphorylation and STAT5-like signaling assays	activating	composite_primary_evidence	PMID:1460041; PMID:11721371	Primary GM-CSF receptor alpha-beta complex and JAK/STAT signaling studies; existing CSF2R-JAK2-STAT5 continuation evidence	Primary studies establish the biologically active GM-CSF receptor alpha-beta complex and ligand-dependent signaling; the validated CSF2R-JAK2 and CSF2R-STAT5 edges retain a bounded TF-support route without a terminal gene.	Preserve GM-CSF receptor-chain stoichiometry and hematopoietic reconstitution context; STAT5 is retained as a TF-support annotation, not as a terminal target-gene claim or SCI receiver response.	curated_primary_route	LITEXP:000759
M21B-LITEXP-0760	M21B-DOWNSTREAM:00105	ligand>receptor>intracellular>TF>output	ligand_receptor_intracellular_tf_output_missing_target_gene	ligand|receptor|intracellular_continuation|transcription_factor|gene_expression_or_transcription	target_gene_expression	source_supported	NODE05508	IL7	M21B-E000324	NODE05516	IL7RA:IL2RG receptor complex	M21B-E011504	NODE05999	JAK1	M21B-E011506	NODE10719	STAT5						IL-7 receptor JAK1/JAK3/STAT5 gene-expression output			IL7-IL7RA-IL2RG-JAK1-JAK3-STAT5-expression-output	primary_literature_route_expansion	composite_primary_receptor_jak_stat_route_output	M21B-E000324;M21B-EVID-000267;M21B-DOWNSTREAM-EVID:000192;M21B-E011504;M21B-EVID-010818;M21B-E011506;M21B-EVID-010818;PMID:7875201	M21B-DOWNSTREAM-EVID:000192	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0760	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	gene_expression_or_transcription	human; mouse	IL-7 receptor-expressing lymphoid and receptor-reconstitution signaling systems	Extracellular IL-7 engagement of the IL7RA-IL2RG complex with receptor-associated JAK1/JAK3, STAT5 activation and unresolved terminal transcriptional output	No SCI transfer inferred; primary receptor and lymphoid-cell model context only	Primary IL-7 receptor evidence supports receptor-proximal JAK/STAT5 signaling and gene-expression readout; the route stops before a named terminal target gene.	IL-7 stimulation, IL7RA/IL2RG receptor reconstitution, kinase and STAT5 activation, reporter and gene-expression assays	activating	composite_primary_evidence	PMID:7875201	Primary IL-7 receptor-complex signaling and gene-expression study; existing IL7RA-IL2RG-JAK1/JAK3-STAT5 continuation evidence	Primary evidence supports IL-7 receptor-complex signaling and gene-expression output, while validated IL7RA-IL2RG JAK1 and STAT5 edges supply bounded intracellular and TF support; no terminal target gene is assigned.	Preserve IL7RA/common-gamma receptor architecture and lymphoid-cell context; STAT5 support does not identify one universal target gene or imply an SCI receiver-cell response.	curated_primary_route	LITEXP:000760
M21B-LITEXP-0761	M21B-DOWNSTREAM:00112	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE10978	TGFB3	M21B-E000342	NODE10983	TGFBR1:TGFBR2 receptor complex	M21B-E000034	NODE10421	SMAD2									TGFBR1/TGFBR2-SMAD2 activation and reporter output			TGFB3-TGFBR1-TGFBR2-SMAD2-activation-output	primary_literature_route_expansion	composite_primary_receptor_smad_route_output	M21B-E000342;M21B-EVID-000285;M21B-DOWNSTREAM-EVID:000205;M21B-E000034;M21B-EVID-000007;PMID:18243111;DOI:10.1016/j.molcel.2007.11.039	M21B-DOWNSTREAM-EVID:000205	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0761	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human; mouse	TGF-beta receptor and SMAD2/3 reporter-reconstitution systems	Extracellular TGF-beta3 engagement of the TGFBR1-TGFBR2 complex with receptor-proximal SMAD2 activation and reporter output	No SCI transfer inferred; primary receptor-reconstitution and reporter model context only	Primary evidence supports TGF-beta receptor-complex signaling and SMAD2/3 activation; SMAD2 is retained as an intracellular continuation and the terminal TF/target-gene layer remains unresolved.	TGF-beta3 receptor-complex stimulation, SMAD phosphorylation and transcriptional reporter assays	activating	composite_primary_evidence	PMID:18243111; DOI:10.1016/j.molcel.2007.11.039	Primary TGF-beta receptor-complex and SMAD2/3 signaling study; existing TGFBR-SMAD2 continuation evidence	Primary evidence supports TGF-beta3 receptor-complex signaling with SMAD2/3 activation and reporter output; the validated TGFBR-SMAD2 edge supplies a bounded intracellular continuation without assigning a terminal TF or target gene.	Preserve TGF-beta3 and TGFBR1/TGFBR2 complex context, SMAD2/3 pathway breadth and reporter semantics; no terminal gene or SCI receiver-cell effect is inferred.	curated_primary_route	LITEXP:000761
M21B-LITEXP-0762	M21B-DOWNSTREAM:00017	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout	transcription_factor|target_gene_expression	source_supported	NODE02642	CXCL13	M21B-E000159	NODE02713	CXCR5	M21B-E003377	NODE04271	GNAI/O/Z									CXCL13-CXCR5-Gi calcium and chemotaxis output			CXCL13-CXCR5-Gi-chemotaxis-output	primary_literature_route_expansion	composite_primary_receptor_gprotein_route_output	M21B-E000159;M21B-EVID-000102;M21B-DOWNSTREAM-EVID:000037;M21B-E003377;M21B-EVID-003320;PMID:11688722	M21B-DOWNSTREAM-EVID:000037	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0762	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	second_messenger_readout	human	Human CXCR5 chimeric-receptor and CXCL13-responsive signaling systems with calcium, ERK and chemotaxis readouts	Extracellular CXCL13 engagement of CXCR5 with bounded GNAI/O/Z continuation and calcium/chemotaxis output	No SCI transfer inferred; primary receptor-reconstitution and chemotaxis model context only	Primary evidence supports CXCL13-CXCR5 receptor activity and second-messenger/cell-migration output; the validated CXCR5-Gi edge supplies a bounded intracellular continuation without a terminal TF.	CXCR5 chimeric-receptor binding, CXCL13 stimulation, calcium, pertussis-toxin-sensitive ERK and chemotaxis assays	activating	composite_primary_evidence	PMID:11688722	Primary CXCL13-CXCR5 receptor mapping and signaling study; existing CXCR5-Gi continuation evidence	Primary evidence supports CXCL13 activation of CXCR5 with calcium and chemotaxis-associated readouts; the validated CXCR5-GNAI/O/Z edge supplies a bounded intracellular continuation without assigning a TF or target gene.	Preserve CXCR5 receptor-mapping and chemokine-form context; no universal G-protein coupling, CNS/SCI transfer or terminal gene is inferred.	curated_primary_route	LITEXP:000762
M21B-LITEXP-0763	M21B-DOWNSTREAM:00064	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout	transcription_factor|target_gene_expression	source_supported	NODE02648	CXCL16	M21B-E000255	NODE02718	CXCR6	M21B-E003378	NODE04271	GNAI/O/Z									CXCL16-CXCR6-Gi calcium, adhesion and migration output			CXCL16-CXCR6-Gi-adhesion-migration-output	primary_literature_route_expansion	composite_primary_receptor_gprotein_route_output	M21B-E000255;M21B-EVID-000198;M21B-DOWNSTREAM-EVID:000128;M21B-E003378;M21B-EVID-003321;PMID:11290797;PMID:17363916	M21B-DOWNSTREAM-EVID:000128	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0763	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	second_messenger_readout	human; mouse	Human and murine CXCL16/CXCR6 expression-cloning and receptor-dependent adhesion/migration systems	Extracellular CXCL16 engagement of CXCR6 with bounded GNAI/O/Z continuation and calcium, adhesion and migration output	No SCI transfer inferred; primary expression-cloning and adhesion/migration model context only	Primary evidence supports CXCL16-CXCR6 receptor activity and second-messenger/cell-function output; the validated CXCR6-Gi edge supplies a bounded intracellular continuation without a terminal TF.	CXCL16 expression cloning, receptor binding, calcium mobilization, chemotaxis and receptor-dependent adhesion assays	activating	composite_primary_evidence	PMID:11290797; PMID:17363916	Primary CXCL16-CXCR6 expression-cloning and functional signaling studies; existing CXCR6-Gi continuation evidence	Primary studies support CXCL16 binding and CXCR6-dependent calcium, adhesion and migration outputs; the validated CXCR6-GNAI/O/Z edge supplies a bounded intracellular continuation without assigning a TF or target gene.	Preserve membrane-bound versus soluble CXCL16 and receptor-dependent adhesion/migration context; no universal G-protein response, SCI transfer or terminal gene is inferred.	curated_primary_route	LITEXP:000763
M21B-LITEXP-0764	M21B-DOWNSTREAM:00556	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout	transcription_factor|target_gene_expression	source_supported	NODE00979	ATP	M21B-E001305	NODE08707	P2Y2/P2RY2	M21B-E001847	NODE04282	GNAQ/GNA11									ATP-P2Y2-Gq calcium and PLC-linked output			ATP-P2Y2-GNAQ-GNA11-calcium-output	primary_literature_route_expansion	composite_primary_receptor_gprotein_route_output	M21B-E001305;M21B-EVID-001248;M21B-DOWNSTREAM-EVID:000974;M21B-E001847;M21B-EVID-001790;PMID:10839197	M21B-DOWNSTREAM-EVID:000974	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0764	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	second_messenger_readout	human; mouse	Human and murine P2Y2 receptor-expressing 1321N1 and A431 cell systems with extracellular ATP/UTP stimulation	Extracellular ATP engagement of P2Y2/P2RY2 with bounded GNAQ/GNA11 continuation and intracellular-calcium/PLC-linked output	No SCI transfer inferred; primary recombinant and endogenous receptor-cell context only	Primary evidence supports ATP/UTP activation of P2Y2 and calcium readout; the validated P2Y2-GNAQ/GNA11 edge supplies a bounded intracellular continuation without assigning a terminal TF.	Human and murine P2Y2 receptor transfection, extracellular ATP/UTP stimulation, intracellular calcium mobilization and receptor-desensitization assays	activating	composite_primary_evidence	PMID:10839197	Primary P2Y2 ATP/UTP calcium-mobilization and desensitization study; existing P2Y2-Gq continuation evidence	The primary study supports ATP activation of human and murine P2Y2 receptors with intracellular-calcium readout; the validated P2Y2-GNAQ/GNA11 edge supplies a bounded PLC-linked continuation without a terminal TF or target gene.	Preserve ATP/UTP agonist overlap, human versus murine P2Y2 isoform and desensitization context; no universal nucleotide response, SCI transfer or terminal gene is inferred.	curated_primary_route	LITEXP:000764
